Aesop	イソップ(イソップ物語を書いたといわれる古代ギリシアの作者)
Aesopian	イソップの;イソップ物語風な
Afghan	アフガニスタンの / アフガニスタン人 / アフガニスタン語
Afghanistan	アフガニスタン(アジア南西部にある共和国;首都はKabul)
Afr.	Africa;African
Africa	『アフリカ』(《略》Afr.)
African	『アフリカの』 / アフリカ黒人の / アフリカ[黒]人
African violet	アフリカすみれ
Afrikaans	(オランダ語に似た)南アフリカ共和国の言語
Afrikaner	(オランダ人を祖先とする)南アフリカ人
Afro	(髪型の)アフロ(黒人の髪のように小さくカールしたもの)
Afro Asian	アジア=アフリカの
Afro-American	アメリカ黒人の / アメリカ黒人
Ag	silverの化学記号[ラテン語argentumから]
Agnus Dei	神の小羊 / (ローマカトリック教ミサの6番目の)賛歌
Agt.,agt.	against / agent / agreement
Airedale	エアデールテリア(英国ヨークシャーのエアデール原産のテリア犬)
Al	aluminumの化学記号
Ala.	アラバマ州(Alabama)の略称
Alabama	アラバマ州(米国南東部の州;州都Montgomery;《略》AL,Ala.)
Alamo	アラモ(米国Texas州San Antonioにあったフランシスコ派の伝道所;1836年Texas独立戦争の時ここにたてこもった米国人はメキシコ軍の攻撃で全滅した)
Alas.	Alaska
Alaska	アラスカ州(米国西北端の州;州都はJuneau;《略》AK,Alas.)
Alaskan	アラスカの;アラスカ人の / アラスカ人
Albania	アルバニア(バルカン半島の人民共和国;首都はTirana)
Albanian	アルバニアの;アルバニア人の;アルバニア語の / 〈C〉アルバニア人 / 〈U〉アルバニア語
Albany	オルバニー(米国ニューヨーク州の州都)
Albion	アルビオン(イギリス・大ブリテン島の古名・雅名;「白い国」の意味で南東部海岸が白亜質の絶壁であることからローマ人がつけた名)
Aleut	(またAleutian)〈C〉アリューシャン列島住民 / アリュート語
Aleutian	アリューシャン列島の / =Aleut 1
Aleutian Islands	アリューシャン列島(アラスカとカムチャッカの間の群島)
Alexander the Great	アレクサンダー大王(またはアレキサンダー大王)(古代マケドニアの王;356‐323B.C.)
Alexandria	アレキサンドリア(エジプトのナイル河口の港市)
Alexandrian	アレキサンドリアの / アレクサンダー大王の
Alexandrine	アレクサンドル格の詩(六脚短長格) / アレクサンドル格の
Alfred the Great	アルフレッド大王(古英国のWessexの名君;849‐899)
Algeria	アルジェリア(アフリカ北西部の共和国;首都Algiers)
Algerian	アルジェリアの / アルジェリア人
Algiers	アルジェ(アルジェリアの首都)
Algonquian	〈U〉アルゴンキン語族(アメリカインディアン最大の語族) / アルゴンキン族[の人] / アルゴンキン語族の
Algonquin	アルゴンキン語族の一人 / =Algonquian
Alhambra	アルハンブラ宮殿(スペインのグラナダにある宮殿)
All Fools Day	=April Fools' Day
All Saints Day	万聖節(11月1日;聖人・殉教者の霊を祭る日)
All Souls Day	万霊節(11月2日;ローマカトリック教で信者の霊の救いを祈る祭日)
Allah	アラー神(イスラム教の神)
Allhallows	=All Saints' Day
Alpine	アルプス山脈の / 《通例a-》高山の
Alps	アルプス山脈
Alsatian	=German shepherd
Altai Mountains	アルタイ山脈(モンゴルと旧ソ連領アジアにまたがる大山脈)
Altaic	アルタイ山脈の / アルタイ語の
Am	americiumの化学記号
Am.	America / American
Amazon	アマゾン(ギリシア神話で,昔黒海の近くにいたという女武者の一族) / 《しばしばa-》女傑(じょけつ),勇ましい女 / 《the ~》アマゾン川(南米にある大河)
Amazonian	アマゾンのような / アマゾン川の / (女性が)男まさりの,勇猛な
Amer.	American(アメリカの,アメリカ人) の略
Amerasian	アメリカ人とアジア人の混血(の人)
America	『アメリカ合衆国』,米国,アメリカ(《略》『Am.,Amer.』) / 《the Americas》南北アメリカ[イタリアの商人・航海者・探検家Amerigo Vespucciの名前に由来]
American	『アメリカ合衆国の』,米国の;アメリカ人の / 北アメリカの;北米人の / 南アメリカの;南米人の / 南北アメリカの;南北アメリカ人の / 米国人,アメリカ人 / 北(南)アメリカ人 / =American English
American English	アメリカ英語,米語
American Indian	アメリカ大陸に原住民族として存在していた人々
American League	アメリカンリーグ(米国の2大プロ野球連盟の一つ)
American Legion	米国在郷軍人会
American Revolution	アメリカ独立戦争(1775‐83)
American eagle	=bald eagle / 《the ~》ハクトウワシ印(米国の紋章)
American football	=football 1
American plan	部屋代・食事代こみホテル料金制度
Americana	《しばしば複数扱い》アメリカに関する文献(資料) / 《単数扱い》米国誌(アメリカに関する文献・資料のコレクション)
Americanism	〈C〉アメリカ語法(米語特有の語,つづり,発音,意味,表現をいう) / 〈U〉〈C〉アメリカ風(式);アメリカ精神;アメリカ人かたぎ
Americanization,Americanisation	アメリカ化,米国化;米国帰化
Americanize,Americanise	…をアメリカ風(式)にする,米語式にする;…をアメリカに帰化させる / アメリカ化する,アメリカ風(式)になる;米語式になる;アメリカに帰化する
Amerind	アメリカ大陸原住民(American IndianまたはEskimoなど)
Amish	アンマン(Ammann)派の / アンマン派の信徒(新教のメノー派系に属し,厳格な教養を持つ)
Amsterdam	アムステルダム(オランダの名目上の首都・港市)
Amtrak	《米》アムトラック(American Trackの略;全国鉄道旅客公社(National Railroad Passenger Corporation)の運行する列車)
Anchorage	アンカレッジ(米国アラスカ州南部の都市;海港と空港がある)
Andean	(南米西部の)アンデス山脈(the Andes)の
Andersen	アンデルセン(Hans Christian Andersen;1805‐75;デンマークの童話作家)
Andes	《the ~》アンデス山脈(南米西部の大山脈)
Andorra	アンドラ(フランスとスペインの国境ピレネー山脈東部にある小共和国)
Andromeda	アンドロメダ(ギリシア神話で祖国を救うために海の怪物にささげられたエチオピアの王女でPerseusがこれを助けた) / アンドロメダ座
Angelus	(カトリックで)お告げの祈り(天使Gabrielが聖母マリアにイエスの受胎を告げたことを記念して行う祈り) / =Angelus bell
Angelus bell	お告げの鐘(朝・正午・日没に鳴らすお告げの祈りの合図)
Angl.	Anglican / Anglicized
Angles	《the ~》アングル族(もと北ドイツのゲルマン族一派で,5世紀以後英国に渡った)
Anglian	アングル族の / 〈C〉アングル人 / 〈U〉アングル語
Anglican	英国国教会の,(英国)聖公会の / 《米》英国の(English) / 英国国教会の信者
Anglican Church	《the ~》英国国教会(the Church of England)系の教会(英国国教会およびこれと教義を同じくする各国の教会)
Anglicanism	英国国教会の教義(制度)
Anglicism	(外国語にとり入れられた)英語慣用語法 / 《米》イギリス語法(Briticism)
Anglicize,Anglicise	…を英国ふう(英国式)にする;〈外国語〉を英語化する,英語ふうに発音する
Anglo-American	英米の / 《古》英国系米人の / 英国系米人
Anglo-Catholic	英国国教会カトリック派 / 英国国教会カトリック派の
Anglo-Indian	英国とインドの;英国とインドの混血の / 〈C〉英国とインドの混血児 / 〈U〉インド英語
Anglo-Saxon	〈C〉アングロサクソン人 / 《the ~s》アングロサクソン族(5世紀に北ドイツの地方からイギリスに渡ったアングル族(Angles)とサクソン族(Saxons)が合同した種族;今日の英国人の祖先) / 〈U〉アングロサクソン語,古英語(アングロサクソン人が用いていた英語で11世紀ごろまでのもの;今は通例Old Englishという) / 〈C〉(現代の)英国国籍の人,英国系の人,英語国人 / アングロサクソン人(語)の / 英国国籍の,英国系の
Anglomania	(外国人の)英国かぶれ,英国心酔
Anglophile,Anglophil	《英ではa-》英国好きの人,英国びいき,親英家
Anglophilia	《英ではa-》英国好き,英国びいき
Anglophobe	《英ではa-》英国ぎらい
