Anglophobia	(外国人の)英国ぎらい
Angola	アンゴラ(南西アフリカの共和国;首都はLuanda)
Angora	(またAngora cat)〈C〉アンゴラネコ / (またAngora goat)〈C〉アンゴラヤギ / (またAngora rabbit)〈C〉アンゴラウサギ / 〈U〉《しばしばa-》 / =mohair / アンゴラで作った毛糸(生地,織物) / =Ankara
Angus	アンガス牛(スコットランド原産の角のない肉牛)
Ankara	アンカラ(トルコ共和国の首都)
Anne	アン女王(1665‐1714;英国の女王;在位1702‐14)
Ant.	Antarctica
Antarctic	『南極の』,南極地域の / 《the A-》『南極』,南極地域(南極大陸と南極海)
Antarctic Circle	《the ~》南極圏限界線
Antarctic Ocean	《the ~》南極海,南氷洋
Antarctica	南極大陸
Antichrist	〈U〉反キリスト(聖書で,キリスト再来の前に現れるとされるキリストの対立者) / 〈C〉《a-》キリスト[教]反対者
Antwerp	アントワープ(ベルギー北部の海港)
Ap.	Apostle / Apothecaries' / April
Apache	〈C〉アパッチ族(米国南西部のインディアン) / 〈U〉アパッチ語
Apennines	アペニン山脈(イタリア半島を縦走する山脈)
Aphrodite	アフロディテ(ギリシア神話の愛と美の女神;ローマ神話のVenusにあたる)
Apoc.	Apocalypse / Apocrypha / Apocryphal
Apocrypha	《単数扱い》外典,経典外聖書(典拠が疑わしいので一般の聖書から省かれている14編) / 《a-》出所の疑わしい文書
Apollo	アポロ(ギリシア・ローマ神話の太陽の神) / (宇宙船)アポロ
Apostles Creed	使徒信条(使徒信経)(キリスト教の最も基本的な信条;洗礼などの際に唱える)
Appalachia	アパラチア(米国アパラチア山脈南部の地方)
Appalachian Mountains	アパラチア山脈(カナダ南東部から米国アラバマ州北部にかけて走る北米東部海岸の大山脈)
Appaloosa	アパルーサ(米国西部産の乗馬の一種)
Appomattox	アポマトクス(米国Virginia州中部の町;1865年4月9日南軍のLee将軍が北軍のGrant将軍に降伏し南北戦争が終結した場所)
Apr.	April
April	『4月』(《略》『Apr』.)
April Fools Day	4月ばかの日,万愚節(4月1日)
Aquarius	(十二宮の)宝瓶宮(ほうへいきゅう) / 水瓶(みずがめ)座 / 〈C〉水瓶座生まれの人
Ar	argonの化学記号
Arab	(またArabian)アラブ人 / =Arabian horse / アラブ[人]の
Arabia	アラビア[半島]
Arabian	=Arab{名} / 『アラビアの』,アラビア人の
Arabian Nights	アラビアンナイト,千夜一夜物語(The Thousand and One Nights)
Arabian Nights Entertainments	アラビアンナイト,千夜一夜物語(The Thousand and One Nights)
Arabian bird	不死鳥(phoenix)
Arabian horse	アラビア馬
Arabic	アラビアの,アラビア人(語)の / アラビア語
Arabic figures(numerals)	アラビア数字,算用数字
Aragon	アラゴン(スペイン北東部地方;11‐15世紀まで王国だった)
Aramaic	アラム語(セム語の一種でイエスキリストの時代にPalestine一帯で使用された)
Arbor Day	《米》植樹祭(日)(Alaskaを除く米国各州で4月後半から5月初めに行う)
Arcadia	アルカディア(古代ギリシアの山間にあった理想郷) / 〈C〉《時にa-》平和な理想郷,桃源郷
Arcadian	アルカディアの / 牧歌的な,田園風の,純真素朴な / アルカディア人 / 純真素朴な人
Archaeozoic	=Archeozoic,Archae
Archeozoic,Archae	始生代(地質時代の一つ)〈C〉
Archimedes	アルキメデス(古代ギリシアの数学者・物理学者で「アルキメデスの原理」の発見者;287?‐212B.C.)
Arctic Circle	北極圏
Arctic Ocean	北極洋,北氷洋,北極海
Arctic Zone	北極帯(北極からthe Arctic Circleまでの地帯)
Arden	《the Forest of~》アーデンの森(イングランド中部Warwickshireの森林地帯;Shakespeareの喜劇As You Like Itの物語の背景) / 〈C〉桃源郷
Ares	アレース(ギリシア神話の戦争の神;ローマ神話のMarsにあたる)
Argentina	アルゼンチン(南米南部の共和国;首都はBuenos Aires;正式名the Argentine Republic)
Argentine	アルゼンチンの / 〈C〉アルゼンチン人 / 〈U〉《the~》アルゼンチン(Argentina)
Argo	《the~》アルゴ号(ギリシア神話の伝説中の勇士Jasonが金の羊毛を捜しに出かけた時に乗った船の名)
Argonaut	(ギリシア神話の)アルゴ号(the Argo)の乗組員
Argus	アルゴス(雌牛の姿にされた美少女Io[アイオゥ]を見張った100の目を持つギリシア神話の巨人) / 〈C〉厳重な見張り人
Aries	雄羊座 / (占いで)白羊宮(黄道の第1宮)
Aristophanes	アリストファネス(古代ギリシアの詩人・喜劇作者;448?‐380?B.C.)
Aristotelian	アリストテレス(学派)の / アリストテレス学派の人
Aristotle	アリストテレス(古代ギリシアの哲学者;384‐322B.C.)
Ariz.	Arizona
Arizona	アリゾナ州(米国南西部の州,州都はPhoenix;《略》Ariz,AZ)
Ark.	Arkansas
Arkansas	アーカンソー州(米国中部の州,州都はLittle Rock;《略》『Ark.,AR』)
Arlington	アーリントン(バージニア州北東部の郡の名) / 米国国立墓地(Arlington National Cemetery)(無名戦士の墓がある)
Armageddon	ハルマゲドン(聖書で,善と悪との力が最後の決戦を行う場所) / (一般に)最後の大決戦
Armenia	アルメニア(西アジアにあるソビエト連邦構成共和国の一つ)
Armenian	アルメニアの;アルメニア人(語)の / アルメニア人;〈U〉アルメニア語
Armistice Day	(第一次世界大戦の)休戦記念日(普通は11月11日;米国・カナダでは法定休日;米では1954年以後はVeterans Day,カナダではRemembrance Day)
Artemis	アルテミス(ギリシア神話の月と狩猟の女神;ローマ神話のDianaに当たる)
Arthur	アーサー王(6世紀ごろの伝説上の英国王;円卓の騎士Knights of the Round Tableを従えた)
