abnormality	〈U〉異常,変則 / 〈U〉異常なもの(事件)
abo	《差別的表現》《オーストラリア英語》《俗》原住民(aborigine)
aboard	(船・航空機・列車などに)乗って / (船・航空機・列車など)の中へ(に)
abode	〈C〉住所,住居 / 〈U〉滞在,居住 / abideの過去・過去分詞
abolish	〈制度・習慣・規則など〉を廃止する,やめる
abolition	廃止,撤廃 / 奴隷制度廃止
abolitionary	廃止の,(特に,米国の)奴隷制度廃止の
abolitionism	(特に米国の)奴隷制度廃止論
abolitionist	廃止論者,(特に)奴隷制度廃止論者
abominable	憎むべき,いまわしい / 《話》実にいやな,ひどい
abominate	《文》…を忌みきらう;《話》…が大きらい
abomination	〈U〉嫌悪,憎悪 / 〈C〉嫌悪するもの,いまわしいこと
abominator	嫌悪(憎悪)する人
aboriginal	土着の,もとからある / 原住民
aborigine	原住民;《通例複数形で》土着の動物(植物)
aborning	生まれつつある
abort	〈計画などを〉中止する,中断する,やめる,打ち切る / 流産する / 〈動植物や器官などが〉十分に発育しない / 〈計画が〉失敗する,中止となる / 〈胎児〉を流産させる
abortion	〈U〉〈C〉流産;妊娠中絶 / 〈U〉(計画などの)失敗;〈C〉(実現しなかった)案,計画
abortional	中絶の / 流産の / 挫折した
abortionist	(違法に)堕胎を行う人 / 堕胎医(特に違法な手段で堕胎する者)
abortive	不成功の,失敗に終わった / 流産の / 発育不全の
abound	〈人・動物などが〉『たくさんいる』,多い
about	…について,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて
about-face	回れ右;180度の方向転換 / (方針などの)転換 / 回れ右をする / 方針(思想)などを転換する
above	《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと
aboveboard	公明正大な,隠すことのない / 公明正大に,隠しごとをせずに
abovementioned	《名詞の前にのみ用いて》上記の,前述の
abp.	archbishop
abr.	abridged / abridgment
abracadabra	呪文 / たわごと
abrade	〈皮膚〉を擦傷する;〈毛・岩など〉をすり減らす
abrasion	〈C〉すり傷 / 〈U〉すりむくこと,摩滅
abrasive	すり減らす,すりむく / 研磨剤(金剛砂・軽石など)
abreast	並んで,並行して
abridge	〈本・話など〉を要約する;〈会合・授業など〉を短縮する / 〈権利・活動範囲など〉を制限する
abridgment, abridgement	〈U〉短縮(縮約)すること / 〈C〉縮約本,抄本
abroad	『海外へ(で)』,『外国に(で)』 / 《古》戸外へ / 『広く』;(うわさなどが)『広まって』
abrogate	〈法律・習慣など〉を廃止する,破棄する
abrogation	廃止,破棄
abrupt	『突然の』,不意の(sudden) / (坂道などが)けわしい,急な(steep) / (態度などが)ぶっきらぼうな
abruptly	突然に,不意に
abs.	absolute / absolutely
abscess	膿瘍(のうよう)(膿んだできもの)
abscise	(植物が)自然に離れる,落葉する / 離層によって(葉・実などを)落とす
abscissa	横座標
abscission	切除,切断;分離,離脱
abscond	(…から)〈犯人などが〉ひそかに逃亡する,行くえをくらます《+『from』+『名』》
absence	〈U〉〈C〉留守,不在;『欠席』;不在期間;(…を)欠席すること《+『from』+『名』》 / 〈U〉(…が)『ないこと』,(…の)欠如(lacking)《+『of』+『名』》
absence of mind	うわの空
absent	不在の,欠席した,欠けている,心を失った(忘却の) / (～から)〈人〉を欠席させる(+名+from+名)
absentee	欠席者,不在者 / 不在地主
absentee ballot	不在投票用紙
absentee vote	不在投票
absentee voter	不在投票者
absenteeism	(仕事・学校などの)常習的欠席,欠勤;長期欠席
absently	放心して
absentminded	放心した,ぼんやりしている / 忘れっぽい
absinthe, absinth	ニガヨモギ / アブサン,アブサント(ニガヨモギなどから作られる緑色の強い蒸留酒)
absolute	『まったくの』,完全な(complete) / 『絶対的な力を持った』,絶対の / 確かな,確固とした(certain) / 無条件の,制約のない / (文法で)独立の,単独の
absolute majority	絶対多数
