acacia	アカシア属の木,《英》ハリエンジュ,ニセアカシア
acad.	academic / academy
academe	《A-》(古代アテネの)アカデミーの森 / 〈C〉(またacademia)大学[周辺]
academia	=academe
academic	学問の,学術的な,教育の / 学園の,大学の / 大学教員,研究者,学者 / (複数形で)学業,学課,大学課程
academic freedom	学問の自由
academical	=academic / 《複数形で》大学の式服
academician	学士院会員,芸術院会員 / 伝統主義者
academicism	(美術・文学などの) 伝統主義、アカデミー主義, (思想・態度の)学問主義、知識中心主義、理論偏重
academism	=academicism
academy	『学士院』,芸術院 / 《米》私立中等(高等)学校 / (特殊教育の)専門学校
acanthus	アカンサス,ハアザミ / (建築物の柱頭の)アカンサス葉飾り
acc.	acceleration / account / accountant / accusative / accompanied [by] / according [to]
accede	(要求・提案などに)同意する,承認する(agree)《+『to』+『名』》 / (王位・財産などを)継承する;(公職などに)就任する《+『to』+『名』》
accelerando	(音楽の指示で)しだいに速く(速い)
accelerate	…の速度を速める,加速する / 〈ある状態〉を早く起こさせる / 速くなる,速度を増す
acceleration	加速 / 加速度
acceleration line	(普通の道路から高速道路にはいるときの)加速車線
accelerator	加速装置;(自動車の)アクセル / (化学反応の)促進剤 / (またatom smasher)粒子加速機
accelerometer	(航空機などの)加速度計
accent	〈C〉〈U〉『アクセント』,『強勢』;アクセント記号 / 〈C〉(言葉の)なまり / 《複数形で》『口調』,音調(tone) / 〈C〉〈U〉強調,重視 / …にアクセントをおく;…にアクセント符号をつける / …を強調する,目立たせる
accentuate	〈語・音節〉にアクセントをおく,を特に強く発音する / …を目立たせる,強調する
accentuation	アクセントをおくこと,アクセントのおき方 / 強調
accept	(喜んで)〈物〉を『受け取る』,〈事〉を受け入れる / 〈提案・決定など〉を受諾する,〈事態・運命など〉に従う;(特に)…にしかたなく同意する / 〈弁解・説明・理論など〉を『認める』,容認する / 〈責任・任務など〉を『引き受ける』 / 〈人〉を受け入れる,仲間(身内)に入れる / 〈手形〉を引き受ける
acceptability	受け入れられること,受容性
acceptable	受け入れられる,認められる;人に喜ばれる
acceptance	〈U〉受け取ること,認めること,受け入れられていること;同意 / 〈U〉(手形の)引受け;〈C〉引受済み手形
acceptation	(語句の)特定の意味,一般に受け入れられた意味
accepted	一般に認められた,受け入れられた
acceptor, accepter	受取人,受諾者 / 手形引受人
access	〈U〉(人・物・場所への)『接近』《+『to』+『名』》 / 〈C〉(…へ)接近する手段(方法)《+『to』+『名』》 / 〈U〉(…への)接近(入場)の権利(機会)《+『to』+『名』》 / 《an ~》《文》(病気の)突発;(怒り・激情の)爆発《+『of』+『名』》
accessary	(法律用語)従犯者,犯人隠匿者
accessibility	近づきやすさ,到達可能性 / (高齢者・障害者に対する)利用しやすさ,アクセシビリティ / (まれに)影響を受けやすいこと,感受性
accessible	(またget-at-able)近づきやすい,入りやすい,達しうる / 《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+『to』+『名』》
accession	〈U〉(…へ)到達すること,(地位への)即位,就任《+『to』+『名』》 / 〈U〉(…への)加入,加盟《+『to』+『名』》 / 〈C〉(…に)追加される物《+『to』+『名』》
accessory	《通例複数形で》(…への)『付属品』,アクセサリー《+『for』+『名』》 / (法律用語で)従犯者,犯人隠匿者 / 付属の / 従犯の
accidence	語形論,形態論(言語の語形変化など形態に関する学問)
accident	〈C〉『偶然』,偶発,めぐり合わせ / 〈C〉『事故』,災難
accident insurance	傷害保険
accident-prone	(普通の人より)事故を起こしやすい
accidental	『偶然の』,思いがけない / (音楽の)臨時記号
accidentally	偶然に,思いがけなく
acclaim	絶賛する / 喝采,称賛,絶賛
acclamation	〈C〉《複数形で》歓呼の声 / 〈U〉(賛成を表す)拍手,かっさい
