accustomed	慣れた,〜に慣れる
ace, Ace	(カード・ドミノ・さいころの)1,エース,Aの札 / (テニスなど球技で)サービスエース / 《話》(何かに)優れている人,ぴか一,エース;名撃墜手 / ぴか一の
acerb	《まれ》(味が)すっぱい,苦い,渋い / (ことば・態度が)厳しい,しんらつな
acerbate	…をすっぱく(苦く)する / …を怒らせる
acerbity	〈U〉渋味,にがさ / 〈U〉〈C〉辛らつさ
acetanilide	アセトアニリド(解熱・鎮痛剤)
acetate	酢酸(さくさん)塩;アセテート(酢酸人造絹糸)
acetic	酢の,すっぱい
acetic acid	酢酸
acetone	アセトン(揮発・可燃性液体;ペンキなどの溶剤として用いる)
acetonic	アセトンの
acetylcholine	アセチルコリン(神経を刺激し筋肉運動を起こす化合物)
acetylene	アセチレン[ガス]
acetylsalicylic acid	アセチルサリチル酸(aspirinの化学名)
ache	(継続的に鈍く)〈人が〉『痛みを感じる』,〈身体が〉痛む,うずく / 《話》切望する,心から願う / 《しばしば複合語を作って》(継続的な鈍い)『痛み』,うずき
achene	痩果(そうか)(タンポポ・キンポウゲの類の果実)
achievable	成就(じょうじゅ)(達成)できる
achieve	〈目標など〉を『達成する』,に到達する / 〈勝利・名声・地位など〉を獲得する,勝ち取る
achievement	〈U〉(…の)『成就』(じょうじゅ),達成《+『of』+『名』》 / 〈U〉『業績』,功績,達成されたこと
achievement test	学力検査
achoo	《米》《擬音語》くしゃみの音(=atchoo)
achromatic	無色の;色消しの
acid	酸性の / 酸味のある,すっぱい(sour) / (言葉・態度などが)厳しい,しんらつな / 酸 / すっぱいもの / 《俗》=LSD
acid rain	酸性雨
acid test	厳しい検査,吟味
acidhead	《米》《俗》LSDの常用者(俗語で侮蔑的なニュアンスを含む)
acidify	…をすっぱくする;…を酸性化する / 酸化する
acidity	酸味;酸度
acidosis	酸性症,酸中毒(血液中のアルカリ濃度が異常に低い状態)
acidulate	…をすっぱくする,酸性化する
acidulated	(特に菓子・飲物などが)酸味を帯びた
acidulous	(味が)多少すっぱい / (言動が)しんらつな
ack.	acknowledge / acknowledgment
ackack	《まれ》《通例複数形で》高射砲;対空砲火
acknowledge	〈人が〉…を『認める』,承認する / 〈手紙・贈物など〉を受け取ったことを知らせる / 〈親切など〉に礼を言う,感謝する
acknowledger	承認(認知)する人
acknowledgment, acknowledgement	〈U〉(…を)認めること,認めて感謝すること《+『of』+『名』》 / 〈C〉(手紙・贈物などの)受領の通知 / 〈U〉感謝,〈C〉感謝のしるし(言葉)
acme	《the ~》(…の)絶頂,極致(peak)《+『of』+『名』》
acne	にきび(pimple)
acolyte	(ローマカトリック教会の)侍祭 / (一般に)助手,補佐役;従者; (儀式での)侍者; 伴僧; 助手; 初心者
aconite	トリカブト(有毒性植物)
acorn	どんぐり(カシ・ナラなどの実)
