age group	《集合的に》同年齢層
age limit	停年,定年
age of consent	同意年齢;性的同意年齢(法的に性的な行為に同意する能力があるとみなされる最低年齢)
age-long	長年続いた
age-old	年を経た,古くからの
aged	《補語にのみ用い,数詞を伴って》…『歳の』 / (酒・チーズなどが)熟成した / 年とった
ageing	=aging
ageism	年齢差別,(特に)老人差別
ageless	不老の;永遠の
agency	〈C〉『代理店』,取扱店;周旋所;代理人 / 〈C〉(政府の)機関,庁 / 〈U〉(事の達成を助ける)力,働き,作用,手段 / 〈U〉仲介,尽力,世話
agenda	会議事項,議事日程;備忘録
agent	『代理人』;周旋人 / 働き(作用)を起こすもの;作用物,薬剤 / (政府機関,特にFBI,CIAなどの)部員,機関員
agent provocateur	(警察のしかけた)おとり
ageratum	カッコウアザミ(キク科の植物の一種)
agglomerate	…を固まりにする / 固まりになる / 固まった,塊状の / 固まり,球塊 / (溶岩が冷えて固まった)集塊岩
agglomeration	(寄り集まってできた)固まり,集塊
agglutinate	…を膠着(こうちゃく)させる / 膠着する
agglutination	膠着[状態];接着[作用]
agglutinative	膠着性の
agglutinin	凝集素(赤血球などの凝集反応を起こす抗体)
aggrandise	《英》(しばしば悪い意味で)(権力・富・地位などを)大きくする,増大させる
aggrandize	《米》(しばしば悪い意味で)(権力・富・地位などを)大きくする,増大させる
aggrandizement	(しばしば悪い意味で)(権力の)強化;(地位の)昇進;(大きさの)増大
aggrandizer	(権力・富・地位などを)強化拡大する人
aggravate	…をもっとひどくさせる,悪化させる;〈罪など〉を重くする / 《話》〈人〉をいらいらさせる,怒らせる
aggravating	いらいらさせる,怒らせる,悪化させる
aggravation	悪化,深刻化 / 〈C〉《話》腹立ちの原因
aggregate	…を集める / 総計(…に)なる《+『to』+『名』》 / 集まった,総計の / 集合体 / 〈U〉〈C〉(砂利など)骨材 / 《the ~》総計,総額
aggregation	〈U〉集合 / 〈C〉集合体,集団
aggression	〈U〉〈C〉(武力による他国への)侵略,攻撃 / 〈U〉〈C〉(他人の権利などへの)侵害
aggressive	侵略的な,攻撃的な / 積極的な,反対を恐れない
aggressor	侵略者,攻撃してくる者
aggrieve	〈人〉を不当に苦しめる,しいたげる / (法律用語で)〈人〉の権利(名誉)を侵害する
aggrieved	侮辱(虐待)された / (法律上の)権利を奪われた(犯された)
aghast	(…に)びっくりして,驚きあきれて《+『at』+『名』》
agile	(動作が)機敏な,すばやい / (頭脳の働きが)明敏な,回転の速い
agility	(動作または頭の働きの)機敏さ,明敏さ
aging	年をとること / (ワイン・チーズなどの)熟成
agitate	(激しく)〈液体など〉を『ゆする』,ゆり動かす;…をかき混ぜる / 〈人・世間・心〉を『かき乱す』,動揺させる / (政治・社会問題で)(…に反対(賛成)して)『扇動する』,アジる《+『against』(『for』)+『名』》
agitation	〈U〉(激しく)ゆり動かすこと,かき混ぜること / 〈U〉(心の)動揺 / 〈C〉〈U〉扇動,アジ
agitator	扇動家 / 撹拌(かくはん)器,かきまぜ器
agleam	きらめいて,輝いて
aglitter	きらきら輝く
aglow	(空などが)(…で)赤々と輝いて《+『with』+『名』》 / (興奮などで)赤らんで;(誇りなどに)燃えて《+『with』+『名』》
agnostic	不可知論者 / 不可知論の;不可知論者の
agnosticism	不可知論(人間には神や死後の世界のことについては知ることができないという説)
ago	《期間を表す語[句]の後に用いて》(今から)…『前に』 / 《longの後に用いて》『以前に』
agog	(期待・好奇心などで)興奮した,待ち構えて,熱望して(eager)《+『with』+『名』》 / 熱望して,興奮して,わくわくして
agogo	=go-go
agonize, agonise	苦しみもだえる,苦悶(くもん)する / 必死に努力する / …をもだえさせる,苦悶させる(torture)
agonized	苦しんでいる,苦悶の,もだえた
agonizing	苦悶の;悲痛な
agony	(長く激しい精神的・肉体的な)『苦悶』(くもん),苦痛 / (特別な感情の)激発;突発
agony column	(新聞の)人事広告欄(尋ね人・遺失物・離婚など)
agora	(古代ギリシアの)市民集会;(その)集会場,広場;市場
agoraphobia	広場(空間)恐怖症(広い場所にいることをこわがる神経症)
agoraphobic	広場(空間)恐怖症にかかった
agr.	agricultural / agriculture
agrarian	土地の,耕地の,農地の
agree	〈人が〉『意見が一致する』,合意する;『同意する』,賛成する / 〈物事が〉(…と)合致する,一致する《+『with』+『名』》 / (…と)いっしょにうまくやる《+『with』+『名』》 / (文章で)〈人称・性・数・格が〉一致する / …に意見が一致する,同意する
agreeable	『気持ちのよい』,快い / 《補語としてのみ用いて》(…に)かなった,快く応じる《+『to』(『with』)+『名』》
agreeably	気持ちよく,愉快に
agreed	一致した,同意した
agreement	〈U〉(意見・感情などの)(…についての)『一致』,調和,同意《+『on』(『upon,about,with』)+『名』(『wh-節・句』)》 / 〈C〉(2者以上の間で結ばれた)『協定』,協約 / 〈U〉(人称・性・格の)一致(concord)
agribusiness	農業関連産業(企業)
agricultural	『農業の』,農耕の;農学[上]の
agriculturalist	農業経営者;農業専門家
agriculture	『農業』,農学
agronomist	農学者
agronomy	作物学,農学(土壌管理と作物生産に関する科学)
aground	(船が)座礁して / (船が)座礁した
ague	マラリア熱,おこり / 寒け,悪寒
ah	『ああ』(悲しみ・嘆き・驚き・同情・喜び・得意・哀れみ・軽べつなどを表す声)
aha	ほほう,ほーら,どんなものだ(勝利感・得意・驚き・皮肉・軽べつなどを表す声)
ahchoo	=achoo (くしゃみの音)
ahead	(空間的に)『前方に』,前に(へ) / (時間的に)『前に』,先に / 他よりまさって
ahem	えへん(人の注意を引いたり,警告・疑いなどを表して,わざとするせき払いの声)
ahoy	おおい(船乗りが遠方に呼びかける声)
aid	…を『助ける』,援助する / 〈U〉『助力』,援助;(医者などの)手当て / 〈C〉(…の)助けとなるもの,援助者;助手(assistant)《+『to』+『名』》
aide	副官(aide-de-camp) / 補佐官,助手
aide-de-camp	副官
ail	〈慢性的・長期的な病気・心配ごとが〉…を苦しめる,悩ませる / (慢性・長期の)病気をしている
ailanthus	ニワウルシ(羽状の葉と緑色の小さな花を咲かせる)
aileron	補助翼
ailment	(通例重くない慢性的な)病気,不快
aim	(…に)〈銃・矢・ミサイルなど〉の『ねらいをつける』,を向ける,〈物〉をねらって投げつける《+『名』+『at』+『名』》 / (…に)〈批判・皮肉など〉を『向ける』《+『名』+『at』+『名』》 / (…を)『ねらう』,(…に)ねらいをつける《+『at』+『名』》 / 『目ざす』,目的とする / 〈U〉(銃などの)『照準』,ねらい / 〈C〉〈U〉『目的』,意図,ねらい
aimless	目的のない,あてのない
ain't	are notの短縮形 /am not, is notの短縮形 / has not, have notの短縮形
air	〈U〉『空気』,大気 / 《the ~》『空中』,空間,空(sky) / 《古》〈C〉そよ風,微風(breeze) / 《文》〈C〉(音楽の)ふし,旋律(melody) / 〈C〉様子,態度,風さい / 《複数形で》気どった様子 / 〈衣服など〉を空気にさらす,風にあてる / 〈部屋〉に風を通す / 〈うわさ・意見など〉を言いふらす
air cavalry	空挺部隊
air chief marshal	英空軍大将
air coach	低料金の普通旅客機(エコノミークラス) / 空港送迎バス
air commodore	英空軍准将
air conditioner	[室内]空気調節(冷暖房)装置
air corridor	航空路(特に国際協定によって設定されたもの)
air current	気流
air curtain	エアカーテン(室内の空気を気流の壁によって外気と遮断する装置)
air defense, air defence	防空
air force	〈U〉〈C〉空軍 / 《A- F-》米国空軍,英国空軍(正式にはthe United States Air Force, the Royal Air Forceという)
air freshener	部屋の香水(脱臭剤)
