air gun	空気銃(=air rifle)
air hammer	空気ハンマー
air hole	通風孔,(船室などの)風窓 / 《米》(川・湖の)氷上の穴 / (パンなどの中の)空洞
air letter	航空郵便の手紙(airmail letter) / (またaerogram[me])航空書簡
air map	(航空写真による)航空地図
air mass	気団(気温・湿度が一様な空気のかたまり)
air mattress	=airbed
air mile	空里,空路マイル(1.852km)
air other article	航空簡易包装物
air piracy	航空機乗っ取り
air pocket	エアポケット
air police	空軍憲兵隊(《略》AP)
air pressure	気圧(atmospheric pressure)
air raid	空襲 / 空襲の
air rifle	空気銃(特に銃身の内側にみぞのあるもの)
air sac	空気袋;(鳥・昆虫の)気嚢(のう)
air sea rescue	海上不時着水航空機の救助作業
air service	航空輸送サービス,航空運輸業
air strike	空襲,飛行機による攻撃
air taxi	エアタクシー(比較的近距離の都市を結んで乗客・郵便物などを運ぶ小型機)
air terminal	エアターミナル(空港内や空港近くの都市にある乗降客用の建物)
air to air	空対空の / 飛行中の両機間の
air vice marshal	英空軍の副将(Air Vice Marshal)
air-condition	〈建物・部屋など〉に空気調節(冷暖房)装置をつける,の空気を調節する
air-conditioned	空気調節(冷暖房)装置つきの
air-conditioning	(室内の)空気調節,冷暖房
air-cool	〈エンジンなど〉を空気で冷却する,に空冷装置を施す
air-cooled	(エンジンなどが)空冷式の
air-cooling	(エンジンなどの)空冷式
air-minded	(古風)飛行機や航空技術に対して関心や熱意を持っているさま(20世紀前半に航空が発展し始めた時代に用いられた表現)
airbag	エアバッグ(自動車事故けが防止装置;自動的に空気がはいってふくらむ)
airbase	空軍基地
airbed	空気ベッド
airbladder	(動植物の)気泡;(魚の)浮き袋
airborne	(花粉など)空気で運ばれる,風媒の / 空輸の / 飛行中の,飛んでいる
airbrake	エアブレーキ,空気制動機
airbrick	(部屋・建物の通気用)有孔れんが
airbrush	エアブラシ(ペンキ吹き付け用噴霧塗装器)
airbus	エアバス(定期便用大型旅客機)
aircraft	(一般に)航空機
aircraft carrier	航空母艦
aircraftman	《英》航空兵;航空機整備員
aircrew	航空機乗組員(操縦士・客室乗務員など)
aircushion	〈C〉空気座ぶとん / 〈U〉空気ばね;(hovercraftを浮上させる)噴射気流
airdrome	《米》=airport / 《英》=airfield1
airdrop	(パラシュートによる)空中投下 / (デジタルファイルを)無線で送信する行為
airfield	《米》小飛行場(《英》aerodrome) / (整備設備のない)飛行場,滑走路
airflow	(航空機・自動車が引き起こす)気流
airfoil	《おもに米》翼形,翼(《英》aerofoil)
airframe	(航空機・ロケットの)機体
airfreight	空輸貨物 / 貨物空輸[料金]
airhostess	スチュワーデス
airily	軽やかに;快活に,浮き浮きして
airing	空気にあてること,虫干し / 《単数形で》外出,散歩 / (知識・意見などの)公開,周知
airing cupboard	(衣類などの)乾燥用押し入れ
airless	風通しの悪い,むっとする / 風のない,空気のない
airlift	(特に災害など緊急時の)空輸;〈U〉〈C〉(空輸された)人員,物資
airline	航空会社 / 航空路線
airliner	(大型の)定期旅客機
airlock	エアロック,気閘(こう) / (潜水艦などの)気密室
airmail	『航空郵便』(の手紙)(また《英》air post) / 航空郵便の / 航空郵便で(by airmail) / …を航空便で送る
airman	飛行家,飛行士;航空兵
airmobile	(ヘリコプターを装備した)空挺部隊の
airplane	『飛行機』(《英》aeroplane)
airport	空港
airshaft	(鉱山・ビルなどの)通風孔
airship	飛行船
airsick	航空病にかかった,飛行機に酔った
airsickness	飛行機酔い,航空病
airspace	空積(部屋など密閉した中の空気の量) / 領空
airspeed	(飛行機の)対空速度,対気速度
airstrip	(通例一時的なまたは緊急時の)滑走路
airtight	空気を通さない,気密の / つけ入るすきのない,水ももらさぬ
airwaves	放送機関(ラジオ・テレビなど)
airway	〈C〉航空路 / 〈C〉(鉱山などの)通風路 / 《複数形》航空会社
airwoman	女流飛行家
airworthy	(航空機またはその部品が)航空に耐える,耐空性の
airy	風のよく通る(あたる) / (物が)軽やかな,ふんわりした;(動きが)軽やかな / 浮き浮きした,陽気な / 空想的な;非現実的な
aisle	(教会・劇場・列車・旅客機などの)座席間の通路 / 側廊(教会堂で本堂(nave)の両側にある通路)
aisle seat	(乗り物・劇場などの)通路側の席
aitch	H,hの字(音)
aitchbone	《英》(牛の)しり骨,しり肉
ajar	(戸・窓が)少し開いている,半開きの / 少し開いて,半開きで
akimbo	両手を腰に当てひじを張った / 両手を腰に当てひじを張って
akin	(…と)同じ家族の,血族の《+『to』+『名』》 / (…と)類似の,同類の《+『to』+『名』》
ala carte	メニューから選んだ(で),お好み一品料理の(で)
alabaster	雪花石膏(せっこう) / (雪花石膏のように)白くすべすべした
alack	(悲しみの叫びで)ああ
alacrity	敏活,機敏
alamode	現代流行の(して) / (デザートなど)アイスクリームをのせた(て)
alar	翼のある;翼の形をした
alarm	〈C〉『警報』;『警報器』 / 〈C〉警報装置 / 〈U〉(不意に危険を感じた時の)恐怖,驚愕(がく) / …に『警報する』,急を告げる / …を『怖がらせる』,おびえさせる(frighten)
alarm bell	警報ベル,警鐘,半鐘
alarm clock	目覚まし時計
alarming	不安を感じさせる,人を驚かせる,急を告げる
alarmist	(必要以上に)騒ぎ立てる人,過度に危険を恐れる人,過剰な警告を発する人
alas	ああ,あわれ(悲しみ・後悔などを表す声)
alb	アルバ(司祭がミサで着る祭服)
albatross	〈C〉アホウドリ
albeit	…にもかかわらず,たとえ…でも(although)
