albino	白子(しらこ)(皮膚の色素の欠けた人) / 白変種(色素の欠けた動植物)
album	(写真・切手・切り抜きなどを貼る)『アルバム』 / (いくつかの曲・劇などを収録した)組レコード,アルバム / 画帳
albumen	卵白 / (植物の種子の)胚乳(はいにゅう) / =albumin
albumin	アルブミン(蛋白質の一種)
alc.	alcohol
alcalde	(スペイン・米国南西部で)司法権を持つ市長
alcazar	(スペインを征服したムーア人の)城,要塞(ようさい);《A-》アルカザール宮(ムーア人歴代の王の宮殿)
alchemist	錬金術師
alchemy	錬金術(中世および文芸復興期に金属を黄金に変え,また不老長寿をもたらす物質の探究を目標とした術)
alcohol	『アルコール』,酒精 / 『アルコール飲料』,酒
alcoholic	アルコールの,アルコール性の / アルコールのはいった;アルコール漬けの / アルコール中毒の / アルコール中毒[患]者
alcoholism	アルコール中毒 / アルコール中毒症
alcove	(部屋の一部を切り込んだ)小部屋 / (床の間ふうの)壁の切り込み
ald.	alderman
aldehyde	アルデヒド(アルコールから抽出する有機化合物)
alder	ハンノキ(建築用落葉高木)
alderman	《英》(ある区・地域を代表する)市参事会員,市助役 / 《米》市会議員
ale	エール(色が薄いビールの一種;米国では普通のビールより苦くアルコール含有量の多いものをいう)
aleatory	偶然で決まる,偶然の
alee	(海事用語で)風下に(の)
alehouse	=public house
alembic	ランビキ(昔の蒸留器,浄化器)
alert	『油断のない』,用心深い / (頭の回転・動作などが)機敏な / (動作が)敏しょうな / 〈U〉《しばしばthe ~》警戒,用心 / 〈C〉警報;警報発令期間 / (…に対して)…に警報(警告)を出す,警戒態勢をとらせる《+『名』+『to』+『名』》
alewife	エールワイフ(北アメリカ東海岸に生息するニシン科の回遊魚) / 中世〜近世のイギリスなどで自家製エール(ビール)を醸造・販売していた女性
alexia	失読症(脳が冒され文字・文章が読めなくなる病気)
alfalfa	ムラサキウマゴヤシ(牛馬の牧草;紫色の花とクローバーに似た葉をつける)(また《英》lucerne)
alfresco	戸外で / 戸外の
alg.	algebra
alga	藻(も);《複数形で》藻(そう)類(海草などの隠花植物)
algae	藻類
algal	藻の,藻類の
algebra	『代数』[学]
algebraic	代数の,代数学上の
algebraist	代数学者
algorithm	アルゴリズム(問題解決のための手順や規則の集まり。最大公約数を求める互除法はその一例)
alias	別名では,偽名は / 別名,通称
alibi	アリバイ,現場不在証明 / 《話》いいわけ,口実 / (…について)言いわけをする《+『for』+『名』(do『ing』)》
alien	『外国の』,異国の;外国人の,在留外国人の / 《補語にのみ用いて》(…と)性質の異なる《+『from』(『to』)+『名』》 / 《補語にのみ用いて》(…と)相いれない,(…に)反する《+『to』+『名』》 / 異常な / (ある国に在住する)外国人,在留外国人;(citizenと区別して帰化してない)外国人
alienable	(法律上所有権を)譲渡できる
alienate	(…から)…を遠ざける,仲たがいさせる《+『名』+『from』+『名』》
alienation	遠ざける(ざかる)こと,疎遠,疎外
alienist	《古》精神病医(特に法廷での証言を専門とする)
alight	(…から)降りる《+『from』+『名』》 / 燃えて(burning) / (…で)輝いて,明るい(aglow)《+『with』+『名』》
align,aline	…を一列に並べる,整列させる / (…と)…を提携させる,連合させる《+『名』+『with』+『名』》 / 一列に並ぶ / (…と)提携する《+『with』+『名』》
alignment,alinement	整列 / 提携,連合
alike	『同じように』,等しく(similarly) / (複数の人・物が)似ている(similar)
aliment	食物(food);滋養物 / 扶養;扶養料
alimentary	栄養の;消化の
alimentary canal	(口から肛門(こうもん)までの)消化器官
alimony	《the ~》離婚手当,別居手当
aline	=align
aliquant	(数が)整除できない,割り切れない
alit	alightの過去・過去分詞
alive	『生きている』(living) / 《しばしば最上級の形容詞と共に》現存している / 活動している,有効である(active) / 生き生きした,活発な
alizarin	アリザリン(赤黄色染料で他の色の染料の合成に用いる)
alk.	alkali / alkaline
alkali	アルカリ,塩基
alkaline	アルカリの
alkalinize	…をアルカリ化する
alkaloid	アルカロイド(植物に含まれる窒素を含む塩基性物質)
alkyd resin	アルキド樹脂(接着剤・塗料に用いる)
all	《単数形,または数えられない名詞につけて》(ある一つのものについて,その)『全体の』,全…,…じゅう,…全体 / 《複数形につけて》(個々を一つにまとめて)『全部の』,すべての / 《複数形,または数えられない名詞につけて》(ある全体の中の)いずれの,およそどの,あらゆる / 《数えられない名詞につけて》できる限りの,最大の / 《単数扱い》(物事について)『全部』,全体,すべて / 《複数扱い》『全員』,みんな / いっさいの所有物,いっさいがっさい / 『すっかり』,『全く』,もっぱら / 《all the+比較級の形で》かえって,いっそう / どちらも,双方とも
all clear	(通例サイレンによる)[空襲]警報解除
all fired	《おもに米・話》ひどい,極端な,過度の / 極端に,過度に
all get out	次の句で用いる:as all get-out 最大限に
all-American	全米代表の / もっともアメリカ的な / 全米代表選手
all-around	多才な,万能の / 多くの目的にかなう
all-day	終日の,まる1日かかる
all-important	きわめて重要な
all-in	すべてをひっくるめた / (レスリングで)フリースタイルの
all-night	徹夜の,終夜の / 終夜営業の
all-out	総力をあげての,徹底的な
all-powerful	全能の
all-purpose	あらゆる目的に使用できる,万能の
all-round	=all-around
all-star	花形スター総出演の,花形選手総出場の
all-time	かつてない,前代未聞の / =full-time
allay	〈怒り・興奮・心配など〉を静める,和らげる / 〈痛み〉を軽くする
allegation	(十分な証拠を持たない)主張,申し立て
allege	(十分な証拠なしに,また理由・弁解として)…を主張する,申し立てる
alleged	申し立てられた,疑いをかけられた
allegedly	申し立てによれば,伝えられるところでは
alleger	申立て人,陳述者
allegiance	(支配者・国家などに対しての)忠誠,忠節;献身《+『to』+『名』》
allegorical	寓意の,たとえ話の
allegory	寓意;寓意物語,たとえ話
allegretto	(音楽の演奏の指示で)やや急速に(な) / アレグレット,やや急速な調子の楽章
allegro	(音楽の演奏の指示で)急速に(な) / アレグロ
allele	対立遺伝子(通例突然変異によって生じる)
alleluia	=hallelujah
allergic	アレルギー性の;(…に)アレルギーを起こす《+『to』+『名』》 / 《補語にのみ用いて》《話》(…に)神経過敏の,(…が)大きらいの《+『to』+『名』(do『ing)』》
allergist	アレルギー性疾患専門医
allergy	アレルギー,異常過敏症
alleviate	(一時的に)〈苦痛・苦悩など〉を軽減する,楽にする
alleviation	(苦痛・苦悩などの)軽減,緩和《+『of』+『名』》;〈C〉緩和するもの
alley	小路(こうじ),路地 / (公園・森,植込み・花壇の間などの)小道 / 《米》裏通り / (ボウリングなどの)レーン;《複数形で》ボウリング場 / はじき玉
alley cat	《米》(雑種の)のら猫
alleyway	(ビルの間の)横丁,路地
alliance	〈U〉〈C〉(国家間の)同盟,協定;〈C〉同盟国 / 〈U〉〈C〉(個人・組織間の)協力,提携 / 〈U〉〈C〉(…との)縁組み,姻戚関係;交友《+『with』+『名』》
allied	同盟した,連合した / 関連した,同類の
