alligator	〈C〉(米国・中国産の)ワニ / 〈U〉ワニ皮
alligator pear	=avocado
alliterate	頭韻を踏む;頭韻を用いる / …に頭韻を踏ませる
alliteration	頭韻,頭声[法](韻律で,Care killed the cat.のように同じ音,まれに同じ文字で始まる語を2回以上繰り返すこと)
alliterative	頭韻の,頭韻体の
allocate	(…に)…を配分する,割り当てる《+『名』+『to』(『for』)+『名』》
allocation	(…への)割り当て,配置;〈C〉割り当て額(量)《+『to』(『for』)+『名』》
allopathy	逆症療法(治療中の症状とは異なる症状を起こす薬剤を用いる治療法)
allot	(人・物に)…を『割り当てる』,充当する《+『名』+『to』(『for』)+『名』(do『ing』)》
allotment	〈U〉割り当て;〈C〉分け前 / 〈C〉《英》分割貸与農地
allotropy	同素体,同質異形(同じ元素が異なる物質を構成する)
allover	全面にわたる
allow	〈事〉を『許す』,〈人〉に許可を与える / 〈金〉を与える,やる / (…のために)…を用意しておく,見越しておく《+『名』+『for』+『名』(do『ing』)》 / 《まれ》…を認める
allowable	許される
allowance	『割り当て』;(定期的な)手当,こづかい / 値引き,割引き
alloy	(…と)…を合金にする《+『名』+『with』+『名』》 / 《文》(…で)〈純粋さ・価値など〉をそこなう,だいなしにする《+『名』+『with』+『名』》 / 合金 / (金・銀の)品位,純度 / 混ぜ物
allspice	オールスパイス(熱帯アメリカ産の低木;その実から香辛料をとる)
allude	《文》(文や話の中で)(…のことを)『ほのめかす』,それとなく言う《+『to』+『名』(do『ing』)》
allure	人を誘惑する,魅了する
allurement	〈U〉そそのかし,誘惑 / 〈C〉誘惑する物(事)
alluring	誘惑する;魅惑的な(attractive)
allusion	(…の)ほのめかし,あてつけ;(…の)引喩(いんゆ)《+『to』+『名』》
allusive	暗示的な;(…を)暗示する《+『to』+『名』》
alluvial	(地質の時代の)沖積の
alluvium	沖積層,沖積土(河川によって運ばれてきた地層)
ally	(…と)…を『同盟』(連合)『させる』《+『名』+『with』(『to』)+『名』》 / 同盟国 / 味方
alma mater	《時にA- M-》母校[養母の意味のラテン語から]
almanac,almanack	暦;年鑑(単なる暦ではなく日の出・日の入り,年間予想天気などが書かれたもの)
almandine	アルマンディン;鉄礬柘榴石(てつばんざくろいし)
almighty	全能の / 《the A-》全能の神(God)
almond	アーモンドの木(実)(その果実の核の中にある仁(じん)は食用される)
almond-eyed	(特に東洋人の)細長い目をした
almoner	《英》(病院の)社会医療事務職員
almost	『ほとんど』,たいてい(nearly)
alms	施し物,義援金
almshouse	《おもに英》救貧院,養老院
aloe	アロエ,ロカイ(南アフリカ原産の薬用・観賞用のユリ科の植物) / 《米》リュウゼツラン(American aloe) / 《複数形で》《単数扱い》沈香(じんこう)(香料)
aloft	空中高く,上に / マストの頂上に
aloha	愛(love),愛情(affection) / あいさつ(greetings) / ようこそ;さようなら
alone	『ひとりで』,一つで,単独で;ただ…だけで / 《名詞・代名詞のすぐ後に用いて》ただ…だけ(only)
along	『…をたどって』,…に沿って / …の間に(during),…の途上で / 『沿って』,並んで / 《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って
alongshore	海岸に沿った,磯(いそ)伝いの / 海岸沿いに
alongside	そばに,並んで / …のそばに,と並んで
aloof	遠ざかって,離れて(apart) / 関心のない;打ち解けない
alopecia	脱毛症
aloud	声を出して / 大声で(loudly)
alp	高山,高峰
alpaca	〈C〉アルパカ(南米の羊に似た動物) / 〈U〉アルパカの毛;その織物
alpenhorn	アルペンホーン(スイスの牛飼い用の長い木笛)
alpenstock	アルペンストック,登山づえ
alpha	アルファ(ギリシア語アルファベットの第1字Α,α;英語のA,aに相当) / アルファ星(星座の主星)
alpha particle	アルファ粒子(核分裂の際に放出する)
alpha ray	アルファ線(原子核分裂のときのアルファ粒子(alpha particle)の流れ)
alpha rhythm	アルファリズム(脳波の波形のこと)
alphabet	〈C〉アルファベット(言語の音声を表す記号の体系をいい,現代英語ではaからzまでの26文字の総称)[ギリシア語のα(alpha),β(beta)からきた語] / 《the ~》初歩,いろは
alphabetical	アルファベット順の,ABC順の
alphabetical directory	ABC順の電話番号簿
alphabetically	アルファベット順に
alphabetize	…をアルファベット順に並べる / …をアルファベットで表す
alphanumeric	(電算機の記号が)文字・数字両用の
already	《肯定文で》『もう』,『すでに』 / 《驚き・意外の意を表して》《疑問文で》もう,早くも;《否定文で》まさか
alright	=all right
also	…『もまた』(too),やはり / そしてその上,それから
also-ran	(競馬で)着外の馬 / 落選候補者;落伍者
alt.	alternate / altitude / alto
altar	祭壇,聖餐(せいさん)台
altar boy	侍者(ローマカトリックの礼拝式で司祭を補助する少年)
altarpiece	(祭壇の背後・上部の)絵画,装飾
alter	(形・性質などの点で)…を変える,改める / 変わる,改まる
alter ego	(自分の)分身,親友
alterable	変えられる,改められる
alteration	(部分的な)変更,改造;服の寸法直し
altercation	口論,激論
alternate	『交互の』,かわるがわるの / 一つおきの(every other) / 代わりの,どれか一つの / 《米》代わり[の人](substitute) / 〈両者が〉交替する;(…と)交替する,互い違いになる《+『with』+『名』》 / …を交互にさせる
alternately	かわるがわる,交互に
alternating	交互の
alternating current	(電気の)交流
alternation	互い違い,交互,交替
alternative	(二つのうち)『どちらかを選ぶべき』,二者択一の / 代わりの / 反体制的な,現在の社会と違った価値体系を持った / 二つのものの一つを選ぶこと,二者択一 / (二者のうち)選ぶべき一方 / 代わりのもの;他にとりうる方法
alternator	交流発電機
although	…『ではあるが』,…とはいいながら,…だが(though)
altimeter	(航空機の)高度計
altitude	〈U〉『高さ』(height) / 〈C〉標高,海抜(かいばつ) / 《しばしば複数形で》高所;高い地位 / 〈U〉〈C〉(三角形などの底辺からの)高さ;(天体の)高度,高角
alto	〈U〉アルト,中高音(おもに女性の最低音;以前は男性の高音も意味した) / 〈C〉アルト歌手;アルト音域の楽器 / アルトの
altogether	『まったく』,全然(entirely) / 『全部で』,何もかもひっくるめて(in all) / 全体から見て,概して
altruism	利他(愛他)主義
altruist	利他(愛他)主義者
altruistic	利他主義的
altruistically	利他的に
alum	みょうばん(明礬)
alumina	アルミナ,礬土(ばんど),酸化アルミニウム
aluminium	《英》=aluminum
aluminize,aluminise	…をアルミニウムで処理する
aluminum	《米》アルミニウム(金属元素の一つ;化学記号は『Al』;《英》 aluminium)
alumna	《米》女子卒業生《形容詞的に》『alumnae association』{名}〈C〉(女子大学などの)同窓会
alumnae	alumnaの複数形
alumni	alumnusの複数形
alumnus	《米》(特に男子の)卒業生,同窓生
alveolar	歯茎音の(舌先を上歯茎にふれて発音する) / 肺胞の;歯槽(しそう)の / 歯茎音
always	『いつも』,常に / いつまでも,永久に(forever) / 《話》いずれにしても,必要なら
