alyssum	ニワナズナ(白・黄色の花をつける雑草)
am	be動詞の一人称単数,直説法,現在形
amah	(東洋諸国で)子もり,うば;女中,お手伝い
amalgam	〈U〉アマルガム(水銀と他の金属の合金) / 〈C〉(一般に)混合物
amalgamate	〈金属〉を水銀との合金にする / 〈会社など〉を合同する,合併する / (…と)〈思想・種族など〉を混和する,融合する《+『名』+『with』+『名』》 / 水銀との合金になる / 合同(合併)する;混和(融合)する
amalgamation	水銀との合金化 / (会社などの)合同,合併;(思想・種族などの)混和,融合
amanuensis	筆記者,筆耕,写字生
amaranth	〈C〉(伝説の)不死の花 / ハゲイトウ(色彩的な葉のヒユ属の植物)
amaranthine	ハゲイトウの[ような] / 赤紫色の
amaryllis	アマリリス(大きなユリに似た球根植物)
amass	…をためる,蓄える
amateur	(専門家に対して)アマチュア,しろうと / 愛好者,ファン / 未熟者,未経験者 / アマチュアの,しろうとの
amateurish	しろうとくさい,しろうとらしい,未熟な
amateurism	アマチュア精神;しろうと芸
amative	多情な,好色の
amatory	恋愛の;好色な
amaze	…を『ひどくびっくりさせる』,驚きあきれさせる
amazed	びっくりぎょうてんした,驚きあきれた
amazement	『たいへんな驚き』,びっくりぎょうてん(astonishment)
amazing	驚くべき,びっくりさせるような
amb.	ambassador
ambassador	『大使』
ambassadorial	大使の;使節の,特使の
ambassadress	女性大使
amber	こはく(琥珀)(宝石に用いる黄褐色の鉱石) / こはく色 / こはく製の / こはく色の
ambergris	リュウゼン香(マッコウクジラから得られる香料)
ambidexterity	両手きき / 二枚舌
ambidextrous	両利きの,両手が同じように使える / 二枚舌の,二重の
ambience	周囲の様子,雰囲気,環境
ambient	周囲の,周りの,取り巻いている
ambiguity	(意味の)あいまいさ,不明りょうさ;〈C〉あいまいな表現(語句)
ambiguous	(意味が)いろいろな意味にとれる,多義の / (正体などが)はっきりしない;(輪郭などが)ぼんやりとした,おぼろげな
ambit	周囲 / 勢力範囲
ambition	『大望』,野心,野望 / 〈C〉大望(野心)の対象(目的)
ambitious	『大望を抱いた』,野心のある,大志を抱いた / (仕事・計画などが)野心的な,大がかりな;(悪い意味で)大げさな,高望みの
ambitiously	野心的に
ambivalence	心の不安定 / 反対感情両立(同一対象に対して二つの相反する感情を持つ心理状態)
ambivalent	二重傾向のある;(人・物に対して)相反する感情を持つ《+『towards』(『about』)+『名』(do『ing』)》
ambivert	両向性格の人(外向性と内向性の中間)
amble	アンブル,側対歩(馬が片側の両脚を同時に上げて進むゆるやかな歩調) / のんびりした歩き方,ゆっくりした足どり;ぶらつき,散歩 / 〈馬が〉アンブルで歩む / 〈人が〉ゆっくり(ぶらぶら)歩く《+『about』(『around』)》
ambrosia	(ギリシア神話で不老不死になるという)神の食物,神酒 / 《文》非常に美味な物,珍味
ambrosial	(ambrosiaのように)非常に美味な,かんばしい
ambulance	救急車
ambulant	巡回する,動き回る / (患者が)歩行可能な,外来の
ambulate	歩き(動き)まわる
ambulatory	(患者が)歩行できる,外来の / 歩行に適した / 歩き(動き)回る / (遺言など)変更(取り消し)できる / (僧院の)回廊,歩廊
ambush	〈C〉〈U〉待ち伏せ / 〈C〉待ち伏せ場所(地点) / 〈C〉伏兵,待ち伏せの一隊 / …を待ち伏せる,待ち伏せて襲う
ameba, amoeba	アメーバ(単細胞動物)
amebic, amoebic	アメーバ[性]の
ameliorate	…を改善する / 改まる
amelioration	改善,改良
amen	アーメン(ヘブライ語でcertainly(たしかに)の意.ギリシア語,ラテン語を通して英語にはいってきたもので,「そうなってください」(So be it!またはMay it be so!)という意味.キリスト教徒はお祈りや賛美歌のあとにとなえる)
amenable	すなおな,従順な;(…を)すなおに受け入れる《+『to』+『名』》 / 《補語にのみ用いて》(…に)従うべき,責任を負うべき《+『to』+『名』》
amend	…を『改める』,改良する / (正式に)〈議案など〉を修正する,改正する / 品行を改める,行いを良くする
amendment	修正,改正;改心;〈C〉修正案
amends	賠償,償い,埋め合わせ
amenity	《the amenities》礼儀正しい行為(言葉) / 〈U〉〈C〉快適さ,ここちよさ;楽しさ
americium	アメリシウム(人工放射性元素;化学記号Am)
amethyst	〈U〉紫水晶,紫石英;〈C〉その宝石 / 〈U〉紫色(purple)
amiability	感じのよさ;気だての優しさ;温和;温厚
amiable	(人物・性格が)感じのよい,好感のもてる,気だてのいい
amiably	感じよく;あいそよく
amicability	友好,親善
amicable	(態度・協定などが)友好的な(friendly),平和的な
amicably	友好的に,平和に
amid	…の中に;…のまっさい中に
amide	アミド[基化物]
amidships	船(航空機)の中央部に(で)
amidst	《文》=amid
amigo	友人
amino acid	アミノ酸
amir	=emir
amiss	誤った,不都合な;《否定文で》場違いの / 間違って,ぐあい悪く
amity	(人・国などの間の)親善,友好,親和
ammeter	電流計
ammo	=ammunition
ammonia	アンモニア / アンモニア水(ammonia water)
ammonite	アンモン貝,アンモナイト
ammonium	アンモニウム,アンモニア塩基
ammonium chloride	塩化アンモニウム(乾電池用,また痰(たん)を取る薬に用いる)
ammonium hydroxide	水酸化アンモニウム
ammunition	〈U〉《集合的に》弾薬
amnesia	記憶喪失症,健忘症
amnesty	(おもに政治犯に対する)恩赦,特赦
amniocentesis	羊水採取(胎児の性別・染色体異常診断のために羊水を調べる方法)
amoeba	=ameba
amoebic	=amebic
amoeboid	アメーバ状の
amok	狂ったように暴れ回る、手がつけられないほど暴走する / 錯乱状態の,暴走した / (システムが)暴走する / マレー語の「amuk(興奮して暴れる)」に由来
among	…『の間に』,に囲まれて / 《おもに最上級と共に》…『の中の一つ』(『一人』)『で』,のうちに数えられて / 《分配を表す動詞と共に》…『の間で』,めいめいに / …がいっしょになって,が協力して
amongst	=among
amoral	道徳に関係のない(nonmoral) / 道徳意識(道徳的な判断力)を持たない
amorality	超道徳性;道徳意識の欠如,不道徳
amorous	好色な,多情な / 恋の,恋愛の / なまめかしい,色っぽい
amorphous	形のない,無定形の / (鉱物・化合物が)非結晶の
amortize,amortise	〈抵当・負債など〉を清算する;(特に減債基金で)…を償却する
amount	〈計算・金額が〉『総計』(…に)『なる』,(…に)のぼる《+『to』+『名』》 / 〈事が〉結局(…に)なる,(…に)等しい《+『to』+『名』》 / 〈U〉《the ~》『総計』,総額,総数(sum) / (ある)『量』,額 / 〈U〉真意;要旨
amour	(特に人目をはばかる)恋愛,情事
amp.	ampere[s] / amperage / amplifier
amperage	(電気の)アンペア数,電流量(《略》amp.)
