ampere	アンペア(電流の強さの単位;《略》amp.)
ampere meter	=ammeter
ampersand	アンパーサンド(&(=and)の記号のこと)
amphetamine	アンフェタミン(中枢神経刺激剤)
amphibian	両生類の / =amphibious / 両生動物(植物) / 水陸両用飛行機(戦車)
amphibious	水陸両生の / (またamphibian)水陸両用の / (海から陸上の敵に対する)陸海空共同作戦の
amphibole	角閃石(カルシウム・マグネシウムを含む鉱物)
amphitheater, amphitheatre	(古代ローマの)円形劇場(中央に設けた闘技場(arena)のまわりにひな壇式の観覧席があった) / 階段席のある部屋;(半円形の)階段教室(lecture theater);(階段教室に似た病院の)手術室(operating theater)
amphora	(古代ローマ・ギリシアの)両取っ手つき壷(つぼ)
ampicillin	アンピシリン(ペニシリンに似た抗生物質)
ample	広い,広々とした / 《数えられない名詞・複数名詞の前に用いて》『十分な』(enough),あり余るほどたくさんの(abundant) / ふくよかな,豊満な(full)
amplification	拡大,拡張,増大 / (電気の)増幅;(レンズの)倍率
amplifier	(電気の)増幅器,アンプ(電力の振幅を大きくする)
amplify	…を拡大する,さらに加える / 〈電流〉を増幅する / (…について)長々と述べる《+『on』(『upon』)+『名』》
amplitude	広さ,大きさ / 十分,豊富 / (振子の)最大振幅;(電波・音波などの)振幅
amplitude modulation	(電波の)振幅変調[放送],AM放送(《略》AM,A.M.)
amply	広々と,広く / 豊富に,十分に(fully)
ampule	(注射液を入れる)アンプル
amputate	〈手足など〉を外科手術で切断する / 切断する
amputation	(手足などの)切断[手術]
amputee	(切断手術で)手足を失った人
amt.	amount
amu.	atomic mass unit 原子質量単位
amuck	アモク 《急に興奮して殺人を犯す精神障害; 元来マレー人特有のものとされた》/ 殺気立って[た]; 怒り狂って[た].
amulet	お守り,魔よけ
amuse	(…で)〈人,自分自身〉を『楽しませる』,おかしがらせる《+『名』+『with』+『名』,+『名』+『by』 do『ing』》
amused	おもしろがった
amusement	〈U〉『楽しみ』,慰み,おかしさ / 〈C〉『楽しみごと』,娯楽
amusement arcade	ゲームセンター(硬貨を入れてゲームする機械のある部屋)
amusement park	遊園地(《英》funfair)
amusing	『おもしろい』,おかしい,楽しい
amusingly	おもしろく,おかしく
amylase	アミラーゼ(でんぷん糖化酵素)
an	(次にくる語の発音が母音で始まるときに用いる)不定冠詞,一つの,一組の
anabolism	(生物の)同化作用
anachronism	〈U〉〈C〉時代錯誤 / 〈C〉時代おくれの人(物)
anachronistic	年代を取り違えた,時代錯誤の / 時代おくれの
anaconda	アナコンダ(7‐8m以上になる南米産の大ヘビ) / (一般に)大ヘビ
anadem	(頭に飾る)花輪,花かずら
anaemia	=anemia
anaemic	=anemic
anaerobe	嫌(けん)気性生物(空気・遊離酸素を必要としない細菌類)
anaerobic	嫌気性の
anaesthesia	=anesthesia
anaesthetic	=anesthetic
anaesthetist	=anesthetist
anagram	〈C〉文字のつづりかえ(lived→devilのように文字を置き換えて新しい語句を作る) / 《複数形で》《単数扱い》文字のつづりかえ遊び
anal	肛門(こうもん)(anus)の
analgesia	無痛覚[症]
analgesic	鎮痛の / 鎮痛剤
analogize	類推する / (…と)類似している《+『with』(『to』)+『名』》 / …を類推する
analogous	類似の,相似;(…に)類似の《+『to』(『with』)+『名』》
analogue computer	アナログ計算機(数量を長さ・電圧などにかえて表現する)
