android	人造人間
anecdotal	逸話の;逸話の多い
anecdote	逸話,奇談
anechoic	(録音室・スタジオなどが)反響のない,無響の
anemia,anaemia	貧血,貧血症
anemic,anaemic	貧血の,貧血症の
anemometer	風力計,風速計
anemone	アネモネ / =sea anemone
anent	…について,に関して
aneroid barometer	アネロイド晴雨[気圧]計(金属の弾性を利用した計器)
anesthesia,anaesthesia	麻酔 / 感覚まひ[症状],無感覚症
anesthesiology	麻酔学
anesthetic,anaesthetic	麻酔の;感覚がまひした / 麻酔薬(剤)
anesthetist,anaesthetist	麻酔専門医;(手術の)麻酔担当看護婦
anesthetize,anaesthetise	…に麻酔をかける
aneurysm	動脈瘤(りゅう)
anew	《文》新たに,再び
angel	『天使』 / (美しさ・親切さなどで)天使のような人 / 守護神,守り神
angel food cake	エンゼルケーキ(卵の白身を原料とする一種のカステラ)
angelfish	エンゼルフィッシュ(観賞用熱帯魚の一種)
angelic, angelical	天使の;天使のような
angelica	アンゼリカ(芳香ある植物;茎が食用で根は薬用) / 《『A-』》米国カリフォルニア産白ぶどう酒
anger	『怒り』,立腹 / …をおこらせる(make angry) / おこる(become angry)
angina	アンギナ(のどの炎症に関する諸病気) / =angina pectoris
angina pectoris	狭心症
angiosperm	被子植物
angle	『かど』,すみ(corner) / 『角』,角度 / 《話》(ものを見る)角度,観点(point of view) / …をある角度に動かす(向ける,曲げる) / …をある角度から見る / (楽しみとして)魚釣りをする;(魚を)釣る《+『for』+『名』》
angle bracket	(たなを支える)角ブラケット,L字型腕金 / 〈 〉型のかっこ(文章などに使用する)
angle iron	アングル[鉄](L字形の鉄材で鉄骨の継ぎ手・補強材として用いる)
angler	(職業としてでなく楽しみに)魚釣りをする人 / アンコウ(頭に発光体を持つ海水魚)
angleworm	(釣りのえさにする)ミミズ(earthworm)
angling	魚釣り(fishing)
angostura	アンゴスツラビターズ(南米産の木の皮から作り,アルコールの香料に用いる)
angrily	おこって,腹を立てて
angry	『おこった』,腹を立てた / (海・波・風などが)おこったような,激しい / (傷が)炎症を起こした
angst	(ばく然とした)不安
angstrom unit	オングストローム(1ミリメートルの1000万分の1で短波長の測定単位;《略》A,《記号》A)
anguish	(…に対する)(心身の)『激しい苦しみ』,苦悶(くもん)《+『over』+『名』》 / …に苦悶させる / (…に)苦悶する《+『over』+『名』》
anguished	苦悩に満ちた
angular	かどのある,とがった / かどから成る;かどを成す;角度で測った / 骨ばった,やせこけた / (態度が)ぎこちない,堅苦しい
angularity	〈U〉かどのあること / 〈U〉やせて骨ばっていること / 〈U〉ぎこちなさ;がんこさ / 《複数形で》かど,ぎざぎざ
anhydride	無水化合物,酸無水物
anhydrous	(化合物が)無水の,結晶水のない
anile	老婆の[ような];もうろくした
aniline,anilin	アニリン(染料・合成樹脂の原料)
animadversion	(…についての)悪意のある批評,酷評,非難《+『on』(『upon』)+『名』》
animadvert	(…について)悪意のある批評をする,酷評する,非難する《+『on』(『upon』)+『名』》
animal	(植物に対して)『動物』 / (人間以外の)『動物』,けだもの / (魚・鳥などに対して)哺乳動物(mammal) / けだもの(野獣)のような人 / (比較変化なし)《名詞の前にのみ用いて》動物の,動物性の,動物質の / (知的・精神的に対して)動物的な;肉欲的な
animal husbandry	《米》畜産学
animal kingdom	動物界
animal starch	動物デンプン(動物体内で貯蔵される多糖類)
animalcule	(肉眼ではほとんど見られない)極微動物
animalism	獣性;獣欲主義 / 人間動物説(人間の霊性を否定する説)
animate	…に生命を吹き込む,生命を与える / …を活気づける,生き生きさせる / …を励ます;…に駆りたてる / 生きた,生命のある(living) / 生気に満ちた,活気のある(vigorous)
animated	生き生きとした,活発な / 生きているように動く(作られた)
animated cartoon	漫画映画,動画
animation	〈U〉活気,生気,活発 / 〈U〉漫画(動画)製作 / 〈C〉漫画映画,動画(cartoon)
animato	(音楽の演奏の指示で)活発な(に),元気のよい(よく)
animator	動画家,漫画映画の作画家
animism	アニミズム(自然物・自然現象などに霊魂があるとする信仰) / 精霊説(人および物の活動はすべて霊の力によるとする信仰)
animist	アニミズム(精霊説)論者
animosity	(…に対する)敵意,憎しみ《+『against』(『toward』,『to』)+『名』》,(…間の)嫌悪,反目《+『between』+『名』》
animus	(…に対する)敵意,憎しみ《+『against』+『名』》
anion	陰イオン
anis	アニス酒(aniseedで味をつける)
anise	アニス(地中海沿岸産のセリ科の草;実は香味料)
aniseed	アニシード(アニスの実;芳香がありアルコール飲料に用いる)
anisette	アニス入りのリキュール酒
ankh	(エジプト美術で)輪つき十字形(生殖・長寿の象徴)
ankle	『足首』,くるぶし
anklebone	距骨(きょこつ)(くるぶしの骨)
anklet	《通例複数形で》足首までの短い婦人用のソックス / 足首につける飾り輪
ann.	annals / annual / annuity
annalist	年代記の編者
annals	年代記,年譜 / (一般に)歴史的な記録 / (学会などの)年報,紀要
anneal	(ひずみの防止のため)〈金属・ガラス〉を焼き入れする / 〈精神など〉を強くする,鍛える
annelid	環形動物(ミミズなど) / 環形動物の
annex	(…に)〈さらに大きな物〉を付け加える,添える《+『名』+『to』+『名』》 / (…に)〈領土・会社など〉を併合する《+『名』+『to』+『名』》 / 《話》〈他人の物〉を失敬する / (…への)付加物;建て増し,(…の)別館《+『to』+『名』》 / (…の)付属文書(書類),付録《+『to』+『名』》
annexation	〈U〉付加;〈C〉付加物 / 〈U〉併合,合併;〈C〉併合地,新領土
annexe	=annex
annihilate	…を全滅させる,絶滅させる,滅ぼす(destroy completely)
annihilation	全滅,絶滅
anniversary	(年ごとの)『記念日』,記念祭 / 記念日の
anno Domini	西暦紀元(in the year of our Lordの意味;《略》A.D.,AD)
annotate	〈本など〉に注釈する,注をつける / (…について)注釈する《+『on』+『名』》
annotation	注釈,注
announce	…を『発表する』,公表する / …の来訪(到着,出席)を大声で告げる;〈食事〉の用意ができたことを大声で知らせる / 〈物事が〉…を示す / (ラジオ・テレビで)〈試合など〉のアナウンスをする / アナウンサーとして勤める(働く)
announcement	『発表』,公表;披露(ひろう);布告,告示
announcer	知らせる人,告知者 / (ラジオ・テレビの)『アナウンサー』
annoy	《しばしば受動態で》〈物事が〉…を『困らせる』,悩ませる,いらいらさせる
annoyance	〈U〉困惑,迷惑,いらだたしさ / 〈C〉困らせる(いらいらさせる)人(物,事)
annoying	迷惑な,うるさい
annual	『1年の』,1年間の / 年々の,例年の / 1年1回の,(雑誌など)年刊の / (植物が)1年生の / 年報,年鑑(yearbook);年1回の行事 / 1年生植物
annual ring	(木の)年輪
annually	年々,毎年 / 年に1回
annuitant	年金受領者
annuity	年金,年賦金
annul	〈法律など〉を無効にする;〈命令など〉を取り消す(cancel)
annular	《文》環状の
annular eclipse	金環食
