annulment	取り消し,無効;婚姻無効
annulus	環(ring);環形のもの / (幾何で)環形 / (シダ類の胞子のうちの)環帯;(動物の)体環
annunciate	=announce
annunciation	《the ~》受胎告知(天使Gabrielが聖母マリアにキリストの受胎を告げたこと) / お告げの祭り(3月25日)
annunciator	《米》呼び出し表示器(ブザーが鳴ってどの部屋が呼んでいるかを示す;ホテルなどで用いる)
anode	(電気の)陽極(positive pole)
anodize	〈金属〉を陽極酸化する(電解で酸化皮膜をつけること)
anodyne	鎮痛剤
anoint	(宗教の儀式として)…に油を注いで清める / (油などを)…に塗る《+『名』+with+『名』》
anointment	(教会の聖式での)塗油;(塗油による)聖別[式]
anomalous	変則的な(irregular) / 異常な(abnormal)
anomalous verb	変則動詞(be,have,do,shall,will,mayなど不規則変化をする動詞・助動詞)
anomaly	〈U〉〈C〉変則,例外;異常 / 〈C〉変則的な事態,異例な人(物)
anomie, anomy	(社会の価値体系が崩壊した)無秩序状態
anon	《古・詩》ほどなく,やがて / いつか,そのうちに / すぐさま
anon.	anonymous / anonymously
anonymity	匿名(とくめい),無名
anonymous	作者不明の / 名を伏せた,匿名の / 名もない,人に知られていない
anopheles	ハマダラカ(マラリアを媒介する蚊の一種)
anorak	アノラック(ずきんのついた防寒用のジャケット)
anorexia	(神経性の)食欲減退(不振)
another	『もう一つの』,『もう一人の』 / 『別の』,ほかの(different) / 『もう一つ』,『もう一人』 / 『別のもの(人)』,違ったもの(人) / 似たもの,同類
answer	(質問・要求に対する)『答え』,回答(reply),(手紙に対する)返事《+『to』+『名』》 / (…に対する)『応報』,応答,仕返し《+『to』+『名』》 / (問題に対する)解答,正解《+『to』+『名』》 / (一般に)(…に対する)解答,説明,(被告人の)答弁,申し開き《+『to』(『for』)+『名』》 / 〈質問・手紙・人など〉に『答える』,返事をする / 〈訪問・電話など〉に応じる / (…で)…に応酬する,応答する《+『名』+『with』+『名』》;〈非難など〉に答弁する / 〈目的・条件など〉にかなう,合致する,添う / (…に)『答える』,返事をする《+『to』+『名』》 / (…)に応ずる,応酬する《+『to』+『名』》 / 〈物事が〉うまくいく,成功する
answerable	答えることのできる;(…に対して…に)責任のある《+『to』+『名』+『for』+『名』》
answering service	るす電話取次ぎ業
ant	『アリ』〈C〉
ant bear	オオアリクイ(熱帯アメリカ産)
ant lion	アリ地獄
ant.	antenna / antonym
antacid	(特に胃の中で)酸を中和する / (特に胃の)酸中和剤,制酸剤
antagonism	(…に対する)敵意;〈U〉(…への)敵対,対立《+『for』(『toward, against』)+『名』》
antagonist	対立する人,敵対者,競争相手(opponent)
antagonistic	敵対する,反目する;(…に)敵対している《+『to』+『名』》
antagonize	〈人〉を敵にまわす,に敵意を抱かせる,の敵意を招く
ante	アンティ(ポーカーで新しい札を引く前に出すかけ金) / 《俗》分け前
anteater	アリクイ(熱帯アメリカ産)
antebellum	戦前の;《米》南北戦争前の
antecedence	(時間・順序が)先であること;上位,優先[権]
antecedent	先だつ,先行する / (…に)先だつ人(物,事)《+『to』+『名』》 / (文法で,関係詞の)先行詞 / 《複数形で》先祖(ancestors) / 《複数形で》前歴,経歴,素性
antechamber	=anteroom
antechoir	(教会の)聖歌合唱団席前の手すりで囲んだ空間
antedate	…を実際よりも早い日付にする / …より早い時期に起こる
antediluvian	ノア(Noah)の大洪水以前の / 古くさい,時代おくれの / ノアの大洪水以前の人 / 高齢な人;時代遅れの人
antelope	レイヨウ(羚羊)(ヤギに似て短い角がある)
antemeridiem,ante meridiem	(ラテン語)午前(《略》a.m.,A.M.)
antenatal	=prenatal / 《英》出産前の診察
antenna	(虫などの)触角 / 《特に米》(ラジオ・テレビなどの)アンテナ(aerial)
antepenult	語尾から第3番目の音節(例えばantepenultのte)
antepenultimate	=antepenult / 後ろから第3番目のもの / 《文》語尾から第3音節の
anterior	(場所などが)前の,前部の;(…より)前に位置する《+『to』+『名』》 / (時・事件などが)以前の,先の;(…より)前の《+『to』+『名』》
anteroom	(またantechamber)(主室や大広間に通じる)控えの間,次の間 / 待合室(waiting room)
anthem	祝いの歌,賛歌 / 聖歌,賛美歌
anther	(雄しべの)やく(葯)
anthill	アリの塔,アリづか
anthologist	文学作品を集めた選集を編纂する人
anthology	アンソロジー,詩文選,詞華集
anthracite	無煙炭
anthrax	炭疽(たんそ)熱(家畜の伝染病であるが人にもうつる)
anthrop.	anthropological / anthropology
anthropocentric	人間中心的な(万事を人間の経験・価値観で解釈する)
anthropoid	人間に似た / 類人猿
anthropoid ape	人間以外の霊長類(例:チンパンジーやゴリラ)
anthropological	人類学[上]の
anthropologist	人類学者
anthropology	人類学
anthropomorphic	擬人説の,神人同形説(法)の
anthropomorphism	擬人説,神人同形法(人間以外のもの,特に神に人間の形態・属性があるとする説)
anthropophagous	(人間が)人肉を食う,食人の(cannibal)
anthropophagy	(人間が)人肉を食べること;人食いの風習(cannibalism)
anti	《話》(特定の慣習・政策・行動などに)反対する人
anti-Semite	反ユダヤ主義者,ユダヤ人排斥(迫害)者
anti-Semitic	反ユダヤ人の,反ユダヤ主義の
anti-Semitism	反ユダヤ主義(運動,思想)
anti-nucleon	=antinucleon
antiaircraft	対空の,防空の
antiballistic missile	対弾道弾ミサイル(《略》ABM)
antibiotic	抗生物質(ペニシリン,ストレプトマイシンなど) / 抗生[物質]の
antibody	抗体,免疫体,抗毒素
antic	おどけたしぐさ,異様な行動 / 《文》おどけた,奇妙な
anticipate	…を『予想する』,予期する / 〈事〉に『前もって(先に)対処する』 / 〈金など〉を見越して使う / 〈人〉より『先に行う』,に先んずる
anticipation	(…の)予想,期待《+『of』+『名』》,(…という)予想《+『that節』》
anticipatory	予想の,予測の / 見越しての / (文法)先行の
anticlerical	(公的活動における)教権反対の,聖職者の権力に反対の
anticlimactic	急降法(anticlimax)の,急降的な
anticlimax	急降法,語勢急落(力強い重要な表現から突然に弱い重要性の乏しい表現に落とす修辞法) / 《こっけい》(事態の)急激な低落
anticline	背斜褶曲(しゅうきょく)(岩石層が中軸より左右側に下方傾斜した地層構造)
anticlockwise	=counterclockwise
anticoagulant	(特に血液の)凝固防止剤(物質) / 血液の凝固を防止する
anticyclone	高気圧
antidepressant	抗抑鬱(うつ)剤(鬱病の治療薬)
antidote	(…の)解毒剤,毒消し《+『against』(『for, to』)+『名』》 / (…に対する)対抗手段,矯正手段《+『against』(『for, to』)+『名』》
antifreeze	抗凍結液,不凍液(車のラジエーターに用いる)
antigen	抗原(生物の体内にはいって免疫体を作る物質)
antigravity	反重力(陽の質量の物体が陰の質量の物体と反発する力)
antihero	反ヒーロー(小説で英雄や騎士らしい美徳を発揮しない主人公)
antihistamine	抗ヒスタミン剤(各種のアレルギー症・風邪の治療に用いる)
antihypertensive	(高血圧症に有効な)降圧剤
antiknock	制爆剤(エンジンの異常爆発を防ぐための物質)
antilogarithm	逆対数,真数
antimacassar	いすの背の飾りおおい
