antimagnetic	抗磁力性の;(時計などが)耐磁性の
antimatter	反物質(物質を構成する通常粒子と電荷が反対である粒子から成る物質)
antimissile	ミサイル迎撃用の
antimony	アンチモン(金属元素;化学記号『Sb』)
antineoplastic	腫瘍(しゅよう)の成長を防止する
antineutrino	反中性微子
antineutron	反中性子
antinomian	道徳律超越(廃棄)論者(キリスト教徒は福音書の中の神の恩寵によって道徳律に束縛されないと主張する人)
antinomy	二律背反(二つの命題が互いに矛盾すること)
antinovel	反小説,アンチロマン(伝統的手法を否定した小説)
antinucleon	反核子(反陽子(antiproton)と反中性子(antineutron))
antioxidant	酸化防止剤;(ゴム・ガソリン・石けんの)劣化防止剤
antiparticle	反粒子
antipasto	(食事の主品の前に出る)前菜
antipathetic	性が合わない;(…に)反感(嫌悪)を抱いている《+『to』+『名』》 / 性質(性格)が反対の
antipathy	〈C〉〈U〉(…に対する)反感,けぎらい,(…を)ひどくきらうこと《+『to』(『toward, against』)+『名』》 / 〈C〉いやな人(物)
antipersonnel	(爆弾が敵の装備などを破壊するより)兵員を殺傷する,対人の
antiperspirant	汗よけ,発汗抑制薬品
antiphon	応答詩歌;(教会で)交唱(2組の聖歌隊が交互に歌う詩篇・賛美歌)
antiphony	(2組に分かれた聖歌隊による)交唱,応答(交互)歌唱
antipodal	対蹠(たいせき)地の(地球の正反対側にあることをいう)
antipodean	地球の正反対側の,対蹠的位置の / 地球上の正反対の地点
antipodes	対蹠(たいせき)地(地球上の正反対側にある地点) / 正反対のもの
antipope	対立教皇(教会法に基づいて選挙された教皇に対立して教皇であると主張する人)
antipoverty	貧困救済(絶滅)を目指す
antiproton	反陽子
antipyretic	熱さましの,解熱の / 解熱剤
antiq.	antiquarian / antiquity
antiquarian	古物研究(収集)家,古物商 / 古物研究[家]の,骨董(こっとう)趣味の
antiquary	=antiquarian
antiquate	(新しいものがとって代り)…を古くさくする,時代遅れにする
antiquated	古めかしい,時代遅れの(old-fashioned)
antique	(物・形が)古風な,旧式の,時代遅れの(old-fashioned) / 古い時代の,古来の / 〈C〉古物,古器,骨董(こっとう)品 / 《the ~》古代美術,古代様式
antiquity	〈U〉古代(特に中世以前を指す);《集合的に》古代人 / 〈U〉古さ,古風 / 《複数形で》古代の遺物(遺跡,風習)
antirrhinum	=snapdragon
antisepsis	殺菌による防腐[法](消毒[法])
antiseptic	殺菌の,消毒の;殺菌した,消毒した / 防腐剤
antiserum	抗血清(抗毒(免疫)素・凝集素のような抗体を含む血清)
antisocial	社交ぎらいの / 社会に反する,反社会的な / わがままな
antithesis	〈U〉(…と)正反対,対照《+『of(to)』+『名』》 / 〈C〉(…と)正反対の事(物),対立物《+『of』+『名』》 / (修辞学で)〈U〉対照法;〈C〉対句(意味の相対する句)
antithetic, antithetical	対照の / 正反対の
antitoxin	〈C〉抗毒素 / 〈U〉抗毒素血清
antitrades	反対貿易風
antitrust	トラスト反対の,独占禁止の
antivenin	抗蛇毒(だどく)素を含む血清
antler	(シカの)枝角(えだづの)
