aplenty	たっぷりした数(量)の / どっさり,たっぷり
aplomb	(困難に直面した時の)平静,落ち着き;自信
apmt.	appointment
apocalypse	〈C〉天啓,黙示 / 《the A-》(新約聖書の)ヨハネの黙示録
apocalyptic	終末の, 終焉の, 災厄の
apocryphal	典拠の疑わしい;にせの / 《A-》外典の
apocynthion	=apolune
apogee	遠地点(月・人工衛星が地球と最も離れる点) / 最も高い(遠い)所;絶頂(apex)
apolitical	政治的に重要でない / 政治に無関心の
apologetic	わびの,謝罪の;(…を)わびて《+『for』+『名』》
apologetically	わびて;弁解して
apologetics	(キリスト教を弁護する神学上の)護教論,弁証論 / 擁護論(術,学)
apologia	(行動・動機・特に信念の)正当化,弁解;弁護(弁明)論《+『for』(『of』)+『名』(do『ing』)》
apologist	(…を)弁解ばかりする人,すぐに頭を下げる人《+『for』+『名』》
apologize	(人に…について)『わびる』,あやまる;言い訳する,弁解する《+『to』+『名』〈人〉+『for』(『about』)+『名』(do『ing』)》 / (口頭・文書で)(…を)弁護する,弁明する《+『for』+『名』》
apologizer	謝罪者,弁解者
apology	〈C〉(…に対する)『わび』,謝罪;言い訳,弁解《+『for』+『名』(do『ing』)》 / 〈U〉〈C〉(口頭・文書による)(…の)弁護,弁明(defense)《+『for』+『名』》 / 〈C〉《話》(…とは)申し訳ばかりのもの,(…の)お粗末な代用品《+『for』+『名』》
apolune	遠月点(月を回る物体の軌道上で月の中心から最も遠い点)
apophthegm	=apothegm
apoplectic	脳卒中の,卒中性の / 卒中を起こした / (怒ったりして)ひきつけた
apoplexy	脳卒中
apostasy	背教;変節;脱党
apostate	背教者;変節者;脱党者
apostatize,apostatise	信仰(主義)を捨てる,背教者となる;(…から)変節する《+『from』+『名』》
apostle	〈C〉《A-》使徒(キリストの12人の弟子の一人);《the Apostles》(キリストの)12使徒 / 〈C〉(ある地域・国におけるキリスト教の)最初の宣教師,有名な宣教師 / 〈C〉(主義・政策などの)首唱者,唱道者
apostolic	使徒(Apostle)の,使徒時代の / 教皇(Pope)の
apostrophe	アポストロフィー('印)
apostrophize	…に省略符をつける;(省略符をつけて)…を省略する
apothecaries measure	薬用液量法(薬剤を調合するときに用いる液量を計る単位の方式)
apothecaries weight	薬用重量単位(約31g),調剤度量衡法
apothecary	=pharmacist
apothegm	警句,寸言
apothem	辺心距離(正多角形の中心点から一辺までの垂線距離)
apotheosis	人を神としてあがめること(行為),神格化 / 《文》理想的なもの(人)
