archeologist	=archaeologist
archeology	=archaeology
archer	〈C〉(弓の)射手,弓術家 / 〈U〉《A-》射手(いて)座
archery	〈U〉アーチェリー,弓術 / 〈C〉(弓の)射手隊
archetypal	原型の,典型の
archetype	(…の)原型,模範,手本《+『of』+『名』》
archetypical	=archetypal
archfiend	大悪魔,悪魔の頭目 / 魔王
archimandrite	〈C〉修道院長 / 〈U〉独身のすぐれた聖職者に贈られる称号
archipelago	群島 / 群島のある海 / 《the A-》(ギリシアと小アジアの間の)多島海,エーゲ海(the Aegean Sea)
archit.	architecture
architect	『建築家』,建築技師 / (特に長期にわたる作業計画・事業などの)創始者,創案者,計画者
architectonics	建築学 / (芸術作品などの)構成法
architectural	建築術(学)の;建築の
architecture	〈U〉『建築術』,『建築学』 / 〈U〉〈C〉(ある時代・国などの)建築様式;(一般に)構成
architrave	台輪(だいわ)(古典建築のentablatureの最下部で柱の上に直接のる) / (ドア・窓の)化粧縁,装飾縁
archives	公文書 / 公文書(記録)保管所
archivist	公文書(記録文書)保管者
archon	アルコン(古代Athensの最高執政官)
archway	アーチの下の通路 / 入口(通路)にかかっているアーチ
arcked	arcの過去・過去分詞
arcking	arcの現在分詞形
arctic	『北極の』 / 極寒の(frigid) / 〈U〉《the A-》北極(地方) / 《複数形で》《米》(くるぶしの上までくる)防水靴
arcuate	弓形の,アーチ状の
ardent	熱心な,熱烈な(eager)
ardor,ardour	熱情,熱心,熱意
arduous	骨の折れる,困難な / (山などが)登りにくい,けわしくて骨の折れる / (努力などが)しんぼう強い,奮闘する(strenuous)
are	…『である』,…です(beの二人称の単数とすべての人称の複数の直説法現在形) / アール(メートル法の面積単位;100平方メートル)
area	〈U〉〈C〉『面積』 / 〈C〉『地域』,『地方』(region, district) / 〈C〉(活動・研究・興味などの及ぶ)『範囲』,『領域』(range)《+『of』+『名』》 / 〈C〉《英》=areaway 1
area code	《米・カナダ》市外局番(《英》STD code)
areaway	地下勝手口(採光・通行のために設けた地下室前の空間)(《英》area) / 建物の間の通路
aren't	are notの短縮形 / 《おもに英話》am notの短縮形
arena	(古代ローマ時代の円形劇場の中央にある)闘技場 / (一般にスポーツなどの)競技場,競演場 / 競争の場,活躍の舞台
arena theater	円形劇場(中央に舞台があって,それを囲んで観客席がある)
arete,arête	斜面がけわしい山の背,やせ尾根
argent	銀(silver);銀色 / 銀製の;銀色の
argentine	銀の;銀色の / 銀;銀色
argillaceous	粘土の,粘土質の
argon	アルゴン(気体元素;化学記号は『Ar』)
argosy	(特に高価な貨物を積んだ)大商船 / 大商船団
argot	(ある仲間の間で使われる,特に盗人の)隠語
arguable	論議の余地がある,疑わしい / 論じうる,論証できる
argue	(人と…について)『議論する』,論争する,言い争う《+『with』+『名』〈人〉+『about』(『on, over』)+『名』》 / (…に賛成・反対して)論じる,主張する《+『for』(『in favor of, against』)+『名』》 / …を『議論する』,論じる / (…するように)〈人〉を『説得する』,説き伏せる《+『名』〈人〉+『into』+『名』(do『ing』)》,(…しないように)〈人〉を説得する《+『名』〈人〉+『out of』+『名』》 / 〈物事が〉…を示す,表す(show)
argument	〈U〉〈C〉《議論》,論争,口論 / 〈C〉論拠,理由(reason) / 〈C〉《文》(本・詩などの)要旨,概要
argumentation	議論,討論 / 立論,論証
argumentative	議論好きの,理屈っぽい
argy-bargy	《英話》口やかましいけんか
argyle	(対照的な色を用いた)ひし形編み模様 / ひし形模様編みの短靴下
aria	(オペラにおける)アリア,詠唱
arid	(土地などが)乾燥した,不毛の / (本・話などが)つまらない,無味乾燥な
aridity	不毛 / 無味乾燥
aright	《文》正しく,まちがいなく
arise	〈問題・事件などが〉『起こる』,現れる / (…から)生じる(result)《+『from』+『名』》 / 《古・詩》起き上がる,立ち上がる / 《英ではまれ》〈霧・煙などが〉立ちのぼる,湧きあがる
arisen	〈自〉ariseの過去分詞
aristocracy	〈U〉貴族政治;貴族政治の国,貴族による政府 / 《the~》《集合的に》『貴族』,貴族階級(社会) / 〈C〉(富・知性・教養などで)第一流の人々
aristocrat	『貴族』[『の一人』] / 貴族的な人,貴族趣味の人 / 貴族政治主義者
aristocratic	『貴族の』,貴族らしい / 貴族政治の,貴族階級の;貴族主義の
arith	arithmetic / arithmetical
arithmetic	『算数』,算術 / =arithmetical
arithmetic mean	算術平均,相加平均,等差中項
arithmetic progression	等差数列(1,4,7,10,13など)
arithmetic series	等差級数
arithmetical	算術[上]の
arithmetician	算術家,計算のうまい人
ark	〈U〉箱舟(Noahが家族や家畜を乗せて大洪水をのがれたという舟) / (また『the Ark of the Covenant』)約櫃(やくひつ)(モーセの十戒を刻んだ石を納めた箱 )
arm	(人・猿の)『腕』;(四つ足の動物の前肢の)腕(手首から肩までの間;手はhand) / 腕のような物;(特に)いすのひじ掛け,樹の大枝 / 〈C〉《通例複数形で》『武器』,『兵器』 / 〈C〉(特別な行動をする)部局,支部,支局 / (また『coat of arms』)〈C〉《通例複数形で》(国・会社・学校・家の)紋章 / (…で)…を『武装させる』《+『名』+『with』+『名』》 / (必要・有用なもので)〈人〉を防備させる,堅固にする《+『名』〈人〉+『with』+『名』》 / (…に)武装して備える,武装する《+『for』(『against』)+『名』》 / (…で)防備する,身を固める《+『with』+『名』》
arm ring	(上膊(じょうはく)部につける)腕輪
armada	〈C〉《集合的に》艦隊,軍用飛行隊 / 《the A-》スペインの無敵艦隊(16世紀の海を制圧していたが1588年英国海軍に破れた)
armadillo	アルマジロ(中南米産の小動物)
armament	〈C〉《通例複数形で》軍事力,軍備 / 〈C〉《通例複数形で》(特に戦闘機・戦車・戦艦などに装備する兵器) / 〈C〉(一国の)軍隊;(特に)海軍 / 〈U〉(国が)軍備を整えること,戦争の準備
armature	よろいかぶと(armor) / (電気モーター・発電機の)発電子,電動子;(電磁石の)接極子 / (動・植物の)防護器官(歯・とげ・殻など)
armband	腕章
armchair	『ひじ掛けいす』
armchair critic	《しばしば軽べつして》観念的批評家
armed	武装した / (ある目的のために)用意した
armed forces	(一国・連合国の)軍隊(陸・海・空の全軍)
armed services	(特に平時の)軍隊全体,軍事機関
armful	(…の)腕いっぱいの量《+『of』+『名』》
armhole	そでぐり(そでを付けるための穴)
armistice	(一定期間の)休戦,停戦
armlet	腕輪,腕飾り(手首でなく腕上膊(じょうはく)部にはめる) / 小さな入り江
armor plate	(軍艦・戦車などの)装甲用鋼板,装甲
