avionics	航空電子工学
avitaminosis	ビタミン欠乏症
avocado	アボカド(熱帯アメリカ産の果実で,サラダなどに用いる);アボカドの木
avocation	副業,余技,内職 / 《話》本職;職業
avocet	ソリハシセイタカシギ(長脚でくちばしが長く河口・海岸に住む水鳥)
avoid	〈危険・いやなもの〉を『避ける』,回避する(keep away from) / (法律上)〈抗弁など〉を無効にする
avoidable	避けられる
avoidance	(…を)避けること,(…の)回避《+『of』+『名』(do『ing』)》
avoirdupois	=avoirdupois weight(《略》『avdp』)
avoirdupois weight	常衡(16オンスを1ポンドと定めた衡量;貴金属・宝石・薬品外のものの衡量用)
avouch	…を公然と認める,公言する,断言する
avow	…を率直に言う,率直に認める
avowal	公言,言明
avowed	公言した,みずから認めた
avuncular	おじ(uncle)の,おじらしい
aw	(抗議・嫌悪などを表して)おお,うわあ
await	〈人が〉…を『待つ』 / 〈物・事が〉〈人〉を待ちうける,待ちかまえる
awake	(…から)…の『目をさまさせる』,を起こす《+『名』+『from』+『名』》(wake) / 〈記憶・感情など〉を呼び起こす,喚起する / (…を)〈人〉に気づかせる,自覚させる《+『名』〈人〉+『to』+『名』》 / 目をさます / (周囲の事情などに)気がつく《+『to』+『名』》 / 『眠らずに』,『目がさめて』 / (…に)気づいている《+『to』+『名』》
awaken	=awake
awakening	(…に)目ざめること,気づくこと《+『to』+『名』》 / 目ざめさせる,目ざめつつある
award	《『award』+『名』〈人〉+『名』=『award』+『名』+『to』+『名』〈人〉》(審査して)〈人〉に〈賞など〉を『与える』,『授ける』 / 『賞』,『賞品』(prize) / (判事・調停者の)審判,裁定
aware	《補語にのみ用いて》『知っている』,『気づいている』,感づいている / 見聞の広い,世事に通じた
awareness	(…に)気づいていること《+『of』+『名』(do『ing,wh-節』)》,(…であることに)気づいていること《+『that節』》
awash	水面すれすれで,水をかぶって / 波にもまれて / 水面すれすれに / 波にもまれながら
away	(位置が)『離れて』,遠くに / (…から)不在で,るすで《+『from』+『名』》 / (移動して)『あっちへ』,『向こうへ』 / わきの方へ;別の方向へ / なくなって,消えて / せっせと,絶えず(continuously) / 手放して,使用しなくなって / 《話》《命令文で》ちゅうちょせず(without hesitation);すぐに,ただちに
awe	『畏敬』(いけい),畏怖 / …に畏敬の念を起こさせる
awe-inspiring	畏敬(いけい)の念を起こさせる,恐れ多い
aweary	《詩》疲れた
aweigh	(いかりが)今や海底を離れて
awesome	畏敬の念を起こさせる;恐ろしい / 畏敬の念に満ちた;うやうやしい
awestricken	=awestruck
awestruck	畏敬の念に打たれた
awful	(光景・事故などが)『恐ろしい』,すさまじい / 《話》(行為が)『ひどい』,見苦しい / 《話》(程度が)大きい,すごい(great) / 《俗》ひどく,すごく(very, extremely)
awfully	恐ろしく,すさまじく(terribly) / 《話》ひどく,とても
awhile	しばらく(for a while)
awkward	(人・動作などが)『ぶかっこうな』,『ぎこちない』,無器用な(clumsy) / (物が)『扱いにくい』,使いにくい / (状態・問題などが)『やっかいな』,始末に困る
awkwardly	無器用に,ぶざまに,きまりわるく
awkwardness	無器用,ぶざま,きまりわるさ
awl	(靴屋などの)突きぎり
awning	(入り口・窓・甲板上のカンバス製の)日よけ,雨おおい
awoke	awakeの過去・過去分詞
awry	曲がって,ゆがんで,ねじれて / (目的・期待から)それて,まちがって / 曲がった;それた / まちがった,誤った
ax, axe	『おの』,まさかり
axes	ax, axeの複数形 / axisの複数形
axial	軸の,軸をなす / 軸上に位置した
axiom	自明の理,原理;(数学の)公理;格言
axiomatic,axiomatical	公理の[ような];自明の
axis	〈C〉軸,軸線;枢軸(すうじく) / 《the A-》枢軸国(第二次大戦当時の日本・ドイツ・イタリアなど)
axle	(車輪の)心棒 / =axletree
axletree	車軸
axolotl	アホロートル(メキシコ産のサンショウウオ)
axon,axone	(脊椎動物の神経細胞の)軸索
ay,aye	はい,そのとおり(yes) / 賛成,賛成投票;《複数形で》賛成者,賛成投票者 / 常に,絶えず
ayah	《インド・パキスタン英語》(インド人の)女中,乳母
az.	azimuth
azalea	ツツジ
azimuth	方位角,方位《略》『az.』
azure	空色の;青空の(sky-blue) / 空色;《詩》青空,天空(sky)
