Berlin	ベルリン(もとドイツの首都で,現在は東西ドイツ領に分かれる)
Bermuda	バミューダ諸島(米国東方大西洋上にある英国植民地の群島;保養地)
Bermuda onion	バミューダタマネギ(平たくて軽い味のタマネギ)
Bermuda shorts	バミューダショーツ(男女用のひざ上までの半ズボン)
Bermudian	バミューダ[人]の / バミューダ人
Bern, Berne	ベルン(スイス連邦の首都)
Bethlehem	ベツレヘム(ヨルダン北西部,キリスト生誕の地)
Bhutan	ブータン(ヒマラヤ山脈中の王国;首都はThimbu)
Bi	bismuthの化学記号
Bible	《the~》『聖書』 / 〈C〉《b-》権威ある書籍 / 〈C〉《しばしばb-》(諸宗数の)聖典
Biblical	《時にb-》聖書の;(人名・句など)聖書から出た
Big Apple	大都市,(特に)ニューヨーク市
Big Ben	ビッグベン(英国国会議事堂塔上の大時鐘;1856年建造)
Big Dipper	北斗七星
Bircher, Birchite	バーチ主義者(米国の極右団体John Birch Societyのメンバー)
Birmingham	バーミンガム(英国中部の大工業都市)
Black Country	ブラックカントリー(英国中西部Staffordshire近辺の工業地帯)[媒煙(ばいえん)で黒ずんでいることから]
Black Death	黒死病(14世紀にヨーロッパからアフリカ,アジアに広まったペスト)
Black Maria	《俗》=patrol wagon
Black Mass	黒ミサ(特に悪魔崇拝者によるキリスト教のミサを冒瀆(ぼうとく)する儀式)
Black Muslim	ブラックモスレム(白人との全面分離を主張する黒人イスラム教徒)
Black Panther	黒ヒョウ党員(黒人解放運動の最も急進的な団体の一員)
Black Sea	黒海
Black Stream	黒潮,日本海流
Blake	ブレイク(『William~;1757‐1827』;英国の詩人・画家)
Blarney Stone	ブラーニィストーン(IrelandのBlarney Castleの遺跡にある石;この石にキスするとおせじがうまくなるという)
Blessed Sacrament	聖餐(せいさん)式用の聖別されたパン
Blessed Virgin	聖母マリア
Blimp	Colonel Blimp
Bluebeard	青ひげ(6人の妻を次々に殺した残忍な物語の主人公) / 〈C〉《b-》次々と妻を替えた男
Bnai Brith	ユダヤ人の国際的共済組織
Boccaccio	ボッカチオ(『Giovanni~』;1313‐75;イタリアの作家・詩人)
Boer	ボーア人(オランダ系の南アフリカ移住者)
Bogota	ボゴタ(南米コロンビア共和国の首都)
Bohemia	ボヘミア(チェコスロバキア西部の地方で,もと王国)
Bohemian	ボヘミアの;ボヘミア人(語)の / 《b-》放浪する;伝統にとらわれない / 〈C〉ボヘミア人;〈U〉ボヘミア語 / 〈C〉《b-》伝統にとらわれない自由な生活をする人
Boise	ボイジー(米国Idaho州の州都)
Bol.	Bolivia
Bolivia	ボリビア(南米の共和国;首都は,公式にはLa Paz,行政上はSucre)
Bolivian	ボリビアの / ボリビア人
Bologna	ボローニャ(イタリア北部の都市;マカロニ・ソーセージの産地)
Bolshevik	(ロシア革命当時の)ロシア社会民主労働党の急進的多数派の一員 / (1918年以降)ロシア共産党員 / 《b-》(一般に)過激主義者 / ロシア主義の;(一般に)過激派の
Bolshevism	ロシア共産主義;(一般に)過激思想
Bombay	ボンベイ(インド最大の商工業中心地)
Bonin Islands	小笠原諸島
Bonn	ボン(西ドイツの首都)
Bordeaux	ボルドー(フランス南西部の港市;ぶどう酒産地) / 〈U〉ボルドー産ぶどう酒
Borneo	ボルネオ(Malay群島中にある世界第3の大島;インドネシア領・マレーシア領・英国保護領に分かれる)
Bosporus	ボスポラス海峡(黒海とMarmara海を結ぶ)
Boston	『ボストン』(米国Massachusetts州の州都)
Boston terrier	ボストンテリア(顔がブルドッグに似て黒白のテリア)
Bostonian	ボストンの / ボストン出身の人,ボストン市民
Botswana	ボツワナ(南アフリカの共和国)
Botticelli	ボッティチェリ(『Sandro』 『~』;1444?‐1510;イタリアの画家)
Bourse	(特に)パリ株式取引所
Box and Cox	交替にする,代わる代わるにする
Boxing Day	クリスマスの翌日(12月26日;この日に使用人や郵便配達人などに日ごろの感謝をこめて祝儀(しゅうぎ)をおくる)
Boy Scouts	ボーイスカウト団
Boyle's law	ボイルの法則(Robert Boyleが発見した法則;一定温度において,気体の圧力とその体積は互いに反比例する)
Br	bromine
Br.	Britain / British
Brahma	ブラーマ,梵天(ぼんてん)(ヒンズー教の最高神で創造の神)
Brahman	バラモン(インド四姓中の最高位の僧侶階級)
Brahmanism, Brahminism	バラモン教
Brahmin	=Brahman / 〈C〉《米》教養人(特にNew Englandの保守的で誇り高い上流人をいう)
Brahms	ブラームス(Johannes Brahms;1833‐97;ドイツの作曲家)
Brasilia	ブラジリア(Brazilの首都)
Brazil	ブラジル(南米の共和国。首都はBrasilia)
Brazil nut	ブラジルナット(堅い皮の食用の実・その木)
Brazilian	ブラジルの / ブラジル人
Bremen	ブレーメン(西ドイツ北部の港)
Breton	〈C〉ブルターニュ人 / 〈U〉ブルターニュ語
Brie	ブリーチーズ(塩味で白色の柔らかいフランスのチーズ)
Brig.Gen.	(陸軍,空軍,海兵隊の)代将,准将(大佐と少将との中間で少将待遇)
Bright disease	ブライト病(子供の腎臓炎)
Brisbane	ブリスベン(オーストラリア・クイーンズランド州の州都)
Bristol	ブリストル(英国南西部最大の貿易港)
Brit.	Britain / British / Briticism
Britain	『英国』,ブリテン / 大ブリテン島(Great Britain)(England, Wales, Scotlandを含む) / イギリス連合王国(the United Kingdom [of Great Britain and Northern Ireland])
Britannia	Great Britainの古代ローマ名 / 英国;イギリス連合王国 / 《詩》大英帝国 / ブリタニア像
Britannia metal	ブリタニアメタル(装飾品などに用いられるスズ・アンチモン・銅の白色の合金)
Britannic	英国の,大英帝国の
Briticism	英本国特有の語句(語法)
British	『英国の』;英国人の / 英国民(人)
