Brunswick stew	ウサギやリスの肉を野菜と煮こんだシチュー
Brussels	ブリュッセル(ベルギー王国の首都)
Brussels sprout	芽キャベツ,コモチカンラン
Brutus	ブルータス(『Marcus』 Brutus;85‐42B.C.;ローマの政治および軍指揮者;Julius Caesarの暗殺に参加)
Bt.	Baronet[t]
Btu.,BTU	British thermal unit
Bucharest	ブカレスト(ルーマニア社会主義共和国の首都)
Buckingham Palace	バッキンガム宮殿(Londonにある英国王の宮殿)
Buckinghamshire	バッキンガムシャー州(英国南部の州)
Budapest	ブダペスト(ハンガリー人民共和国の首都)
Buddha	仏陀(ぶっだ)
Buddhism	仏教
Buddhist	仏教徒 / 仏教の;仏教徒の
Buenos Aires	ブエノスアイレス(アルゼンチン共和国の首都)
Buffalo	バッファロー(米国New York州西部の都市)
Bulg.	Bulgaria / Bulgarian
Bulgaria	ブルガリア(欧州南東部の人民共和国;首都Sofia)
Bulgarian	ブルガリアの;ブルガリア人(語)の / ブルガリア人; / ブルガリア語
Bunsen burner	(化学実験用の)ブンゼンバーナー[ドイツの化学者Robert Bunsen(1811‐99)の考案]
Bunyan	バニヤン / (『John』 ~;1628‐88;英国の作家でPilgrim's Progressの作者) / (『Paul』 ~;アメリカ民話の大男)
Bur.	Burma
Burberry	ロンドンのバーバリー社のレインコート
Burgundy	ブルゴーニュ,バーガンディ(フランス南東部の地方) / 〈U〉《しばしばb-》ブルゴーニュぶどう酒
Burma	ビルマ(アジア南東部の共和国;首都はRangoon)
Burmese	ビルマの,ビルマ人の,ビルマ語の / 〈C〉ビルマ人 / 〈U〉ビルマ語
Burundi	ブルンジ(1962年にベルギーから独立したアフリカ中部の共和国)
Byelorussia	白ロシア共和国(公式名Byelorussian Soviet Socialist Republic)
Byron	バイロン(『George Gordon, Lord Byron』;1788‐1824;英国の詩人)
Byronic	バイロン的な,悲壮で感傷的な
Byzantine	ビザンチン(Byzantium)の,東ローマ帝国の;(建築様式が)ビザンチン式の
Byzantine Empire	ビサンチン帝国(東ローマ帝国の別名;395‐1453)
Byzantium	ビザンチン(東ローマ帝国の首都;現在のIstanbulの古称)
b and b	bed and breakfast
b.	bachelor / (野球の)base / bass; basso / blend of; blended / book / born / breadth / brother
b.i.d.	bis in die(処方せんで)1日2回
b.o.	branch office / buyer's option
b.p.	bills payable / boiling point
b.r.,B.R.	bills receivable
b.s.	bill of sale売渡し証 / balance sheet貸借対照表
baa	メー(ヒツジの鳴き声)[擬声語] / 〈ヒツジが〉メーと鳴く
baba	ラム酒に浸したブリオッシュ風の焼き菓子 / (インド英語)おばあさん / (インドや中東で)聖人,導師
babble	〈幼児などが〉片言でしゃべる / (…について)ぺちゃくちゃしゃべる《+『about』+『名』》 / 〈流れが〉さらさらと音をたてる / …を片言でしゃべる,ぺちゃくちゃしゃべる / (…に)〈秘密など〉をもらす《+『名』+『out to』+『名』》 / 片言;おしゃべり / (小川の)せせらぎ
babbler	片言をいう幼児 / おしゃべり屋
babe	《文》赤ん坊 / うぶな人,世間知らず / 《米俗》=baby
baboon	ヒヒ(おもにアフリカにすむ大型のサル)
babu,baboo	(インド英語)事務官,書記,役人 / (インド英語)敬称 / (インド英語)おじさん,おじいさん
baby	『赤ん坊,赤ちゃん』 / (家族・グループの中で)いちばん年少の人,最年少者 / 赤ん坊みたいな人 / (また『babe』)《米俗》《特に若い女の子への呼びかけた用いて》かわいこちゃん / 赤ん坊の[ような],赤ちゃん用の / 《話》…を赤ちゃんのように扱う,甘やかす
baby beef	〈C〉生後12‐20か月の幼牛 / 〈U〉その肉
baby carriage	《米》うば車(《英》perambulator)
baby grand	小型のグランドピアノ
baby minder	《おもに英》(両親の外出時に雇われる)子守り
baby talk	(おとなが幼児に言う)赤ちゃん言葉;(赤ちゃんの)片言
baby tooth	《おもに米》=milk tooth
baby's-breath	コゴメナデシコ(ユリ科の観賞用植物)
baby-sit	子守りをしながらるす番をする
babyhood	幼児期 / 《集合的に》幼児たち
babyish	赤ん坊じみた
babysitter	るす番の子守り(おもに女子中学・高校生のアルバイト)
baccalaureate	学士(bachelor)の学位
baccarat	バカラ(カード賭博(とばく)の一種)
bacchanal	酒神バッカスの信徒 / (酒宴での)男女入り乱れたどんちゃん騒ぎ / 酒神バッカスの / どんちゃん騒ぎの
bacchanalian	バッカス祭の / どんちゃん騒ぎの
baccy	《俗》たばこ
bachelor	独身男,未婚男子 / 学士
bachelor girl	自活している若い独身女性
bachelors degree	(大学卒業生に与えられる各種の)学士号
bacillus	バチルス桿菌(かんきん) / (一般に)細菌
back	〈C〉(人・動物の)『背』,『背中』,背部 / 《通例the~》(正面に対して)(…の)『後ろ』,『裏』,奥,後部《+『of』+『名』》 / 《通例the back》背に似たもの;(手足の)甲;(刀の)みね;(いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛 / 《名詞の前にのみ用いて》『後ろの』,後部にある,裏の / 後もどりする,逆の / 遅れている,未払いの / (中心から)遠い,へんぴな,奥地の / (音声が)後舌音の / 『後方へ』,『後ろに』(backward) / (場所・状態が)『もとへ』,帰って,返して / (時間的に)『さかのぼって』,今から…前に(ago) / 〈車など〉を『後退させる』 / (…で)〈人・計画など〉を『後援する』,支持する(support)《+『名』+『in』+『名』》 / (競馬で)…に賭ける / (…で)…の伴奏をする《+『名』+『by』+『名』》 / …の裏手にある,背景をなす / 〈手形など〉に裏書きする(endorse) / 《しばしば受動態で》〈本〉に背をつける,(…で)…を裏打ちする《+『名』+『with』+『名』》 / 後ずさりする,後退する(move backward)
back crawl	=backstroke
back dive	(水泳で)背面飛び込み
back number	月おくれの雑誌の号 / 《話》時代おくれの人(もの)
back of beyond	遠く離れた場所
back passage	《俗語》裏口,後ろの道 / 《俗語》(婉曲表現で)肛門
back road	(人通りの少ない)いなか道
back to back	(二つの類似したでき事が)相次いだ,連続した / 相次いで,連続して
backache	背の痛み
backbench	《英》(特に下院の,党幹部を除く)平議員
backbite	…の陰口を言う / 陰口を言う
backbiter	陰口を言う人,中傷する人
backboard	物の背に取り付ける板 / (バスケットで)バックボード
backbone	〈C〉《the~》《話》背骨(=spine) / 〈C〉《the》(…の)最も強力な(重要な)部分,主力《+『of』+『名』》 / 〈U〉気骨,精神力
backbreaking	骨の折れる
backburner	(順位・権利で)後に回されること,他より劣ること
backchat	=back talk
backcloth	=backdrop
backcomb	(ふっくらと見せるために)〈髪〉にさか毛を立てる
backdate	(…にまで)…の日付をさかのぼる《+『名』+『to』+『名』》
backdoor	裏口 / 不正手段
backdrop	《米》(舞台の)背景幕(《また英》backcloth) / (物事の)背景;黒幕
backer	後援者,支持者 / (馬に)賭ける人
backfield	(アメリカンフットボールで)後衛
backfire	(内燃機関の)さか火,バックファィア / (山火事などを防ぐための)迎え火 / さか火を起こす;迎え火で延焼を止める / 〈物事が〉期待を裏切る,逆効果を生む
backgammon	西洋すごろく(二人の競技者が各15のこまをさいころを振って進める遊戯)
background	(景色・絵などの)『背景』,遠景 / (模様などの)地 / (事件などの)背景 / (人の)経歴,前歴
background music	(映画・テレビなどで)画面の背後に流す音楽;(レストラン・ホテルなどで)場内に流す音楽
backhand	(また『backhand stroke』)(テニスなどで)バックハンド打ち,逆手打ち / 左傾斜の書体 / =backhanded
backhanded	(テニスなどで)バックハンドで打った;手の甲での / (書体が)左傾斜の / (おせじなどが)遠回しの,(意味が)まぎらわしい,あいまいな / バックハンドで
backhander	(テニスなどの)バックハンド / 《話》わいろ[の品物]
backing	〈U〉(本などの)裏打ち,背付け / 〈U〉後援,支持;《集合的に》後援者たち / 〈C〉(ポピュラー音楽で)伴奏
backlash	激しい反発;急なはね返り,巻き返し
