backless	背部(裏張り)のない,(衣服が)背中があいている
backlog	(火持ちをよくするため)炉の奥に置く大きなまき / (…の)未処理の仕事の山,残務,手持ち《+『of』+『名』》
backmost	最も後ろの
backorder	繰り越し注文(処理や納期などが将来に繰り越された注文)
backpack	背のう(リュックサック・ナップサックなど) / リュックサックを背おって行く / 〈リュックサックなど〉を背おう;〈物〉を背のうで運ぶ バックパック[リュックサック](を背負って旅行する), バックパックに入れる
backpedal	(速度を落とすため)自転車のペダルを逆に踏む / 《話》(意見などを)前に戻す
backrest	背もたせ
backroom boy	《英話》機密の仕事をする人(特に科学者・設計士など)
backseat	後ろの座席 / 《a back seat》あまり重要でない地位
backseat driver	後ろ座席から運転の指示をする人 / おせっかいやき
backside	後部,裏側 / 《俗》しり,でん部
backslapping	背たたき(親しさや温情などを大げさに示すこと)
backslide	(宗教的・道徳的に)堕落する;宗教心を失う
backslider	背教者,堕落者
backspace	(英文タイプの)逆進用のキー / (逆進用キーを使って)〈タイプローラー〉を1字分戻す
backspin	バックスピン(ビリヤード・卓球などで球に逆回転をつけること)
backstab	(人)を陥れる、害を加える、陰で中傷する
backstabbing	陰で中傷する行為
backstage	舞台裏で,楽屋で / 内密に,ひそかに / 舞台裏の,舞台裏で行われる
backstairs	秘密の,こそこそした / 陰口(悪口)ばかりの
backstay	後方索(帆船のマストを両舷後方より支える綱)
backstop	(野球などの)バックネット
backstreet	裏通り
backstretch	バックストレッチ(競技場のゴールと反対側の直線走路)
backstroke	打ち返し / 逆手(さかて)打ち / (またback crawl)背泳
backswept	後方へ傾斜した,後ろになびいた
backtalk	《おもに米話》生意気な口のきき方;口答え(《英》backchat)
backtrack	同じ道を通って帰る / (今までと)逆の立場をとる
backup, back-up	(食料などの)予備,たくわえ / 支持,支援 / 《おもに米》(パイプなどの)詰まり / (車などの)渋滞《形容詞的に》back-up pilot{名}〈C〉予備操縦士
backward	《名詞の前にのみ用いて》(方向が)『後方への』,もとへの / 《名詞の前にのみ用いて》『逆の』,反対からの / 進歩(発達)が遅れている / (性格が)内気な(shy),引っ込み思案の / 『後方へ』,後ろ向きに / (方向・順序・時間が)『逆に』,反対に
backwards	=backward
backwash	逆流(船の航跡などによってできる) / 後流(プロペラの回転によって起こる) / (事件などの)余波
backwater	〈U〉(下水道・河川などの)戻り水,逆流 / 〈C〉(水・空気の)よどみ / 〈C〉(文化・文明などの)沈滞
backwoods	(米国・カナダなどの)辺境の未開拓森林地,奥地 / 奥地の
backwoodsman	(米国・カナダなどの)辺境の未開拓地の住人;奥地の人
backyard	裏庭 / 家の後ろの
bacon	『ベーコン』
bacteria	『バクテリア』,細菌
bacterial	バクテリアの,細菌の
bacteriologist	細菌学者
bacteriology	細菌学
bacteriophage	バクテリオファージ(細菌に寄生するウィルス)
bad	『悪い』,不良の;不正な / 『適当でない』,欠陥のある / 《補語にのみ用いて》(…に)有害な《+『for』+『名』》 / 病気の / ひどい,激しい,重い / 腐敗した,腐った / 不快な,いやな / 『へたな』,まずい / 《補語にのみ用いて》《話》(…を)悪いと(残念に)思っている《+『about』+『名』(『wh-節』)》 / 悪いこと;悪い状態 / 《話》ひどく,大いに(badly)
bad blood	不和,対立,敵意
bad-tempered	きげんの悪い,気むずかしい,怒りっぽい
baddie,baddy	《話》(小説・映画の)悪役
bade	bidの過去形
badge	『記章』,バッジ / 印
badger	アナグマ / 〈人〉をうるさく悩ませる
badinage	からかい,ひやかし / …をからかう,いじめる
badlands	荒地(岩石層が浸食作用により奇観を呈した地帯)
badly	『悪く』,まずく,へたに / 『大いに』,『ひどく』,非常に
badly-off	貧乏な,暮らし向きの悪い / (…に)恵まれない《+『for』+『名』》
badman	(特に西部開拓初期の)無法者,ならず者
badminton	バドミントン
badmouth	《俗》…をけなす,こっぴどくやっつける
badness	悪い状態;悪いこと,不良;劣悪;不吉
baffle	〈人〉を途方に暮れさせる / 〈音波・光・液体〉の流れを止める / 〈計画・努力など〉をくじく,挫折(ざせつ)させる / (水流・気流・音・光の)防止壁(幕)
bafflement	困惑,当惑,混乱 / (技術用語)妨害,遮断
baffler	挫折(ざせつ)させる人(もの);困らせる人(もの)
baffling	当惑させる
bag	袋 / 袋状の物 / (女性の)ハンドバッグ;旅行かばん,スーツケース / (…の)1袋分の量《+『of』+『名』》 / (野球の)走塁ベース / 獲物入れ;(猟の)獲物 / …を袋に入れる / 《話》〈獲物〉を捕える / 《話》を失敬する,こっそりもらう / (からの袋のように)だらりと下がる,だぶだぶする
bagatelle	玉突きの一種 / つまらないもの,ささいな事 / 小曲
bagel	ドーナツ型堅ロールパン
bagful	(…の)袋1杯[の量]《+『of』+『名』》
baggage	〈U〉《米》《集合的に》(旅行用)『手荷物』(《英》luggage) / 〈U〉軍用行李(こうり) / 〈U〉《おどけて》おてんば娘《形容詞的に》『baggage check』{名}〈C〉《米》手荷物チッキ,手荷物受取所『baggage claim』{名}〈C〉(空港の)手荷物受取の所『baggage room』{名}〈C〉《米》(駅の)手荷一時預り所
bagginess	かさばること,だぶだぶ
baggy	ふくれた,だぶだぶの
bagman	《米俗》わいろ(身代金)の受け渡しの使い走り
bagpipe	バグパイプ(Scotlandの高地人などの用いる皮袋で作った吹奏楽器)
bagpiper	バグパイプ奏者
bags	たくさん(…の)《+『of』+『名』》 / (男性用,また一般に)だぶだぶのズボン / 僕(私)のものだ!;僕が(私が)するんだ!
baguette	バゲット(フランスの細長いパン) / 長方形にカットした小さな宝石
bah	ふふん(嫌悪・軽べつの声)
bail	保釈;保釈金;〈C〉保釈保証人 / (保釈金を払って)…を保釈出所させる《+『名』+『out,』+『out』+『名』》 / (おけ・やかんなどの)つる / (タイプライターの)紙押さえ棒 / (舟から)〈水〉を汲み出す《+『名』+『out of』+『名』》;〈舟〉の水を汲み出す《+『out』+『名』,+『out』+『名』》 / 舟の水を汲み出す / (舟から水を汲み出す)バケツ,ひしゃく
bailable	保釈を許される
bailey	(城の外庭の)防御壁,外壁 / (城の)中庭
bailiff	執行官(刑事被告の監視と法廷内の秩序維持にあたる) / 《英》土地管理人
bailiwick	bailiffの管区 / (人の)得意な領域,本領
bailout	(飛行機事故や経済危機からの)緊急脱出
bailsman	保釈保証人
bairn	《スコットランド・北英》子供;むすこ,娘
bait	〈U〉〈C〉(つり針・わなに仕掛ける)『餌』(え),『えさ』 / 〈C〉おとり,わな,誘惑 / 〈つり針・わな〉にえさをつける / …に犬をけしかける / 〈人〉をいじめる,なぶる
baize	ベーズ(玉突き台などに張る緑色の柔らかい毛織地)
bake	(特にオーブンで)〈食物〉を『焼く』,焼いて料理する / 〈れんがなど〉を焼き固める;〈太陽が〉…を焦がす / (日にあたって)〈皮膚など〉を焼く / 〈パンなどが〉焼ける;〈人が〉パンを焼く / 〈土地・人などが〉日に焼ける
bake house	製パン所
bake sale	焼き売り,バザー(手作りの菓子などを売って集金するイベント)
baked Alaska	ベイクトアラスカ(アイスクリームケーキの表面を強火で焼いたデザートの一種)
baker	『パン屋』,パン焼き職人
baker's dozen	パン屋の1ダース(13個のこと;昔パン屋などが量目不足で罰を受けることを恐れて,おまけをつけた習慣に基づく)
bakery	パン製造所,パン屋
