balance beam	はかりざお / (体操の)平均台
balance of payments	国際収支
balance of power	(国家・集団間などの)力の均衡
balance of trade	貿易収支
balance sheet	貸借対照表
balance wheel	(時計の)平衡輪
balanced	バランスが取れた; 調和のとれた
balanced diet	均衡食(健康に必要な食物の種類と量を調整した食事)
balboa	バルボア(パナマ共和国の貨幣単位)
balbriggan	バルブリガン(特に下着に用いる無地のメリヤス布地)
balcony	『バルコニー』,露台 / (劇場の)2階さじき
bald	(頭が)『はげた』,(人が)『はげ頭の』 / (山に樹木がなくて)裸の,(木に)葉のない / (文体など)単調な,飾りのない / あからさまな,露骨な;隠し立てのない
bald eagle	ハクトウワシ(北米産;頭・首・尾が白い;米国の国章に用いられている)
bald-faced	隠しだてをしない,あからさまの,むき出しの
baldachin	(祭壇や玉座の上に作られた)飾り天蓋(がい)
balderdash	でたらめ,あほらしさ
baldheaded	頭のはげた
balding	(頭が)はげかかった
baldly	ありのまま,あからさまに
baldness	はげていること;はげ / 単調さ,飾りのなさ;ありのまま,露骨
baldpate	はげ頭の人
baldric	(昔の)飾り帯(剣・角笛などをつるすために肩から腰へ掛ける皮帯)
bale	(輸送または貯蔵用に包装した)(…の)大包み,こり,俵《+『of』+『名』》 / …をこりにする,俵に入れる / =bail
baleful	有割な;悪意のある
balk, baulk	〈建画など〉の『じゃまをする』,を『妨げる』;(…のことで)〈人〉のじゃまをする《+『名』+『in』+『名』》 / 〈馬などが〉急に止まって先へ進もうとしなくなる / 〈人が〉(…に)ひるむ,(…を)いやがる《+『at』+『名』(do『ing』)》 / (野球で)〈ピッチャーが〉ボークをする / 障害[物],妨害 / (野球で)ボーク
balky	(馬が)急に止まる癖のある
ball	〈C〉『球』,まり,『ボール』 / 〈U〉球技;野球(baseball) / 〈C〉(野球で) / ボール / 投球;打球 / 〈C〉弾丸(bullet) / 〈C〉球状のもの / 〈C〉(特の体の)丸くふくらんだ部分 / 《複数形》《俗》睾丸(こうがん),きんたま / …を球の形にする / 球になる / (規模の大きな正式の)『舞踏会』 / 《話》非常に楽しいひととき / 〈性俗〉(男性が)～と性交する
ball and socket joint	玉継ぎ手(先端が球状で凹型の軸受にはまる)
ball bearing	ボールベアリング,玉軸受け / ボールベアリングの玉
ball of fire	火の玉(行動派,情熱家を指して言う)
ball peen hammer	丸頭ハンマー(金属を打ち伸ばすため頭部の一道を半球状にしたもの)
ballad	民謡,バラッド(素朴な用語と短い節で書かれた民間伝承の物語詩)
ballade	バラード,物語詩,譚(たん)詩(フランス詩の一形式) / (音楽の)バラード,譚詩曲
ballast	底荷,脚(あし)荷(船に安定を与えるために船底に積む石・鉄など) / (気救の)砂袋 / (鉄道・道路に敷く)バラス,じゃり / 《比喩(ひゆ)的に》安定させるもの / 〈船〉に底荷を積む;〈鉄道〉にバラスを敷く
ballcock	浮き玉コック(水槽などの水量を自動的に調節する装置)
ballerina	女性バレーダンサー,バレリーナ
ballet	〈U〉バレエ / 〈C〉バレエ団
balletomane	バレエに夢中な人,バレエ狂
ballistic	弾道の;弾道学の
ballistic missile	弾道弾
balloon	『気球』,軽気球 / (おもちゃの)風船 / (気球のように)ふくれる《+『out』(『up』)》 / (気球のように)ふくれた
balloon tire	バルーンタイヤ(衝撃緩和に用いられる幅広い低圧タイヤ)
ballooning	気球操縦競技
balloonist	気球操縦者
