bank account	銀行勘定,当座預金
bank bill	《米》=bank note
bank clerk	銀行窓口係(《米》teller)
bank draft	銀行為替(かわせ)手形(《略》『B- D-』)
bank holiday	《英》銀行法定休業日(土・日曜以外に年数回あり,全国的な法定休日でもある) / 《米》(官命による)銀行休日(通貨の安定や銀行業務の改変のための休日)
bank rate	(銀行の)割引歩合,公定歩合(中央銀行によって定められる割引歩合)
bankbook	預金通帳
bankcard	銀行で発行するクレジットカード
banker	『銀行家』,銀行経営者 / (ゲームの)親,胴元
bankers cheque	銀行小切手
bankers order	(預金口座からの)定期的引き落とし(《英》standing order)
banking	銀行業務(経営)
banknote	銀行券,銀行紙幣
bankroll	金融資産;《話》手持ちの現金(資金) / …に資金を出す
bankrupt	『破産者』,支払い不能債務者 / 『破産して』 / 《補語にのみ用いて》(…を)欠いて,(…に)欠ける《+『of』(『in』)+『名』》 / …を破産させる;…を行きづまらせる
bankruptcy	破産[状態],倒産 / (性格などの)破たん
banner	《文》『旗』,軍旗,国旗 / (モットー・スローガンなどを掲げた)旗印,のぼり,たれ幕 / (また『banner head』[『line』])(新聞の)全段抜き大見出し / 優れた,一流の
banner headline	=banner{名}3
bannister	(階段の)手すり、欄干(らんかん),=banister
bannock	《英・スコットランド》バンノック(オートミールを主体にした菓子パン;米ではトウモロコシを用いる)
banns	結婚予告(教会での挙式前に新郎新婦の名前を公表し,その結婚に対する異議の有無を問う)
banquet	(公式の)『宴会』 / …のために宴会を開く / 宴会に列席する
banquet lamp	背の高い装飾ランプ
banqueting	=barkentine
banquette	壁に造りつけの長いす / (胸壁内側に沿った)射撃用足場 / (車道より高くなった)歩道
banshee	バンシー(アイルランド民話の中の妖精(ようせい);その泣き声は家人の死を予告するといわれる)
bantam	《しばしば Bantam》バンタム鶏,ちゃぼ / 小柄だが向こう意気の強い人 / 小柄だが向こう意気の強い
bantamweight	(ボクシング・レスリングの)バンタム級選手(flyweight の上;112‐118ポンド,51‐53.5キロ)
banter	(悪意のない)冗談,からかい / …をひやかす,からかう / 冗談をいう
banteringly	冗談に,からかって
bantling	子供
banyan tree	バンヤン樹(インド産クワ科の植物で,枝から多数の気根を生じ,それが根づいて,1本の木が広い土地を占める)
baobab	バオバブ樹(熱帯アフリカ産の巨木)
baptism	洗礼式(キリスト教会で信者にするために行う儀式;その他の宗教で水を使う儀式) / 最初の試練(経験)
baptismal	洗礼の
baptismal name	洗礼名(キリスト教の儀礼で使用される名前)
baptistery	洗礼堂;(教会の中の)授洗所;(バプテスト派教会の)浸礼用水盤
baptize,baptise	…に洗礼を施す / …に(…と)洗礼名をつける,命名する《+『名』〈目〉+『名』〈補〉》
bar	(木または金属の)『棒』;棒状の物 / 横木,(戸・とびらなどの)かんぬき,横さん / (一般に)(…対する)『障害』《+『to』(『against』)+『名』》 / (また『sand bar』)(河口・港口の)砂州 / (光・色などの)線条,しま,帯 / (酒場・旅館などの)酒を出すカウンター;バー,酒場;簡易食堂 / 《the~》(法廷の裁判官席・被告席・弁護士席と一般席との間の)仕切り;《比喩(ひゆ)的に》法廷 / 《集合的に》弁護士団,法曹界;弁護士[業] / (楽譜の小節を分ける)縦線;小節 / 〈戸・門など〉に『かんぬきをさす』 / 〈道・通行など〉を『妨げる』,はばむ / 《通例受動態で》…に線(筋)をつける / …を禁じる(forbid) / (…から)…を除外する,締め出す《+『名』+『from』(『out of』)+『名』》;(…に)…をとじ込める《+『名』+『in』+『名』》 / …の除いて(except)
bar billiards	玉突きの一種
bar car	(鉄道の)軽食堂車
bar chart	=bar graph
bar graph	棒グラフ
bar mitzvah	ユダヤ教の成人式(13歳になった男子をユダヤ教社会の成人として受け入れる儀式) / その儀式を受ける男子
bar parlor, bar parlour	(ホテルの)面談室
bar sinister	〈C〉盾形などにつける庶子(正妻でない女から生まれた子)の印 / 〈U〉《the bar sinister》《文》庶子であること(身分)
bar.	barometer / barometric / barrel
barb	(矢じり・つり針などの)あご,かかり / (針金につける)さかとげ,針 / …にあご(かかり,とげ)をつける
barbarian	未開人,野蛮人;(ギリシア・ローマ人からみた)異邦人,異教徒 / 未開人の,野蛮な;無教養の
barbaric	野蛮人の[ような];野蛮な / (文体・表現などが)奔放な,荒けずりの
barbarism	〈U〉野蛮,未開状態 / 〈C〉野蛮な言動
barbarity	〈U〉野蛮,非道 / 〈C〉野蛮な行為,残虐行為
barbarize,barbarise	…を野蛮化する
barbarous	野蛮な;残忍な;野卑な(savage)
barbecue	バーベキュー,《米》バーベキューパーティー(園遊会) / バーベキュー用の台 / 〈食用肉〉をじか火で焼く;…を濃く味つけしたソースで料理する
barbed	あご(かかり,さかとげ)のある
barbed wire	有刺鉄線
barbel	(魚の口辺の)ひげ / ヨーロッパ産の大きな淡水魚
barbell	バーベル(重量あげの鉄亜鈴(あれい))
barber	『理髪師』,理容師(hairdresser) / 〈人〉を散髪する
barberry	メギ(赤くて細長く酸味のある実をつける低木)
barbers pole	(赤白青のしま模様の)理髪店の看板柱
barbershop	《米》理髪店,理容店(《英》barber's [shop])
barbican	(城などの)物見やぐら,外堡(ほ)
barbital	バルビタール(催眠剤に用いられる)
barbiturate	バルビツール酸塩(睡眠薬・鎮痛剤用)
barcarole, barcarolle	(ベニスの)ゴンドラの船歌 / (一般に)船歌風の曲
bard	ケルト族の吟遊詩人 / (一般に)詩人
bare	『裸の』,『おおいのない』;露出した,むき出した / 『からの』,なにもない(empty) / 『ありのままの』,赤裸々な / 《名詞の前にのみ用いて》『かろうじての』,やっとの;ただ…だけの(mere) / …を裸にする,あらわにする;〈刀〉を燃く
bareback	くらなしで,裸馬に(乗って) / くらなしの,裸馬の
barefaced	素顔の / 公然の / 恥知らずな
barefoot	はだしの,裸足の / はだしで,素足で
barehanded	素手の,道具(武器など)を持たない / 素手で
bareheaded	帽子をかぶらない,無帽の / (敬意を表して)脱帽して / 帽子をかぶらないで
barelegged	素足の,はだしの / 素足で
barely	『かろうじて』,『やっと』[…する],わずかに[ある] / むきだしに,あからさまに
bareness	裸,むき出し
barfly	酒場の常連
bargain	『契約』,売買契約,取引き / 『安い買い物』;『掘り出し物』,見切り品 / 契約をする,条件を話し合う / 《『bargain』+『that』『節』》…であると契約する
barge	(運河などの)平底の荷船,はしけ / 遊覧船,屋形船 / …をはしけで運ぶ / のろのろ動く,よろよろ動き回る《+『about』(『around』)》
bargeman	はしけの船頭(船員)(《英》bargee)
bargepole	はしけの押し棒(さお)
baritone	〈U〉〈C〉バリトン(tenorとbassとの中間の男声音) / 〈C〉バリトン歌手 / バリトン歌手(楽器)の
barium	バリウム(金属元素・化学記号はBa)
barium meal	(X線検査の前に飲む)バリウム浴液
bark	木の皮,樹皮 / 〈木〉の皮をはぐ / …を樹皮でおおう / …の皮膚をすりむく / (…に)『ほえる』,ほえつく《+『at』+『名』》 / (…に)ほえるようにしゃべる,(…を)どなる《+『at』+『名』》 / …をどなって言う《+『名』+『out』,+『out』+『名』》 / (犬・アザラシなどの)『ほえ声』 / どなり声 / 砲声,銃声,銃声 / バーク(3本マストの帆船の一種) / 《詩》船
barkeeper	バーの経営者 / バーテン
barkentine,barqentine	バーケンティン(3本または4本マストの帆船)
barker	どなりたてる人,ほえる動物 / 《おもに米》(商店・見世物などの)客引き,呼びこみ
barley	大麦(ビール・ウイスキー醸造用の麦芽(malt)をとる)
