beef cattle	食肉用の牛
beef tea	《おもに英》=beef bouillon
beefcake	男性の肉体美[写真]
beefeater	ロンドン塔の守衛,英国王の護衛兵(yeoman of the [English royal] guard) / 牛肉を食べる人
beefsteak	(ステーキ・フライ用)牛肉の切り身;(それを焼いた)ビフテキ
beefy	《話》筋肉のたくましい,肉づきのよい
beehive	=hive / 〈C〉蜂の巣 / 〈C〉人の混み合っている場所
beekeeper	養蜂(ようほう)家
beeline	一直線;(…への)最短路《+『for』(『to』)+『名』》
been	beの過去分飼形
beep	(車の警笛,ラジオの時報;無線の発信音などの)ビーという音 / 〈車などが〉警笛を鳴らす;〈無線受信器が〉ビーという発信音を出す / 〈警笛〉を鳴らす《+『out』+『名』+『out』》
beeper	通話中に電話が録音されていることを知らせる発信装置
beer	〈U〉『ビール』;〈C〉コップ1杯(びん1本)のビール / 〈C〉発酵性飲料(アルコール分の有無に関係ない)
beer money	(夫の)へそくり
beerhouse	ビアホール(ビール・エールなどアルコール分の少ない麦芽酒だけを飲ませる酒場)
beery	ビールの[ような] / ビールに酔った
beeswax	蜜蝋(みつろう)(みつばちの巣を湯で溶かして採取する黄褐色のろう;ろうそく,化粧品,木材家具のつや出しなどに用いる)
beet	〈C〉《しばしば複数形》(野菜サラダなどに用いる)赤かぶ,サンゴジュナ(red beet)(葉・根ともに食用) / 〈U〉〈C〉《米》その根の部分(《英》beetroot) / 〈C〉砂糖大根
beet sugar	甜菜(てんさい)糖
beetle	甲虫,カブトムシ;(一般に)甲虫に似た虫類(ゴキブリなど) / (木製の)大づち,かけや,布打ち用のつち,すりこぎ,きね / (大づちで)…を打ち込む / 〈まゆ,がけなどが〉出っぱっている,突き出る / 出っぱっている;(特にまゆ毛が)突き出ている
beetle brows	げじげじまゆ
beetle-browed	まゆ毛が太く突き出た,毛虫まゆの / しかめっつらをした,不機嫌な
beetling	=beetle {形}
beetroot	ビートの食用根
beeves	beefの複数形
bef.	before
befall	〈悪事・災難などが〉…のに降りかかる,〈運などが〉…を訪れる / 〈災難・不運などを〉降りかかる,訪れる
befit	《文》…に適する,ふさわしい,似合う
befitting	適している,ふさわしい
befog	…を霧(雲)で包む / (…で)〈問題・論点など〉をぼかす,あいまいにする《+『名』+『with』+『名』》
before	《場所・位置》…『の前に』,を前にして / 《時》…『より前に』(earlier than…) / (裁判・審理などのために)…の前に / …の前途に,に用意されて,を待って / (困難・不利など)に直面して / (力・勢いなど)に追われて,押されて,攻撃されて / 《順序・階級・価値など》…『よりまさって』,に優先して,より重要で / 《優先》…よりむしろ,するくらいなら(rather than) / 《場所・位置》『前へ』(『に』),前方へ(に),先へ(に) / 《時》『以前に』,すでに(already);今までに,その時までに / (予定より)早く,前に / 《時》…する前に,しないうちに / 《優先》…するより[むしろ],…するくらいなら(rather than)
beforehand	前もって[の],あらかじめ[の]
befoul	(…で)…を汚す,汚くする《+『名』+『with』+『名』》
befriend	…の友(味方)となる,に力を貸す,を援助する
befuddle	(…で)…を混乱させる,まごつかせる《+『名』+『with』+『名』》
beg	(…に)〈食物・衣服・金銭など〉を『くださいと頼む』,〈恩恵・許しなど〉を懇願する(ask for)《+『名』+『from』(『of』)+『名』》 / 〈人〉に『懇願する』,熱心に頼む / 『施しを請う』;こじきをする / (…を)『熱心に頼む』,懇願する
began	beginの過去形
beget	(父親が)〈子〉をもうける / 《父》…を生じさせる
beggar	こじき / 貧乏人,貧困者 / 《おもに英話》やつ,野郎 / …を貧困に陥らせる,零落させる
beggarly	こじきのような,見すぼらしい / 貧弱な,おそまつな
beggary	貧困,赤貧 / さもしさ,卑劣
begging	begの現在分詞形 / 物ごいの / 物ごい
begin	『始まる,開始する』 / 発生する,起こる / …を『始める』,に着手する / …を起こす,創始する
beginner	初学者,初心者 / 創始者
beginning	『初め,最初』,すべり出し(starting point) / 《しばしば複数形で》初期,初めの部分,幼少期 / 起源,起こり(or in)
begone	立ち去る,消えうせる
begonia	ベゴニア(熱帯性の園芸植物)
begot	begetの過去形
begotten	begetの過去分詞形
begrime	(あか・すすなどで)…を汚す,汚くする《+『with』+『名』》
begrimed	(どろ・すすなどで)汚された,しみをつけられた《+『with』+『名』》
begrudge	=grudge
beguile	〈人〉をだます,たぶらかす(deceive) / (…で)〈時〉を楽しく過ごす,〈暇・たいくつなど〉を紛らす《+『名』+『with』+『名』》
beguine	ビギン(ボレロ調の南米のダンス)
begun	beginの過去分詞形
behalf	大義, 大目的; 支持, 利益; 《古》 点, 面
behave	《状態を表す副詞[句]を伴って》(…に)『ふるまう』 / 『行儀よくする』,ちゃんとしている / 《状態を表す副詞[句]を伴って》〈船・車・機械などが〉(…にように)動く,作動する / 〈自分自身〉を(…のように)ふるまう
behavior,behaviour	『ふるまい』,行動;(相手への反応として示す)『態度』;行儀,品行 / (ある状況での物の)作用,反応;(車などの)調子
behavioral,behavioural	行動の
behaviorism,behaviourism	行動主義(人間・動物の行動に現れた客観的事実を取り出して心理学研究の対象とする)
behead	…の首をはねる
beheld	beholdの過去・過去分詞形
behemoth	《しばしば『B-』》旧約聖書「ヨブ記」の中のカバと思われる巨獣 / (一般に)巨大でグロテスクな人(動物)
behest	命令,指令
behind	《場所・位置》…『の後ろに』,『の陰に』[隠れて] / 《比喩的に》…の陰に隠されて,の裏に(at the back of) / …を支持して,…に味方して / 《leave,remain,stayなどの動詞と共に用いて》…『の後に』,が去った後に / (定められた時刻)『に遅れて』;(知識・仕事・進歩などが)遅れて / 過ぎ去って,過去に / 《場所・位置》『後ろに』,陰に[隠れて] / 《leave,remain,stayなどの動詞と共に用いて》『後に』 / (定められた時刻に)『遅れて』;(知識・仕事・進歩などが)遅れて / (人の)しり
behindhand	(時刻・時勢・進歩などに)遅れた《+『in』+『名』(do『ing』),+『with』+『名』》 / 遅れて;ひけをとって / 借金して
behold	…を見る,ながめる;注視する / 見よ(look)
beholden	(…の)恩義を受けて《+『to』+『名』》
behoof	《古》利益,必要
behoove	《米》《文》《『it』『behooves』+『名』+『to』do》…に(する)義務がある,…が(…するのは)当然である(ふさわしい)
behove	《英》=behoove
beige	ベージュ色(淡いとび色・黄色味を帯びた薄い茶色);ベージュ色の毛織物 / ベージュ色の
being	〈U〉存在,実在(existence);生命(life) / 〈U〉本質,本性(nature) / 〈C〉生き物 / 存在 (existence); もの; 生存, 人生 (life); 生き物; 人間 (human being); [B#] 神; 【哲】 本質, 本性
bejewel	(宝石で)…を飾る
bel canto	ベルカント(なめらかな柔らかいイタリア歌唱法)
belabor,belabour	…を議論でやりこめる / …を長々としゃべる,しつこくののしる
belated	(予期された時間に)遅れた;(あいさつなど)遅ればせの
belay	〈船のロープ〉を綱留め栓に8字形に巻く / 《命令文に用いて》…をやめる(stop)
belaying pin	(船のロープの)綱留め栓
belch	おくび,げっぷ / (ガス・煙・水などの)噴出;噴火 / …を激しく噴出する《+『forth』(『out』)+『名,』+『名』+『forth』(『out』)》 / おくびをする,げっぷが出る
beldam, beldame	醜くて性悪な老婆
beleaguer	…を包囲する / (何回にもわたるおどし・要求などで)〈人〉をしつこく悩ませる
belfry	鐘楼(教会などに付属したもの,独立したもの(campanile)両者を含む)
belie	〈事柄・行為などが〉…を正しく伝えない;…と食い違う,矛盾する / 〈結果・業績などが〉〈期待など〉を裏切る,にそむく
belief	『信念』,確信,所信 / 〈U〉(人・物への)『信頼』,信用《+『in』+『名』》 / 〈U〉(あるものの真実性・存在を)信じること,容認《+『in』+『名』》 / 〈U〉〈C〉(…への)信仰,信心《+『in』+『名』》
believable	信じられる,信用できる
believe	(現実・真実であると)〈事〉を『信じる』,信用する / 〈人〉を『信じる』,信用する;〈人〉の言ったことを信じる / 《1,2の弱い意味に,同じ文型で用いて》…と『思う』,考える(think) / 信ずる;信仰する
believer	(…を)信じる人,(…の)信奉者,信者《+『in』+『名』》
belike	どうも…らしい,おそらく,たぶん
belittle	…を軽視する / …を小さく見せる
bell	『鐘』,釣り鐘;『鈴』,『ベル』,りん / 〈U〉鐘(鈴,ベル)の音 / 〈C〉鐘(ベル)状のもの / 〈C〉点鐘(船の当直交替を0時から4時間ごとに区切り,その間を30分ごとに1‐8点鐘で時を報じる.例えば2つ鳴らすことを2点鐘といい,午前または午後の1時,5時,9時を指す.8点鐘は当直交替の時間) / …に鈴を付ける,にベルを取り付ける / (鈴・鐘のように)…をふくらませる
bell buoy	鐘打ちブイ(暗礁・浅瀬に設けてある浮標で,波の動きで鳴る)
bell jar	釣り鐘状ガラス器(化学実験器や装飾品のカバーなど)
bell pull	ベルの引きひも
bell push	(ベルの)押しボタン
bell tower	(教会などの)鐘楼
belladonna	ベラドンナ(ナス科の有毒薬用植物)
bellbottom, bellbottomed	(ズボンの)すそが広く開いた,らっぱ型の
bellbottoms	らっぱズボン
bellboy	ベルボーイ(呼びりんに応じて荷物運びや使い走りをするホテル・クラブのボーイ;《米》bellhop)
