bicycle	(2輪の)『自転車』 / 自転車に乗る,自転車で行く
bicyclist	自転車に乗る人,自転車常用者
bid	《文》(権威をもって)〈人〉に『命じる』,指示する / 《文》〈あいさつ・祝福・祈りなどの言葉〉を〈人〉に『言う』,述べる《+『名』〈間〉+『名』〈直〉=+『名』+『to』+『名』》 / (競売などで)(…に)〈値〉を『つける』,せる《+『名』+『for』(『on』)+『名』》 / (カードゲームで)〈せり札〉を宣言する / 《文》命令する,さしずする / (…に)値をつける,(…を)入札する《+『foe』+『名』》;(…と)せり合う《+『against』+『名』》 / つけ値;入札 / (カードゲームでせり札の)宣言 / 《米話》招待 / 努力,試み
biddable	(人が)柔順な,すなおな
bidden	bidの過去分詞
bidder	(カードゲームで)せり札の宣言者 / せり手,入札者
bidding	〈U〉入札,せり / 〈C〉言いつけ,命令 / 〈C〉(カードゲームで)せり札の宣言
biddy	めんどり(hen) / おしゃべりな老女
bide	とどまる; 住む; 待つ / こらえる, 我慢する.
bidet	ビデ(女性用局部洗浄器)
biennial	(行事など)2年ごとの / (事態など)2年間続く;(植物が)2年生の / 2年生植物(ムギ・エンドウなど) / 2年ごとの行事,ビエンナーレ
biennium	2年間
bier	(棺を載せる)棺台
biff	すばやいパンチ,一撃 / …をぶんなぐる,に一撃を加える
bifocal	焦点が2つある;(遠視・近視の)2焦点のある / (遠視,近視の)2焦点レンズ;《複数形で》(遠視,近視両用の)2焦点めがね
bifurcate	〈道路・川などが〉二またに分かれる,分かれて二本になる / 二またに分かれた
bifurcation	〈U〉分岐,二また状 / 〈C〉分岐点
big	(大きさ・高さ・広さ・数量・容積などについて)『大きい』 / 成長した(grown-up),成熟した;年長の(older) / 《話》『重要な』 / 尊大な,ごう慢な / 寛大な,心の大きい / 《補語にのみ用いて》(…に)満ちて《+『with』+『名』》 / 《補語にのみ用いて》(子を)宿して《+『with』+『名』》 / 偉らそうに;大きく
big bang theory	宇宙大爆発生成論(宇宙の始まりは水素原子の爆発であるという説)
big brother	兄(older brother) / (国家の)独裁者
big business	大企業
big deal	(相手の話を一笑して)なんだ,それだけのことか,ふん,たいしたことないじゃないか
big game	(ライオン・トラなどのような)大きな獲物
big mouth	ほら吹き、大言壮語、大きい口、おしゃべりな人、ペラペラよくしゃべる人、よくしゃべること、一方的によくしゃべる人、多弁
big name	有名な,人気のある
big shot	大立て者,お偉方
big sister	姉(older sister)
big stick	政治的(軍事的)圧迫,威圧;力の誇示
big time	(スポーツなどで)最高水準;高い地位 / とても愉快な時 / 絶好調{ぜっこうちょう}、1日2回上演の高級興業、ヘロイン / 一流{いちりゅう}、最高水準、大物、大企業 / まったくひどく、極めて、完全に、すごく、非常に、とても、大いに / 本格的に、真剣に
big top	(サーカスの)大テント;サーカス
big tree	世界樹(米国 California 州に産する巨大な針葉樹;高さ100m,直径10mに達するものがある)
big-league	大型の,一流の
big-name	重要人物(団体)
big-ticket	高価な,ぜいたくな
big-time	(スポーツ選手などが)最高水準にいる,高い地位の / とても愉快な
big-timer	一流の選手(人),重要人
bigamist	重婚者
bigamous	重婚罪の,同時に2人の夫(妻)を持った
bigamy	二重結婚;重婚罪
biggie	〈C〉重要人物 / 重大なこと《略式》 / =big shot
bighead	偉ぶった人,うぬぼれ屋
bighearted	親切な;寛大な
bighorn	(ロッキー山脈に住む)オオツノヒツジ
