blood sport	血を見るスポーツ(闘牛,狩猟など)
blood sugar	血糖(血液中のブドウ糖)
blood test	血液検査
blood transfusion	=transfusion
blood type	=blood group
blood vessel	血管
bloodbath	大量殺人
bloodcurdling	血も凍るような,ぞっとするような
blooded	純血の,純種の / 《複合語を作って》「…の血(性質)を持った」の意を表す
bloodhound	ブラッドハウンド(英国産の猟犬;犯人追跡・行方不明者捜索に用いる)
bloodily	血まみれになって,血に染まって / 《英俗》ひどく,べらぼうに
bloodiness	血まみれ,血なまぐさいこと,残虐さ / 《英俗》いまいましいこと,べらぼうなこと
bloodless	血の気がない,青ざめた / 血を流さない,無血の / 元気(生気)のない,情熱のない / 冷酷な
bloodletting	瀉血(しゃけつ)(静脈を切って血を流す高血圧などの治療法) / 流血
bloodline	(特に動物の)直系血統(pedigree)
bloodlust	殺意,殺害心
bloodmobile	移動採血車
bloodroot	根の赤い北米原産のケシ科の多年草
bloodshed	流血,殺害
bloodshot	(目が)充血した,血ばしった
bloodstain	血痕(こん)
bloodstained	血痕のついた
bloodstock	(競走馬としての)サラブレッド
bloodstone	血玉髄,血石(玉髄に赤い斑点のある石)
bloodstream	(体内の)血流
bloodsucker	吸血動物,ヒル(leech) / 搾取者,高利貸し
bloodthirstily	血に飢えて,残忍に
bloodthirsty	血に飢えた,残忍な
bloody	『出血している』(bleeding) / 『血まみれの』,血でよごれた / 血なまぐさい,残酷な / 《英俗》ひどい,忌まわしい(damned) / ひどく(damned) / …を血まみれにする
bloody-minded	反抗的な,あまのじゃくの
bloom	〈C〉(特に観賞用植物の)『花』 / 〈U〉《a~,the~》 《集合的に》花 / 〈C〉開花;開花期,花盛り / 〈U〉(ある状態の)真っ盛り;(ほおの)ばら色,健康色 / 〈U〉(ほおの)健康な桜色 / 〈U〉(ブドウなどの果実の表面に生ずる)白い粉 / 〈特に,草花が〉花が咲く,開花する / 真っ盛りである,栄える
bloomer	花の送く植物 / 技術・才能などを伸ばしていく人(青年) / 《英俗》大失敗,どじ
bloomers	ブルーマ(女子の運動用パンツの一種) / (19世紀中ごろの)ブルーマ型婦人ズボン
blooming	花盛りの,真っ盛りの / 《英俗》ひどい,とほうもない
blooper	《米話》(ラジオやテレビ放送での)へま,失言 / テキサスヒット(野球で内野と外野の間に落ちてヒットになるフライ)
blossom	〈C〉(特に果樹の)花 / 〈U〉《集合的に》花(木立または木全部の花) / 〈C〉開花;開花期 / 〈木が〉花が咲く,花が開く / 発展する,栄える《+out》;(…に)成長する《+[out]into+名》
blot	(特に,インクなどの)汚れ,しみ / (人格・名声などにつけられた)汚点,汚名 / 〈他〉…にしみをつける,を汚す / (吸取紙で)…の汚れ(しみ)を吸い取る;〈汚れ・しみ〉を吸い取る
blotch	大きなしみ,よごれ / 吹き出物,おでき / …を汚す,にしみをつける
blotchy	しみ(できもの)だらけの
blotter	吸取器,(台に取り分けた)吸取紙 / 《米》控え帳
blotting paper	吸取紙
blotto	酔っぱらった,へべれけの
blouse	(婦人・子どもの着る)ブラウス / (ヨーロッパの農夫・労働者・画家などが着用する)仕事着,うわっぱり / 《米》軍装の上着
blouson	ウエストを締め上をゆったりさせた婦人用上着
blow	〈風が〉『吹く』 / 《副詞[句]を伴って》(…に)風(空気)を送る,吹きつける《+at(on)+名》 / 『風で動く』,なびく,吹き飛ぶ / 〈オルガン・笛・らっぱが〉鳴る / (壊れて,だめになって)吹っ飛ぶ《+『out』》 / 〈クジラが〉潮を吹く / 《副詞[句]を伴って》〈風が〉…を『吹く』,吹き動かす,に吹きつける,〈人が〉…を吹く,吹き払う / …を吹き鳴らす / …を吹いて作る(ふくらませる) / 〈鼻〉をかむ / (爆発・故障で)…を吹き飛ばす / (無器用に・むちゃくちゃにやって)…を吹き飛ばしてなくす / 《命令形または受動態で,いまいましい気持ちを表して》 / 一吹き;《話》さっと吹く風 / (楽器の)吹奏 / (クジラの)潮吹き / (手・こぶし・武器などによる)『強打』,打撃 / (…への)(精神的な)『打撃』,不幸《+『to』+『名』》
blow job	= fellatio・フェラチオ・尺八・クンニリングス ・オーラルセックス
blow-by-blow	遂一説明(報告)した
blower	吹く人 / 送風装置
blowfly	クロバエ(腐った肉などに産卵する)
blowgun	吹き矢筒
blowhard	《米話》ほら吹き
blowhole	(トンネル・地下室などの)通風孔 / (クジラの)噴気孔 / (鋳物の)気泡(ほう) / (アザラシなどが呼吸するための)氷の中の穴
blowlamp	ブローランプ(溶接用ガスバーナー)
blown	blowの過去分詞
blowout	(タイヤの)パンク / (ヒューズ)の吹き飛ぶこと / (油・ガスの)漏出
blowpipe	吹管(すいかん);火吹き竹 / =blowgun
blowsy	=blowzy
blowtorch	=blowlamp
blowup	爆発 / 《話》かっとなること / (写真の)引き伸ばし
blowy	風のある,風の強い
blowzy, blowsy	(通例女性が)だらしのない / うすぎたない,見苦しい / 赤ら顔の
blubber	〈U〉クジラ・アザラシなどの脂肪 / 〈C〉泣きじゃくり / いくじなく泣きじゃくる / …を泣き言う
blucher	上端が両側に折り重なる皮製の半長靴
bludgeon	(先に重みをつけた)こん棒 / …をこん棒でなぐる / …をおどかす;…に無理やりさせる
blue	『青い』,あい色の / 青黒い / 《話》陰気な,憂うつな / 〈U〉『青色』,あい色;青色の着物 / 〈U〉〈C〉青色絵の具,あい色染料 / 《the~》《詩》青空,青い海 / 《the blues》《話》気のふさぎ,うれいの色 / 《the blues》《ときに単数扱い》(ジャズ音楽の)ブルース / …を青色にする
blue Peter	出帆旗(青地の中央に白の方形のある出帆を知らせる旗)
blue baby	先天性チアノーゼの赤ん坊
blue box	《俗》長距離電話料金を払わずにすむように電話機につける不正電子装置
blue cheese	ブルーチーズ(牛乳からつくる青かびチーズ)
blue film	ブルーフイルム(性行為映写フイルム)
blue gum	ユーカリ樹の一種
blue jay	アオカケス(北米東部産の羽冠のあるカケス)
blue jeans	ブルージーン[ズ](青色の厚いもめんで作った作業着または遊び着)
blue law	(昔の清教徒の)厳法(日曜日の仕事や飲酒,ダンスを禁じる厳格な法)
blue moon	〈U〉青い月 / 《a~》《話》とても長い間
blue point	小さいカキの一種;(米国Long IslandのBlue Point産)
blue ribbon	(英国のガーター勲章の)青リボン / (一般に)最高級
blue sky law	青空法(特に不正証券取引禁止法)
blue-black	暗青色の,濃いあい色の
blue-blooded	(人が)貴族の生まれの,名門の出の
blue-chip	一流株,優良安定株
blue-collar	(工員・労働者など)賃金労働者の,肉体労働者の
blue-collar worker	工員,労働者
blue-pencil	(校正で)〈原稿〉に青鉛筆で手を入れる
blue-plate	(献立表にのせる)肉・野菜を一皿に盛りつけた料理の主なコース
blue-ribbon	第一級の;特選の
bluebell	空色のつり鐘形の花をつける植物の総称;スコットランドのイトシャジン,米国のハマベンケイソウなど
blueberry	コケモモ類
bluebird	ルリコマドリ(北米産の青い羽の鳴き鳥)
blueblood	〈U〉貴族の生まれ,名門の出 / 〈C〉《話》貴族
bluebonnet	ヤグルマギク;青花ルピナス(米国Texas州の州花)
bluebook, bluebook	青書(《英》では議会または政府報告書;《米》では職員録または紳士録をいう) / 《米》大学の試験の答案用紙(一般に)試験
bluebottle	アオバエ(光沢のある青いハエ) / ヤグルマギク
bluecoat	紺色の服(制服)を着ている人;(南北戦争で紺色の軍服を着ていた)北軍兵士
bluefish	アミキリ(米大西洋岸産のアジの一種)
bluegill	米国Mississippi川流域産のクロマス科の淡水魚
bluegrass	イチゴツナギ(牧草,芝草用に栽培される,青緑色の葉や茎をもつ草) / ブルーグラス(バンジョーを主体とした米南西部に発達した音楽)
blueing	= bluing
blueish	= bluish
bluejacket	水兵
