bluenose	堅物,道徳を振りかざす人 / (カナダ)ノバスコシア州の人(愛称)
blueprint	(建築・機械の設計図の)青写真 / (詳細な)計画 / …を青写真にとる
bluestocking	《軽べつして》文学かぶれの女性,学才を誇る女
bluet	青い花の咲く植物の総称;ヤグルマソウなど
bluff	『絶壁の』,切り立った / (不親切ではないが)『ぶっきらぼうな』,無愛想な / 絶壁;切り立った岬 / 〈U〉虚勢,はったり;こけおどし / 〈C〉虚勢を張る人 / (…するように)〈人〉をこけおどし(はったり)でだます《+『名』+『into』 do『ing』》 / こけおどし(はったり)をかける
bluffer	はったり屋
bluing, blueing	青色染料、漂白補助剤(洗濯用) / 青焼け、青色化(鉄・鋼などの表面処理)
bluish, blueish	青みがかった
blunder	『大失敗』,大しくじり / 《副詞[句]を伴って》まごまごして歩く,まごつく / 『大失敗をする』,へまをする / …をやりそこなう / …をうっかり言う《+『out』+『名,』+『名』+『out』》
blunderbuss	らっぱ銃(17‐18世紀ごろに用いられた筒先の太い短銃)
blunderer	へまをやる人,とんま
blunt	『切っ先の鈍い』,なまくらの / 『ぶっきらぼうな』,無愛想な / …を鈍くする,鈍らせる / なまくらになる,鈍る
bluntly	ぶっきらぼうに,無愛想に
bluntness	ぶっきらぼう,率直
blur	にじみ;しみ,汚れ / 不鮮明;かすみ,曇り / (…で)…を汚す《+『名』+『with』+『名』》 / …をぼんやりさせる,曇らす
blurb	本のカバーなどの短い自賛的内容紹介
blurt	…をなにげなく言う,うっかり口をすべらせる《+『out』+『名,』+『名』+『out』》
blush	(当惑・恥ずかしさのために)『顔を赤らめる』,赤面する / 〈C〉(当惑・恥ずかしさによる)『赤面』 / 〈U〉〈C〉赤み,ばら色
bluster	〈風が〉吹きまくる,吹き荒れる / 〈人が〉たけり狂う,どなりちらす / …をどなって言う,どなりつける《+『out』+『名,』+『名』+『out』》 / (風の)吹き荒れること / どなりつけること,騒々しいこけおどし
blustery	(風が)吹きまくる / (人が)たけり狂う,大声でどなる
blvd.	boulevard
bn.	battalion
boa	(また『boa constrictor』)ボア(熱帯アメリカ産の大ヘビで獲物を絞め殺してから食べる習性がある) / ボア(毛皮または羽毛製の長い婦人用えり巻き)
boa constrictor	〈C〉ボアコンストリクター(体長が非常に長く体を締めて獲物を捕食する蛇の一種)
boar	(去勢しない)雄ブタ / =wild boar
board	〈C〉(ある程度の長さと幅をもった薄い)『板』 / 〈C〉ボール紙,台紙 / 〈C〉食卓;〈U〉食事,(特に有料の)まかない / 〈C〉甲板(かんぱん),船べり / 〈C〉『委員会』;(官庁の)局,部,課 / 《the boards》舞台 / …に板を張る,を板で囲う《+『up』(『over』)+『名,』+『名』+『up』(『over』)》 / …に食事を出す,をまかない付で下宿させる / …に乗り込む / (…に)まかない付きで下宿する,食事つきで滞在する《+『at』+『名』〈場所〉,+『with』+『名』〈人〉》
board of education	教育委員会 / 《the B- of E-》《英》文部省(1944年以前の名称;the Ministry of Educationを経て,1964年以来the Department of Education and Science)
board of trade	商工会議所 / 《the B- of T-》《英》商務省
boarder	(まかない付きの)下宿人;寄宿生
boarding	まかない付き下宿 / 板囲い / 乗車,塔乗
