boldface	肉太活字
boldfaced	(人・行動が)厚かましい,ずうずうしい,つらの皮が厚い / 肉太活字の
boldly	『大胆に』;ずうずうしく / 際立って,はっきりと
boldness	大胆さ;ずぶとさ,厚かましさ
bole	木の幹
bolero	ボレロ(3/4拍子のスペインの舞踊;その曲) / ボレロ(前が開いた短い上着)
bolivar	ボリバル(ベネズエラの貨幣単位;=100センティモ);その銀貨
boll	(綿・亜麻などの)さや
bollard	《英》(街路中央にある横断着用)保護柱 / 繋船(けいせん)柱 / (街路にある車通行禁止を示す)柱
bolo tie	飾り留金のついたひも状ネクタイ
bologna	ボローニャソーセージ(牛肉・子牛肉・豚肉製の大きなソーセージ)
boloney	《英》=baloney
bolshy	《英話》(人・行為が)反社会的な,(共通の目的に)非協力的な
bolster	(円筒形の)長まくら / (一般に)まくら / …を支える
bolt	『ボルト』(木・鉄板を締め合わせる締めくぎ) / (戸締まりの)『かんぬき』,差し錠 / 石弓(crossbow)用の短く太い矢 / 『いなずま』,電光 / 《単数形で》(突然の)脱走,逃亡 / (布・紙の)一巻き《+『of』+『名』》 / 《米》脱党 / 〈戸・窓など〉にかんぬきを掛ける;…をかんぬきを掛けて閉じ込める / 《米》…と関係を絶つ / 〈食べ物〉をうのみにする,大急ぎで食べる / 急に飛び出す,急に駆け出す / まっすぐに / …をふるい分ける
bolt hole	逃げ[込み]場所
bolus	(動物用の)大きい丸薬 / かみこなれた食物の丸い固まり
bomb	『爆弾』;《the bomb》原子爆弾 / 《米話》大失敗 / …を『爆撃する』;…に爆弾を投下する
bomb bay	(爆撃機の胴体の)爆撃倉
bomb disposal squad	《集合的に》不発弾処理班(隊)
bombard	…を砲撃する,爆撃する / (質問などで)〈人〉を攻めたてる《+『名』+『with』+『名』》
bombardier	(爆撃機の)爆撃手
bombardment	砲撃,爆撃
bombast	大げさな言葉,大言壮語
bombastic	(言葉などが)大げさな,大言壮語の
bombastically	大げさに,誇張して
bomber	爆撃機 / 爆撃手 / 爆撃魔
bombproof	防弾の,爆弾の通らない
bombshell	爆弾,砲弾 / 《話》爆発的な事を起こす人(物)
bombsight	(軍用機の)爆撃照準器
bombsite	(空爆による)都市の被爆地
bon appétit	たくさん召し上がれ
bon mot	名文句 / 洒落
bon vivant	美食家,食道楽
bon voyage	道中ご無事に,ごきげんよう / ご無事でというあいさつ
bona fide	真実の,誠実の / 真実に,誠実をもって
bona fides	(法律用語で)善意,誠意
bonanza	(鉱山中の)富鉱帯 / 《話》(富鉱帯を掘りあてたような)大当たり,思いがけない大幸運;宝庫
bonbon	ボンボン(ジャム・ナッツなどを甘く包んだ糖菓)
bond	〈C〉『縛る物』 / 《通例複数形で》『束縛』,拘束,かせ / 《しばしば複数形で》(血縁,義理などの)『きずな』,縁 / 〈C〉契約 / 〈C〉『証書』,証文;『債券』,公債 / 〈U〉(石・れんがなどの)つなぎ方,組積み / 〈U〉保税倉庫入り / 〈U〉接着,接合;接着剤,接合剤 / 〈品物〉を担保とする / …の保証人となる / (債券などを発行して)…の支払いを保証する / …をつなぐ,結ぶ(bind together) / つながる
bond paper	ボンド紙(書簡用紙などに用いる上質紙)
bondage	奴隷(農奴)の身分 / (行動の)束縛
bonded	合板の / 公債(債券)で保証された;担保付きの / (輸入貨物が)保税倉庫留め置きの
bonded warehouse	保税倉庫(税関を通過していない輸入貨物を入れる倉庫)
bondholder	債券所有者
bondsman	C〉保証人 / 奴隷《古》
bone	〈C〉骨 / 〈U〉骨を作っている物質,骨質 / 《複数形で》骨格;死骸(がい) / 〈魚など〉の骨を取る
bone china	骨灰磁器(骨灰を混ぜて造る半透明の磁器)
