bottleful	(…の)1びんの量《+『of』+『名』》
bottleneck	びんの首 / 狭い通路 / 進行を妨げる物
bottom	(物の)『底』《+『of』+『名』》 / (海・川・湖・井戸などの)底《+『of』+『名』》 / (…の)『下部』,『底部』,根元《+『of』+『名』》 / (…の)根底,基礎;(…の)心底,奥底《+『of』+『名』》 / 船底,船腹;(一般に)船,船舶 / 《話》しり(posterior) / 《複数形で》川沿いの低地(低い牧草地) / 最低の;最後の / 底の;根底の
bottom drawer	=hope chest
bottom line	(損益計算書や収益報告書の)最下行、計算結果、最終帳尻、最終的な収益[損益]、純損失、利益高、当期利益、純利益、総決算 / 最終結果、最終決定、結論、肝心な点、本質、かなめ、重要点、本当のこと、本音 / 基本線 / 女性のヒップの線
bottom-line	(決算書で最終的な損益の)決算数字 / 最終結果,結論
bottomland, bottomland	川沿いの低地
bottomless	底なしの;測りしれない
botulism	ボツリヌス中毒,腸詰中毒
bouclé,boucle	ループのある輪奈(わな)糸 / 輪奈糸で織った織物
boudoir	婦人の私室
bouffant	(髪・ドレスなどが)ふくらんだ,ふっくらした
bougainvillea	ブーゲンビリア(南米原産のオシロイバナ科のつる植物)
bough	(木の)『大枝』
bought	buyの過去・過去分詞
bouillabaisse	ブイヤベース(魚・エビ・トマト・サフランなどをオリーブ油でいため,水を加えて煮たフランス風寄せなべ)
bouillon	ブイヨン(牛肉・鶏肉などの澄ましスープ)
boulder	丸石,玉石(cobblestoneより大きいもの)
boule	ブール(パンの一種) / フランスの球技ペタンクで使う金属製の球 / (結晶成長でできる)単結晶インゴット / (フランスの)ブール(球技)/ (古代ギリシャの)市民評議会
boulevard	広い並木街路;《米》大通り
bounce	〈ボールなどが〉『はずむ』,はる返る / 〈人が〉『はねる』 / …を『はずませる』,はる返らせる / 〈C〉『はね返り』,はずみ / 〈U〉『弾力』 / 〈U〉《話》元気,活気
bouncer	はずむもの,はねるもの / 大ぼら吹き / 《俗》(酒場・ナイトクラブなどの)用心棒
bouncing	健康な,元気な,たくましい
bouncy	はつらつとして,元気のいい / (ボールが)よくはずむ
bound	《副詞[句]を伴って》『はね上がる』,はね飛ぶ,はね返る / 〈心が〉おどる,わくわくする / 『はずみ』,はね返り;『跳躍』 / 《複数形で》(…の)『境界』,境界線(boundary)《+『of』+『名』》 / 《複数形で》(…の)『限度』,限界,範囲(limits)《+『of』+『名』》 / 《複数形で》領域,管内,区域[内] / 《通例受動態で》〈国など〉と『境を接する』 / 〈行動・欲望など〉を制限する,押える / 境を接する / 《補語にのみ用いて》(…へ)『行く途上にある』;(…)『行きの』《+『for』+『名』》 / 《複合語を作って》「…行きの」の意を表す / bindの過去・過去分詞 / 『縛られた』 / 《補語にのみ用いて》《『be bound to』 do》…する『義務がある』 / 《補語にのみ用いて》《『be bound to』 do》『きっと…する』 / 〈本が〉製本された / 《補語にのみ用いて》《米語》《『be bound to』 do》…する決心をしている / 《複合語を作って》「…に縛られた,閉ざされた」の意を表す
boundary	『境界線』,境(border) / 限界
bounden	(古風)義務としての,当然なすべき
bounder	育ちの悪いがさつ者,下品な成り上がり者
boundless	限りない,果てしない
bounteous	=bountiful
bountiful	(人が)物惜しみしない,気前のよい(generous) / (物が)豊富な(abundant)
bounty	〈U〉気前のよさ,恵み深さ(generosity) / 〈C〉恵み,なまもの(gift) / 〈C〉(特に,国の)奨励金,補助金
bouquet	〈C〉『花束』 / 〈C〉〈U〉(ぶどう酒などの特殊な)かおり,芳香
bourbon	バーボンウイスキー(米国産のトウモロコシ・ライ麦製)
bourgeois	『中産階級の市民』;有産階級者,ブルジョア / 『中産階級の』;有産階級の,ブルジョアの;中産市民的な
bourgeoisie	中産階級,資本家階級,ブルジョア階級
bourn, bourne	《古》限界,境界 / 《古または文》目的地,到達点
bout	一試合,一勝負 / (…している)一時的な期間;(…の)発作(fit)《+『of』+『名』》
boutique	(通例婦人用の小さい)流行服飾品専門店,ブティック;百貨店内の独立経営の小さい店
boutonniere	ブートニエール(上着のえりの折返しのボタンホールにさす花または小さな花束)
bovine	牛の;牛のような / のっそりした,鈍重な / ウシ科の動物
bow	『弓』 / (楽器の)弓 / 弓形,弓形のもの(にじなど) / (リボンなどの)ちょう結び;ちょうネクタイ(bowtie) / (めがねの)つる / 〈バイオリンなど〉を弓でひく / (…に)『身をかがめる』,頭をさげる,おじぎをする《+『down』『to』+『名』》 / (…に)屈服する,従う《+『to』+『名』》 / 〈ひざ・腰〉をかがめる,(頭など)をさげる / …を曲げる / 〈感謝など〉をおじぎをして示す / …を身をかがめて案内する / おじぎ,えしゃく / 《時に複数形で;単数扱い》(ボート・船・飛行機の)『先端部』;へさき,機取 / ベートの最前部のオール;そのこぎ手
bow window	弓形の張り出し窓
bowdlerize, bowdlerise	(戯曲・小説などで)〈みだらな箇所〉を削除訂正する
bowed	頭を下げた,うなだれた,(重みで)下がった
bowel	〈C〉『腸』;《通例複数形で》腹わた,内臓 / 《複数形で》内部,中心部
bowel movement	排便
bower	《文》木陰 / (庭園内の)あずまや / 《詩》婦人の私室
bowerbird	ニワシドリ(オーストラリアあたりに産する鳥の一種;雄は雌を引きつけるために塔のような物を造る)
bowie knife	ボーイ刀(猟に使う長い片刃の刀)
bowing	(弦楽器の)弓を使う方法(技術);弓を使った演奏法
bowknot	ちょう結び,ちょう形リボン(ネクタイ)
bowl	『どんぶり,はち;わん』,茶わん,ボール / どんぶり(はち)1杯の量 / (…の)丸くくぼんだ部分《+『of』+『名』》 / 《米》(はち形の)円形競技場(stadium) / (遊戯用の)木球 / (bowling, bowlsで)球をころがすこと / ボウリングをする / 《副詞句を伴って》(クリケットで)投球する / 〈車などが〉すべるように走る《+『along』》 / 〈球〉をころがす / (クリケットで)〈球〉を投げる / (ボウリングなどで)〈得点〉をあげる
bowlder	=boulder
bowleg, bowleg	わに足,O脚,がにまた
bowlegged	わに足の,O脚の,がにまたの
bowler	山高帽(《米》derby) / ボウラー,ボウリング選手(競技者);(クリケットの)投手
bowlful	(…の)どんぶり(はち・わん)1杯[の量]《+『of』+『名』》
bowline	もやい結び(船をつなぎ止めるときの結び方)
bowling	球ころがし,(特に)ボウリング[の競技]
bowling alley	ボウリングのレーン / ボウリング場
bowling green	芝生の球ころがし競技場
bowls	球ころがし(芝生で行う木球競技)
bowman	弓の射手;弓術家
bowser	バウザー(空港で飛行機にガソリンを運ぶ特別な運搬車)
bowshot	《おもに文》弓の射程,矢の届く距離
bowsprit	船首斜檣(しゃしょう),やりだし(船首から前方に突き出た円材)
bowstring	弓のつる
bowtie	ちょうネクタイ
bowwow	ワンワン / 犬の鳴き声 / 《小児語》わんわん
box	『箱』 / (の…)『1箱』《+『of』+『名』》 / (劇場などの)さじき席,ます席 / 番小屋,詰め所 / (野球で)バッターボックス;コーチャーズボックス;ピッチャーズマウンド;キャッチャーの定位置 / (線で囲った)四角のわく,囲み;(新聞・雑誌の) / (郵便の)私書箱 / 《the box》《英俗》テレビ / …を箱に入れる,箱詰めにする / 〈C〉(平手・こぶしの)びんた,張り手,ひと打ち / 〈人〉とボクシングをする / …を平手で打つ,こぶしでなぐる / (…と)ボクシングをする《+『with』(『against』)+『名』》 / 〈C〉〈U〉ツゲ(常緑低木) / 〈U〉=boxwood
box kite	箱型紙だこ(気象観測用) / 箱型の風車(風力発電用)
box number	私書箱[の番号]
box office	(劇場などの)切符売り場
box seat	(劇場・競技場などの)さじき席
box spanner	(ナットに合わせた頭のついた)箱型スパナ
box-office	(劇場・映画館などの)切符売り場、チケット売り場 / (映画などの)興行収入,売上高
boxcar	有蓋(ゆうがい)貨車(《英》van)
boxer	ボクサー,けん闘家 / ボクサー(ドイツ種の中型犬)
boxful	箱一杯[の量]
boxing	『ボクシング』
boxing glove	けん闘用グラブ
boxlike	箱型の,箱に似た
boxwood	〈C〉ツゲの木 / 〈C〉(また『box』)ツゲ材
boxy	箱に似た,箱のような
boy	『少年,男の子』 / 《しばしば所有格を伴って》むすこ / 《しばしば複数形で》青年,若い男 / 《話,特に米南部方言》(年齢に関係なく)男,仲間 / 給仕,下男 / 《the boys》飲み(遊び,仕事)仲間 / 《米話》やあ(その他,歓喜・驚きを表す時に用いられる)
boy scout	ボーイスカウト団員
boycott	…に対して不買同盟する,(同盟して)…を排斥する / 不買同盟,ボイコット
boyfriend	《話》男友だち(恋人),ボーイフレンド / 男友だち(恋人),ボーイフレンド
boyhood	『少年時代』 / 《集合的に》少年たち
boyish	少年の;(よい意味で)少年らしい;(女の子が)男の子っぽい
boysenberry	ボイセンベリー(木イチゴの一種)
bp.	bishop
br.	branch / brass / brother / brown
bra	=brassiere, brassière
brace	つっぱり,支柱;かすがい,締め金 / 《複数形で》大かっこ({ }印) / 《複数形で》《英》ズボンつり(《米》suspenders) / (…の)1対,1つがい(pair)《+『of』+『名』》 / (ドリルの)曲がり柄 / (…にそなえて)〈神経など〉を引き締める,緊張させる《+『名』+『for』(『against』)+『名』》 / (…で)…につっぱりをする,支えをする《+『名』+『with』+『名』》 / …をしっかり固定させる
brace and bit	繰子錐(くりこぎり)(ハンドル付きの錐(きり))
bracelet	腕輪
bracero	(米国へ農作業に来る)メキシコ人季節労務者
bracing	(空気が)さわやかな,気持のよい
