bracken	ワラビ;ワラビの茂み
bracket	(たななどを支える)腕木,たな受け,持ち送り / (腕木に支えられた)たな,張り出しだな / 《複数形で》かっこ,角がっこ([ ]など) / (同類の人の)群,階層 / 〈たななど〉に腕木をつける / …をかっこで囲む / …を同類としてまとめる
brackish	(水などが)塩けのある / まずい
bract	(植物の)ほう(苞)
brad	(細くて頭の小さい)鉄線くぎ,折れくぎ
bradawl	小錐(こぎり)
brae	《スコットランド》丘の側面,山腹
brag	(…を)自慢する《+『of』(『about』)+『名』(do『ing』)》 / 《『brag』+『that』節》…を自慢する / 〈C〉自慢の種 / 〈C〉ほら吹き
braggadocio	〈U〉から自慢,大ぼら / 〈C〉自慢屋,ほらふき
braggart	《軽べつして》ほら吹き / ほら吹きの
braid	組みひも,さなだひも;《おもに米》(髪を結ぶ)リボン,バンド / 《おもに米》=plait / 〈U〉モール / 《おもに米》=plait / …を組みひも(モール)で飾る
braiding	《集合的に》組みひも / モール刺しゅう
brain	『脳』,脳髄 / 《しばしば複数形で》『頭脳』,『知力』 / 《話》秀才,知的指導者 / …の頭を打ち砕く
brain drain	頭脳流出(よい人材が知的水準の高い国や会社へ移ること)
brain-trust, brains-trust	《集合的に》(政府などの)顧問団
brainchild	創意,考え;発明
brainily	聡明にも
braininess	頭のいいこと,聡明
brainless	頭の悪い,愚かな
brainpan	頭蓋(ずがい)
brainstorm	(突然の一時的な)精神錯乱 / 《米話》ひらめき,突然浮かんだ名案
brainstorming	《米》ブレーンストーミング(各人が自由にアイデアを出し合う会議法)
brainteaser	むずかしい問題(パズル)
brainwash	(…するよう)…を洗脳する《+『名』+『into』+『名』(doing)》
brainwashing	洗脳(拷問・麻薬・心理的圧力などによって思想を改めさせること)
brainwave	《しばしば複数形で》脳波 / 〈C〉《おもに英話》ひらめき,妙案
brainy	《話》頭のいい,聡明な
braise	(肉や野菜)を少量の液体でとろとろ煮込む調理法
brake	『ブレーキ,制動機』,歯止め / …にブレーキをかける / 〈人が〉ブレーキをかける / 〈C〉やぶ,茂み / =bracken
brake fluid	ブレーキ液(車などの油圧ブレーキ用液体)
brake horsepower	ブレーキ馬力,軸馬力
brake shoe	制動子,ブレーキ片 ブレーキシュー
brakeage	制動作用
brakeless	ブレーキのない,制動装置が取り付けてない
brakeman	ブレーキ係,制動手
bramble	トゲのある低木の総称,イバラ;木イチゴ
brambly	イバラの多い;イバラのような,木イチゴのような
bran	ふすま,ぬか
bran-new	=brand-new
branch	『枝』 / 『支流』,支脈,支線;分家 / 『支店』,『支部』,支局 / (学問の)『部門』,分科 / 枝を出す,枝を広げる / (川・道・鉄道などが)分岐する
brand	(商品などの)『種類』,『品質』《+『of』+『名』》 / 『商標』,『銘柄』 / (家畜・商品などに付けて所有主・品質などを示す)焼き印,焼きごて / (昔罪人に押した)烙印(らくいん);汚名 / 《文》燃えさし / …に焼き印を押す / …に(…という)汚名を着せる,烙印(らくいん)を押す《+『名』[+『as』]+『名』(『形』)》 / (…に)…を強く印象づける《+『名』+『on』(『in』)+『名』》
brand name	商品名
brand-new	《よい意味で》真新しい
brander	焼き印を押す人(道具)
brandish	〈刀剣・むちなど〉を振り回す
brandy	ブランデー(ぶどう酒から造る強い酒) / ブランデー1杯 / …をブランデーに漬ける
brandy snap	ブランデー入りしょうが味の甘い菓子
brant	黒ガン(北極産の黒い渡り鳥)
brash	せっかちな,がむしゃらな / 無作法な,厚かましい
brass	〈U〉『真ちゅう』(銅と亜鉛の合金) / 〈C〉《おもに複数形》真ちゅう製器具 / 《しばしば複数形で》金管楽器;《the brass[es]》(オーケストラなどの)金管楽器部 / 〈U〉《話》(…する)ずうずうしさ,厚かましさ《+『to』do》 / 〈U〉《集合的に》《米俗》高級将校,高官 / 真ちゅう製の
brass band	ブラスバンド(金管楽器中心の吹奏楽団)
brass hat	(陸・海群の)高級将校[帽子の金モールから]
brass instrument	金管楽器
brass knuckles	メリケン(けんかの際に指関節にはめる金属片)(《英》knuckle-duster)
brass-tacks	当面の問題,核心,要点
brasserie	ビヤレストラン,ビヤホール
brassiere, brassière	ブラジャー
brassy	真ちゅうの / (音が)かん高い / 《話》ずうずうしい,厚かましい
brat	《軽べつして》小僧,がき
bravado	強がり,空いばり,〈C〉強がりの行為
brave	『勇敢な,勇ましい』 / 《文》はなやかな,みごとな / 勇士 / 北市インディアンの戦士 / 〈困難など〉に勇敢に立ち向かう,〈危険〉をものともしない
bravely	『勇敢に』,りっぱに
bravery	『勇敢』,『勇気』 / 《文》華美,美装
bravo	かっさいの叫び / うまいぞ,でかした
bravura	(巧みな技術を要する)難曲,華麗な楽節 / すばらしい演奏技術 / 見るからに勇壮なふるまい(態度)
brawl	騒々しいけんか,大騒ぎ / やかましく口論する,けんかする / 〈川などが〉ごうごうと流れる
brawn	(人の)筋肉,筋力 / 《英》煮て塩づけして固めた豚肉(《米》headcheese)
brawniness	筋骨たくましいこと,強さ,強壮
brawny	筋骨たくましい,強壮な
bray	(ロバなどの)耳ざわりでしわがれた鳴き声 / (らっぱなどの)鳴り響く音 / 〈ロバなどが〉鳴く / 〈らっぱなどが〉鳴り響く
braze	〈金属〉をはんだづけ(ろうづけ)する
brazen	真ちゅう製の / (色・音・強さなどが)真ちゅうに似た;管楽器のような音を出す / 鉄面皮な,ずうずうしい
brazier, brasier	真ちゅう細工師 / 火ばち
breach	(法律・約束・道徳・義務などを)破ること,破棄,違反,不履行《+『of』+『名』》 / (…の)違犯,侵害,妨害(violation)《+『of』+『名』》 / (…との)仲たがい,絶交,断絶《+『with』+『名』》 / 裂け目,(城壁・とりでなどの)突破口 / 〈城壁・とりでなど〉を突破する,に突破口を作る
bread	『パン』,食パン / (生命の糧(かて)として必要な)食物一般,生計・金・銭
bread-and-butter	生計を得るための / 感謝を表す
breadbasket	《話》穀倉地帯 / 《俗》胃袋
breadboard	回路部品板(実験用の電子回路の集り) / パン切り板,パンこね板
breadcrumb	パン粉
breaded	(特に肉・魚が)パン粉をつけて料理された
breadfruit	パンの木(南洋産クワ科の植物;焼くとパンに似た味をもつ)
breadstuff	パンの原料(小麦粉や穀類など);(各種の)パン
breadth	『幅』,広さ(breadth) / (心などの)広さ,大きさ;寛容
breadthways	横の,横に広がる / 横に,横に広がって
breadwinner	一家のかせぎ手
break	…を『壊す』,割る,砕く;…を折る / …を擦りむく / …を『役に立たなくする』,壊す / (小さな物に)〈組になった物〉を分ける,ばらす,〈お金〉をくずす《+『名』+『into』+『名』》 / 〈垣・へいなど〉を破って出る / 〈法律・規則・約束など〉を『破る』,犯す / 〈均整・秩序・配列など〉を破る,くずす;〈持続しているもの〉を中止する,妨げる / 〈記録〉を破る,更新する / (…に)…を打ち明ける,知らせる《+『名』+『to』+『名』》 / …を破産させる,倒産させる / 〈気力・抵抗など〉をくじく;〈力・効果・強度〉を弱める / (…に)…の位を下げる,…を降等させる《+『名』+『to』+『名』》 / 〈動物〉をならす / 〈人〉の(…の)癖を直す《+『名』〈人〉+『of』+『名』(do『ing』)》 / 〈暗号など〉を解読する;〈事件・問題など〉を解決する,解く / 《しばしば副詞[句]を伴って》『壊れる』,砕ける,割れる;破れる,破裂する / ぷっつりと切れる;中断する,途切れる;《米》仕事を中断する / はずれる,離れる,分離する《+『off』(『away』)》 / 故障する,壊れる,動かなくなる / 突然始まる;突然変化する / 夜が明ける / 〈健康・気力などが〉衰える,弱る;〈心が〉悲しみに打ちひしがれる / 〈株・価格などが〉急落する,暴落する / 壊れた箇所,裂け目,割れ目 / 中断,途切れ;不和,仲たがい / 休憩時間,小休止 / 逃亡計画,脱獄 / (…に向かっての)突進 / 急な変化,顕著な変化 / 夜明け / 《話》運,機会
break-in	〈C〉侵入(窃盗) / (新しい靴・機械などの)慣らし運転 / 割り込み《略式》
breakable	破れ(壊れ)やすい,もろい / 壊れやすいもの,割れもの
breakage	〈U〉破損;〈C〉破損箇所 / 破損量 / 〈C〉《通例複数形で》《英》破損物 / 〈C〉破損額
breakaway	離脱する人(もの) / (グループ・習慣から)離れること / 《おもにオーストラリア》(家畜や馬などの)突然の脱走;逃げた動物 / 《米》取り壊しが簡単なもの / 独立した,離脱した / 取り壊しが簡単な
breakdown	(列車・機械などの)故障,破損 / 病気で倒れること,衰弱 / 分析
breaker	砕く人,破砕機 / (打ちつけて泡だつ)白波,砕け波 / (電気の)遮断(しゃだん)器
breakeven	収支とんとんの
breakfast	『朝食』 / 朝食を食べる
breakfast food	cereal2
