bulbous	球根の;球根のある / 球根状の
bulbul	ブルブル(ペルシアの詩によく出てくる鳴き鳥でnightingaleとされる)
bulge	ふくらんだ部分,ふくらみ / (…で)ふくらむ,張り出す《+『out』 『with』+『名』》 / をふくらませる《+『名』+『out』》
bulgy	ふくらんだ
bulk	『かさばっていること』 / 《the bulk》(…の)大部分,大半《+『of』+『名』》 / ばら荷;(船の)積み荷 / かさばる,大きく見える
bulkhead	(船の)隔壁;(鉱道などで土砂・水・ガスなどの)仕切り壁
bulky	かさばった,ばかに大きい / 扱いにくい
bull	『雄牛』 / (象,鯨,アザラシなどの)雄 / (株の)買い方,強気筋 / ローマ教皇の教書 / こっけいな矛盾 / …を押し進める
bull session	(特に男性問題の)ざっくばらんな話合い
bull's-eye	(洋弓で)金的,的の中心 / (舷(げん)側・屋上などの)丸窓 / 半球レンズ
bull.	bulletin
bulldog	ブルドッグ
bulldoze	…をブルドーザーで動かす(掘る,ならす) / 《話》〈事〉を無理に押し通す;(…するように)〈人〉に無理じいする《+『名』+『into』 do『ing』》
bulldozer	ブルドーザー / 《話》おどしつける人,無理に押し通す人
bullet	『弾丸』,銃弾,小銃弾
bulletin	『公報』;速報 / (学会の)『会報』,紀要
bulletin board	掲示板(《英》notice board)
bulletproof	弾丸の通らない,防弾の / …を防弾にする
bullfight	闘牛
bullfighter	闘牛士
bullfighting	闘牛
bullfinch	ウソ(短く厚いくちばしを持つ美しい鳴き鳥)
bullfrog	ウシガエル(食用)
bullhead	ブルヘッド(ナマズに似た淡水魚の名前,アメリカナマズ,ヨーロッパカジカ) / (古風)頑固者、融通のきかない人
bullheaded	わからずやでがんこな
bullhorn	《米》電気メガホン(強力な電気拡声器)
bullion	金(銀)塊,金(銀)の延べ棒,(貨幣の)地金
bullish	雄牛のような,がんこな / (株の取引きなどで)強気の
bullnecked	首の太い
bullock	雄の子牛 / 去勢された雄牛(steer)
bullpen	《米》ブルペン(野球で試合中に救援投手が練習する場所) / 《米》牛の囲い場 / 《米俗》留置場
bullring	闘牛場
bullshit	《俗》たわこと,うそ / ばかな,うそだ / くだらない話、でたらめ、でっち上げ、ナンセンス【略】B.S. / bs・でたらめな / でたらめ[たわごと・心にもないこと]を言う、とぼける、ごまかす、でっち上げる、だます、(ずる賢い)うそをつく
bullterrier	ブルテリア(英国産の犬でbulldogとterrierの交配種)
bully	弱い者いじめ,がき大将 / 〈弱い者〉をいじめる,おどかす / 《話》(…にとって)すてきな,すばらしい《+『for』+『名』》 / うまい,でかした
bully beef	かん詰牛肉;塩づけ牛肉
bullyboy	ごろつき,やくざ
bulrush	《米》フトイ,《英》ガマ(水辺・沼にはえる植物)
bulwark	とりで,堡塁 / 防護物;防護する人 / 防波堤 / 《複数形で》舷牆(上甲板の舷側に続く波よけの壁)
bum	なまけ者;浮浪者 / ぶらつく,のらくらする《+『around』+『名』》 / …をねだる,たかる / 非常に悪い,価値のない / おしり
bumble	うっかりする,しくじる,へまをする / ふらふら歩く,ぶつぶつ言いながら進む
bumblebee	マルハナバチ(黄と黒模様の大型のハチ)
bumbling	無能力な,効果の上がらない
bumboat	《まれ》物売り船(停泊中の船に野菜などを売って回り小船)
bumf, bumph	おもしろくない読み物(書類)
bummer	へま,失敗 / (特に幻覚による)不快な経験
bump	衝突;ごつんと当たること / ゴツン,ドスン[という音] / 打ちこぶ / ばたんと,どしんと / …に突き当たる,ぶち当たる;(…に)…を突き当てる《+『名』+『on』(『against』)+『名』》 / (…に)突き当たる《+『into』(『against』)+『名』》 / 《副詞[句]を伴って》〈車が〉ガタガタ揺れて通る
bumper	バンパー(衝撃を弱めるため列車・自動車の前後部につける) / 非常に大きな
bumper sticker	自動車のバンパーにはりつけるスローガンや広告のついたステッカー
bumper to bumper	(車が)ぴったりと連なって
bumpkin	(軽蔑的)田舎者,無作法な人,世間知らずな人
bumptious	いばった,でしゃばった
bumpy	(表面が)でこぼこの / (車などが)がたがた動揺する
bun	ロールパン / (しばしば甘味香料などを入れた)丸形パン / まげ,束髪
bunch	(…の)『ふさ』(cluster),束《+『of』+『名』(複数)》 / 《話》(…の)群れ《+『of』+『名』(複数)》 / 一団(束)になる《+『up』》 / …を束(ふさ)にする
bunco	いかさま,ぺてん
buncombe	=bunkum
