burglar	『夜盗』,強盗
burglar alarm	盗難警報機
burglarize	〈家など〉に押し込んで盗む
burglarproof	盗難予防の
burglary	〈U〉(犯罪を目的とする)住宅侵入(罪) / 〈C〉押し込み 夜盗行為 夜盗事件
burgle	=burglarize
burgomaster	(オランダ・フランドル地方・ドイツ・オーストリアの)市長
burial	『埋葬』,葬式
burial ground	埋葬地,墓地
burial service	埋葬式,葬式
burl	(木の幹にできる)こぶ
burlap	(袋用の)麻布
burlesque, burlesk	(芸術作品を茶化した)滑稽(こっけい)劇 / 《もと米》寄席やストリップなどのショー / …を滑稽にまねる,茶化す / 滑稽にまねる
burley	バーレー種の葉タバコ(特に米国Kentucky州とOhio州南部で栽培される)
burly	たくましい,がんじょうな
burn	〈火・家などが〉『燃える』,『焼ける』 / (火や熱によって)『焦げる』,日焼けする / 『光』(『熱』)『を出す』 / (…で)熱さを感じる,ほてる《+『with』+『名』》 / (愛憎などで)燃える,かっかとなる《+『with』+『名』》 / …を『燃やす』,『焼く』 / …を焦がす;…を日焼けさせる / …を熱く感じさせる,をほてらせる / …を燃料にする / 『やけど』;焼け焦げ / 『日焼け』 / ロケットの噴射・(CDなどに)焼く、(音楽{おんがく}やデータなどを)(CDなどに)焼く / 《スコットランド》小川
burner	焼く人 / (ストーブ・ランプなどの)火口(ほぐち),バーナー;燃焼器
burning	燃えている,焼けている / 燃えるように熱い;強烈な / 火急の,差し迫った
burnish	〈金属など〉をみがく,光らせる
burnoose, burnous	バーヌース(アラビア人などの着るフード付きマント)
burnout	(過熱による電気装置の)焼切れ / (ロケットの)燃えつき
burnt	burnの過去・過去分詞 / 焼けた;焦げた;やけどした
burnt offering	焼き(煮)すぎの食物 / 燔(はん)祭(焼いて神にささげるいけにえ)
burnt sienna	代赭(たいしゃ)色の絵の具 / 代赭色
burnt-out, burned-out	消耗した,使いすぎの / すたれた
burp	げっぷ / げっぷが出る / …にげっぷをさせる
burp gun	全自動小銃
burr	=bur / 荒い削り面,ぎざぎざ / (歯科用の)穴ぐり器 / rの喉音(こうおん);(のどの奥で)ブンブン(ゴーゴー)いう音 / 喉音で発音する;(のどの奥で)ブンブン(ゴーゴー)いう / 〈r音〉を喉音で話す
burro	小さいロバ
burrow	(ウサギ・キツネなどの)穴 / (土中に)穴を掘る / 穴に住む,潜伏する / 捜す,探る / 〈丘など〉に穴を / 掘る / 〈身など〉を隠す
bursar	(大学の)会計係
bursary	(大学などの)会計課 / 奨学金(scholarship)
burst	『破裂する』,爆発する / 〈つぼみが〉ほころびる / 《通例進行形で》(…で)はちきれそうにいっぱいである《+『with』+『名』》 / 『急に(…)する』 / …を破裂させる,爆発させる,破る / (…の)『破裂』,爆発《+『of』+『名』》 / (…の)『突発』《+『of』+『名』》
burthen	=burden
burton	バートン 《block が 1, 2 個の小型巻上げ滑車装置》
bury	〈死体〉を『埋葬する』,土葬する,水葬する / (見えないように)…を『おおい隠す』 / …を深く突っ込む / (…に)〈人〉を没頭させる《+『名』〈人〉+『in』+『名』》
bus	『バス』 / …をバスで運ぶ / バスで行く
bus stop	バス停留所
busboy	食堂の下働き(食卓を片付け次の客がつけるように準備するボーイ)
busby	バズビー帽(英国陸軍近衛(このえ)兵のかぶる黒の毛皮製の高帽)
bush	〈C〉『低木』(たけが低く根元から多数の小枝が発生している木) / 〈U〉《the bush》未開墾地,森林地 / 茂る,密生する;〈毛髪などが〉やぶのようになる
bush baby	〈C〉アフリカ産の猿に似た小さな動物;ペット用
bush telegraph	(のろしや太鼓などによる)ジャングル通信
bush-league	=minor league
bushed	《話》疲れ果てた,消耗した
bushel	ブッシェル(8ガロン,約36リットル;乾量単位で穀物・くだものを量るのに用いる;《米》2,150.42立方インチ《英》2,219.36立方インチ) / 1ブッシェルます(容器)
bushing	ブッシング,套(とう)管(導線の絶縁・損傷防止用)
bushman	森林地居住者 / 《Bushman》ブッシュマン(南アフリカの現住民で背の低い狩猟民族)
bushmaster	熱帯アメリカ産の大形の毒ヘビ
bushwhack	…をやぶにひそんで襲う / 森林地を切り開く
bushy	低木のおい茂る / 毛深い,ふさふさした
busily	忙しく;熱心に
business	〈U〉(生計のための)『職業』,商売;任務,仕事 / 〈C〉『店』,『会社』,商社 / 〈U〉『商取引』,商売 / 〈C〉事,事柄(matter, affair);用事,用件 / 《おもに否定文・疑問文で》(個人的)関心事,責任のある事
business card	業務用名刺
business college	(タイプ・簿記・速記などを教える)実務学校
business end	(刃物・武器などの)先の部分,危険な部分
business hours	勤務(営業)時間
businesslike	実務的な,能率的な,てきぱきした
businessman	『実業家』;『実務家』
businesswoman	女実業家
busing	(白人と黒人の児童の差別の廃止を目的とした)強制バス通学制度
busk	大道芸をする
busker	大道芸人,旅回り芸人
buskin	(一種の)編み上げ半長靴 / (古典悲劇役者がはく)半長靴 / 《the~》悲劇(tragedy)
busman	バスの運転手(車掌)
busman holiday	平常の仕事と同じことをして過ごす休暇(バス運転手のドライブなど)
buss	(特に)音をたててするキス / …とチュッとキスをする
busses	busの複数形
bust	〈C〉半身像,胸像 / 〈U〉《遠回しに》(婦人の)胸部 / を破裂させる,打ち壊す / …をなぐる,打つ / …を破産させる / 破裂する,壊れる / 破産する / 失敗,破産 / ぶんなぐり / …を警察に連行する,逮捕する / …を家宅捜索する / 〈軍人〉の階級を下げる
bust-up	〈C〉大騒ぎ,けんか / 〈U〉《米》(結婚などの)破綻
bustard	野ガン
buster	《しばしば軽べつして》おい君,おまえ
bustle	『せかせかと動き回る』《+『about』》 / 〈人〉をせきたてる / 大騒ぎ,雑踏 / 腰当て(昔,スカートの後部をふくらますのに用いた張り具)
bustling	忙しそうな;混雑している,ざわめいた
busy	『忙しい』,多忙な / (場所が)『にぎやかな』 / 《米》(電話が)使用中の(《英》engaged) / 〈自分〉を忙しくさせる
busy signal	(電話の)通話信号音
busybody	おせっかいな人,でしゃばりな人
busywork	忙しいが価値のない仕事
but	《先に述べたことに反対・対照する内容の語・句・節を導いて》『しかし』,だが,けれども / 《前にある否定語と対応して》(…でなく)『て』 / 《間投詞などの後でほとんど意味を持たずに》 / 『…を除いて』,以外に(except) / 《しばしばthatを伴って》『…でなければ』,『でないと』(unless) / 《文》《否定文に続いて》…しないでは(…ない),(…すれば)必ず…する / 《文》《否定の主節に続いて,so, suchと相関的に》…しないほど / 《文》《否定文・疑問文に用いられてdeny, doubt, questionなどの後で,名詞節を導いて》…ということ(that) / 《文》《否定文・疑問文に用いられたbe sure, believe, can tell, know, think, it is impossibleなどの後に,名詞節を導いて》…でないということを(that … not) / 『ほんの』,ただ(only) / 『…を除いて』,…のほかは(except) / …しない(もの)(that … not)
butane	ブタン(メタン系炭化水素の一つ)
butch	(特に女性が)男っぽい / (英俗)(女性の同性愛の)男役の女性 / 短い角刈りに似た髪型
butcher	家畜屠殺(とさつ)業者 / 『肉屋』 / 虐殺者 / 《米》(列車内・観覧席の)売り子 / 〈動物〉を屠殺する / 〈人〉を虐殺する / 〈仕事など〉をだいなしにする
butchery	〈U〉虐殺;虐殺 / 〈C〉虐殺場;肉屋
butler	執事,使用人がしら
butt	…を頭(角)で突く(押す) / 頭(角)で突く(押す) / 頭(角)で突くこと(押すこと),頭突き / あざけり(批評などの)的;笑いもの / (武器・道具の)太いほうの端 / 残片 / (ぶどう酒などの)大だる,一たる
butt joint	突合せ継ぎ手(2片の木または金属の端を重ねず単に突き合わせる接合法)
butte	(西部平原の)孤立した山
butter	『バター』 / (バターに似た)パンに塗る食品 / …にバターを塗る
butter-and-eggs	ウンランの類(濃淡2色の黄色い花をつける植物;ホウバウンランなど)
butterbean	アオイマメ,五色豆(米国南部産の種子の小さいライマメの変種)
buttercup	キンポウゲ(花の形がcupに,色がbutterに似ている)
butterfat	牛乳の脂肪
butterfingers	よく物を手から落とす人 下手な野球選手 / 無器用な人
butterfish	バターフィシュ(米国大西洋岸沖産の平たい食用魚)
butterfly	〈C〉『チョウ』 / (またbutterfly stroke)〈U〉(水泳で)バタフライ
buttermilk	バターミルク(バターを取り去った牛乳)
butternut	バターナッツ(クルミの一種);その木
butterscotch	バター入り糖菓,バターボール
buttery	バターのような,バターのはいった / 《話》へつらう,おせじたらたらの
buttock	しり,臀部(でんぶ)
