C	carbonの化学記号
C of E	Church of England英国国教会
C,c	〈C〉英語アルファベットの第3字 / 〈U〉(音階の)ハ音,ハ調 / 〈U〉(ローマ数字の)100 / 〈C〉《C》《米》(学校の成績の)C
C.	Cape / Catholic / Celsius / Centigrade / Conservative
C. and W.	country and westernウエスタン音楽
C. of C.	Chamber of Commerce商業会議所
C. of S.	Chief of Staff参謀長
C.A.	chartered accountant公認会計士 / chief accountant会計主任 / chronological age生活年齢
C.B.W.	chemical and biological warfare生物化学戦
C.E.	Chemical Engineer化学技師 / Civil Engineer土木技師 / Corps of Engineers工兵隊
C.F.I.	(またc.f.i.)cost, freight, and insurance運賃・保険料込み値段
C.G.	Coast Guard / Commanding General / Consul General
C.O.D.,c.o.d.	cash on delivery,《米》collect on delivery代金引き替え払い
C.O.S.	cash on shipment 船積み払い / Chief of Staff
C.P.	Command Post / Common Prayer / Communist Party
C.P.A.	Certified Public Accountant公認会計士
C.S.	Chief of Staff 参謀長 / Christian Science / Christian Scientist / Civil Service
C.S.A.	Confederate States of America 南部連合国(1860年に米合衆国から脱退した南部11州が作った国)
C.T.	Central Time
C.inC.,CinC	Commander in Chief
C/S	cycles per second
CA	California
CAB	Civil Aeronautics Board民間航空委員会
CAF	cost and freight運賃込み値段
CAP	Civil Air Patrol民間航空巡視員
CAT	clear air turbulence晴天乱流
CATV	community antenna television 共同アンテナテレビ
CB	citizens band / construction battalion設営大隊
CBC	Canadian Broadcasting Corporationカナダ放送協会
CCTV	closed-circuit television
CD	certificate of deposit / (また『C.D.』)Civil Defense民間防衛
CEO	chief executive officer (最高経営責任者),企業のトップに位置する人,最高執行官,会長,代表執行役
CI	Channel Islands
CIA	the Central Intelligence Agency of the United States米国中央情報局
CID	Criminal investigation Department [of Scotland Yard]ロンドン警視庁捜査課
CIF.	cost, insurance and freight 運賃保険料込み値段
CIO	{略}Chief Information Officer (企業や組織の情報戦略・IT部門の最高責任者)
CIP	Cataloging in publication
CJ	Chief Justice裁判長
CO	Colorado
CO,C.O.	Commanding Officer(陸軍の)部隊長 / conscientious objector
COBOL	コボル(事務用データ処理のための共通コンピューター言語;common business oriented languageの短縮)
COL	cost of living消費者物価
CORE	Congress of Racial Equality(米国)人種平等会議
COVID-19	新型コロナウイルス感染症
CP	=Communist Party
CPI,c.p.i.	consumer price index消費者物価指数
CPO	chief petty officer(米海軍)一等兵曹
CQ	charge of quarters(軍隊の)夜間当番 / アマチュア無線で相手を呼び出す通信合図
CRC	Civil Rights Commission市民権擁護委員会
CST,C.S.T.	Central Standard Time 中央標準時
CT,Ct	Connecticut
CWO	chief warrant officer(米軍の)上級准尉
CYO	Catholic Youth Organization カトリック青年会
CZ,C.Z.	Canal Zone
Ca	Calciumの化学記号
Cadette	(12歳から14歳までの)ガールスカウトの団員
Caesar	シーザー,カエサル(『Gaius Julius』~;100?‐44B.C.;ローマの将軍・政治家) / 〈C〉(一般に)皇帝;専制君主,独裁者
Caesarean section	帝王切開術
Caesarism	専制神主政治,独裁君主政治
Cain	カイン(AdamとEveの長男で弟のAbelを殺した聖書の中の人物)
Cairo	カイロ(Egyptの首都)
Cal.	California
Calais	カレー(Dover海峡に臨むフランスの港市)
Calcutta	カルカッタ(インド東部の港市)
Calif.	California
California	『カリフォルニア州』(米国太平洋岸の州;州都Sacramento;《略》『Calif.,Cal.,CA』)
California poppy	花菱草(ケシ科の多年草;米国California州の州草)
Californian	カリフォルニアの / カリフォルニア州の住民
Calvary	カルバリ(古代のJerusalem郊外の丘でキリストはりつけの地;Golgothaのラテン名)
Calvin	カルビン(『John~』;1909‐64;宗教改革の指導者)
Calvinism	カルビン主義(John Calvinの宗教思想;神の絶対性・聖書の権威などを強調)
Calvinist	カルビン主義者,カルビン派の人
Cambodia	カンボジア(東南アジアの共和国;首都はPhnom Penh)
Cambrian	(地質時代の)カンブリア紀の / カンブリア紀(古生代の最古期)
Cambridge	ケンブリッジ(England 東部の都市;ケンブリッジ大学の所在地) ケンブリッジ(米国マサチューセッツ州東部の都市;Harvard大学の所在地) ケンブリッジ大学(Oxford大学とともに有名)
Camelot	カメロット(アーサー王(King Arthur)の宮廷があったという伝説上の町)
Camembert	カマンベールチーズ(柔らかな味のフランス製チーズ)
Cameroon, Cameroun	カメルーン(中央アフリカの西海岸にある共和国)
Campfire Girls	キャンプファイアーガールズ(7‐18歳の少女を対象とした健全な心身を養うための米国の団体)
Can	Canada; Canadian
Canaan	カナンの地(Palestineの聖書名) / 〈C〉聖約の地,理想の地
Canada	『カナダ』(北米大陸の北部,英連邦独立国;首都は Ottawa)
Canadian	『カナダの;カナダ人の』 / 『カナダ人』
Canadian bacon	カナダベーコン(豚の腰肉から作ったベーコン)
Canadianism	カナダ[人]特有のもの / カナダ英語
Canal Zone	パナマ運河地帯(両岸より各8kmの地帯;米日の租借地)
Canary Islands	カナリア諸島(アフリカ北西海岸沖の島;スペイン領)
Canberra	キャンベラ(Australiaの首都)
Candlemas	聖燭節(2月2日;ろうそくをつけて行列するキリスト教の祭り)
Cantab	Cambridge Universityの
Cantabrigian	ケンブリッジ大学の大学生(卒業生)
Canterbury	カンタベリー(England 東南部Kent州の都市で,英国国教大本山の所在地)
Canterbury bell	フウリンソウ(ホタルブクロ属の草で風鈴形の花をつける)
Canton	カントン(広東)(中国広東省の省都)
Cantonese	〈U〉カントン(広東)語 / 〈C〉カントン人 / カントンの;カントン語の;カントン人の
Cape Colored, Cape Coloured	(南アフリカの法律による)混血人
Cape Town, Capetown	ケープタウン(喜望峰に近い南アフリカの港市)
Capitol	『国会議事堂』;〈C〉《しばしばc-》州会議事堂 / (古代ローマの)Jupiterの神殿;その丘
Capitol Hill	キャピトルヒル(国会議事堂のあるWashington D.C.の丘) / (米国の)議会(Congress)
