Capricorn	摩羯(まかつ)宮(天宮の12区分の第10宮) / (星座の)山羊(やぎ)座
Capuchin	カプチン修道会士(ローマカトリック教会のフランシスコ会の一分派に属する修道士)
Caracas	カラカス(Venezuelaの首都)
Carboniferous	(地質時代の)石炭紀の / 《carboniferous》石炭を生じる / 石炭紀(系)
Card.	Cardinal
Carib	〈C〉カリブ人 / 〈U〉カリブ語 / カリブ人(語)の
Caribbean	〈C〉(1人の)カリブ人 / 《the C-》 / =Caribbean Sea / カリブ海地域(カリブ海とその諸島) / カリブ海の;カリブ海地域の / カリブ人の,カリブ語の
Caribbean Sea	カリブ海(中南米・西インド島間の海)
Carmelite	カルメル会の修道士(女)(12世紀に創設された修道会の修道士,または修道女)
Carolina	カロライナ地方(米国東南部大西洋岸のNorth Carolina州とSouth Carolina州;両州をまとめてThe Carolinasともいう)
Carson City	カーソンシディ(米国Nevada州の州都)
Cartesian	デカルト(Descartes)の,デカルト哲学の(数学の)
Cartesian coordinates	(数学で)デカルト[平行]座標
Carthage	カルタゴ(ローマ時代勢力をもったアフリカ北岸の大都市国家)
Carthaginian	カルタゴの / カルタゴ人
Casablanca	カサブランカ(モロッコ北西部の港市)
Casanova	カサノーバ / Giovanni~(18世紀のイタリアの女好きな冒険家で文人) / 〈C〉女たらし
Caspian Sea	カスピ海,裏海
Cassandra	カッサンドラ(ギリシア神話のTroyの女予言者)
Cassiopeia	(星座の)カシオペア座
Catawba	〈C〉カトーバブドウ(米国東部産のブドウの赤い変種) / 〈U〉カトーバぶどう酒(辛口白ぶどう酒)
Cath.	Catholic
Catherine wheel	輪転花火
Catholic	[『ローマ』]『カトリック教会の』,旧教の / (東西教会分裂以前の)全キリスト教会の / 《c-》《文》全般的な,普遍的な;(趣味・関心などが)片寄っていない / 『旧教徒』,(特に)[ローマ]カトリック教徒
Catholic Church	[ローマ]カトリック教会
Catholicism	[ローマ]カトリック教,カトリック教会の教義(信仰)
Caucasia	コーカシア,コーカサス,カフカス(黒海Black Seaとカスピ海Caspian Seaとの間にまたがるロシアの一地方)
Caucasian	コーカサス地方の / =Cauxasoid / =Caucasoid
Caucasoid	白人種(ヨーロッパ・北アフリカ・中近東・インドなどの白色人種) / 白人の
Caucasus	(またCaucasus Mountains)《the~》コーカサス山脈 / コーカサス地方
Cb	columbiumの化学記号
Cd	cadmiumの化学記号
Cdr.	(また『CDR』)Commander
