Christianize,Christianise	…をキリスト教化する,キリスト教徒にする
Christlike	(性格・精神・行動において)キリストのような
Christmas	(また『Christmas Day』)『クリスマス』,キリスト降誕祭(12月25日) / =Christmastide
Christmas Day	=Christmas1
Christmas Eve	クリスマスイブ(12月24日)
Christmas box	(召使・郵便(牛乳)配達人などにあげる)クリスマスの祝儀(プレゼント)
Christmas cake	クリスマスケーキ(乾燥果実がはいっている)
Christmas card	クリスマスカード
Christmas carol	クリスマスの祝歌
Christmas club	クリスマスクラブ(クリスマスプレゼント購入のための預金制度)
Christmas cracker	クリスマスパーティーで用いる爆竹入りの紙筒
Christmas pudding	=plum pudding
Christmas stocking	クリスマスプレゼントを入れる靴下
Christmas tree	『クリスマスツリー』
Christmastide	クリスマス季節(12月24日から1月1日(New Year's Day)または1月6日(Epiphany)までの期間;この間学校は休み)
Christmastime	=Christmastide
Chron.	Chronicles
Church of Christ, Scientist	Christian Science Churchの正式名
Church of England	英国国教会(国王を長とする英国の国教)
Church of Jesus Christ of Latterday Saints	Mormon Churchの正式名
Church of Scotland	スコットランド国教会(長老制からなる)
Churchill	チャーチル(Sir Winston churchill;1874‐1965;英国の政治家・著作家)
Cicero	キケロ(Marcus Tullius Cicero;106‐43B.C.;ローマの政治家・雄弁家)
Cincinnati	シンシナティ(米国Ohio州南西部の都市)
Cinderella	シンデレラ(おとぎ話の主人公) / 〈C〉埋ずもれた才能(美貌)を持った女
Cinderella boy	シンデレラボーイ(一躍認められた幸運児)
Cl	chlorineの化学記号
Cleopatra	クレオパトラ(69?‐30B.C.;古代エジプト最後の女王)
Cleveland	クリーブランド(米国Ohio州北東部の工業都市・港市)
Cmdr.	commander
Co	cobaltの化学記号
Co.,co.	Company / County
Coca-Cola	コカコーラ(商標名;略称Coke)
Col.	colonel / Colorado
Colo.	Colorado
Cologne	ケルン(ライン川に臨む西ドイツの都市)
Colombia	コロンビア(南米北西部の共和国;首都はBogota)
Colombo	コロンボ(スリランカの首都)
Colonel Blimp	尊大な保守的老人
Colorado	コロラド州(米国西部の州,州都はDenver;《略》『Col.,Colo.,CO』) / 《the ~》コロラド川(カリフォルニア湾に注ぐ;Grand Canyonを流れるので有名)
Colt	〈C〉コルト社(アメリカの銃器メーカー)
Columbia	コロンビア(米国South Carolina州の州都) / 《the ~》コロンビア川(カナダ南西部から米国北西部を流れて太平洋に注ぐ) / 《文》アメリカ合衆国
Columbus	コロンブス(『Christopher ~』;1446?‐1506;イタリアの航海者;1492年にアメリカ大陸を発見) / コロンバス(Ohio州の州都)
Columbus Day	コロンブスの米大陸発見記念日(10月の第2月曜日;州により法定祝日)
Com.	Commander / Commission / Commissioner / Committee / Commonwealth
Comanche	〈C〉コマンチ族[の人](テキサス州西部にいるアメリカインディアン) / 〈U〉コマンチ語
Comdr.,comdr.	Commander
Comdt.,comdt.	Commandant
Cominform	コミンフォルム(1947年‐1956年の旧ソ連を含むヨーロッパ9か国の共産党の国際機関;Communist Information Bureauの略)
Comintern	コミンテルン(1919年‐1943年の共産党国際同盟;the Third International; Communist Internationalの略)
Common Market	ヨーロッパ共同市場(公式名はEuropean Economic Community,《略》『EEC』)
Communist Party	共産党
Comr.	Commissioner
Con.	Consul
Concord	コンコード / 米国Massachusetts州東部の町で独立戦争の古戦場 / 米国New Hampshire州の州都
Conestoga wagon	幅広い車輪の幌馬車;西部移住の際北米で用いられた
Coney Island	コニーアイランド(New York市南端の海水浴場・歓楽地)
Confed.	Confederate
Confederate States of America	南部連盟(南北戦争当時,合衆国から脱退した南部11州の連盟)
Confucian	孔子の;儒教の / 儒者
Confucianism	儒教
Confucius	孔子(中国の儒学の開祖;551?‐479?B.C.)
Cong.	Congregational / Congress / Congressional
Congo	コンゴ川(中部アフリカを流れ大西洋に注ぐ世界第2の大河) / コンゴ(アフリカ中部にある二つの共和国);コンゴ共和国(1960年フランスから独立;首都Brazzaville);コンゴ民主共和国(1960年ベルギーから独立,Zaire共和国の旧称,首都Kinshasa)
