caique	地中海東部で用いる小舟
cairn	ケルン(道標・記念碑として積み上げた石)
caisson	ケーソン,潜函(せんかん)(橋やダムなどの水中工事で用いる) / (またcamel)浮き箱(沈没船を浮揚させるのに用いる) / (砲兵隊用の)二輪弾薬車
caisson disease	ケーソン病 潜水病 潜函病 潜水夫病
caitiff	《古》卑劣な人,卑怯者
cajole	…をうまい言葉でだます,だましてまき上げる
cajolery	うまい言葉でだますこと,たぶらかし
cake	〈U〉〈C〉『ケーキ』,洋菓子 / 〈C〉平たい焼きパン(パンケーキなど) / 〈C〉一定の形の塊にした食物 / 〈C〉(…の)ケーキ状の塊《+『of』+『名』》 / 固まる,塊になる / (…で)…を固める《+『名』+『with』+『名』》,(…に)…をなすりつける《+『名』+『on』+『名』》
cake server	ケーキ取り分け具
cakewalk	ケーキ行進(米国の黒人の間で始まった歩きぶり競技;賞品としてケーキをもらう)
cal.	calendar / caliber / calorie
calabash	ヒョウタン / ヒョウタン製品(つぼ,ひしゃく,パイプなど)
calaboose	刑務所
caladium	カラジウム,ハニシキ(熱帯アメリカ産の観賞植物)
calamine	カラミン(異極鉱;化粧水などに使われる)
calamine lotion	皮膚の炎症治療に用いる化粧水
calamitous	災難を伴う,不幸をひき起こす,悲惨な
calamity	(地震・洪水・火災・病気などの)『災害』,災難 / 難儀,苦難
calc.	calculate
calcareous	石灰石の,石灰質の
calcic	カルシウム(石灰)の,カルシウムを含んだ
calciferous	石灰を含む,石灰質の
calcification	石灰化 / (生物の組織内などの)石灰沈着;石灰沈着物
calcify	…を石灰質にする,石灰化させる / 石灰質になる,石灰化する
calcimine	カルシミン(天井・壁に塗る水性の白色塗料)
calcination	か焼(かしょう)(石灰を焼いて生石灰にすること)
calcine	…を焼いて生石灰にするか焼(かしょう)する / 焼いて生石灰になる / 生石灰
calcite	方解石(炭酸カルシウムの結晶で石灰岩・大理石・チョークの主成分)
calcium	『カルシウム』(金属元素;化学記号は『Ca』)
calculable	計算できる / 信頼できる;予想できる
calculably	計算できるように,予測可能に
calculate	…を『見積もる』,算定する / 《受動態で》(ある目的で)…を意図する(intend) / (推理・常識・体験によって)…を予想する,判断する,と思う / 見積もる;計算する
calculated	計算された / 計画された,故意の
calculating	計算用 / 打算的な
calculating machine	計算機
calculation	見積もり,算定 / 予想,推定 / 意図,熟慮
