canna	カンナ(熱帯植物)
cannabis	インド大麻 マリファナ
canned	《米》『かん詰めの』(《英》tinned) / 《話》(レコード・テープに)録音された
cannel coal	燭炭(しょくたん)(油を含んだ石炭ですぐに明るく燃える)
cannelloni	カネローニ(パスタの中に肉・チーズを詰めて焼いたもの)
cannery	かん詰め工場
cannibal	人食い人 / 共食いする動物 / 人食いの,人肉を食う
cannibalism	人食いの風習;共食い
cannibalistic	人食いの;共食いの
cannibalize	(別の機械の修理などのために)〈廃品となった機械など〉から部分(部品)を取りはずす
cannily	慎重で抜け目なく
canniness	慎重さ,用心深いこと
canning	かん詰め製造
cannon	〈C〉(昔の砲台に取りつけた)大砲 / 〈C〉(戦闘機などの)機関砲 / 砲撃する / 激しく衝突する,ぶつかってはね返る
cannon fodder	砲弾の餌食(えじき)
cannonade	連続砲撃
cannonball	(昔の)砲弾 / 《米話》(蒸気機関車時代の)特急(弾丸)列車
cannoneer	砲手,砲兵(gunner)
cannot	can notの結合した形
cannula	カニューレ管(体から液体を抽出する管)
canny	(特に金銭的に)慎重で抜け目のない
canoe	『カヌー』,丸木舟 / カヌーで行く / 〈湖など〉をカヌーで渡る / 〈物〉をカヌーで運ぶ
canoeist	カヌーのこぎ手;カヌーこぎの名手
canon	(教会)の教理,戒律,教会法 / (一般に)規準,規範 / (正しい典拠とすべき)経典,正典 / 聖人名簿 / 《しばしばC-》ミサ典文 / (音楽で)カノン,典則曲 / 大聖堂参事会員 / =canyon
canon law	教会法
canon regular	正則司祭(修道院の司祭で,教会法に従って生活する者)
canonical	宗規の,教会法による / 正典と認められた,正統の / (聖職者の)祭服
canonization,canonisation	聖者の列に加えること;正典と認めること
canonize,canonise	〈死者〉を聖者の列に加える / …を正典と認める
canoodle	抱き締める
canopy	〈C〉天がい(寝台・玉座・入口などの上につけるおおい) / 〈U〉(空の)広がり / 〈U〉天がいのように広がる物
canst	《古》canの二人称単数現在形
cant	偽善的な言葉づかい,うわべだけの言葉,から念仏 / (特殊な階級・職業仲間などの)仲間言葉,隠語 / 傾斜,傾き;斜面 / (物を傾かせたりひっくり返したりする)一押し(突き) / (…の上に)…を傾ける《+『名』+『over』+『名』》 / …を斜めに切り落とす《+『名』+『off』,+『off』+『名』》 / (…の上に)傾く,斜めになる(+『over』+『名』)
cantabile	(演奏の指示で)カンタービレ,歌うような調子の(で) / カンタービレの曲
