capsize	〈特にボート・船が〉転覆する / 〈特にボート・船〉を転覆させる
capstan	(いかりなどの)巻き上げ機 / (テープレコーダーの)キャプスタン
capstone	かさ石,冠石
capsular	カプセルの,カプセル状の,カプセルに入った
capsulate	さやに包まれた / カプセルに入れられた
capsule	小容器;(薬の)カプセル / (植物の)さく / (生物体の)被のう,被膜 / (宇宙ロケットの)カプセル / 小型の;簡約した
captain	『長』,かしら(chief) / 『船長』,艦長;(飛行機の)機長 / (チームの)『主将』,キャプテン;組長 / 陸軍大尉;海軍大佐;《米》(空軍・海兵隊の)大尉,《英》空軍大佐 / …を統率する,指揮する
captaincy	captainの地位(職)
captainship	captainの資格(職責);統率能力
caption	題目,見出し;(写真・挿絵の)説明・(映画の)字幕,タイトル・…に見出し(説明)をつける
captious	あら捜しの,あげ足とりの;理屈っぽい
captivate	〈物事が〉〈人〉の心を捕える,を魅惑する
captivating	魅惑的な
captivation	魅惑
captive	『捕虜』 / (…の)とりこになった人《+『of』+『名』》 / 捕らわれた,生け捕りの
captivity	捕われの身,監禁
captor	捕える人,逮捕する人
capture	〈動物・犯人・敵兵など〉を『捕える』,つかまえる / 〈物〉を手に入れる / 〈注意・関心など〉をひきつける / 〈U〉(…を)『つかまえること』,(…の)捕獲,逮捕《+『of』+『名』》 / 〈C〉捕虜;捕獲した物(動物)
car	『自動車』(automobile)電車(streetcar) / 《米》(鉄道の)『車両』;客車,貨車 / (気球などの)かご;(エレベーターの)箱
car bed	(特に車にのせる)携帯用寝台
car coat	カーコート(腰までの短いオーバー)
car park	=parking lot
car top	自動車の屋根の上に乗せて運へる
car.	carat
carabineer,carabinier	=carbineer
caracole	(馬術で)半回転 / らせん階段
caracul	カラクル毛皮(中央アジア産のカラクル羊の子羊の皮)
carafe	カラフ(水やぶどう酒を入れる,装飾のある食卓用のガラスびん)
caramel	〈U〉焼き砂糖,カラメル / 〈C〉〈U〉キャラメル,糖菓
caramelize, caramelise	…をカラメル状にする / カラメル状になる
carapace	(カメの)背;(カニ・エビなどの)甲殻
carat	カラット(宝石類をはかる単位で200mg;また純金の含有度を示す単位で純金を24caratsとする)
