caress	…を愛撫(あいぶ)する,抱き締める,やさしくなでる / やさしい愛撫(キス)
caret	(校正の)脱字符号
caretaker	(家・土地などの)管理人;守衛 / (また,おもに《米》『janitor』)雑役夫,掃除夫,用務員
caretaker government	暫定(ざんてい)内閣
careworn	(人・顔などが)苦労でやつれた
carfare	電車賃,バス代,足代
cargo	(船・飛行機の)『積荷』,貨物
carhop	ドライブイン食堂の給仕
caribou	(北米産の)トナカイ
caricature	〈C〉風刺漫画,漫画;風刺文 / 〈U〉〈C〉風刺画法(描写),漫画化 / 〈C〉声帯模写,物まね / …を風刺的に描く,漫画化する
caricaturist	[風刺]漫画家
caries	カリエス(骨・歯などの組織の崩れ)
carillon	(教会の鐘楼につるした)1組の鐘 / その鐘の曲
carillonneur	教会の鐘の奏者
carina	(植物の)竜骨弁 / (動物の)竜骨,胸峰
carious	カリエス(caries)性の,カリエスにかかった
carload	(…の)貨車1両分の貨物《+『of』+『名』》
carmaker	自動車製造業者
carminative	胃腸内のガスを排出する / 駆風剤
carmine	洋紅色(紫がかった深紅色) / 洋紅色の
carnage	(戦争などによる)殺りく,大虐殺(slaughter)
carnal	《通例軽べつして》肉体の,肉欲的な;物質的な,現世的な
carnation	〈C〉カーネーション / 〈U〉淡紅色,《古》はだ色 / 淡紅色の
carnelian	紅玉髄,赤めのう(=cornelian)
carnival	〈U〉『謝肉祭』,カーニバル(四旬節(Lent)の直前の3日間ないし1週間の祝祭;カトリック教国では四旬節中は肉食を断つので最後に肉を食べる日となる) / 〈C〉浮かれ騒ぎ,お祭り騒ぎ;(特定の)お祭り / (また《話》『carny』)〈C〉《米》巡回ショー,移動見世物
carnivore	〈C〉肉食動物 / 肉を食べる人(肉が好きな人)
carnivorous	肉食[性]の;食肉類の
carny	旅芸人 / =carnival
carob	イナゴマメ(地中海沿岸産の豆に似た実のなる木) / イナゴマメの実
carol	祝いの歌,喜びの歌,賛歌 / 祝歌を歌う / 楽しく歌う,喜び歌う《+『away』》 / …を祝歌で祝う
caroler,caroller	祝歌を歌う人
caroller	=caroler
carom,carrom	〈C〉キャロム(玉突きで手玉が続けて2つの的玉に当たること)(《英》cannon) / 〈U〉(ボールなどが)ぶつかってはね返ること / (…に)ぶつかってはね返る《+『off』(『against』)+『名』》(また《英》cannon)
carotene	カロチン(ニンジン・トウガラシなどに含まれる炭化水素)
carotid	頚(けい)動脈 / 頚動脈の
carousal	にぎやかな宴会,大酒盛り
carouse	飲みながら騒ぐ(動詞); 飲みながら騒ぐこと(名詞)
carousel, carrousel	《米》=merry-go-round / 《おもに米》(旅客機からおろした荷物を乗客が受け取るための)回転荷台
carp	コイ / (…の)揚げ足取りをする,(…を)とがめだてする《+『at』(『about』)+『名』》
carpal	手根(しゅこん)骨の,腕骨の
carpe diem	この日をつかめ(size the day),現在を楽しめ
carpel	(花の)心皮(生長して果皮となり,そこに実がなる)
carpenter	『大工』(だいく)
carpentry	大工職,大工仕事
carpet	(部屋いっぱいに敷く)『じゅうたん』,もうせん / 《比喩(ひゆ)的に》『一面をおおうもの』,辺りいっぱいに広がるもの / …にじゅうたんを敷く / (…で)…を一面におおう《+『名』+『with』(『by』)+『名』》
carpet slipper	じゅうたん地スリッパ
carpet sweeper	じゅうたん掃除具
carpet-bombing	じゅうたん爆撃
carpetbag	じゅうたん地で作った古風な旅行かばん
carpetbagger	渡り者の山師;(南北戦争後北部から南部に来た)渡り者の政治屋
carpeting	じゅうたん地,敷き物材料 / 《集合的に》じゅうたん,敷き物
carping	批判的で不満に満ちた; 口やかましい
carpool	車の所有者数人が交替でお互いを乗せて行く協定
carport	カーポート(差し掛け屋根の車庫)
carpus	手首,手首の骨
carrel	壁に設けられた小さな机(書庫や図書館で使用される)
carriage	〈C〉(特に自家用)『四輪馬車』 / 〈C〉《米》うば車(=baby carriage) / 〈C〉(機械などの)可動部分,往復台;(車付き)砲架,台架 / 〈U〉(歩いたり立ったりしているときの)身のこなし,動作,態度 / 〈C〉《英》(列車の)車両,客車 / 〈U〉運搬,輸送,運送料,運賃
carriage trade	〈U〉上得意客 / 富裕層の顧客《米》
carriageway	車道
carrier	『運搬する人』;輸送業者(会社) / 運搬する物,運客車;運客設備 / (…の)媒介体,保菌者《+『of』+『名』》 / (また『aircraft carrier』)航空母艦 / (自転車・車の)荷台
carrier bag	(店で品物を入れてくれる紙またはビニール製の)買物袋(《米》shopping bag)
carrier pigeon	伝書バト
carrion	死体の腐肉,死肉
carrion crow	バシボソガラス(死肉・小動物を食べるヨーロッパ産のカラス)
carrot	『ニンジン』 / ニンジンの根
carroty	(特に毛髪が)ニンジン色の,赤毛の
carrousel	=carousel
carry	…を『運ぶ』,運搬する,持って行く(来る) / (身につけて)…を『持ち歩く』,携帯する《+『名』+『about』(『with』,『on』)+『名』》 / …[の重さ]を支える / (特徴・特性・結果として)…を伴う,含む / (電線・パイプなどが)…を導く,伝導する / (ある点まで,ある方向へ)…を伸ばす,広げる《+『名』+『into』+『名』》 / …を勝ち取る,得る;…の主導権をとる / 〈物事が〉(…に)〈人〉をかり立てる,行かせる《+『名』+『to』+『名』》 / 〈新聞などが〉…を掲載する,伝える / 〈動議など〉を通過させる / (努力・才能によって)…を支える,の責任を果たす / 《話》…を援助する,の首をつないでおく / 〈自分〉の身を処する(受動態にできない) / (ある距離まで)『達する』,届く / 投票で採択される / 物を運ぶ / (鉄砲の)射程;(ゴルフ・野球の飛球の)飛距離 / (2つの水路間の)陸上運搬,連水陸路 / 運ぶこと,持っていくこと
carryall	大きな手さげ袋 / (数人乗りの1頭立ての)四輪馬車 / 乗合バス
carrycot	(乳児用の)携帯ベッド
carrying charge	月賦販売割増金 / 前払い経費
carryings-on	軽々しい(うわついた)行動
