caryatid	(ギリシア建築の)女像柱
casaba	カサバ(黄色いマスクメロンの一種)
cascade	(いく筋にもなって落ちる)小滝,(庭園などの)人工滝 / 滝状になった物 / 小滝となって(小滝のように)落ちる
cascara	カスカラ(米国太平洋岸産のとげのある低木) / その樹皮から採れる下剤
case	〈C〉(…の)『実例』,事例《+『of』+『名』》 / 《the case》『実情』,真相 / 〈C〉〈U〉『場合』,情況,事情,立場 / 〈C〉(…の)(決定すべき)問題,重大事《+『of』+『名』》 / 〈C〉『訴訟』[『事件』],裁判 / 〈C〉(正当な)論拠,弁護;(被告または原告の)主張,申し立て / 〈C〉病状,容態;(症状から見た)患者 / 〈C〉〈U〉格(名詞・代名詞の語形変化) / (運搬・保管用のいろいろな)『箱』,ケース / (各種の)『容器』,筒,さや,袋,おおい / (標本・陳列用の)ガラス箱,戸だな / (戸・窓などの)わく / 活字箱 / …を箱(袋,さやなど)に入れる《+『名』+『up,』+『名』+『up』》
case history	事例史(特定の個人・家族・集団などに関する記録) / 病歴,既往歴
case law	判例法
case study	事例研究(個人・集団の社会的発達と環境との関係研究)
casebook	(医学・法律・精神医学などの)事例記録集
caseharden	《鉄・はがねなど》の表面に焼きを入れる
casein	カゼイン,乾酪素(牛乳の蛋白質;絵具・接着剤にも用いる)
caseload	(裁判所や社会事業家などの)取扱い件数
casement	開き窓(観音開きの窓)
casework	ケースワーク(社会福祉上,身障者・困窮者の調査・保護)
caseworker	ケースワーカー,生活環境調査員
cash	『現金』,正金,銀行券,硬貨 / 〈小切手・為替など〉を『現金に換える』,現金化する
cash desk	(店内の)勘定台
cash discount	現金割引
cash flow	現金資金の流れ
cash-and-carry	現金店売り方式の
cash-on-delivery	代金引き替え払い(《略》C.O.D.;《米》collect on delivery)
cashbook	現金出納簿
cashew	カシュー(熱帯アメリカ産の木) / カシューの実
cashier	現金出納係 / 〈士官など〉を懲戒免職にする,〈官吏〉を罷免(ひめん)する
cashiers check	銀行小切手,預金手形
cashmere	〈U〉カシミヤ毛,カシミヤ織り / 〈C〉カシミヤ製衣服
casing	箱,包装,おおい / (電線・タイヤなどの)被覆,(ソーセージの)皮 / (ドア・窓などの)わく;額縁
casino	カジノ(とばく・ダンス・演芸などの娯楽場)
cask	たる,おけ / たる1杯(の…)《+『of』+『名』》
casket	(貴重品を入れる)小箱,手箱 / 《おもに米》ひつぎ,棺おけ(=coffin)
casque	(中世に用いた)かぶと
cassava	〈C〉キャッサバ(熱帯産植物) / 〈U〉キャッサバでんぷん
casserole	(ふた付きまたは陶器製の)蒸し焼なべ / その料理
cassette	(録音・録画テープの)『カセット』;(タイプライターの)カートリッジ,(フイルムの)パトローネ
cassiterite	スズ石
cassock	司祭平服(丈の長いきっちりした服で通例黒色)
cassowary	ヒクイドリ(ニューギニア・オーストラリア産)
cast	…を『投げる』,ほうる / …を『投げ捨てる』,ほうり出す《+『off』+『名』,+『名』+『off』》 / (…に)〈影・光〉を『投げ掛ける』;〈呪い・魔法など〉をかける《+『名』+『on』 (『upon』)+『名』》 / 〈目・視線など〉を『向ける』,投げ掛ける / 〈票〉を『投じる』 / (…に)〈名誉・祝福〉を与える,〈非難など〉を浴びせる《+『名』+『on』(『upon』)+『名』》 / (人に)〈役〉をつける《+『名』〈役〉+『to』+『名』》;(ある役に)〈人〉を当てる《+『名』+『for』+『名』〈役〉》 / (鋳型に流し込んで)…を鋳造する / 物を投げる,(特に)釣り糸を投げる / 鋳造される / 〈C〉『投げること』,(光・影・視線などを)投げかけること / 〈C〉(物を)投げられる距離,射程 / 〈C〉(劇・映画の)『配役』 / 〈C〉(骨折した手足を固定する)ギプス / 〈C〉(…の)鋳型,鋳造[物]《+『of』+『名』》 / 〈C〉〈U〉(人・物の特徴的な)外形,外観;(…の)型,傾向;性質《+『of』+『名』》 / 〈U〉(…の)色あい,色調《+『of』+『名』》 / 《a cast》(材木などの)ゆがみ,そり;《まれ》(軽度の)斜視
cast iron	鋳鉄
cast-iron	鋳鉄の / 融通のきかない,堅苦しい / 強い,がんじょうな
castanet	カスタネット
castaway	難破した人,漂流者 / (神・世間から)見捨てられた人,(社会の)のけ者 / 難破した,漂流した / 投げ捨てられた,見放された
caste	カースト(僧侶・士族・平民・どれいの4階級からなるインドの世襲的階級) / 世襲的な社会階級[制度] / 世襲による社会的地位(身分)
castellan	城主,城代,城守
castellated	(銃眼つき胸壁のある)城造りの,城構えの
caster	(物を)投げる人(物),鋳造師 / (また 『castor』)(いす・ピアノなどの足に取り付ける)小車,脚輪 / (テーブルにおく)薬味びん,薬味立て
caster sugar	精製白砂糖
castigate	〈人〉を厳しく罰する,厳しく批評する / …を難色を示す
castigation	厳しい非難 / 難色
casting	〈U〉配役決定 / 〈C〉鋳物 / 投げること
casting vote	(賛否同数のとき議長が投じる)決定票
castle	『城』,とりで / (一般に)大邸宅,やかた / (また『rook』)(チェスのこまの)城将 / (チェスで)〈王〉をルーク(城将)で守る / 〈王が〉ルーク(城将)で守られる
castoff	脱き捨てた / 見捨てられた / 見捨てられた人(物),(特に)不要の衣料品
castor	=caster / ビーバー香(ビーバーからとれる香水・薬品)
castor oil	ひまし油
castor sugar	=caster sugar
castrate	{動}去勢する / 力を奪う
castration	去勢,卵巣の切除;去葯(やく)
casual	『むぞうさな』,さりげない(offhand) / 『偶然の』,思いがけない / ふだん着の,くだけた / むとんじゃくな,無関心な / 臨時雇労働者 / ふだん着
casually	偶然に,なにげなく
casualness	偶然,むとんじゃくさ;さりげなさ
casualty	(事故・災害などの)死傷者,負傷者,被災者,被害者;(戦争による)負傷者,行方不明者 / 不慮の事故,人身事故
casuist	〈C〉詭弁家 / 道徳問題の理論家
casuistic	{形}詭弁的な / 詭弁を弄する / 枝葉末節にこだわる
casuistry	決疑論(特定の行為を道徳的原理に照らしてその是非を解決しようとすること) / 〈C〉詭弁(ぎべん)
cat	『猫』;(ライオン,トラ,ヒョウなどの)ネコ科の動物
cat burglar	壁・配管などを登って押し入る泥棒(《米》second-story man)
cat suit	女性・子供用の体にぴったりした運動着
cat's paw, cat's-paw	〈C〉手先 / 利用される人 / (航海)小さな突風・そよ風
cat's-eye	猫目石 / (車の安全のために道路に設置した)ヘッドライト反射装置
cat-and-mouse	追いつ追われつの,食うか食われるのか
cat-o-nine-tails	こぶ結びのついた9本のひもを柄に通した罪人を打つむち
cat.	catalog; catalogue
catabolism	(動植物の)異化作用
cataclysm	(地震など)地殻の激変 / (大洪水・地震など)大災害,(社会的・政治的)大変動,激変
