cay	〈C〉小さな砂洲 / サンゴ礁島
cayenne	とうがらし
cayman	=caiman
cayuse	(米西部で)インディアンの小馬
ccw	{略}反時計回り(counterclockwise),=anticlockwise (英国)
cd.	cord; cords
cease	『やむ』,終わる / …を『やめる』,中止する / 終止
ceasefire	休戦,休戦命令
ceaseless	絶え間のない,間断ない
cecropiamoth	北米産の大きなカイコガの一種
cecum	盲腸
cedar	ヒマラヤスギ,セイヨウスギ;〈U〉杉材
cedar chest	杉材のたんす
cede	(…に)〈権利など〉を譲る,〈領土〉を割譲する《+『名』+『to』+『名』》
cedilla	セディラ(のように,フランス語などでcが[s]音になる符号.çの下部の符号)
ceiling	『天井』 / いちばん高い所,頂上 / (価格・賃金などの)最高限度 / (航空機の)上昇限度
celandine	クサノオウ(ケシ科の植物)
celebrant	(ミサ・聖餐(せいさん)式の)祭司,(祭典などの)参列者
celebrate	(儀式・祝典などを行って)…を『祝う』 / 〈人・行為など〉を世に知らせて賞賛する / 〈儀式・結婚式など〉を挙行する,執り行う / ミサを行う / 《話》浮かれ騒ぐ
celebrated	名高い,有名な;(…で)有名な《+『for』+『名』》,(…として)知れ渡った《+『as』+『名』》
celebration	『祝賀』,祝典(儀式)の挙行;〈C〉祝典,祭典,祝賀会
celebrator	祝賀する人
celebrity	〈C〉有名人 / 〈U〉名声
celerity	(行動の)迅速(じんそく),敏速
celery	セロリ,オランダミツバ
celesta	チェレスタ(ピアノに似た小型の鍵盤楽器)
celestial	天国の,天上界の;神聖な;絶妙な / 天体の,天空の
celestial equator	天球の赤道
celestial guidance	天測誘導(天測でミサイルや宇宙船が位置修正を自動的に行う誘導方式)
celestial navigation	天測航行(天体の位置を観測して行う航行)
celestial sphere	天球(観測者を中心にした仮想球体)
celiac	腹[腔]の,腸にある
celibacy	独身;(特に宗教的理由による)独身生活
celibate	独身の,独身生活の / 独身者,(特に宗教の誓いによる)独身主義者
cell	(刑務所の)『独房』;(修道院の)小さい独居室 / (ミツバチの)みつ房,巣穴 / 小さい部屋 / 『細胞』 / 電池 / 花粉室 / (共産党などの)細胞
cellar	『地下室』(basement)食料貯蔵室,穴蔵;(地下の)ぶどう酒貯蔵室 / 貯蔵ぶどう酒 / 《話》《the ~》(スポーツのチームなどの)最下位
cellarage	地下室の面積(収容力) / 地下室使用料
cellaret,cellarette	ふどう酒だな
cellblock	(刑務所の)独房棟
cellist	チェロ奏者
cello	チェロ(楽器)[violoncelloの短縮形]
cellophane	セロファン
celluloid	セルロイド
cellulose	セルロース,繊維素
cellulose nitrate	ニトロセルロース,硝酸繊維素(ラッカーや爆薬に用いられる)
cembalo	チェンバロ(harpsichord)
cement	『セメント』;接合剤,接着剤 / 結合,(友情の)きずな / …にセメントを塗る,をセメントで固める / 〈友情・関係など〉を固める,堅く結び付ける / 結びつく,固まる
cement mixer	コンクリートミキサー
cementum	(歯の)セメント質
cemetery	(教会に付属しない)『共同墓地』,埋葬地
cen.	central / century
cenobite	(修道院で共同生活する)修道士
cenotaph	〈C〉記念碑 / 《the C-》(ロンドンにある)第一次・第二次世界大戦の戦没者記念碑
censer	(特に教会の儀式のときに用いる鎖のついた)つり香炉
censor	(出版・報道・映画・手紙などの)検閲官 / (古代ローマの)監察官 / (人の)批評をする人,やかまし屋 / …を検閲する
censorial	検閲[官]の
censorious	検閲官のような;批評好きの,口やかましい
censorship	検閲,検閲制度 / 検閲官の職
censurable	非難すべき,とがめられるべき
censure	…を『非難する』,とがめる;(…のことで)〈人〉をとがめる《+『名』〈人〉+『for』(『about』)+『名』(do『ing』)》(blame) / 『非難』,とがめ,酷評
census	人口調査,国勢調査
cent	〈C〉セント(1ドルの100分の1; 米国・カナダの貨幣単位;《略》￠) / (角度の)セント / (音程の)セント
cent.	centigrade / centimeter / central / century
centaur	ケンタウロス(上半身は人間で下半身が馬のギリシア神話の怪物)
centavo	センタボ(スペイン語・ポルトガル語を話す国の硬貨;1/100ペソ)
centenarian	100歳[以上]の人
centenary	100年記念日,100年記念祭 / 100年間 / 100年の;100年目の
centennial	100年祭 / {形}(比較変化なし)《名詞の前にのみ用いて》100年目の,100年目ごとの;100年記念の
center bit,centre bit	回しぎり(木材に穴をあける道具)
