chamber pot	(寝室用)便器 おまる
chambered nautilus	=nautilus
chamberlain	侍従,執事 / (市町村の)徴収係,会計係
chambermaid	(ホテル・モーテルの)部屋係メイド
chambray	シャンブレー織り(綿・絹あるいは麻の霜降り模様の薄地織物)
chameleon	カメレオン / 移り気な人,節操のない人
chamfer	〈板〉のかどをそぐ;〈板〉にみぞをつける / (板・角材の)そがれたかど;板につけたみぞ
chamois	〈C〉シャミ(主にアルプス産のカモシカ) / (また『shammy』)〈U〉〈C〉セーム皮(カモシカ・羊・ヤギなどのもみ皮)
chamomile	=camomile
champ	…をむしゃむしゃ(ボリボリ)食べる / 〈馬が〉〈くつわのはみ〉をバリバリかむ / むしゃむしゃ食べる / くつわをかむ / championの短縮形
champagne	(また《俗》『bubbly』)シャンペン(パーティーなどに使われる白ぶどう酒) / シャンペン色(あわい黄色または黄緑色)
champaign	平原,平野
champion	〈C〉(競技の)『優勝者』;最優秀賞をとった人(動物) / (主義・主張のために戦う)『闘士』 / 優勝した,最優秀賞をとった / 《英話》とびきりの,この上ない / この上なく / …のために戦う
championship	〈C〉優勝者の地位(名誉) / 《しばしば複数形で》《単数扱い》選手権試合 / 〈U〉(自由・権利などの)擁護
chance	〈C〉〈U〉『偶然』,偶然のでき事;運,めぐり合わせ / 〈U〉〈C〉(何かが起こる)『公算』,見込み,可能性(probability) / 〈C〉『好機』,機会(opportunity) / 〈C〉危険,冒険;かけ / 《『chance to』 do》〈人が〉偶然;する / 《『it chances』+『that』『節』》〈物事が〉偶然に起こる / …を運を天に任せてする / 偶然の,はずみの
chance-medley	(法律用語で突発的な)暴力ざた
chancel	(教会堂の)内陣(聖職者・合唱隊などの席)
chancellery	chancellorの地位(事務局) / 大使館(領事館)事務局
chancellor	(西独・オーストリアなどの)首相 / (アメリカのいくつかの大学で)総長,学長 / 《米》衡平法裁判所(court of equity)の判事 / (国王などの)秘書;(外交官の)一等書記官 / 各種の高官の称号
chancery	(また『court of chancery』)《米》衡平法裁判所 / chancellorの職 / 《英》大法官府,大法官裁判所 / 公記録保管庁
chancy	あてにならない,あぶなっかしい
chandelier	シャンデリア
chandler	ろうそく製造販売人 / 雑貨商
change	(…に)…を『変える』,改める《+『名』+『into』+『名』》 / …を『取り替える』,交換する / 〈小切手・為替〉を現金にする,〈金〉を両替えする;(…に)…を両替する《+『名』+『into』+『名』》 / (…に)『変わる』,変化する《+『to』(『into』)+『名』》 / (他の衣服に)着替える《+『into』+『名』》 / (…に)乗り換える《+『to』+『名』》 / 〈C〉(…の)『変化』,移り変わり,変遷《+『of』+『名』》 / 〈C〉(…の)『取り替え』,交換;乗り換え《+『of』+『名』》 / 〈U〉釣り銭,小銭
change of life	=menopause
change ringing	転調鳴鐘[法](音色の異なる一種の鐘を次々と鳴らす技術)
changeable	変わりやすい,定まらない;(人が)移り気の / 変更できる,変えられる / (色や外見が)いろいろに変化いて見える
changeableness	変わりやすさ
changeably	変わりやすく,気まぐれに
changeful	変化に富む,変わりやすい
changeless	変わることのない,不変の
changeling	ひそかに(うっかりして)取り替えられた子 / (おとぎ話で)妖精が美しくかわいい子とすり替えて残していった子
changeover	(政策・方針の)変更,転換 / (内閣などの)改造
channel	〈C〉『水路』(川・湾・運河の船の通行ができる深い部分) / 〈U〉河床・川底 / 〈C〉『海峡』 / 〈C〉みぞ(groove),(道路の)水渠(すいきょ) / 《複数形で》(運搬・伝達の)正式の経路(手続き);(一般に)経路 / 〈C〉(テレビ・ラジオの)チャンネル / …に水路を開く / …にみぞを掘る / …を伝える,流す
channelize,channelise	=channel
chanson	シャンソン,歌
chant	〈C〉(単調なリズムで繰り変される)歌 / (一つの音で単調に歌われる)詠唱 / (詠唱調で歌われる)聖歌 / …を単調に繰り返して歌う(叫ぶ) / …を詠唱する / (一般に)…を歌う / 単調に繰り返して歌う(叫ぶ) / 詠唱する;聖歌を歌う
chanterelle	アンズタケ(黄色の食用キノコ)
chantey	船歌(船乗りが仕事に合わせて歌う)
chanticleer	おんどり
chantry	(冥福を祈ってもらうための教会への)寄進 / 寄進によって建てられた礼拝堂
chanty	=chantey
chaos	〈U〉(天地創造以前の)混とん / 〈U〉(一般に)『混乱状態』,無秩序;〈C〉混乱したもの
chaotic	混とんとした,無秩序の
chaotically	混とんとして,無秩序に
chap	〈C〉『やつ』(=fellow)《英略式》 /  {名}(皮膚の)ひび,あかぎれ
chaparral	低木の茂み
chapbook	呼び売り本(昔,行商人が売った通俗読み物の小冊子)
chapeau	帽子(hat)
chapel	〈C〉(教会の)『礼拝堂』;(学校・兵営・病院・船・私邸などの)礼拝所,礼拝室 / 〈U〉(特に学校・病院・軍隊での)礼拝式,チャペル / 〈C〉(英国で)非国教会系の教会 / (イングランド・ウェールズで)非国教徒の
chapelgoer	(英国の)非国教徒(Nonconformist)
chaperon, chaperone	10代の少年少女の主催するパーティーに付き添う人;若い未婚の女性が社交場に出るときに付き添う年配の婦人 / 〈若い婦人,特に10代の女子〉を付き添い役をする
chapfallen	がっかりした,意気消沈した
chaplain	(宮廷・学校・刑務所などの)礼拝堂つき牧師《+『to』+『名』》;従軍牧師,教戒師
chaplaincy	chaplainの居場所 / chaplainの職(地位,任期)
chaplet	頭飾りの花輪 / 小さなじゅず / (一般に)ビーズ飾り,玉飾り
chapman	(昔の)行商人,呼び売り人
chaps	カウボーイがズボンの上からはく皮ズボン
chapter	(各種の文章の)『章』(《略》chao.,Chap.,ch.,Ch.,c.) / 〈C〉(人生・歴史・事がらの)重要な一時期 / 《集合的に》聖堂参事会,修道院義士会 / (協会・組合・クラブなどの)地方支部,分会
chapter house	〈C〉評議室 / 集会所(修道院や大聖堂の)
char	…を焦がす / (焼いて)…を炭にする / こげる / (時間ぎめや日雇いで)〈婦人が〉雑役をする / =chatwoman / =tea
charabanc	シャラバン,大型遊覧バス
