chow	チャウチャウ(中国原産の中型犬)
chowder	チャウダー(魚貝類に野菜などを加えて作る濃いスープ)
chowmein	チャーメン(米国の中国風焼きそば)
chrism	聖香油(教会で洗礼などの儀式に用いる油)
christen	〈人〉に洗礼を施してキリスト教会へ受け入れる,洗礼を施す(baptize) / (洗礼して)〈人〉に命名する;(式典をあげて)〈船・鐘など〉に命名する / 《英話》…を初めて使用する
christening	洗礼式,命名式
chromate	クロム酸塩
chromatic	色の,色彩を用いる / 半音階の
chromatic scale	半音階
chromatically	彩色を施して,彩色的に / 半音階に
chromaticity	色度(光の色を数量的に表したもの)
chromatin	染色質(細胞核にある染色しやすい物質)
chromatography	色層分析法(混合物を成分に分離する方法)
chrome	=chromium / クロムまたはクロム合金をめっきした材料,クロム染料など
chrome green	クロム緑(酸化クロムから作られる緑色顔料)
chrome steel	クロム鋼
chrome yellow	クロム黄(クロム化合物から作られる黄色顔料)
chromic	クロムの,クロム(特に3価のクロム)を含む
chromic acid	クロム酸
chromium	クロム,クロミウム(金属元素;化学記号は『Cr』)
chromo	〈C〉カラー印刷物 / 多色刷りの版画《略式・古》
chromosome	染色体
chromosphere	彩層(太陽の周辺を取り巻いている白熱ガスの層) / 恒星を取り巻くガス層
chron.	chronicle / chronological / chronology
chronic	(病気が)長期にわたる,慢性の / 《名詞の前にのみ用いて》常習の,癖になった
chronically	慢性的に / 常習で絶えず
chronicle	年代記(過去のでき事の年代順の記録) / 《the C-》歴代志(旧約聖書中の一書) / (一般に)物語,記録 / …を年代記に載せる;…を記録にとどめる
chronicler	年代記編者
chronograph	クロノグラフ(時間を図表として記録する装置)
chronol.	chronological / chronology
chronological	年代順の,年代順に配列した
chronology	〈U〉年代学(でき事が発生した時や発生順を研究) / 〈C〉年表 / 年代順配列
chronometer	クロノメーター(科学的実験・航海・天文観測などに用いる精密な時計)
chrysalid	=chrysalis
chrysalis	(ガやチョウの)さなぎ / まゆ
chrysanthemum	菊 / 菊の花
chrysolite	〈C〉カンラン石 / ペリドット(宝石の一種,緑がかった黄色の宝)《古》
chub	チャブ(コイ科の淡水魚)
chubbiness	丸ぽちゃ,丸丸と太っていること
chubby	(人・顔などが)丸々と太った,丸ぽちゃの
chuck	(ふざけて,または愛情をこめ)…を軽くたたく / …をぽいと投げる,ほうる / 《話》(いやになって)…をぽんと投げ出す《+『out』+『名,』+『名』+『out』》 / (特に,あごの下を)軽くたたくこと / (旋盤機・ドリルなどの)チャック,つまみ(工作物をつかんで固定させる部分) / (牛の)首から肩までの肉
chuck wagon	炊事車(カウボーイや農夫の食糧や料理道具を運ぶ車)
chuckfull	=chock-full
chuckhole	(道路の)くぼみ,穴
chuckle	『くすくす笑い』,含み笑い / (満足して,おもしろがって)(…を)『くすくす笑う』,ひとり笑いをする《+『at(over)』+『名』》
chucklehead	ばか,のろま
chug	シュッシュッと音をたてる(音をたてて動く)《+『along』(『away』)》 / (機関車・エンジンなどの)シュッシュッという音
chukka boot	チャッカブーツ(くるぶしまでの皮製の深靴)
chukker	ポロの試合の回(一試合は8回)
chum	《話》(特に男性の)親友,仲よし / (魚を集める)まき餌(え) / 《英古》(…と)部屋を分けあう《+『together with』+『名』》 / まき餌をまく
chummy	仲よしの,親しい,(…と)仲よしの,親しい《+『with』+『名』》
chump	《俗》ばか / 短く厚い木切れ / (また『chump chop』)厚切りの骨付き肉
chunk	(…の)厚切り,厚いかたまり《+『of』+『名』》 / かなりの量(額,部分)
chunky	(人・動物が)ずんぐりした / (切り取った物が)ぶ厚い
church	〈C〉(特に,キリスト教の)『教会』,教会堂 / 〈U〉(教会で行う)礼拝 / 〈U〉《しばしばC-》教派 / 《the ~》全キリスト教徒 / 《the ~,the C-》聖職,牧師の職 / 《集合的に》(同じ建物で礼拝する,または会衆(congregation)を構成する)キリスト教徒たち / (安産感謝などのため)〈産後の婦人〉を教会に連れて行く
churchgoer	(欠かさずに)教会(礼拝)へ通う人
churchless	教会のない / 教会に属さない(出ない)
churchman	聖職者,牧師(clergyman) / (熱心な)教会員
churchwarden	教区委員(英国国教会及び監督教会で教区の会計事務などを行う信徒)
churchwoman	教会の女性信者
churchyard	(しばしば墓地として用いられる)教会堂に隣接する庭
churl	無作法者 / いなか者
churlish	粗野な,無作法な,不愛想な
churn	かく乳器(クリームやミルクをかき混ぜてバターを作る) / 〈クリーム・ミルク〉をかく乳器に入れてかき混ぜる / 〈バター〉をかく乳器で作る / …を激しくかき混ぜる《+『名』+『up,』+『up』+『名』》 / 激しく動く
churr	=chirr
chute	シュート(物を送る傾斜した,または垂直の管・樋(とい)など) / 急流,滝 / 《話》=parachute
chutney	チャットネ・チャツネ 《マンゴーなどの果物を種々の香料とともに煮た甘ずっぱいインドの保存食》.
chutzpah, chutzpa	厚かましさ
château, chateau	(フランスの)城;(特にフランスの)大邸宅
ciao	やあ(Hi.) / じゃまた(So long.)
cicada	セミ
cicatrix	瘢痕(はんこん)(傷を修復して再生した新しい組織)
cicerone	名所案内人,ガイド
cider	《おもに米》シードル(通例りんごジュースの意に用いる) / 《おもに英》りんご酒(=hard cider)(りんご汁を発酵させたもの)
cigar	『葉巻きたばこ』,シガー
cigarette case	巻きたばこ入れ
cigarette holder	シガレットホルダー(巻きたばこ用パイプ)
cigarette lighter	=lighter
cigarette paper	巻きたばこ用紙
cigarette,cigaret	『紙巻きたばこ』
cigarillo	細い葉巻
cilia	まつげ(eyelashes) / 繊毛
ciliary	(目の)毛様体の / まつげの
ciliate	繊毛虫(ゾウリムシなど,繊毛のある微生物)
cilium	『cilia』の単数形
cinch	(馬の)腹帯 / 《話》確かなこと;たやすいこと 容易なこと(朝飯前) / 〈馬〉に腹帯を着ける(巻く) / 《俗》…を確実にする
cinchona	〈C〉キナの木(南米産) / 〈U〉キナ皮(キナの木の樹皮でキニーネ(quinine)などの薬剤を採る)
cincture	(礼拝式中に)司祭服につける帯 / (一般に)ベルト
cinder	(石炭・まきなどの)燃えがら;消し炭 / 《複数形で》灰 / 金くそ(鉄を鍛えるときはがれて落ちるくず)
cinderblock	シンダーブロック(石炭がらとセメントで作る軽量コンクリートブロック)
cine	=cinematography
cine-projector	映写機
cinema	〈C〉『映画館』(《米》movie theater) / 《the ~》映画産業;《集合的に》『映画』(《米》movie[s])
cinematheque	実験映画を見せる映画館
cinematographer	映画撮影技師;映写技師
cinematography	映画撮影技師(《英話》cine)
cinemaverite	ドキュメンタリー式映画技法
cinerarium	納骨堂(火葬した遺骨を安置する所)
cinnabar	辰砂(しんしゃ)(水銀の主要鉱石,赤色または赤褐色)
