cinquefoil	キジムシロ(バラ科の植物;ある種は五弁の葉を持つ)
cion	=scion
cipher,cypher	〈C〉ゼロ(zero) / 〈C〉ゼロを表す数字,0 / 〈C〉(個々の)アラビア数字 / 〈C〉取るに足りない人,無価値なもの / 〈U〉暗号,符牒(ふちょう) / 〈通信など〉を暗号で書く / 計算する,算出する
cir.	circa / circular
circ.	circa / circular / circuit / circulation / circumference
circa	(とくに近似の年代を示すのに用いて)およそ(about)(《略》『c.,ca,ca.,cir.,circ.』)
circadian	(約24時間周期の)生物学的サイクルの
circle	『円』 / (劇場などの)半円形のさじき / (…の)円形のもの《+『of』+『名』》 / (活動・勢力などの)範囲 / 《時に複数形で》(共通の利害・活動などで結ばれた)『仲間』,団体,…界 / 一巡;循環 / 『円を描く』,旋回する / …を『円で囲む』;…を取り囲む / …の回りを回る
circlet	小さな円 / 飾り環(女性が頭・腕・首につける)
circuit	『回ること』;一周,一巡 / (牧師・裁判官・外交員などの定期的な)巡回 / 巡回する経路,巡回区域;(特に)巡回裁判区 / (電気の)配線系統,回路 / (映画館・劇場などの)チェーン,興行系統 / (チーム・クラブ・競技場などの)連盟,リーグ / (土地・物などの)周囲,回り / 境界線で囲まれた区域
circuit breaker	電気回路しゃ断器,ブレーカー
circuit court	巡回裁判所
circuit rider	巡回説教師
circuitous	遠回りの,回り道の / 遠回しの / 遠回しに
circuitry	電気回路 / 電気回路構成物(真空管など)
circular	『円形の』,丸い / 回転して動く / 循環的な,旋回する;回遊する / (公衆に配布する)案内状,広告ビラ
circular saw	丸のこぎり
circularize,circularise	〈グループ〉に広告(案内状)を送る
circulate	〈血液・空気などが〉『循環する』,巡る / 〈うわさなどが〉『広まる』;〈本・新聞などが〉(特に広範囲に)『配布される』,売られる / 〈血液・空気など〉を『循環させる』;〈物〉を回す,回覧させる / 〈うわさなど〉を『広める』;〈本・新聞など〉を配布する
circulating library	会員制の貸し出し図書館
circulation	〈U〉『血液の循環』,血行 / 〈U〉(貨幣の)流通;(情報・うわさなどの)流布伝達;(新聞・雑誌など,印刷物の)配布 / 〈C〉(新聞・雑誌などの)発行部数
circulator	循環器 / 流布(伝達)する人 / 循環小数
circulatory	循環の / 循環系の
circulatory system	循環系(血液やリンパ液を全体に運ぶ組織網)
circum.	circumference
circumambulate	(特に気取って)…を歩き回る / 歩き回る
circumcise	…に割礼を施す
circumcision	割礼(ユダヤ教などで宗教的儀式として男性の陰茎包皮を切り取ること) / 〈C〉(カトリックで)キリスト割礼の祝日,(聖公会で)受割礼日(1月1日)
circumference	外周,(特に)円周
circumflex	曲折アクセント記号(音質・音量・アクセントなどを示すため母音字の上につける^などの記号;role)
circumlocution	〈U〉回りくどい話し方,遠回しの言い方 / 〈C〉回りくどい表現(話)
circumlunar	月の回りを回る,月を巡る
circumnavigate	〈世界など〉を船で一周する,周航する
circumnavigation	周航{しゅうこう};世界一周
circumpolar	北極(南極)周辺の / (星が)天極の回りを円を描いて回る
circumscribe	…の回りに線を引く;…を取り巻く,囲む / 《文》…を制限する / (別の図形に)〈ある図形〉を外接させる;〈図形〉を外接して囲む
circumscription	制限;境界[線] / 周囲;区域 / (幾何で,円の)外接
circumspect	慎重な,用心深い;用意周到な
circumspection	慎重な行動,用心深さ
circumstance	〈C〉《複数形で》(人や行動に影響を及ぼす)『状況』,『環境』,周囲の事情;条件 / 〈C〉(特定の)事情,(事の)次第,でき事 / 〈C〉《複数形で》『経済状態』,暮らし向き,境遇 / 〈U〉ものものしさ,仰々しさ / 〈U〉(特に一部始終を)詳細に述べること
circumstantial	《文》状況の,状況による / 本質的でない,付随的な / 詳細な,詳しい
circumstantial evidence	状況(間接)証拠
circumstantiate	…を詳しく実証する,詳しく述べる
circumvent	…を裏をかく,を出しぬく / …の周囲を回って行く,を迂回する;…を回避する
circumvention	裏をかくこと / 迂回;回避
circus	『サーカス』 / サーカス団,(特に)地方巡業をするサーカス一座 / (階段座席に囲まれ,しばしば天幕でおおわれた)円形の曲馬場,円形曲芸場 / (古代ローマの)野外大競技場 / 《英》(放射街路の集まる)円形広場
cirque	円形の場所,(山などにできた)すりばち状の地形 / 《詩》輪,環 / 圏谷(けんこく)(氷河の浸食によって山頂などにできた円形のくぼ地)
cirrhosis	肝硬変
cirrocumulus	まだら雲、巻積雲{けんせきうん}、絹積雲{けんせきうん}
cirrostratus	絹層雲(白いベール状の雲)
cirrus	絹雲(けんうん)
cislunar	地球と月(軌道)の間の
cissy	=sissy
cistern	(雨水の)貯水槽(そう);(自然の)ため池;(一般に)貯水タンク,(水洗便所の)タンク
cit.	citation / cited / citizen
citadel	防備の最後の拠点となる市街を見おろす強力な城 / (一般に)とりで,要塞(ようさい)
citation	〈U〉(事実などの)引用,挙例《+『of』+『名』》;〈C〉引用文 / 〈C〉(…の)召喚状 / 〈C〉(軍人・部隊などに与えられる)感状;(一般に)表彰状
cite	(作家・作品から)〈文章・句〉を『引用する』(quote)《+『名』+『from』+『名』》 / …を召喚する,呼び出す(summon) / (証拠・確認などのために)…を引き合いに出す / …に感謝状を出す,を表彰する
citify	…を都会風にする
citizen	(法的義務を持ち,居住権などの公民権を得ている)『国民』,公民 / (特に居住権を得ている)『市民』,住民 / 《米》(軍人・警察管などに対して)文民,一般人
citizen arrest,citizen's arrest	市民(による)逮捕
citizenry	市民(citizens)
citizens band	(無線送受信機のための)民間周波数帯(《略》『CB』)
citizenship	市民権,公民権
citrate	クエン酸塩
citric	柑橘(かんきつ)類の / クエン酸の
citric acid	クエン酸(柑橘(かんきつ)類に含まれる)
citron	シトロン(レモンに似た果実でリキュールなどに用いる) / シトロンの木 / (砂糖づけにした)シトロンの皮(ケーキに用いる)
citronella	〈U〉シトロネラ(芳香植物;南アジア産の植物;石けんなどの香料となる) / シトロネラ油
citrous	=citrus
citrus	柑橘(かんきつ)類の,ミカン類の / 柑橘(かんきつ)類ミカン属の木の総称
