cleanness	清潔 / 潔白;清浄
cleanse	…を消毒する / (罪などを)〈人・人の心など〉から洗い落として清める《+『名』+『of』(+『from』)+『名』》
cleanser	洗剤(せっけん,磨き粉など)(detergent)
cleanup	掃除,清掃 / (汚職・ギャンブルなどの)一掃,浄化 / 《俗》大もうけ / (野球で)走者を一掃する
clear	『晴れた』;明るい(bright) / 『透き通った』,透明な / (形・輪郭などが)『はっきりした』,くっきりした / (音が)はっきり聞こえる(聞き取れる) / 『分かりやすい』,あいまいさのない / 《補語にのみ用いて》はっきり知っている,確信している / 明せきな,理路整然とした / 妨害(支障)のない / 汚れ(しみ,きず)がない / 《補語のみ用いて》(…を)免れた,(…が)ない,(…から)解放された《+『of』+『名』》 / 《名詞の前,時に名詞の後に用いて》丸々の;正味の / はっきりと,明瞭に,明確に / (…から)離れて《+『of』+『名』》 / 全く,まるまる / (…を)…から『取り除く』,片付ける;(人を)…から立ち去らせる《+『名』+『of』+『名』》 / (…から)〈物〉を『取り除く』,片付ける;(…から)〈人〉を立ち去らせる《『名』+『from』(『out of』,『off』)+『名』》 / をきれいにする,清らかにする;…を明るくする / …に触れないで越す / (罪・疑い・責任などから)…を『逃れさせる』,免除する《+『名』+『of』+『名』》 / 〈議会・税関・手形交換所など〉をすんなりと通過する,の許可を簡単に得る / 《話》…をまるまるもうける,の純益を上げる / 〈負債〉を清算する,〈手形〉を返済する;〈小切手〉を現金化する / 『明るくなる』;澄む / 消え去る,過ぎ去る / (じゃま物のない)開けた場所,あき地
clear out	掃除;廃棄処分
clear-cut	輪郭のはっきりした / (意味・考えなどが)はっきりした,明快な
clear-sighted	よく目の見える / (将来に対して)見通しがきく
clearance	〈U〉〈C〉(…の)取り片付け,除去,掃除《+『of』+『名』》 / 〈U〉〈C〉(積荷の)通関手続き,(船の)出港免状 / (またclearance sale)〈C〉大棚ざらいの売出し / 〈U〉〈C〉(手形の)決済,(小切手の)現金化 / 〈U〉〈C〉(二つの物の間の)あき,余裕;(特に)道路面・川の面から橋げたまでの高さ / 〈U〉〈C〉秘密情報の使用許可;(秘密情報を扱う人の)信頼性調査;公安調査
clearance sale	=clearance3
clearheaded	頭の切れる,明敏な
clearing	(森の一部を伐採して作った)開墾地,小さなあき地
clearinghouse	手形交換所 / 《比喩(ひゆ)的に》物事のけりをつけてくれる所
clearly	『はっきりと』,明白に / 『疑いもなく』,明らかに / 《返事として》もちろんそのとおり,いかにも
clearness	明白さ,明快さ,明確さ / 透明
clearway	停車禁止道路[区間]
cleat	耳形の綱止め / (すべり止めに用いる)くさび形の木片(鉄片) / 《複数形で》(靴の裏底・かかとにつける)すべり止め
cleavage	割る(割れる)こと;割れ(裂け)目 / 卵割(受精卵の細胞分裂) / (鉱物の結晶の)劈開(へきかい) / 《話》(大きなえりぐりのドレスから見える)乳房の谷間
cleave	…をまっぷたつに割る,裂く / 〈人垣・やぶ・波など〉をかき分けて突き進む;〈道〉を切り開く / (木目などに沿って)割れる,裂ける / 切り分けて突き進む / 〈物が〉(…に)くっつく,固着する《+『to』+『名』》 / 《文》《古》(…への)忠誠を守る,(…を)固守する《+『to』+『名』》
cleaver	(特に肉屋の使う手おの型の)肉切り包丁
clef	(楽譜の五線上の最初に付ける)音部記号
cleft	cleaveの過去・過去分詞 / (地面・岩などの)裂け目,割れ目,ひび
cleft palate	(先天性の)口蓋(こうがい)裂
clematis	クレマチス(白・黄などの花を咲かせるつる植物)
clemency	〈U〉(裁判・刑などで示される)寛大[さ],慈悲 / 〈C〉寛大な処置,情け深い行為 / 〈U〉(気候の)隠やかさ
clement	《文》(性格が)寛大な,慈悲深い,温厚な (気候が)温和な
clench	〈歯〉をくいしばる,〈こぶし・物など〉を固く握り締める,〈口〉をきっと結ぶ / 〈打ち込んだくぎなどの先〉を折り曲げる,つぶす / 歯をくいしばること,(くやしい時の)歯ぎしり
clepsydra	水時計
clerestory	採光窓、高窓層(教会堂などで採光用の高窓が並んだ側壁) / 《米》高窓;(電車の天井両側にある)通風窓
clergy	『聖職』,牧師
clergyman	(一人の)『聖職者』,牧師(minister,priest,rabbiなど)
clergywoman	(婦人の)牧師
cleric	{名}〈C〉 / =clergyman
clerical	事務的な / 聖職者の, 牧師の / 〈C〉牧師
clericalism	聖職者に関連するもの;聖職者に関連する制度や慣習
clerihew	人物四行詩(有名人についてユーモラスに描く詩)
clerk	(銀行・会社の)行員,社員;事務員 / (官庁の)『書記』,事務官,吏員;(教会の)書記 / 《米》『店員』,売り子(=salesclerk)(《英》shop assistant) / 事務員(書記など)として働く
clerk of works	(工事の)現場監督
clever	『利口な』,頭のよい,才気のある,気のきいた / 『器用な』,じょうずな(skillful)
clever dick	りこうぶる人
clevis	U字かぎ〈C〉
clew	(また『clue』)(森や迷路から抜け出すためたぐる)糸玉 / (難問解決の)糸口 / (また『clue』)帆耳(帆の最下端)
cliche,cliché	陳腐なきまり文句;月並みな考え
cliched,clichéd	陳腐な,紋切型の
click	(掛け金をかけたり,錠を回したりする時の)『カチリという音』 / カチリと鳴る物;掛け金 / 『カチリと音がする』 / 《英俗》〈男女が〉意気投合する;(…と)カチッと気が合う《+『with』+『名』》 / 《話》成功する,うまくいく / 《話》(…に)分かる,のみこめる《+『with』+『名』》 / …をカチリと鳴らす
