clock tower	時計塔;《the Clock Tower》(英国国会議事堂の)時計塔
clock-watcher	終業時刻ばかり気にするなまけ者
clockwatching	(仕事・勉強などがいやで)終業時刻ばかり気にすること
clockwise	時計の針と同方向の(に)
clockwork	時計仕掛け,ぜんまい仕掛け
clod	(特に)土の塊,土くれ / 《話》ぼんくら
cloddish	土くれのような / ぼんくらの,愚鈍な
clodhopper	《話》やぼないなか者 / 《複数形で》どた靴
clog	(…の)じゃま物,障害物《+『to』+『名』》 / 《複数形で》木(コルク)底の靴(サンダル) / …の動きを妨げる / 〈管・道路など〉をふさぐ,詰まらせる / 〈管などが〉詰まる;〈油・泥などが〉固まって詰まる
clog dance	床を踏み鳴らす木靴ダンス(特に北英の工場地帯で行われる)
clogdancer	床を踏み鳴らし木靴ダンスをする人
cloggy	詰まりやすい,べたつく
cloisonne	七宝(しっぽう)細工,七宝焼
cloister	(修道院・大学などの中庭を囲んだ)回廊,柱廊 / 修道院;修道院の生活 / 屋根のある通路,アーケード / …を修道院に閉じ込める / …を静かな所に隔離する
clone	クローン(一個体から無性生殖で増殖した有機体群);(植物の)栄養系,(動物の)分技系
clop clop	(ウマのひづめの)パカパカいう音
close	…を『閉じる』,閉める(shut) / …をふさぐ(fill) / 〈事務・仕事・話など〉を『終える』,済ませる / 〈通路・施設など〉を一時的に閉じる,の使用を一時中止する / (一つにまとまるように)…をつめる / 〈ドア・目・花などが〉『閉じる』,閉まる;ふさがる / 〈話・相談・契約などが〉『終る』,終了する,〈店などが〉終業(休業)する / くっつく,接近する(come together) / 終結,結末,終り(end) / 締め切り / (音楽の)終止 / (距離・時間・関係が)『近い』,接近している・《名詞の前にのみ用いて》『親密な』,親しい・ぎっしり詰まった,密集した;目のつんだ,きめの細かい・綿密な,厳重な(strict) ・息がつまる,重苦しい(stuffy) / 厳重に隠された,秘密の / ほとんど同等の,匹敵する・《補語にのみ用いて》(金銭が)乏しい;(…に)けちな(stingy)《+『with』+『名』》・(音声が)閉鎖音の(舌を口蓋(こうがい)に近づけて発音する) / (…に)『近接して』,(…の)すぐそば(近く)に;(…に)ぴったりくっついて《+『to(behind, by)』+『名』》 / きっちりと;ぎっしりと・(大寺院の)囲い地;(学校の)構内,校庭・《英》袋小路
close call	危機一髪;危うく逃れること(close shave)
close cut	(髪を)短く切った
close quarters	狭苦しい(窮屈な)場所 / 接戦,白兵戦
close season	=closed season
close shave	(頭髪などを)つるつるにそること / 《話》危機一髪,きわどさ(close call)
close thing	危機一髪のこと / (また『close-run thing』)(選挙・競技の)きわどい勝利,辛勝
close up	(映画で)大写し,クローズアップ;近接写真 / 《話》精密な観察
close woven	織り目の細かい
close-cropped	短く刈った
close-grained	目のつんだ;(木材が)木材の細かい
close-hauled	(帆船が)帆を詰め開きにした,いっぱい開きの
close-in	隣接した / 近距離からの
close-knit	(信念・行動の上で)緊密に結ばれた,堅く団結した
close-lipped	口数の少ない,口の堅い
closed book	未知の事 / 解決済みの事
closed circuit	電気閉回路 / クローズドサーキット(特定の受像機にだけ電波が送られるテレビの方式)
closed primary	制限予選会(党員資格者だけが投票する)
closed sea	領海
closed season	禁猟期(《英》close season)
