cocktail dress	カクテルドレス(婦人の準正式ドレス)
cocktail glass	カクテルグラス
cocktail lounge	カクテルラウンジ(ホテル・レストランなどのカクテルを出すラウンジ)
cocktail party	カクテルパーティー
cocky	(人・態度などが)生意気な,うぬぼれた,気どった
cockyleeky	=cock-a-leekie
coco	ココ(ココナッツ)
coco palm	=coconut palm
cocoa	〈U〉ココア / 〈U〉〈C〉(ココア・ミルクなどを混ぜて作った)ココア飲料 / 〈U〉ココア色(焦げ茶色)
cocoa butter	カカオ脂(石けん・化粧品の材料)
coconut matting	(マット用の)ココヤシの実の外側の毛で作った織物
coconut palm	ココヤシ[の木]
coconut shy	並べたココヤシの実をボールを投げて倒すゲーム;市(いち)・バザーなどの出し物
coconut, cocoanut	ココヤシの実
cocoon	(カイコなどの)まゆ
cod	=codfish 1 / 〈人〉をばかにする
cod liver oil	肝油
coda	コーダ(楽章・楽曲の終曲部)
coddle	《話》〈子供など〉を甘やかす,大事にしすぎる / 〈卵・果物など〉をとろ火で煮る
code	『法典』 / (社会・階級・団体などを支配する)『規約』,おきて,慣例 / 『信号法』;暗号 / 〈通信など〉を暗号(信号)にする
codeine	コデイン(アヘンから作られる鎮痛剤・せき止め薬)
codex	(古典・聖書の)写本
codfish	(またcod)〈C〉(魚の)タラ / 〈U〉タラの身
codger	風変わりな老人,偏屈な年寄り
codicil	遺言書の補足条項;(一般に)補足
codification	法典化,法典編さん;集大成
codify	〈法律〉を法典に編集する,成文化する
codling	未熟な小さいりんご,料理用りんご / タラの幼魚
codpiece	15・16世紀の男性用のぴったりしたズボンの股のふくらみをおおう飾り布
coed, co-ed	(男女共学の大学の)女子学生[coeducational studentの略] / 男女共学[制]の
coeducation, co-education	男女共学
coeducational	男女共学[制]の
coefficient	(数学で)係数,(物理で)係数,率
coelacanth	シーラカンス(白亜期以来絶滅したと考えられていたが,1938年に南アフリカ沖で発見された原始魚類)
coelenterate	腔腸(こうちょう)動物
coequal	(地位・能力・権力などが)同等の人 / 同等の,同格の;(…と)同等の《+『with』+『名』》
coerce	(力・権威などで)〈事〉を強制する,抑圧する,〈人〉を強制する
coercion	威圧,強制,強要 / 圧制,弾圧政治
coercive	強制的な,威圧的な,弾圧の
coeternal	(特に聖書で)共に永遠の;(…と)永遠に共存する《+『with』+『名』》
coeval	同年齢の,同年代の
coexist	(…と)共存する,両立する《+『with』+『名』》
coexistence	共存,併立
coexistent	共存の
coextensive	(空間的・時間的に)同一の広がりを持つ
cofeature	(主要作品に対して)併映作品
coffee	〈U〉『コーヒー』[『飲料』];〈C〉《話》(1杯の)コーヒー / 〈U〉コーヒー豆,コーヒーの粉末 / 〈C〉=coffee tree / 〈U〉コーヒー色,濃褐色
coffee bar	軽食堂(アルコール類以外の飲物と軽食を出す)
coffee break	(午前10時ごろと午後3時ごろの)コーヒー休み,お茶の時間
coffee mill	コーヒーひき
coffee shop	《米》(ホテルなどの)軽食堂(朝食などの軽い食事を出す店)
coffee table	コーヒーテーブル(ソファーの前に置く応接用・喫茶用の小型テーブル)
coffee table book	来客の目を引くためにコーヒーテーブルに置いた豪華本
coffee tree	コーヒーの木
coffeecake	コーヒーケーキ(ナッツと干しぶどうを入れたケーキパン)
coffeehouse	コーヒー店,喫茶店(欧州や昔の英国で,コーヒーなどの飲物や軽食を出し内輪の会合などを開くことのできた店)
coffeepot	コーヒー沸かし器
coffer	〈C〉貴重品箱 / 《複数形で》《話》国庫;財源,資金
cofferdam	防水せき
coffin	『棺』,ひつぎ
cog	歯車の歯 / =cogwheel
cog railway	歯形レール鉄道 (rack railway)
cog.	cognate
cogency	(理由・議論などの)説得力,なるほどと思わせること
cogent	(理由・議論などが)説得力がある,力強い
cogitate	(…について)熟考する《+『on』(『about』,『over』)+『名』》
cogitation	〈U〉熟考,熟慮;思想力 / 〈C〉《しばしば複数形で》熟慮の結果;考案,着想
cognac	コニャック(フランス産ブランデーの一種)
cognate	(言語が)同族語の,同語源の / 同族の,同じ祖先の / 同性質の,同種の,同系の / 同族語,同族言語 / 同系の人(物),親族
cognate object	同族目的語(動詞の目的語で,その動詞と同語で,その動詞と同語源または同意のもの;例live a happy lifeのlife)
cognition	〈U〉認識[作用] / 〈C〉認識(知覚)の対象
cognitive	認識の(に関する,を要する)
cognizable	認識できる / 裁判所の管轄内の
cognizance	(…の)認識,知識,知覚《+『of』+『名』》 / 知識(認識)の範囲;理解能力
cognizant	(…を)認識している《+『of』+『名』》
cognomen	名字,姓;家名 / 名称;あだ名
cognoscenti	(ファッション・芸術・食物などの)通,通じている人
cogwheel	[はめば]歯車
cohabit	(…と)同棲(どうせい)する《+『with』+『名』》
cohabitation	(結婚してない男女の)同棲
coheir	共同法定相続人
cohere	〈…が〉密着する,結合する / 〈論理などが〉首尾一貫している,筋が通っている / 〈話などが〉矛盾しない
coherence	密着,結合 / (論理などの)首尾一貫性
coherency	=coherence
coherent	密着する / (論理などが)筋の通った,首尾一貫した
cohesion	粘着,結合 / 団結 / (分子の)凝集力
cohesive	粘着性のある,結合力のある / 凝集力のある
cohort	(古代ローマの)歩兵隊(1隊が300‐600人で,10隊で1軍団(legion)となる) / 群,グループ,一団 / 《米》(悪い意味で)仲間,兄弟分
coif	頭布(ずきん)(騎士がかぶとの下に修道女がベールの下につける) / =coiffure
coiffeur	=hairdresser
coiffeuse	女性の美容師
coiffure	(女性の)髪型,髪の結い方
coil	(綱・針金などの)『輪』,うず巻き《+『of』+『名』》 / (…の)『一巻き』,1回の巻き《+『of』+『名』》 / (電気の)コイル;コイルを使用した装置 / (…の回りに)〈ロープ・針金など〉を『ぐるぐる巻く』《+『名』+『around』(『round』)+『名』》 / (…に)『巻きつく』,輪になる,取り巻く,〈蛇などが〉とぐろを巻く《+『around』(『round』)+『名』》
coin	(1枚の)『硬貨』(金貨・銀貨・銅貨・ニッケル貨など);〈U〉《集合的に》貨幣,硬貨 / 〈貨幣〉を鋳造する / 〈金属〉を(貨幣に)鋳造する《+『名』+『into』+『名』》 / 〈新語など〉を作り出す;〈理由など〉をでっちあげる
coinage	〈U〉貨幣の鋳造 / 〈U〉貨幣制度 / 〈U〉《集合的に》貨幣,通貨 / 〈U〉(新語などを)作り出すこと;〈C〉新造語
coincide	(…と)『同時に起こる』《+『with』+『名』》 / 〈人・性格・意見などが〉(…と)『一致する』,ぴったり合う《+『with』(『in』)+『名』》
coincidence	〈U〉(事件などの)同時発生《+『of』+『名』》 / 〈U〉偶然の一致,符合;〈C〉一致(符合)したもの(事)
coincident	同時に起こる;(…と)同時に起こる《+『with』+『名』》
coincidental	符合する,偶然に一致して;同時に
coiner	貨幣鋳造者;《しばしば》にせ金造り
