coir	ココヤシの実の外側の毛で作ったロープ・マット用のじょうぶな繊維
coital	性交の,交接の
coitus	性交(sexual intercourse)
coke	(燃料の)コークス / 〈石炭〉をコークスにする / 〈U〉《しばしばC-》Coca Colaの略称 / 《俗》=cocaine
col	(山脈の)鞍部(あんぶ),山あい
col.	collect / college / collegiate / colony / color / colored / column
cola	〈C〉コーラの木(熱帯産の木) / 〈U〉コーラの木の実からつくった炭酸飲料(Coca-Cola, Pepsi Colaなど)
colander	(料理用の)水こし器,水切り
cold	『寒い』,冷たい;冷えた,冷やした / (性格・態度などが)『冷たい』,冷淡な,熱意のない;無情な,冷酷な / (物事が)人をがっかりさせる,つまらない / (色調が)冷たい,寒色の / (獲物の遺臭が)かすかな,弱い / 《話》(打撃などで)意識を失った,失神した / 完全に,全く / 〈U〉《しばしばthe~》『寒さ』,寒け,冷たさ / 〈C〉,時に〈U〉『かぜ』,感冒
cold chisel	常温たがね(常温の金属を切断するたがね)
cold comfort	慰めにならないようなもの,おざなりな慰め
cold cream	(化粧用)コールドクリーム
cold cuts	冷肉の薄切り
cold feet	おじけ,逃げ腰
cold fish	冷たい人,感情のない人,無関心な人
cold frame	ガラス張りの小さな苗床
cold front	寒冷前線
cold saw	金属用のこぎり,金ひきのこ
cold shoulder	冷淡さ,冷遇,軽視
cold snap	急な冷え込み
cold sore	(かぜ,発熱に伴う)口辺疱疹(ほうしん)
cold steel	《文》刃物
cold storage	(食物などの)冷蔵
cold store	冷蔵倉庫
cold sweat	冷や汗
cold turkey	〈U〉突然の行動 / 〈U〉突然の断行
cold war	冷戦
cold wave	寒波 / コールドパーマ
cold-blooded	(人・行為などが)冷酷な,血も涙もない / 《話》冷え性の / (動物が)冷血の
cold-shoulder	…に冷淡にする
coldhearted	冷淡な,無情な
coldly	冷淡に / 寒く,冷たく
coldness	寒さ,冷たさ / 冷淡
coleslaw	コールスロー(刻んだキャベツのサラダ)
coleus	サヤバナ(はなやかな色の葉と青い花の観賞用植物)
colic	腹痛,さしこみ
colicky	激しい腹痛の
coliseum	(また『colosseum』)〈C〉(円形の)大演技場,大競技場,大体育館 / 《the C-》=the Colosseum
colitis	結腸炎
coll.	collect / college / collegiate / colloquial
collaborate	(…と…について)共同して働く,共同研究する《+『with』+『名』+『in(on)』+『名』(do『ing』)》 / (占領軍・敵などに)協力する,内通する《+『with』+『名』》
collaboration	(…との)共同,協力;共作,合作,共著《+『with』+『名』》
collaborationist	敵に協力する人 / 敵に協力的な
collaborator	(特に芸術・学問での)協力者;合作者,共同研究者 / (敵国・占領軍などへの)内通者
collage	コラージュ / 〈C〉画面に絵具以外のいろいろな素材を貼り付けて構成した絵 / 〈U〉1の絵画技法
collapse	〈家・いすなどが〉『つぶれる』,陥没する / 〈人が〉『倒れる』,〈健康などが〉急に衰える,虚脱状態になる / 〈計画・希望などが〉つぶれる,だめになる / 〈いす・机などが〉折り畳める / 〈計画・運動など〉をつぶす,崩壊させる / 〈いす・机など〉を折り畳む / (建造物などの)『崩壊』,陥没,倒壊《+『of』+『名』》 / (健康などの)急激な衰弱,(気力などの)衰え《+『of』+『名』》 / (希望・計画・事業などの)挫折,失敗,崩壊《+『of』+『名』》
collapsible	(いす.テーブルなどが)折り畳める,組み立て式の
collar	(衣服の)『えり』,カラー / 首飾り;(勲章としての)頚(けい)章,首章 / (犬などの)首輪;(馬・牛などの)首当て / 〈衣服〉にカラーをつける;〈犬〉に首輪をつける / 〈人〉のえり首を捕まえる / 《話》〈犯人など〉を捕らえる;〈帰りたがっている人〉を引き止めて話し込む / 《俗》〈物〉を持つ去る,盗む
collar stud	カラーボタン
collarbone	鎖骨(首の下と肩を結でS字形の骨)
collard	コラード(米国部のチリメンキャベツの一種)
collat.	collateral
collate	〈テキスト・記事など〉を(…と)照合する突き合わせる《+『名』+『with』+『名』》 / (製本・データ処理で)…を正しい順にそろえる(配列する)
collateral	並び合った / 二次的な,付随的な(secondary) / 証券類を担保とした / 傍系の,直系でない / 担保,抵当,見返り物資
collation	〈U〉(本・原稿などの)照合 / 〈C〉《文》軽食
colleague	(会社・学校など,また専門職業の)『同僚』,仲間,同業者
