confiding	人を信じやすい
configuration	(全体の)形状,外形;(部分の)配置;(星の)星位;原子配列
confine	(ある範囲に)…を『制限する』,限る(limit)《+『名』+『to』+『名』(do『ing』)》 / (…に)〈人など〉を『閉じ込める』,監禁する《+『名』+『in』(『to』)+『名』》 / 《通例受動態で》〈女性〉をお産の床につかせる / 境界,範囲,限界
confinement	〈U〉(…への)制限;(…への)閉じ込め,監禁;病臥(びょうが)《+『to』+『名』》 / (また『lying-in』)〈C〉〈U〉お産のために床につくこと
confirm	〈情報・所信など[の正しさ]〉を『確証する』,立証する / 〈約束など〉を『確認する』;〈条約など〉を承認する,批判する / 〈決意など〉を『強める』 / (…の点で)〈人〉に確信を持たせる,の気持ちを強くさせる《+『名』+『in』+『名』》 / 〈人〉に堅信礼(confirmation)を行う
confirmation	(陳述・所信などの)『確認』;(情報などの)確証;(条約などの)承認《+『of』+『名』》;(…であるという)確証,確認《+『that節』》 / 堅信礼(幼年時代に洗礼を受けた人が成人してその信仰を堅めるために告白をして教会員となる儀式)
confirmed	(報告など)確認された,立証された;(条約など)承認された / (習慣・状態など)凝り固まった,常習的な / 堅信礼を受けた
confiscate	…を没収する,押収する,差し押さえる
confiscation	没収,押収,差し押さえ
confiscatory	没収の,押収の / (税などが)過重な
conflagration	大火,大火災
conflate	〈写本の異文〉を合成する / 異本をまとめる
conflict	(比較的長期にわたる)(…との)『争い』,闘争,戦闘《+『with』+『名』》 / (意見・利害などの)(…との)『衝突』,矛盾,食い違い《+『of』+『名』+『with』+『名』》 / (…と)『争う』《+『with』+『名』》 / (…と)衝突する,矛盾する,両立しない《+『with』+『名』》
conflict of interest	(公私の)利害の衝突
conflicting	矛盾する,相入れない
conflictive	矛盾する,相反する
confluence	〈U〉(2本以上の川の)合流;〈C〉合流点 / 〈C〉(公・物の)集まり,集合
confocal	(数学で,図形が)焦点を共有する,共焦点の
conform	(慣例・規範などに)『従って行動する』(『考える』)《+『to』(『with』)+『名』》・〈物事が〉(…と)一致する,符合する《+『to』+『名』》・(…に)…を一致させる,適応させる《+『名』+『to』+『名』》
conformable	一致した,適合した;(慣例・規範などに)準拠した《+『to』+『名』》 / 従順な;(…に)よく従う《+『to』+『名』》
conformance	=conformity
conformation	〈C〉形態,構造;調和のとれた配置(配列) / 〈U〉(型・性格などへの)一致,適合,適応《+『to』+『名』》
conformist	《しばしば軽べつして》慣習に従う人 / 《C-》英国国教徒
conformity	(外形・性質・態度などの)〔…との〕相似,符合; 適合,一致 〔to,with〕. 〔法・慣習などに〕 従うこと,服従,準拠,遵奉,協調 〔with,to〕. [しばしば C] 《英》 国教信奉.
confound	〈情況など〉を『混乱させる』,〈人〉を困惑させる,面くらわせる / (…と)…を『混同する』《+『名』+『with』+『名』》 / 〈計画・希望・敵など〉を破る,くじく(defeat) / 《遠回しに腹立たしさなどを表して》〈神〉が…を地獄に落とす
confounded	混乱した,まごついた / 《名詞の前にのみ用いて》《遠回しに》ひどい,いまいましい
confraternity	宗教奉仕団体,信者会
confrere	(特に男性の仕事)仲間,同僚
confront	〈人が〉〈危険・問題・相手など〉に立ち向かう,ぶつかっていく / 〈危険・問題・相手・物などが〉…の前に立ちはだかる,に向かい合って立つ / (…と)…を直面させる,対決させる《+『名』+『with』+『名』》
confrontation	(…との)対決,対面,直面《+『with』+『名』》
confuse	(…と)を『混同する』,取り違える《+『名』+『with』+『名』》 / 〈人〉を『とまどわせる』,当惑させる / 〈論点・情況・順序など〉を混乱させる
confused	困惑した,まごついた / ごっちゃになった,混乱した;(思考・言葉など)支離滅裂の
confusing	混乱させる[ような],当惑させる
confusion	『混乱』,乱雑(disorder) / (…と…との)混同《+『of』+『名』+『with』+『名』》 / 当惑,ろうばい
confutation	論駁, 論破,やりこめること
confute	〈人・議論など〉を論破する,やりこめる
conga	コンガ,キューバの踊り;その曲 / コンガの演奏に用いる縦長のドラム
conge,congé	(公式の)退去 / (突然の)免職,解任
congeal	〈液体が〉凍る,凝固する / 〈液体など〉を凍らせる,凝結させる
congener	同種類の人(物) / 同属の動(植)物
congenial	気心が合った,同じ趣味(性質)の;(…と)気が合った《+『to』+『名』》 / 性分に(趣味に)合った;(…に)適した,合った《+『to』+『名』》
congeniality	(趣味・性格などの)一致,相性 / 適合性
congenital	(病気・身体的欠陥など)生まれつきの,先天的な
conger	アナゴ(食用の魚)
