connotation	言外の意味 / (論理学で)内包
connotative	含蓄のある / (論理学で)内包的な
connote	(語が)〈その語から連想される別の意味〉を暗示する / (論理学で)…を内包する
connubial	=conjugal
conquer	(武力・暴力などで)〈敵の領土〉を『征服する』,制圧する;〈敵〉を打ち負かす / (精神力で)…を『克服する』 / 征服する / 勝つ
conquerable	征服できる,克服できる
conqueror	〈C〉征服者,勝利者 / 《the Conqueror》征服王(1066年英国を征服したNormandy公Willian1世)
conquest	〈U〉(敵国・山岳などの)『征服』;(病気などの)克服《+『of』+『名』》;(愛情などの)獲得 / 〈C〉征服されたもの(国,土地) / 《the Conquest》=Norman Conquest
conquistador	スペイン人征服者(16世紀にメキシコ・ペルーを征服した)
cons.	consolidated / consonant
consanguineous	血族の,血縁の,血を分けた
consanguinity	血族,血縁
conscience	『良心』,道義心,善悪を判断する力
conscience clause	良心条項(自己の道徳心に基づきその法を拒否してもよいという法律条項)
conscience-smitten	後悔している,悪いと思っている
conscience-stricken	良心(気)がとがめている
conscientious	(人・態度などが)良心的な,誠意のある / (仕事が)念入りな,苦心の
conscientious objector	(信仰・信条に基づく)良心的兵役忌避者(《略》『CO,C.O.』)
conscious	《補語にのみ用いて》『気づいている』,知っている,意識している / 《補語にのみ用いて》(…に)『反応を示す』,意識(知覚)のある《+『to』+『名』》 / 《名詞の前にのみ用いて》『意識した』,わざとらしい / 考えることができる,意志のある
consciously	意識して,故意に
consciousness	意識,知覚 / (個人や集団の)意識,精神,意見
conscript	徴兵された / (志願兵に対して)徴集兵 / …を徴兵(徴用)する
conscription	徴兵[製度];(戦時の)強制徴集(徴兵)
consecrate	(神のご用にと)…を聖別する,奉献する / (一般に,意義のあることに)…をささげる《+『名』+『to』+『名』(do『ing』)》
consecration	〈U〉神聖にすること;神にささげること,奉献 / 〈U〉(ローマカトリック教会でミサ聖祭中の)聖変化 / 〈C〉聖職への就任式 / 〈U〉(一般に)奉仕,献身
consecutive	(間をおかず)連続した,引き続く / (論理的に)一貫性のある
consensus	(多人数の意見などの)一致,調和《+『of』+『名』》;一致した意見,総意
consent	(…に)『同意する』,承諾する《+『to』+『名』(do『ing』)》 / …に同意する,賛成する / 『同意』,承諾,許可
consequence	〈C〉『結果』,成り行き;影響 / 〈C〉《文》重要性,重大さ
consequent	当然の,結果的な,必然的な
consequential	{形}結果として生じる / 重大な / 尊大な / =important
consequently	『その結果として』,従って
conservancy	(河川などの)管理委員会
conservation	保存,(特に自然環境の)保護
conservation of energy	エネルギー保存[説](宇宙内のエネルギーの総量は変わらないという説)
conservation of mass	質量保存[説](宇宙内の物体の質量は変わらないという説)
conservationist	天然資源の保護論者
conservatism	保守的傾向;保守主義
conservative	(人・考え方などが)『保守的な』・保守主義の / 《C-》保守党の / (見積もり,評価などが)控え目の,穏健な,慎重な / 保守的な人,保守主義者 / 《C-》保守党員
conservatoire	=conservatory2
conservator	後見人,保護者,管理人
conservatory	(小規模の)温室 / 音楽(演劇)学校
conserve	(損傷・腐敗などしないように)…を保存する,保護する / 《文》〈果物〉を砂糖煮にする,ジャムにする / (果物の)砂糖煮,ジャム
consider	(決定・決意のために)…を『よく考える』,熟慮する / …を『みなす』,思う(進行形にできない) / …を『考慮に入れる』,心にとめる / …を重んじる,尊重する;…に注意(注目)する / 熟慮する,考えてみる
considerable	(人・意見・場所などが)『考慮に値する』,重要な / (程度・数量などが)『かなりの』,相当の
considerably	『かなり』,相当に,非常に
considerate	『思いやりのある』
consideration	〈U〉(…の)『考慮』,熟慮,考察《+『to』+『名』》 / 〈C〉『考慮すべき事』 / 〈U〉(人・物などへの)『思いやり』,配慮《+『for』+『名』》 / 〈C〉報酬,心づけ,償い / 〈U〉《まれ》重要さ,重大さ;尊敬,丁重
considered	よく考えた,熟慮した
considering	…『のわりには』,を考慮すれば / すべてを考慮すれば / 《『considering』+『that節』》…であることを思えば,考えれば
consign	《文》(…に)を引き渡す,ゆだねる,任せる,預ける《+『名』+『to』+『名』》 / (ある目的・用途に)…を当てる,取っておく《+『名』+『to』+『名』》 / 〈商品〉を発送する,託送する
consignee	(商品の)荷受人;受託者
consigner	=consignor
consignment	(商品の)委託;〈C〉委託貨物,積送品,入荷品
consignor, consigner	(荷物の)送り主,荷主;(委託販売の)委託者
consist	《『consist of』+『名』》〈団体・物・事が〉(…から)『成る』,(…で)成り立っいる受動態にできない; / 《『consist in』+『名』(do『ing』)》〈事の本質が〉(…に)ある,含まれている(受動態にできない) / 《『consist with』+『名』》〈事柄が〉(…と)一致する,両立する
consistency	〈U〉(言語・論理などの)一致,一貫性 / 〈U〉(特に液体の)粘度,粘り
consistent	『矛盾のない』 / (主義・考え方などが)不変の,(人が)節操のある
consistently	一貫して;矛盾なく,きまって
consistorial	枢機卿会議の
