corridor train	通廊列車
corrie	=cirque
corrigendum	(印刷物の)誤植,正誤表
corrigible	訂正しうる,改正の余地のある
corroborate	〈意見・信念など〉を確証する,裏付ける
corroboration	確証すること,事実を裏付けること / 確証のための情報,裏付け
corroborative	確証の,確証的な
corroborator	確証のある人(物,情報,事実)
corroboree	オーストラリア原住民の祭;その踊り(歌) / 《話》騒々しいパーティー(踊り)
corrode	…を浸食する,腐食する / 腐食する
corrosion	(特に金属の)腐食,腐食状態 / (腐食による)さび
corrosive	(物を)腐食させる,腐食性の / (社会・人の心などを)むしばむ / 腐食剤
corrosive sublimate	=mercuric chloride
corrugate	…に波形をつける;〈皮膚や顔〉にしわを寄せる / 波形になる;しわが寄る
corrugated paper	段ボール
corrugation	〈U〉波形にすること;波形のついた状態,うね状 / 〈C〉(波形を構成する)うね,溝,しわ
corrupt	『わいろの利く』,不正行為をする / (道徳的に)『腐敗した』,堕落した / 『汚れた』,汚染した;腐敗した / (誤訳や改変のために,原文などが)改悪された;(言語が)なまった / (わいろなどによって)〈人〉に『不正行為をさせる』,を買収する / (道徳的に)〈人〉を『堕落させる』,…を腐敗させる / 〈物〉を汚す,腐らせる / (不正確に写すなどして)〈原文など〉を改悪する;〈言語〉をなまらせる / 腐敗する,堕落する
corruptible	(人が)堕落しやすい / (物が)腐敗しやすい
corruption	(官吏などの)不正行為,汚職 / 堕落 / (物の)腐敗 / (原文の)改悪;(言語の)なまり
corsage	コサージュ(婦人が肩・腰・手首などに飾る花)
corsair	(北アフリカ地中海沿岸の)海賊 / 海賊船
corse	=corpse
corselet	胴よろい / コルセレット(ブラジャーがついて胸を締めるコルセット)
corset	コルセット(胴部を締める婦人用下着)
cortege	《集合的に》従者の列 / 行列,(特に)葬列
cortex	(内臓,特に脳の)皮質 / (植物の)皮層;樹皮
cortical	皮質から成る,皮質の,(特に)大脳皮質の
cortisone	コーチゾン(副腎皮質から出るホルモン)
corundum	コランダム,鋼玉(硬度はダイヤモンドに次ぎ,研磨剤用)
coruscate	輝く,きらめく / (知性などが)きらめく
coruscation	輝き,きらめき / (知性の)きらめき
corvee	(領主・政府への納税の代わりの)無報酬労働,徴用
corvet,corvette	コルベット艦(対空対潜装置をもつ輸送船護送艦) / (昔の)小型戦艦
coryza	鼻カタル,鼻かぜ
cos	cosine / =because
cosh	(武器として用いる金属・石などを詰めた)こん棒
cosignatory	連判人,連署人(国)
cosigner	(手形などの)連帯保証人 / =cosignatory
cosily	=cozily
cosine	コサイン,余弦
cosiness	=coziness
cosmetic	(口紅・クリーム・整髪料などの)化粧品 / 化粧用の / あら隠しの
cosmetician	(化粧品を扱う)美容師
cosmetologist	=beautician
cosmetology	美容術,化粧法
cosmic	『宇宙の』,宇宙に関する / 広大無辺の,(時的・空間的に)無限の
cosmic dust	宇宙塵(じん)
cosmic ray	宇宙線
cosmically	宇宙の原理に従って;広大無辺に
cosmochemistry	宇宙化学(宇宙内の化学元素の所在と分布を扱う科学)
cosmogony	宇宙成因論,宇宙生成論(宇宙の起源・生成などを扱う天文学の一部門) / 宇宙創造説(宇宙の起源・生成に関する学説・物語)
cosmography	天地学(自然・宇宙の一般的特徴を扱う科学) / 宇宙現状誌(宇宙の現在の構造を記述する学問)
cosmology	宇宙論 / 宇宙の起源・構造などを扱う哲学の一部門 / 宇宙の構造・進学を研究する天文学の一部門
cosmonaut	(特に,旧ソ連、ロシアの)宇宙飛行士
cosmopolis	国際都市
cosmopolitan	いろいろな国の人で構成された,国際的な / (物の考え方・関心が)世界的な,世界中のことをよく知っている / (動植物が)広布種の / (視野や関心の広い)国際人,世界人
cosmos	〈U〉(秩序のある統一体としての)宇宙,統一体 / 〈C〉コスモス(キク科)
cosponsor	(議案の)共同主唱者(提案者);共同スポンサー / …の共同主唱者(提案者)になる,共同スポンサーになる
cosset	…を甘やかす
cost	〈品物が〉〈ある金額〉が『かかる』,を要する / 〈物事が〉…を『犠牲にさせる』,失わせる / 〈仕事など〉の手間(原価)を計算する / 『代価』,値段;《しばしば複数形で》経費,費用 / 《the cost》『犠牲』,損失 / 《複数形で》訴訟費用
cost accountant	原価計算係
cost clerk	=cost accountant
cost of living	平均生活費
cost price	(品物の)原価,仕入れ価格
costa	肋(ろっ)骨;肋骨状の部分
costal	肋(ろっ)骨の近くにある,肋骨を含む,わき腹の
costar	(映画・テレビの)共演スター / (…と)共演する《+『with』+『名』》 / …を共演させる
costermonger	(特にロンドンで)果物野菜を荷車にのせて呼売りする人
costly	『高価な』;費用のかかる / 損害(犠牲)の多い
costume	〈U〉(ある時代・国民・地方などの特殊な)『服装』,身なり / 〈C〉(特定の場合・季節のための)服装 / 〈U〉〈C〉(芝居・仮装舞踏会用などの)衣装 / …の衣装を用意する,に衣装をつけさせる
costume ball	仮装舞踏台
costume jewelry	模造宝石類
costumer	(演劇用などの)衣装屋
costumier	=costumer
cosy	=cozy / =cozy
cot	《詩》小さな家,小屋 / (動物を入れる)小屋,囲い / 《米》(折り畳も式の台わくにズックを張って)簡易ベッド / 《英》=crib 1 / =cotangent
cotangent	コタンジェト,余接
cote	(羊など小さな動物や鳥を入れる)小屋
coterie	共通の趣味や関心を持つグループ,(文芸などの)同人
coterminous	=conterminous
cotillion	コティヨン(18世紀に始まった活発な社交ダンス)
cottage	(いなかの)『小さな家』 / (避暑地などの)小別荘
cottage cheese	コテージチーズ(白くて柔らかいチーズ)
cottage industry	家内工業
cottage loaf	大小2個の重ねパン
cottage pie	=shepherd's pie
cottager	小さな家に住む人;別荘で休暇を過ごす人
cotter	(機械の)くさび栓(せん) / =cotter pin
cotter pin	脱出止めピン(機械のゆるみを防止する割りピン)
cotter, cottar	小作人
cotton	『綿』,綿花 / 綿の木(cotton plant) / 『綿布』,もめん / 綿糸,もめん糸 / 綿製の
cotton candy	綿菓子,綿あめ(《米》candy floss)
cotton gin	綿繰り機械(綿と繊維を綿の実から分離する機械)
cotton waste	くず綿(機械掃除用)
cotton wool	脱脂綿
cotton-picking	つまらない・いまいましい・くだらない
cottonmouth	=water moccasin
cottonseed	綿実,綿の種子
cottonseed oil	綿実油(綿の種子から採れる油;料理用油や石けん用)
cottontail	ワタオウサギ(綿毛のような白い毛のウサギ;米国産)
