cottonwood	(種子に房状の綿毛のついた)米国産ポプラ
cottony	綿の;綿のような
cotyledon	(種子の)子葉
couch	(通例,背とひじ掛けのある2‐4人掛けの)『長いす』,ソファー / 診察用ベッド / 《通例受動態で》《副詞[句]を伴って》〈意見など〉を表現する / 《『couch』 one『self』》〈動物が〉うずくまる / (安全・休息・攻撃などのために)〈動物が〉ひそむ,うずくまる,かがむ
couch grass	ヒメカモジグサ(根茎が地中深く張る雑草)
couchant	横たわったいる,うずくまっている / (紋章の動物が)頭を持ち上げて横たわって(うずくまって)いる
couchette	(壁に収納できる列車の)寝台
cougar	クーガー,アメリカライオン(北・南米の高地に住む山猫の一種)
cough	〈C〉『せき』,せき払 / 《a ~》よくせきの出る病気 / 『せきをする』,せき払いする / せきのような音を出す / …をせきをして吐き出す《+『up』(『out』)+『名,』+『名』+『up』(『out』)》
cough drop	せき止めドロップ
could	canの過去形 / 《直説法過去》 / 《能力》…『することができた』 / 《潜在的傾向》…することがあった / 《従節でcanのすべての用法における時制の一致》 / 《仮定法》 / 《従節で》a)《現在の事実の反対》…『できる[ならば]』:b)(《過去の事実の反対》…『できていた[ならば]』 / 《主節で》a)《現在の事実の反対》…『できるだろうに』:b)《過去の事実の反対》…『できただろうに』 / 《控え目な表現・丁寧な表現》a)《可能性・推量》(平叙文で)もしかすると…かもしれない;(否定文で…のはずがないのだが;(疑問文でいったい…かしら:b《許可の要請》(疑問文で…してもよいでしょうか:c《依頼》(疑問文で…してくださいませんか
couldn't	=could not
couldst	=couldの二人称単数形
coulee	クーリー(急流の浸食によってできた,夏はよく水がかれる米国西部の深い峡谷)
coulomb	クーロン(1アンペアの電流が1秒間に送る電気量)
coulter	すきの先の鋭い草切り刃
council	諮問会,『協議会』,評議会 / 『会議』,協議 / 地方自治体の議会(州・市・町議会など)
council chamber	会議室
council house	《英》州(市,町)営住宅
councillor	=councilor
councilman	(男の)市(町)議会議員
councilor,councillor	(市・町・村議会,参議院などの)『議員』,(各種の評議会,協議会の)評議員,委員
councilwoman	(女の)市(町)議会議員
counsel	〈U〉『協議』,『相談』,評議 / 〈U〉〈C〉『助言』,忠告,勧告(advice) / 《集合的に》弁護士団 / 〈人〉に『助言する』,忠告する,勧める
counseling,counselling	カウンセリング(専門家との個人面接によって与えられる助言・指導)
counselor,counsellor	『助言者』,相談相手 / 《おもに米》弁護士(lawyer)
