courage	『勇気』,度胸
courageous	『勇気のある』,『勇敢な』
courier	(外交上の)急使,特使 / 《おもに英》(旅行の)ガイド,世話人
course	〈C〉『進路』,道筋,方向,水路 / 《単数形で》(時・事態の)『経過』,推移,成り行き,進行《+『of』+『名』》 / 〈C〉(行動の)『方針』,方向;やり方 / 〈C〉(競技の)『コース』,走路 / 〈C〉(講議などの)『課程』,講座《+『of』+『名』》 / 〈C〉(順々に出される)料理,一品 / …を走り抜ける,の上を飛ぶ(猟犬を使って)〈獲物〉を狩る / 〈飛行機・船などが〉針路に従って進む / 〈涙・血などが〉勢いよく流れる
courser	〈C〉駿馬(しゅんめ) / 狩猟犬
coursing	(猟犬を使った)うさぎ狩り
court	(またcourtyard)〈C〉(建物や壁に囲まれた)『中庭』,方庭;中庭式の区画 / 〈C〉(テニス・バスケットボールなどの)『コート』 / 〈C〉(場末の)路地,袋小路 / 〈C〉〈U〉《しばしばC-》『宮廷』,皇居;《集合的に》廷臣たち / 〈C〉〈U〉『法廷』,裁判所(court of justice);裁判,公判(trial) / 《the~》《集合的に》裁判官,判事 / 〈U〉《まれ》求愛,言い寄り;きげんとり,追従 / 〈有力者など〉のきげんをとる;〈女〉に求愛する / 〈賞賛など〉を求める,得るように努める / 〈災いなど〉を招く〈男女が〉仲よくする
court card	(カードの)絵礼
court of chancery	=chancery1
court of inquiry	(事故などの)調査委員会,査問会議,《集合的に》調査委員
court-martial	軍法会議 / 〈人〉を軍法会議にかける
courteous	『礼儀正しい』,丁重な(polite)
courteously	礼儀正しく,うやうやしく,丁重に
courteousness	礼儀正しいこと
courtesan	(おもに昔の)貴族・金持ち相手の娼婦
courtesy	〈U〉『礼儀』,丁重,丁寧さ / 〈C〉丁重な行い(言葉),親切な行い(言葉)
courthouse	《おもに米》裁判所の庁舎 / 《米》郡役所
courtier	廷臣 / ごきげんとりをする人
courting	求愛中の,結婚を前提とした
courtliness	上品さ,礼儀正しさ,尊厳
courtly	宮廷ふうの / ていねいな,上品な
courtroom	法廷
courtship	〈U〉(人・動物の)求愛 / 〈C〉求婚期間
courtyard	=court1
cousin	『いとこ』 / 『親類』,縁者 / (性質などが)よく似たもの,兄弟分
couture	高級婦人服仕立て
couturier	(男性の)婦人服デザイナー,婦人服洋裁師
couturiere	(女性の)婦人服デザイナー,洋裁師
covalence	共有原子価(ある原子が他の原子と共有できる電子対の数)
cove	小さな入江,小湾 / (山や森の)隠れたくぼみ,奥まった所
coven	魔女の集会
covenant	〈C〉(両者または数人の間の)契約,誓約,盟約 / 〈C〉契約条項,約款 / 《the covenant》(神がイスラエル人に与えた)契約 / (文書で)…を契約する
cover	(…で)…の『表面をおおう』,を包む,かぶせる《+『名』+『with』+『名』》 / (範囲が)…に『及ぶ』,わたる,を取り扱う範囲に入れる / 〈ある距離〉を行く,進む(受動態にできない) / …に保険を掛ける / …を報道する,取材する / 〈要塞・砲などが〉を制圧する / (ピストルなどで)〈人〉をねらう《+『名』+『with』+『名』》 / (球技などで)〈相手〉の動きなど〉をふせぐ;〈地域など〉を守る / (…の)代役をする,身代りをする《+『for』+『名』》 / 〈C〉『おおい』,包むもの,カバー;ふた / 〈C〉『表紙』 / 〈U〉隠れ場所,潜伏所 / 〈U〉姿を隠してくれるもの(暗闇,煙など) / 〈C〉(秘密を隠すための)見せかけ / 〈U〉(…の)保険《+『against』+『名』》 / 〈C〉封筒;(郵便小包などの)包装紙 / 〈C〉毛布,ふとん
cover charge	(レストランなどの)サービス料,席料
cover crop	間作(冬の間に畑に植えて土壌の腐食を防ぎ土壌を肥やす作物)
cover girl	カバーガール(雑誌などの表紙に使われるモデル女性)
cover note	保険金支払い証明書(保険契約が発効するまで有効)
cover point	〈U〉カバーポイント(クリケットでポイント近くの守備位置) / 〈C〉カバーポイントを守る選手
cover story	(雑誌で)表紙関連記事
cover-up	(犯罪・誤りなどを)隠すこと,もみ消し
coverage	(テレビ・ラジオ・新聞などの)報道;報道範囲 / 《a~》おおう範囲;保険の補償範囲,補償金額
coverall	オーバーオール(上着とスボンが一体になっている仕事着)
covered	おおいのある;屋根のある / 帽子をかぶった / 《複合語を作って》「…でおおわれた」の意を表す
covered wagon	(特に西部開拓時代の)幌(ほろ)馬車
covering	〈U〉おおうこと;援護 / 〈C〉おおう物(布,ふた,屋根など)
covering letter	(小包などにつける)添え手紙;説明書
coverlet	ベッドのおおい
covert	隠れ場 / (特に猟獣・猟鳥の隠れる)やぶ,茂み / (比較変化なし)秘密の,隠れた,暗に示した
covert cloth	綿・ウール・ウーステッド地のあや織り布
covet	〈他人の物など〉をむやみに欲しがる
covetous	欲張りの;(他人の物などを)むやみに欲しがる《+『of』+『名』》
covey	(ウズラ・雷鳥など親子が群居する)鳥の小さな群れ / (人・物の)群れ《+『of』+『名』》
cow	『雌牛』,乳牛 / (鯨・象・サイなどの)雌 / …をおどす
coward	『おくびょう者;』ひきょう者
cowardice	おくびょう;ひきょう
cowardliness	=cowardice
cowardly	おくびょうな;ひきょうな
cowbell	牛鈴(牛のいる場所がわかるように牛の首につるした鈴)
cowbird	ムクドリ(モドキ科の鳥;米国産)
cowboy	カウボーイ,牧童
cowcatcher	排障器(牛やその他の障害物を線路から除くため機関車,電車などの前に取り付ける器具)
cower	(恐れ・恥ずかしさ・寒さなどのために)すくむ,ちぢみ上がる,震え上がる
cowgirl	カウガール(牧場で働く,カウボーイの服装をした女性)
cowhand	=cowboy
cowherd	牛飼い
cowhide	〈U〉牛の生皮 / 〈C〉仕上げた牛皮 / 〈C〉牛皮のむち
cowl	(修道僧の着る)ずきん付き外衣;(僧衣についた)ずきん,僧帽 / (換気筒の)通風帽 / =cowling
cowlick	(頭の)立ち毛
cowling	(飛行機の)エンジンおおい
cowman	牛飼い,牧畜業者
coworker	協力者;仕事仲間
cowpat	牛の糞(ふん)
cowpoke	=cowboy
cowpony	カウボーイが牛追いに用いる馬
cowpox	牛痘(牛の天然痘;人体用ワクチンを作る)
cowpuncher	=cowboy
cowrie,cowry	タカラガイ(昔アジア・アフリカの一部で貨幣に用いられていた)
cowshed	牛小屋,牛舎
cowslip	《英》キバナノクリンザクラ(初夏に牧草地などに咲く芳香のある黄色の花) / 《米》リュウキンカ(湿地に生え金色の花が咲く)
cox	=coxswain
coxcomb	しゃれ者,だて男 / =cockscomb2
coxswain	(競漕用ボートの)舵(だ)手,かじ取り / 艇長
coy	(特に女性の態度が)はにかむふりをする,内気を装う
coyote	コヨーテ(北米の大草原に住むオオカミの一種)
coypu	コイプー(南アメリカ産の川ネズミ;その毛皮は高価)
coz	=cousin
cozen	〈人〉をだます
cozily,cosily	居ごこちよく
coziness,cosiness	居ごこちのよさ
cozy,cosy	(部屋などが)居ごこちのよい,気持ちのよい;(仕事などが)楽な / 保温カバー(ティーポット用tea cozy,ゆで卵用egg cozyなど)
cp.	compare
cpd.	compound
cpl.	corporal
cps	cycles per second・= c.p.s.
cr.	credit / creditor / crown
crab	〈C〉カニ;〈U〉カニの肉 / 〈C〉《話》気むずかし屋・ぶつぶつ不平を言う・…をふくれさせる・= crab louse(毛ジラミ)
crab louse	毛ジラミ(人間の性器やわきの下の毛につくシラミ)
crabapple	〈C〉野生のりんご
crabbed	(また『crabby』)(人・態度が)意地の悪い,気むずかしい / (文字が)読みにくい,(意味・文体が)難解の
crabby	=crabbed1
