crabgrass	オイシバ(ヒメシバ属)の草
crabwise	(特にぎこちなく)横ばいに
crack	『割れ目』,ひび,きず;(戸・窓の)わずかの開き / 『パチッ,ピシッ,バン,ガチャッ』(物が壊れたり銃声などの音) / 強い一撃 / (声の)しゃがれ,うわずり;声変り / 《話》瞬間,一瞬 / 気のきいた言葉;皮肉;冗談 / 《話》(…の)機会,試み《+『at』+『名』(do『ing』)》 / …に『ひびを入れる』 / …をパチッと割る,砕く / …をパチッ(ビシッ)と鳴らす / …をピシャリと打つ / 〈声〉をかすれさせる,うわずらせる / 《話》〈家など〉に押し入る;〈金庫など〉を破る / 《話》…を解く;〈暗号など〉を解読する / 《話》〈冗談など〉をとばす / 《話》〈酒びんなど〉をポンとあけて飲む / 〈石油〉を分解蒸留する / 『割れる』,くだける;ひびがはいる / 『パチッ』(『ビシッ,バン,ガチャッ』)『と鳴る』 / 〈声が〉かすれる;うわずる / (疲労・苦痛などに)参る,屈する / 第一級の,優秀な / パチッと
crackbrained	ばかげた,愚かな,気違いじみた
crackdown	(…の)厳重な取締り,断固とした処置《+『on』+『名』》
cracked	砕けた,割れ目のはいった / (声が)かすれた;声変わりのした / 《話》ばかな,気が変になった
cracker	〈C〉クラッカー(薄い堅焼きのビスケット)・〈C〉かんしゃく玉,爆竹 / 《複数形で》クルミ割り器(nutcracker)・〈C〉《米》米国南部の貧乏な白人(Georgia州などのpoor white:農耕や移動に使うラバに鞭を当てる音の「クラック」に由来するという話を聞いたことがあります)・ネットワーク経由でコンピュータに不法に侵入してデータを悪用したりシステムを破壊したりする人・Christmas cracker
crackerjack	一流の人,一級品 / 抜群の
crackers	気が狂った,頭がおかしい
cracking	石油の分解蒸留
crackle	パチパチと音をたてる / 《the ~》パチパチいう音 / 〈U〉(陶磁器の表面の)細かいひび模様;ひび焼き
crackleware	ひび焼き陶磁器
crackling	パチパチ音をたてること / (焼き豚の)かりかりする表皮
crackpot	変わり者 / 常軌を逸した,気違いじみた
cracksman	押し込み強盗,金庫破り
crackup	(自動車などの)衝突,激突 / 《話》神経衰弱,ノイローゼ
cradle	〈C〉『揺りかご』 / 《the ~》幼年時代;幼時 / 〈C〉(文明などの)発祥地 / 〈C〉(船の)進水架;(電話の)受話器置き / 〈C〉(金を洗い分ける)選鉱器 / …を揺りかごに入れる;…を揺りかごに入れるようにして支える(持つ,ゆする) / 〈船〉を進水架にのせる;〈受話器〉を台にのせる / 〈金〉を選鉱器で洗う
cradle robber	= cradle-snatcher・ずっと年下の人と交際する[結婚する・恋仲になる]人、若手を狙うスカウト、年下好み、ロリコン
cradlesong	子守歌(lullaby)
craft	〈U〉『技能』,技巧 / 〈C〉手先の技術を要する仕事;工芸 / 〈C〉《集合的に》同業者;同業組合 / 〈U〉(悪い意味で)巧妙さ,悪だくみ / 《集合的に》船,飛行機,宇宙船 / …を手作りで作る,手作りのように丹念に作る
craft union	職業別労働組合
craftily	ずるく,悪がしこく
craftiness	ずるさ,悪がしこさ
craftsman	職人;熟練工,名工
craftsmanship	(職人の)技能,腕まえ
crafty	悪がしこい,ずるい
crag	ごつごつした岩,険しい岩山
craggy	ごつごつした,岩だらけの / (顔が)いかつい
crake	クイナ類の鳥の総称 / その鳴き声
cram	(…に)…をぎっしり詰める《+『名』+『in』(『into』)+『名』》;(…で)〈物〉をいっぱいにする《+『名』+『with』+『名』》 / 〈人〉に(…の)詰め込み勉強をさせる《+『名』+『with』+『名』》;〈学科〉を詰め込む / (…の)詰め込み勉強をする《+『for』+『名』》
cram-full	=chock-full
crammer	詰め込み勉強(一夜づけ)をする人 / 《話》詰め込み勉強をさせる教師(学校,書物など)
cramp	〈U〉〈C〉(筋肉の)けいれん,こむらがえり / 《複数形で》急激な腹痛 / …にけいれんを起こさせる / (また『cramp iron』)かすがい / 締め具,締め金 / …をかすがい(締め具)で締めつける / …を拘束する
cramped	狭苦しい / (文字が)読みにくい
crampon	つかみ金(氷・材木・石などの重い物をつかむ) / 《複数形で》(また『climbing irons』)アイゼン,鉄かんじき
cranberry	ツルコケモモ(その実でゼリーを作り鶏肉などといっしょに食べる)
crane	ツル(鶴) / 起重機,クレーン / 自在かぎ / (よく見ようとして)〈首〉を伸ばす / 首を伸ばす
crane fly	ガガンボ(脚が長く大きな蚊;血は吸わない;《英》daddy-longlegs)
cranial	頭蓋(ずがい)の
cranium	頭蓋
crank	クランク(往復直線運動を回転運動に変えるもの) / 《話》変わり者,奇人 / 《米話》気むずかしい人 / 〈軸〉をクランクで回す / 〈エンジン・映画のカメラなど〉をクランクを回して動かす
crankcase	(自動車などの内燃機関の)クランク室(《英》sump)
crankshaft	クランク軸(側方に突き出たクランクの回転軸)
cranky	風変りな,気違いめいた / (機械など)ぐらぐらする,不安定な / 《米》気むずかしい
cranny	(壁・岩などの)小さい割れ目,ひび
crap	〈U〉うんこ,くそ,糞 / 《a~》うんこをすること / 〈U〉ほら,たわごと / 〈U〉がらくた,ごみ / うんこをする / ふん,ばかばかしい / =craps
crape	=crepe
crappie	クラッピー(中米産の小型のマンボウ類の魚)
crappy	質の悪い,できの悪い
craps	(2個のさいころを用いた)サイコロばくち
crapshooter	さいころ賭博師
crash	『ガラガラ』,『ドシン』(物が倒れたり砕けたりするときの音) / (飛行機の)『墜落』;(車の)『衝突』 / (事業・相場などの)崩壊,破産 / 『ガチャン』(『ドシン』,『ガラガラ』)『と大きな音をたてる』 / (…に)ガチャン(ドシン)と衝突する《+『into』(『against』)+『名』》 / 大きな音をたてて動く / 〈飛行機が〉墜落する / 〈事業などが〉つぶれる / (…にぶつけて)…を『ガチャン』(ドシン,『ガラガラ』)『と壊す』《+『名』+『against』(『into, to』)+『名』》 / 〈飛行機・車など〉を衝突させる / 《話》(またgatecrash)(招待状・切符なしで)…に押し掛ける・もぐり込む / 応急の
crash barrier	(道路の)分離帯,分離壁
crash helmet	(車のレーサーなどがかぶる)安全ヘルメット
crash pad	臨時宿泊所,仮寝床
crash-dive	(潜水艦の)急速潜航
crash-land	〈飛行機〉を不時着させる / 〈飛行機が〉不時着する
crash-landing	不時着
crashing	全くの,完全な
crass	粗野な;愚鈍な
crate	(果物・ガラス器具・家具などの運送・荷造りに用いる)わく箱,竹かご / …をわく箱(竹かご)に詰める
crater	(火山の)噴火口 / (爆発によってできた地面の)穴
crater lake	火口湖
craton	大陸塊(地殻で比較的堅く安定した部分)
cravat	ネクタイ / (首の前で結ぶ)スカーフ
crave	〈人が〉…を『切望する』,ほしがる / 〈物・事情が〉…を必要とする / (…を)『切望する』《+『after』(『for』)+『名』》
craven	おくびょうな,ひきょうな / おくびょう者,ひきょう者
craver	切望する人,懇願する人
craving	(…に対する)切望《+『for』+『名』》;(…したいという)熱望《+『to』 do》
craw	〈C〉(鳥の)そのう / 胃袋《動物》
crawfish	=crayfish
crawl	(腹ばいで)『はう』,はって進む / 〈人・乗物・時間・仕事などが〉『のろのろと進む』 / (はい回む虫などで)うじゃうじゃしている,うようよしている《+『with』+『名』》 / (虫がはっているかのように)むずむずする / 《話》(人に)取り入る《+『into』+『名』》 / 《a ~》はうこと;のろのろ歩き,徐行 / 《通例the ~》クロール泳法
crawler	〈C〉はう人(動物) / 〈C〉《俗》ごますり / 《複数形で》=rompers
crawlspace	人間がはって通れるぐらいの空間
