crow's-nest	(マストについた)檣頭(しょうとう)見張り座
crowbar	バール,かなてこ
crowd	(秩序・統制のない)(…の)『群衆』,人ごみ《+『of』+『名』》 / 《the+》『一般大衆』,庶民 / (…の)たくさん寄り集まっているもの《+『of』+『名』》 / 《話》(特定の)グループ,連中 / 『群らがる』,大勢集まる / 《副詞句を伴って》群らがって押し進む(押し寄せる) / (…に)〈人・物〉を『詰め込む』,押し込む《+『名』+『into』+『名』》 / (…で)〈場所〉をいっぱいにする,(…を)…に詰め込む《+『名』+『with』+『名』》 / 《話》せがむ,強要する
crowded	(人で)込み合った,満員の;(物事で)ぎっしり詰まった,いっぱいの
crowfoot	キンポウゲ(葉の形がカラスの足に似ている)
crown	〈C〉(王位の象徴として国王・王妃などがかぶる)王冠・《the~,[the]C-》『王位』,統治権;君主,王,女王 / 〈C〉(古代・中世で国王などから優者に与えられる)(…の)花冠,頭飾り《+『of』+『名』》;(一般に)勝利の栄冠 / 《the~》(…の)絶頂,極致,きわみ《+『of』+『名』》 / 〈C〉(頭・帽子・山・アーチなどの)最も高い部分,頂(いただき) / 〈C〉歯冠;人工歯冠 / 〈C〉《英》クラウン紙幣(英国の旧銀貨);(一般に)王冠をデザインに使った貨幣 / …の頭に王冠をのせる,を王位につける / (栄冠・賞を)…に授ける《+『名』+『with』+『名』》 / 〈物が〉…の頂部[てっぺん]をおおっている / 《『crown』+『名』+『名』》(…として)…を認める / (…を)…に歯冠をかぶせる《+『名』+『with』+『名』》
crown cap	王冠(びんのふた)
crown colony, Crown Colony	(英国の)直轄植民地
crown court	(英国の)刑事・民事裁判所
crown jewels	国家行事に国王や女王が身につける王冠・刀剣宝石など
crown prince	(英国以外の国で)皇太子
crown princess	(英国以外の国で) / 女性の王位継承者 / 皇太子妃
crown vetch	オウゴンハギ(ピンクの花をつけるマメ科の植物)
crowned head	国王,女王
crowning	この上ない,無上の
crozier	=crosier
crucial	決定的な;(…にとって)決定的な《+『for』(『to』+『名』)》
crucible	るつぼ(高温で溶解した金属などを入れる) / (溶鉱炉下底部の)湯だまり / 厳しい試練
crucifix	十字架のキリスト像
crucifixion	〈U〉磔刑(たっけい) / 〈C〉磔にすること / キリストの磔刑《宗教》
cruciform	十字形の,十字架状の
crucify	…を十字架にかける / …を迫害する,ひどく苦しめる
crude	(原材料が)『天然のままの』,未加工の / (製品・作品などが)仕上がりの悪い,荒造りの / (言葉・態度・考え方などが)粗雑な,不作法な / =crude oil
crude oil	原油
crudity	〈U〉天然のままであること,なま[の状態] / 〈U〉未熟;〈C〉未熟なもの / 〈U〉粗雑,粗野;〈C〉粗雑(粗野)なもの
cruel	(人・行動が)『残酷な』,無慈悲な / 『悲惨な』,むごい
cruelly	『残酷に』,むごたらしく
cruelty	〈U〉『残酷』, 残虐性 / 〈C〉『残酷な行為』 =cruelness
cruet	(酢・こしょうなどを入れるガラス製の)薬味(やくみ)入れ / =cruet stand
cruet stand	薬味立て
cruise	(特定の目的地を決めずに)〈船・飛行機が〉巡航(遊航)する;〈タクシーが〉流す / 〈車・飛行機などが〉巡航(経済的な)速度で進む / 〈ある地域〉を巡航(巡回)する / 〈飛行機・車など〉を巡航(経済的な)速度で進ませる / (レジャーを目的とした)巡洋航海
cruise missile	巡航ミサイル(核弾頭を積んでレーダー制御で低空飛行するミサイル)
cruiser	巡洋艦 / =cabin cruiser / (一般の)巡洋船,巡遊船 / 《米》パトロールカー
cruller	クルーラー(ドーナツに似た菓子の一種)
crumb	《通例複数形で》(食べるときなどこぼれ落ちる)『パンくず』,ケーキのかけら / (…の)少量,わずか《+『of』+『名』》 / パンの中身(パンの皮の内側にあるふかふかした部分) / …にパン粉をまぶす / 〈パンなど〉をぼろぼろにくずす
crumble	…を『粉々(ぼろぼろ)にくずす』 / 『粉々(ぼろぼろ)にくだける』,ぽろぽろとくずれる / 〈国・権力・名声・希望などが〉くずれる,衰退する
crumbly	ぼろぼろに砕けやすい,もろい
crummy	みすぼらしい,みじめな
crumpet	クランペット(英国の甘味のないパンの一種)
crumple	〈紙など〉をくしゃくしゃにする,もみくちゃにする《+『up』+『名,』+『名』+『up』》 / 〈紙などが〉くしゃくしゃになる,しわくちゃになる《+『up』》 / 《話》〈人が〉急にへたばる(つぶれる)《+『up』》 / しわ
crumpled	しわくちゃの
crunch	…をカリカリ(ボリボリ)かむ / 〈砂利道・氷雪上など〉をバリバリ(ジャリジャリ)音を立てる(立てて進む),をザクザク踏む / カリカリ(ボリボリ)かむ / バリバリ(ジャリジャリ,ザクザク)音を立てる(立てて進む) / 〈U〉〈C〉かみ砕くこと(音);踏み砕くこと(音),(砕いて)音を立てて進むこと / 《the~》(決断が必要な)危機,緊張 / 〈U〉金融引締め
crunchy	カリカリ(ザクザク)音がする
crupper	しりがい(馬具がすべらないように,尾の下に通してくらに結ぶ皮ひも)
crusade	《通例C-》『十字軍』 / (社会の悪習に対する)撲滅(改革)運動《+『against』+『名』》;(良いものに対する)支持闘争《+『for』+『名』》 / 十字軍(聖戦)に加わる / (…の)改革(撲滅)運動に加わる《+『against』+『名』》
crusader	十字軍の戦士 / 改革運動家
cruse	(木などを入れる)つぼ
crush	…を『押しつぶす』,ぺしゃんこにする《+『up』+『名,』+『名』+『up』》 / …を『砕く』,粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 / (…に)…を押しつける《+『名』+『against』+『名』》;(…に)…を押し込む《+『名』+『into』+『名』》 / (…から)…を押しつぶして出す,しぼり出す《+『名』+『from』+『名』》 / …をぎゅっと抱きしめる / …を打ちのめす,打ちひしぐ《+『down』+『名,』+『名』+『down』》 / 『つぶれる』,ぺしゃんこになる;くしゃくしゃになる / 『砕ける』,粉々になる / (…に)押し合って入る,殺到する《+『into』(『through』)+『名』》 / 〈C〉《単数形で》押し合いへし合い,殺到 / 〈C〉《話》《単数形で》大混雑の集会,すしづめの集会 / 〈U〉《英》(押しつぶして出した)果汁 / 〈C〉《話》(…に)のぼせ上がること,(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手
crush barrier	通行や動きをさえぎるさく(障壁)
crust	〈C〉〈U〉『パンの皮』,パイの皮;〈C〉堅くなった一切れのパン / 〈C〉〈U〉(物の)堅い表面;(動物の)甲殻(かく);地殻;堅くなった雪面 / 外皮におおわれる《+『over』》
crustacean	甲殻類動物(エビ・カニ・フジツボなど)
crusty	(物が)外皮のある;外皮のような,堅い / (人・態度などが)こちこちの
crutch	松葉づえ / 支えになるもの
crux	最も重要な点 / 難問,なぞ
cruzeiro	クルゼイロ(ブラジルの貨幣単位)
cry	(喜び・悲しみ・苦痛などで)『泣く』,涙を流す / 『叫ぶ』《+『out』》 / 〈鳥・獣が〉鳴く,ほえる / …と『叫ぶ』,大声で言う / 〈ニュース〉を大声でふれ歩く;〈品物〉を呼び売りする / 『叫び[声];(鳥・獣の)鳴き声,ほえ声』 / 『声をあげて泣くこと』,泣き声 / (…に対する,反対する)要求,訴え《+『for』(『against』)+『名』》,(…する)要求《+『to』 do》 / 世論;スローガン,標語
crybaby	泣き虫,弱虫
crying	叫ぶ,泣き叫ぶ;泣く,涙を流す / 《名詞の前にのみ用いて》さし迫った,緊急の
cryogenics	低温学(絶対零度に近い温度を扱う物理学)
cryonics	低温学(生物を低温保存する技術,その科学)
cryosurgery	低温(凍結)外科療法(組織の破壊などに極度の低温を用いる療法)
crypt	地下室,(特に)教会堂の地下室(小礼拝室・納骨室に用いる)
cryptie,cryptical	隠れた,秘密の;神秘的な
cryptogram	暗号;〈C〉暗号文
cryptograph	=cryptogram
cryptographer	暗号使用者
cryptography	暗号学,暗号作成法
cryst.	crystalline
crystal	〈U〉『水晶』 / 〈C〉『水晶製品』,水晶玉 / 〈U〉クリスタルグラス(透明度の高い鉛ガラス);《集合的に》クリスタルグラス製食器類(特にコップ類) / 〈C〉『結晶[体]』 / 〈C〉《米》(時計の)ガラスぶた / 『水晶[製]の』;クリスタルグラス製の;透き通った
crystal gazing	水晶球占い
crystal set	鉱石受信機(真空管を使わず鉱石検波器を使った昔の受信機)
crystalline	水晶のような,鮮明な / 結晶状の,結晶質の
crystalline lens	(眼球の)水晶体
crystallization	結晶作用;〈C〉結晶体
crystallize,crystallise	を結晶化させる / 〈思想など〉を具体化させる / 〈果物〉を溶かした砂糖でおおう / 結晶する / 〈思想などが〉(…に)具体化する《+『into』+『名』》
crystallography	結晶学
crème	濃厚なリキュール酒
cs	case[s]
ct.	carat / cent / country / court
ctf.	certificate
ctg.,ctge.	cartage
ctn.	carton
ctr.	center
cts.	centimes / cents
cu.	cubic
cub	(キツネ・クマ・ライオンなど)野獣の子 / (しつけの悪い)子ども,小僧 / 新米,見習い / =cub scout
cub reporter	駆け出しの新聞記者,新米記者
cub scout	ボーイスカウトの幼年団員
cubbyhole	狭苦しい場所 / こぢんまりした場所 / 小さい押入れ
cube	〈C〉『立方体』;立方体の物(さいころ,敷石,木れんがなど) / 〈U〉立方,3乗 / 〈数〉を3乗する / …を立方体に切る
cube root	立方根
cubic	(また『cubical』)立方体の / 立方の,3乗の
cubic measure	体積,容積
cubical	=cubic1
cubicle	(寄宿舎などの仕切った)小寝室 / 仕切った狭い場所(プールの脱衣室・電話ボックス・投票所など)
cubism	キュービズム,立体波(対象を幾何的に表現する絵画の一様式)
cubist	〈C〉キュビスムの画家 / {形}キュビスムの
cubistic	立体派(風)の
cubit	腕尺(古代の尺度で,ひじから中指の先まどの長さ;45‐56センチ)
cubs	ボーイスカウト幼年団
