curlicue,curlycue	(サインなどの)飾り書き
curliness	ちぢれていること,ちぢれ,うねり
curling	カーリング(氷上で石盤を滑らせて目標に当てるスコットランドの遊び)
curling iron	(頭髪用の)カールごて
curling stone	カーリング(curling)用の平たい円形の石
curly	(髪が)カールした
curmudgeon	(特に老人で)短気な人,怒りっぽい人
currant	種なしで小粒の干しぶどう / スグリ[の実](ユキノシタ料の落葉低木;その実はゼリー,キャンデーなどにする)
currency	〈C〉〈U〉『通貨』,貨幣 / 〈U〉『流通』,通用;普及
current	『通用している』,流通している,一般に行われている / 『今の』,『現在の』 / 〈C〉(水・空気などの)『流れ』,流動 / 〈C〉〈U〉電流 / 〈C〉(…の)『流れ』,『風潮』,動向《+『of』+『名』》
current account	当座預金口座(《米》checking account)
current assets	(いつでも現金にできる)流動資産,短期性資産
currently	現在は;広く,一般に
curricular	教育(教科)課程の
curriculum	(学校の)教科課程
curriculum vitae	履歴書
currish	野卑な;のら犬のような
curry	〈U〉カレー粉 / 〈U〉〈C〉カレー料理 / 〈馬〉をくしで手入れする / 〈なめし皮〉を仕上げる
curry powder	カレー粉
currycomb	(鉄製の)馬ぐし / …に馬ぐしをかける
curse	…を『のろう』;(…のことで)…を『ののしる』,を悪口を言う《+『名』+『for』+『名』(do『ing』)》 / (宗教で)〈人〉を破門する / (人を)『ののしる』,(人に)悪態をつく《+『at』+『名』》 / 『のろい』 / 『のろいの言葉』(Damn!, Confound it!, Go to hell!など),悪態(Shit!など) / (…への)『たたり』;災いのもと,やっかいなもの《+『on』+『名』》
cursed	のろわれた,たたられた / 《話》ひどい,いまいましい
curser	のろう人,悪態をつく人,ののしる人
cursive	(筆跡が)続け書きの,筆記体の / 筆記体の文字(活字)
cursorily	急いで,ぞんざいに,そそくさと
cursory	(仕事などが)急いだ,ぞんざいな
curst	=cursed
curt	(言動などが)そっけない,ぶっきらぼうな
curtail	…を削り取る,切り詰める / 《文》《しばしば受動態で》(…の一部を)〈人〉から奪い取る,削減する《+『名』+『of』+『名』》
curtailment	切り詰め;削減,短縮
curtain	『カーテン』,窓掛け / (劇場の)『幕』,どんちょう / 『幕状のもの』;仕切りの壁 / …に幕(カーテン)を張る;…を幕(カーテン)でおおう
curtain call	カーテンコール(拍手をして出演者を幕の前に呼びもどすこと)
curtain raiser	開幕劇,前狂言(長い劇の前に演ずる一幕物の短い劇)
curtsy, curtsey	左足を引いてひざを曲げからだを少し下げる婦人のおじぎ / (…に)〈婦人が〉おじぎする《+『to』+『名』》
curvaceous,curvacious	(女性が)曲線美の
curvature	湾曲;湾曲部
curve	『曲線』 / 『曲がり』,曲がったもの,湾曲部 / (野球で投球の)『カーブ』 / (…の方へ)『曲がる』,湾曲する《+『to』+『名』》 / …を曲げる;を湾曲させる
curvedly	曲がって,湾曲して
curvet	(馬術の)クルベット跳躍(馬の両前足が地に着かないうちに両後足を伸ばして跳躍すること) / 〈馬が〉クルベット跳躍する / 〈馬〉をクルベット跳躍させる
curvy	曲線の,曲がった / 曲線美の
cushion	『クッション』,座ぶとん / クッション状の物;(衝撃などを和らげるための)詰め物,まくら / 玉突台のクッション / …にクッションを当てる;〈衝撃など〉をクッションを当てて和らげる
cushy	(仕事などが)楽な,容易な,安易な
cusp	(歯などの)とがった先 / (新月の)先端
cuspid	(人の)犬歯
cuspidor	たんつぼ(=spittoon)
cuss	《米話》=curse / 《形容詞を伴って》(…な)やつ,野郎 / =curse
cussed	《米話》=cursed / 強情な,片意地な
custard	カスタード(牛乳・卵・砂糖を混ぜ合わせて作った菓子)
custard powder	お菓子のカスタード用の粉末
custodial	管理の,保管の / 拘留の
custodian	管理人;保管者;守衛
custody	管理,保管,保護 / 拘留,監禁
custom	〈U〉〈C〉(社会の)『習慣』,『風習』,慣例 / 〈U〉〈C〉(個人の)『習慣』 / 〈U〉(客の商人に対する)ひいき,愛顧,引き立て《集合的に》得意先 / 《複数形で》関税;《the customs》税関 / 注文で作った,あつらえの
custom-built	(自動車など)注文で作った
custom-made	(服など)注文で作った,あつらえの
customarily	通例,慣例上
customary	習慣的の,通例の,しきたりの
customer	(店の)『お客』,『得意先』,顧客 / 《話》《形容詞を伴って》(…な)やつ,男
customhouse	税関(《英》customs house)
customize,customise	…を注文どおりに作る
customs duty	関税
customs house	=customhouse
cut	(刃物などで)…を『切る』,傷つける / (刃物などで)…を『切断する』,切り分ける;〈草・作物・髪など〉を刈り取る / 〈像・文様など〉を『刻む』,彫る;〈石・宝石など〉を刻む;みがく;〈衣服など〉を裁断する / 《比喩(ひゆ)的に》〈人,人の心〉を切る,傷つける;〈寒さなどが〉…の身を切る / (…から)…を『削除する』《+『名』+『from』(『out of』)+『名』》 / …を減らす,削減する;(…で)…を薄める《+『名』+『with』+『名』》 / …を横切る,と交差する / …を掘る,切り開く / …を止める / 〈歯〉をはやす / 《話》(わざと)…を知らないふりをする,のけものにする / 《話》〈授業など〉をさぼる,欠席する / (カードゲームで)〈一組の札〉を切る / (テニス・卓球などで)〈ボール〉をカットする / 《しばしば状態を表す副詞[句]を伴って》〈刃物が〉『切れる』;〈物が〉切られる / 〈物事が〉身を切るように痛い;感情をひどく傷つける / (…へ)急に方向を変える《+『to』+『名』》 / (…への)切り傷,刻み目《+『on』(『in』)+『名』》 / (刃物の)一切り,(むちなどの)一打ち / (…の)断片(特に,切り取った肉など),切り身《+『of』+『名』》 / (…の)削減,(値段の)割引き,(賃金の)引下げ《+『in』+『名』》 / (…の)切り方,裁ち方,刈り方《+『of』+『名』》 / (テニス・卓球などで)ボールを切ること / 横断路,通り抜け路 / 切り通し;掘り割り / 木版[画];(印刷用の)金属板;さし絵,カット / (…に対する)感情を傷つける言葉(行為);しんらつな言葉,冷酷な仕打ち《+『at』+『名』》 / 《話》分け前,配前(share)
cut glass	カットグラス[製品]
cut-and-dried	あらかじめ決められた,前もって用意された / 新鮮味のない
cut-price	(品物などが)安値の / (商店などが)安売りをしている
cut-rate	安売りの
cutaneous	皮膚の,皮膚を冒す
cutaway	(上着の前のすそを)斜めに切り取った / 《米》=morning coat / 《英》=tailcoat
cutback	(割合・量などの)削減,減少 / (映画で)カットバック(ある画面から他の画面に移り,再びもとの画面にもどること)
cute	(小供・物などが)『かわいい』,気のきいた
cuticle	(動物の体表をおおう)表皮;(つめのつけ根の)あま皮
cutlass,cutlas	(昔,船乗りが用いた)そり身の短剣
cutler	刃物師,刃物屋
cutlery	金物類;食卓用金物(ナイフ・フォーク・スプーンなど)
cutlet	(羊肉・仔牛肉などの)薄い切り身(骨つきのすね肉・あばら肉なども含む) / 薄くて平たいコロッケ
cutoff	切断,停止,中止 / 切断する器具
cutout	(おもちゃの)切り抜き絵 / (エンジンの)排気弁
cutpurse	すり
cutter	切る人;(洋裁の)裁断面 / 切る道具,裁断器 / カッター(大型船の付属ボート) / 1本マストの快速帆船 / 沿岸警備艇
cutthroat	人殺し,殺人者 / 殺人的な;残酷な;激烈な
cutting	〈U〉〈C〉切ること,切断,裁断 / 〈C〉《英》=clipping / 〈C〉《英》(道路・運河などを建設するために作った)切り通し,掘り割り / 〈C〉(さし木用の)切り枝 / 〈U〉(映画などの)フイルムの編集 / 《名詞の前にのみ用いて》よく切れる,鋭利な / (風などが)身を切るような;(言葉などが)痛烈な
cutting room	映画フイルムなどの編集室
cuttlefish	コウイカ(甲いか);(一般に)イカ
cutup	目立ちたがる人,(人の注意を引くために)いたずらをする人
cutworm	ネキリムシ(根切り虫)(植物の根を食い切る害虫の総称)
cw	clockwise
cwm	(ウェールズ語)圏谷(けんこく)(氷河の浸食によって山頂などにできた円形のくぼ地)
cwt.	hundredweight
cyan	青緑色,シアン
cyanide	シアン化物,(特に)青酸カリ
cybernated	電算機により自動制御化された
cybernation	電算機の使用による自動制御
cybernetics	人工頭脳学,サイバネティックス
cycad	ソテツ(蘇鉄)
cyclamate	チクロ(人工甘味料)
cyclamen	シクラメン
cyclazocine	麻薬効力減衰剤
cycle	『周期』,循環期;一巡り / 周波,サイクル / (英雄・伝説などを扱った)一連の詩(物語) / 『自転車』;三輪車;オートバイ / 自転車に乗る / 循環する,反復する
cyclic, cyclical	周期的な,循環する
