cycling	自転車に乗ること,サイクリング
cyclist	自転車(三輪車,オートバイ)に乗る人
cycloid	〈C〉サイクロイド曲線(円運動する点の軌跡) / {形}サイクロイドの
cyclometer	(車輪の)回転記録器,走行距離計
cyclone	熱帯(温帯)性低気圧 / 大たつまき
cyclonic	熱帯(温帯)性低気圧の;大たつまきの
cyclopedia,cyclopaedia	=encyclopedia
cyclotron	サイクロトロン(原子核破壊装置)
cyder	=cider
cygnet	白鳥のひな
cyl.	cylinder
cylinder	円柱,円筒;円柱形の物 / シリンダー,気筒
cylindrical	円筒[形]の
cymbal	シンバル(金属製の打楽器の一種)
cymbalist	シンバル演奏者(家)
cyme	集散花序(植物の花の咲き方の一つ)
cymose	有限花序の一種(枝の先端に花が咲く構造)
cynic	(人間の善良さを信じない)皮肉屋,冷笑家 / 《C-》キニク(犬儒)学派の人 / 《the Cynics》キニク(犬儒)学派 / =cynical / 《C-》キニク(犬儒)学派の
cynical	皮肉な,冷笑的な,世をすねた
cynicism	〈C〉皮肉,冷笑;皮肉癖 / 〈C〉皮肉な言葉 / 《C-》犬儒主義
cynosure	注目(賞賛)の的
cypher	=cipher
cypress	イトスギ(糸杉)(故人に対する悲しみの象徴として詩に歌われたり,墓の傍らに植えられたりする)
cyst	胞嚢(ほうのう)
cystic	胞嚢(ほうのう)性の
cystitis	膀胱(ぼうこう)炎
cytologic,cytological	細胞に関する / 細胞学的
cytologist	細胞学者
cytology	細胞学
cytoplasm	細胞質
cytoplasmic	細胞質の
czar	帝政ロシアの皇帝 / 専制君主;独裁者
czardas	チャルダッシュ(ハンガリアの国民舞踊)
czarina	帝政ロシアの皇后
czarist	ロシア帝政の,ロシア皇帝の / 独裁的な / 帝政支持者
