D	deuterium(重水素)の化学記号
D,d	〈文字〉アルファベットの4番目の文字 D / 〈略〉日(day)/ 銅(chemical symbol: Cu の誤用として稀に)/ 駆動(drive)/ 〈記号〉音階の「レ」
D-day	欧州大陸進撃の日(第二次大戦で連合軍がNormandyに上陸した1944年6月6日) / 〈C〉攻撃開始予定日
D.	December(12月) / Democrat(民主主義者) / Dutch(オランダ人)
D.A.	District of Attorney (米国の)地方検事 / Department of Agriculture農務省 / doesn't answer; don't answer
D.C.	da capo / ワシントンD.C (=District of Columbia;コロンビア特別区)
D.C.,DC,d.c.,dc	direct current 直流
D.F.C.	Distinguished Flying Cross(米・英軍)空軍殊勲十字章
D.F.M.	Distinguished Flying Medal(英軍)殊勲章
D.G.	by the grace of God / Director General
D.H.L.	=DHL / DHL Worldwide Express ディー・エイチ・エル(アメリカの国際宅配便会社)
D.J.	disk jockey ディスクジョッキー / District Judge 地方裁判所判事
D.L.O.	Dead Letter Office(郵便局の)配達不能郵便物係
D.Lit.,D.Litt.	Doctor Literarum(ラテン語)=Doctor of Literature 文学博士
D.M.D.	Dentariae Medicinae Doctor(ラテン語)=Doctor of Dental Medicine 歯科学の医学博士
D.O.A.	dead on arrival 到着時すでに死亡
D.O.B.,d.o.b.	date of birth 生年月日
D.P.,DP	{略}国外追放者 / 避難民(displaced person) / differential pressure (圧力差)
D.S.	(音楽で)dal segno / Doctor of Science
D.S.C.	Distinguished Service Cross (米陸軍)殊勲十字章 / Doctor of Surgical Chiropody 外科的足病治療の博士(または足病外科医)
D.S.M.	Distinguished Service Medal (米・英軍)殊勲章
D.S.O.	Distinguished Service Order (英軍)殊勲章
D.V.	Deo volente(ラテン語)(God willing) / Douay Version[of the Bible]ドウエー聖書
D.V.M.	Doctor of Veterinary Medicine
D/A	days after acceptance / deposit account 預金勘定
DABs	Digital Audio Broadcasting デジタルラジオ放送
DD	dishonorable discharge
DDT	ディーディーティー(殺虫剤の一種)
DE	Delaware
DEW	〈U〉露(つゆ)/ =Directed Energy Weapon(レーザーなど指向性エネルギー兵器)
DI	Department of the Interior 内務省 / drill instructor 教練係下士官 / discomfort index
DM	Deutsche mark
DMZ	demilitarized zone非武装地帯
DNA	deoxyribonucleic acidディオキシリボ核酸
DOD	Department of Defense米国防省
DOE	Department of Energyエネルギー省
DOT	Department of Transportation(米国の)運輸省
DPhil	Doctor of Philosophy
DST	daylight-saving time
DU shell	劣化ウラン弾:DU shell〔DU=depleted uranium〕:depleted uranium bomb / depleted uranium shells [munitions] / uranium-tipped ammunition :depleted uranium ordnance〔劣化ウランは非常に重く、砲弾に使うと戦車の装甲も打ち抜く。微小放射能を持つので、人体への影響で大問題になっている〕
DX	(無線で) / distance / (また)distant
Dacron	ダクロン(ポリエステル合成繊維の一種;商標名) / 《複数形で》ダクロン製シャツ(服)
Dada	ダダイズム(20世紀初頭の芸術・文学上の主張で偶然性・不条理性を追求した)
Daedalus	ダイダロス(ギリシア神話でCrete島の迷路を作った名工)
Dahomey	ダオメ(アフリカ西部の共和国,1975年国名をBeninと変更,1990年に「ベナン共和国(Republic of Benin)」と変更)
Dakota	ダコタ(米国中西部の地方で1889年にNorth DakotaとSouth Dakotaに分離;両州をthe Dakotasという)
Dallas	ダラス(米国 Texas州北部の市)
Dalmatian	ダルメシアン,ダルマティアン犬(白い体に黒い斑点がある大型の犬)
Damascene	ダマスカスの / 《d-》波状模様のある / 〈鋼鉄・鉄〉に波状模様をつける
Damascus	ダマスカス(シリアの首部)
Damocles	ダモクレス(ギリシア神話において、シラクサの王ディオニュシウスの廷臣)
Dan.	Danish / Daniel
Dane	デンマーク人 / デーン人(10世紀ごろ英国に侵入した北欧人)
Daniel	ダニエル 《男性名; 愛称 Dan,Danny》・ダニエル 《ユダヤの預言者・ ダニエル書 (The Book of Daniel) 《旧約聖書中の一書; 略 Dan.》・〈C〉(ダニエルのような)名裁判官 《「聖書外典(がいてん)」から》
Danish	デンマーク(Denmark)の;デンマーク人(語)の / デーン人(Dane)の / デンマーク語
Danish pastry	デニッシュペーストリー(バターを多く用いたパン生地を焼いた菓子パン・干しぶどう・カスタードクリームなどが入っているものが多い)
Dante	ダンテ(1265‐1321;イタリアの詩人;「神曲」の作者)
Danube	ダニューブ川,ドナウ川(ドイツの南西部に発して黒海に注ぐ)
Daphne	ダフネ(ギリシア神話でApolloに追われていたところを父が月桂樹に変えて救ったという精霊ニンフ) / 《d-》〈C〉月桂樹 / 沈丁花(ジンチョウゲ)
Darby and Joan	仲のよい老夫婦
Dardanelles	ダーダネルス海峡(黒海から地中海へ出る海峡)
