daybreak	夜明け(dawn)
daycare	昼間保育の
daycare center	=day nursery
daydream	白日夢,空想 / 空想にふける
daydreamer	空想家,夢想家
dayflower	ツユクサ(小さい青色の花をつける1日咲きの植物)
daylight	『日光』, 昼の光 / 公然, 周知; 「… the living daylights out of 誰々」で「誰々を打ちのめす」
daylight saving time	夏時間《略》『DST,D.S.T.』(《おもに英》summer time)
dayroom	(軍のキャンプ・刑務所・病院などの)読書娯楽室
days	たいてい昼間は
daytime	『昼間』
daze	(打撃・衝撃などで)…をぼう然とさせる / ぼうっとした状態
dazedly	目がくらんで,ぼうっとして
dazzle	〈強烈な光が〉…を『目をくらませる』 / 〈美しさ・壮観な見ものが〉…を眩惑(げんわく)する / 目をくらませる輝き / 目をくらませるもの
dazzling	まばゆい,目もくらむばかりの
db,dB	decibel / decibels
de Gaulle	ドゴール(『Charles de Gaulle』;1890‐970;フランスの将軍・政治家;大統領1959‐1969)
de facto	事実上[の]
de jure	正当に(な);法律上[の]
de novo	新たに,再び,初めから
de rigueur	(礼儀や習慣の上で)ぜひ必要な(で)
de trop	多すぎる,無用な
de-accession	〈美術館の作品などを〉収集から外す,収集外す,所蔵品の登録抹消
de-escalation	緊張の緩和, 緊張の低下, 段階的縮小
deacon	(英国国教会の)執事;(カトリック教会の)助祭;(ギリシア正教会の)補祭
deaconess	(英国国教会の)婦人執事,婦人牧師補 / (プロテスタントの)婦人奉仕団員
deactivate	…を不活発にする
dead	『死んだ』,死んでいる / 『生命を持っていない』 / 『死んだような』;(死んだように)無感覚な / 効力を失った / 活動していない,働いていない,通用していない(no longer active) / 《名詞の前にのみ用いて》全くの,完全な(complete) / (色が)さえない;(音が)鈍い / 《補語にのみ用いて》《話》疲れきった;(…で)疲れ果てた《+『from』+『名』》 / 《話》絶対に,完全に(completely) / (動作・行動などの停止について)ぱったり,突然 / 《話》まっすぐに(straight) / (暗さ・寒さなどの)最中,まっただ中《+『of』+『名』》
dead center, dead centre	《しばしば the dead center》中心そのもの,急所
dead end	(通路・水道管などの)行き仕まり / (事態などの)行き詰まり
dead heat	接戦
dead letter	(あて名不備による)配達不能郵便物 / (法律などの)空文,死文
dead march	葬送行進曲
dead reckoning	推測航法(天測や地上の目標を視認するのではなく、コンパス・測程器を用いて経度・緯度のわかっている起点から現在位置を求める航法)
dead shot	命中弾 / 射撃の名人
dead-end	行き止まりの
deadbeat	〈C〉怠け者 / 滞納者 / {形}全く動かない,働かない
deaden	…を力(勢い)を弱める
deadline	最終期限;(新聞・雑誌などの)原稿〆切(締切)時間・最終期限
deadliness	致命[致死]的なこと・死にかかわること;死の状態
deadlock	(交渉などの)行き詰り
deadly	『致命的な』,命にかかわる(fatal) / 《名詞の前にのみ用いて》殺そう(滅ぼそう)とねらっている;生かしておけない / 《名詞の前にのみ用いて》死(死人)のような / 《名詞の前にのみ用いて》はなはだしい,過度の / 耐えられないほど退屈な / 『死んだように』,死人のように / はなはだしく,ひどく(extremely)
deadman's handle	デッドマン装置のハンドル(手で一定の圧力を加えないと自働的に電源の切れる動力機械の操作ハンドル)
deadness	死の状態,生気のないこと / (色などの)さえないこと;(酒などの)気の抜けていること
deadpan	無表情な,感情を顔に表さない
deadweight	〈U〉自重(車・船などのそれ自体の重さ);死重(自力で動けない物の重さ) / 《a dead weight》《比喩(ひゆ)的に》重荷
deadwood	(立木の)枯枝;枯木 / 役立たず,無用の長物
deaf	『耳が遠い』,耳が不自由な / 《the deaf;名詞的に》耳が不自由な人々 / 《補語にのみ用いて》(…を)『聞こうとしない』(…に)むとんじゃくである《+『to』+『名』》
deaf-aid	補聴器
deaf-mute	ろうあ者 / ろうあ者の
deafen	(爆発・騒音などが)〈人〉を耳を聞こえなくする / 〈音〉を消す;〈壁・床など〉に防音装置を施す
deafening	防音材料 / 耳を聞こえなくするような
deal	…を『分配する』,分ける / 《『deal』+『名』+『名』=『deal』+『名』+『at』(『to』)+『名』》〈打撃・仕打ちなど〉を…に『加える』 / 〈U〉取引き / 〈C〉(取引きなどの)妥協,協定 / 〈C〉カードゲームの札の配分 / 《D-》政策(policy) / 《a~》《話》取扱い,待遇 / モミ材,松材
dealer	『商人』;(…の)『業者』《+『in』+『名』》 / (カードゲームの)札の配り手,親
dealership	(ある地域内の)商品販売権;その権利を持つ業者
dealing	《複数形で》(…との)交際関係,取引き関係《+『with』+『名』》 / 〈U〉(他人に対する)仕打ち,取り扱い(treatment)
dealt	dealの過去・過去分詞
dean	(大学の)学部長 / (米国の大学の)学生部長;(英国の大学の)学生監 / (英国国教会で)司祭長;(ローマカトリック教会の)司教地方代理 / (団体の)長老
dean's list	(大学の各学年・学期末の)優等生名簿
dear	『親愛な,かわいい』(much loved) / (手紙の書き出しのあいさつの)『親愛なる』,尊敬する / 『大事な』,貴重な;(…にとって)大事な《+『to』+『名』》(precious) / 高い / 高価な / 『高価に』,高く / 『かわいい人』,大切な人,いい子 / 『おや,まあ』(驚き・同情・悲しみ・困惑などを表す)
dearest	いとしい人
dearly	『愛情をもって』,心から / 『多大の犠牲を払って』
dearness	高価 / 親愛
dearth	(人・物の)不足,欠乏(lack, scarcity)《+『of』+『名』》
deary	かわいい人
death	〈U〉〈C〉『死』,死亡;死に方,死にざま / 〈U〉死んだ[ような]状態 / 《the~》(…の)絶滅,破滅《+『of』+『名』》 / 《the~》(…の)死の原因,命取り《+『of』+『名』》 / 《通例『D-』》死神(手に鎌(かま)を持った黒装束の骸骨(がいこつ)で表される)
death duty	=death tax
death mask	デスマスク,死面
