debility	(病気による)衰弱
debit	(簿記で)借り方,借り方記入 / (ある金額を)…の借り方に記入する《+『名』+『with』+『名』(=額)》 / (相手に)〈金額〉を借り方として記入する《+『名』〈金額〉+『against』+『名』》
debonair,debonaire	陽気な,快活な / 愛想のよい,丁重な
debone	〈鶏・あひるなどの肉〉から骨を取る
debouch	(狭い所から広い所へ)流れ出る,抜け出る《+『into』(『on』)+『名』》
debrief	〈帰還した飛行士など〉から報告を聞く
debris,débris	(壊れた物の)破片,残骸
debt	〈U〉〈C〉『借金』;負債 / 〈C〉『恩義』,義理(obligation)
debtor	債務者,借り主 / 借り方(《略》Dr.,dr.)
debug	…の欠陥(誤り)を調べて除く;〈部屋など〉から盗聴装置を取り除く
debunk	〈人〉の仮面をはぐ,〈物事〉の正体を暴露する
debunker	正体をあばく人,仮面をはぐ人
debut,début	社交界へ初めて出ること;初舞台;(いろいろな場への)初登場 / (…として)デビューする
debutante,débutante	社交界に初めて出る(出た)女性
dec.	deceased / decimeter / decreased
decade	『10年間』
decadence	堕落,衰微;(美術・文学の)退廃,デカダンス
decadent	退廃的な,衰微の / デカダン派の / デカダン派の芸術家(文士)
decaffeinate	〈コーヒー〉からカフェインを取り除く
decagon	十角形,十辺形
decagram,decagramme	デカグラム(10グラム)
decahedron	十面体
decal	〈U〉ラフレ画法(絵や図案をガラス・金属などに転写する技術) / 〈C〉その絵・図案がかかれた転写紙
decalcify	…から石灰[質]を除く
decaliter,decalitre	デカリットル(10リットル)
decameter,decametre	デカメートル(10メートル) / 《英》decametre
decamp	野営を引き払う / 《話》こっそり逃げ出す,夜逃げをする
decant	(中の沈殿物を動かさないように他のびんへ)〈液体,特に酒〉を静かにつぐ
decanter	食卓用栓つきガラスびん(ぶどう酒を入れることが多い)
decapitate	(特に処刑で)…の首を切る
decapitation	首を切り落とすこと,斬首(ざんしゅ)
decasyllable	10音節[詩行]
decathlon	十種競技
decay	『腐る』,朽ちる / 〈繁栄・健康などが〉『衰える』,衰退する;〈活力などが〉低下する / 〈他〉 / …を『腐らせる』 / 『腐敗』;腐朽 / 『衰微』,衰え / (放射性物質の)自然崩壊
decease	死亡
deceased	『死亡した』(dead),故人となった(late) / 《名詞的に;the deceased》《単数扱い》《特定の》故人;《集合的に》故人たち
deceit	『欺くこと』,『偽り』,たくらみ,策略,ぺてん
deceitful	人をだます,うそつきの / (言動・外見などが)人を惑わせる,人を誤らせる / ごまかし,欺くこと
deceive	〈人〉を『欺く』,『だます』,裏切る / 欺く,人をだます
deceiver	だます人,詐欺師
decelerate	…の速度を落とす / 速度が落ちる
deceleration	減速
decelerator	減速器
decency	〈U〉(言動・服装などが)きちんとしていること / 〈U〉体面,体裁 / 《the decencies》《まれ》礼儀作法 / 〈U〉《話》親切,寛大
decennial	10年間の,10年ごとの / 10周年記念(祭)
decent	(社会・道徳的な規範にかなって)『きちんとした』,ふさわしい / 《話》『かなりよい』,まあまあの,そう悪くない / 《話》《補語にのみ用いて》親切な,寛大な
decently	見苦しくなく,ちゃんと / 相当に,かなり / 親切に,気前よく
decentralization,decentralisation	中央集権排除,地方分権
decentralize,decentralise	〈行政〉の中央集権化を避ける,〈産業・人口など〉を分散させる
deception	〈U〉だますこと,だまされること / 〈C〉策略,たくらみ
deceptive	人をだますような;当てにならない,惑わす(misleading)
decibel	デシベル(音響の大きさを測る単位)
decide	〈人が〉〈論争・問題など〉を『解決する』 / 〈人が〉『決心する』 / 〈物事が〉…を決定する / 〈物事が〉〈人〉に決意させる,決定させる / 『決定する』 / (…に不利な,有利な)判決を下す《+『against』(『for』,『in favor of』)+『名』》
decided	『明白な』,決定的な / (人・態度・性格などが)『断固とした』,ぐらつかない(determined)
deciduous	(動植物の組織などが)脱落性の;(樹木が)落葉性の
decigram,decigramme	デシグラム(1/10グラム;《略》『dg』.)
deciliter, decilitre	デシリットル(1/10リットル;《略》『dl.』)
decimal	小数の / 十進法の / 小数
