definitive	決定的な,最終的な(final)
deflagrate	…を急激に燃焼させる / 急激に燃焼する
deflate	〈タイヤ・気球など〉の空気(ガス)を抜く,をすぼませる / 〈人〉の自信(誇り,幸せなど)を失わせる / 〈量・大きさ・程度〉を減らす〈通貨〉を収縮する / しぼむ,収縮する
deflation	空気(ガス)を抜くこと;収縮 / 通貨収縮,デフレーション,テレビ
deflationary	通貨収縮の,デフレの
deflect	(…から)…をそらせる,偏らせる《+『名』+『from』+『名』》 / それる,偏る
deflection	(進路などの)ふれ,偏り;(計器などの針の)ふれ,偏差
defloration	花を散らすこと;美(新鮮さ)を奪うこと / 処女を奪うこと
deflower	…の花をもぎ取る / 〈処女〉を犯す
defog	〈自動車などの窓〉の曇り(水滴)を取り除く
defoliant	落葉剤
defoliate	(薬品などで)〈葉〉を枯れさせる
defoliation	落葉
deforest	…の森林を切り払う
deforestation	森林伐採,森林開拓
deform	…の形をくずす,を変形させる / …をぶかっこうにする,醜くする
deformation	形をくずすこと / ぶかっこう,醜さ
deformed	醜い,不具の,奇形の
deformity	〈U〉(身体の)奇形,変形,不具;醜さ / 〈C〉(身体の)奇形部 / 〈C〉(…の)欠陥
defraud	(…を)〈人〉からだまし取る,詐取する《+『名』〈人〉+『of』+『名』》
defray	〈費用など〉を支払う
defrock	=unfrock
defrost	〈冷蔵庫など〉の霜(氷)を取る / 〈食品など〉を冷凍を戻す / 〈冷蔵庫などが〉霜が取れる
defroster	(冷蔵庫の)霜取り装置;(自動車・飛行機の前面ガラスに取りつける)防氷装置
defs	definitions
deft	器用な,巧みな,じょうずな
defunct	現存しない,廃用になった
defuse,defuze	〈爆弾など〉を信管を取り除く
defy	《『defy』+『名』+『to』 do》(…してみよと)〈人〉に『挑む』,挑戦する / …を『無視する』,ものともしない / 〈物事が〉…を『拒む』,受け付けない
degas	…からガスを抜く
degauss	〈船体・車体など〉の磁場を消す,を消磁する
degeneracy	退化,退歩,墜落
degenerate	(…から…へ)退歩する,退化する,墜落する《+『from』+『名』+『into』+『名』》 / 退化した,墜落した,退廃した / 退化物,墜落者
degeneration	退歩,退化,墜落
degenerative	退化的な,墜落しやすい,退行性の
degradable	(化学的に)分解できる
degradation	(地位の)格下げ / (品位などの)下落
degrade	(…に)…の地位(身分)を下げる《+『名』+『to』+『名』》 / (…にまで)…の品位(評判)を下げる,を卑しくする《+『名』+『to』+『名』》
degree	〈C〉『程度』,度合 / 〈U〉《古》(社会的)階級,地位,身分 / 〈C〉『学位』,称号 / 〈C〉(寒暖計の)『度』 / 〈C〉(角度の)度 / 〈C〉(数学で)次[数] / 〈C〉(形容詞・副詞の比較の)級 / 〈C〉(犯罪の)等級 / 〈C〉(音階の)度,階 / ちょっと,いくぶん
dehorn	〈牛〉の角を切り取る
dehumanization,dehumanisation	人間性を失うこと(失わせること)
dehumanize,dehumanise	…の人間性を失わせる,人間らしさを奪う
dehumidify	…の湿気を除去する,を除湿する
dehydrate	…を脱水する,脱水状態にする / 水分を失う,〈体が〉脱水状態になる
dehydration	脱水,乾燥;〈体の〉脱水状態
dehydrogenate	〈水素化合物の〉の水素を取り去る
deice	〈飛行機・自動車・冷蔵庫など〉の結氷(結霜)を取り去る,結氷(結霜)を防ぐ
deification	神としてあがめること,神に祀ること,神格化
deify	…を神に祀る / …を神様扱いする
deign	《『deign to』 do》〈目上の人が〉もったいなくも(…)してくださる / …を下さる
deionize,deionise	…からイオンを除去する
deism	理神論,自然神教
deist	理神論者
deity	《the D-》神 / 〈U〉神性,神格,神位
