denotative	表示的な,指示的な(…を)表示する《+『of』+『名』》 / (論理学で)外延の
denote	…を示す,表す;…の記号である
denouement	(劇・小説・複雑な事件やむずかしい情況などの)大詰め,結末
denounce	(公然と)〈人〉を『非難する』,攻撃する / 〈一方の国が〉〈条約など〉を廃棄宣言する
dense	『密度が濃い』,密集した,目の詰まった / 《話》頭の鈍い,のろまな
densitometer	(写真現像の)濃度計
density	〈U〉『密集』;『密度』,濃さ / 〈U〉〈C〉(物質の)密度,濃度,比重 / 〈U〉《話》頭の鈍さ,愚鈍さ
dent	くぼみ,へこみ / …をくぼませる,へこませる / へこむ,くぼむ / (くし・歯車などの)歯
dental	歯の,歯科医の / (音声が)歯音の / 歯音(など)
dental floss	歯牙(しが)用糸(歯間の汚物を除去するための麻糸・真綿など)
dental plate	義歯床(義歯を固定するための薄板)
dentate	(植物・動物が)歯のある,歯状突起のある
dentifrice	歯みがき粉,練り歯みがき(toothpaste)
dentin, dentine	(通例エナメル質の下にある)ぞうげ質
dentist	『歯科医』,歯医者
dentistry	歯科学,歯学
dentition	歯の状態(歯の数・種類・歯列など) / 歯牙(しが)の発生
denture	入れ歯,義歯
denuclearize	…を核兵器設置(核武装)を禁止する
denude	…を裸にする;(物を)〈人・物〉からはぎ取る《+『名』+『of』+『名』》
denunciation	非難;否認 / (裁判官の面前などでの罪の)告発 / (条約の)廃棄通告
deny	…を『否定する』,否認する / 《『deny』+『名』+『名』=『deny』+『名』+『to』+『名』》〈人・自分〉に…を与えない(許さない)
deodar	ヒマラヤスギ
deodorant	脱臭剤,臭気止め
deodorize,deodorise	…の臭気を取り除く
deoxidize,deoxidise	…から酸素を除く,〈酸化物〉を還元する
deoxyribonucleic acid	デオキシリボ核酸 (=thymonucleic acid)(細胞核染色体の基礎物質で遺伝情報をもつ; 略 DNA)
dep.	department / depart, departure / deposit / deputy
depart	《文》(…から)(遠くへ)『立ち去る』,出発する《+『from』+『名』》 / (通常のことから)『はずれる』,変わる《+『from』+『名』》
departed	今はない,過ぎし / 故人;《集合的に》死者たち
department	(政府・会社・学校などの組織の)『部門』,部,課;《英》(官庁の)局(《米》bureau) / (フランスなどの)県,州
department store	『百貨店』,『デパート』
departmental	部門[別]の;各部(局,省)の
departmentalize,departmentalise	…を専門分野別に分ける
departure	(…から)(遠くへ)『立ち去ること』,『出発』《+『from』+『名』》 / (通常のことから)『はずれること』,逸脱《+『from』+『名』》 / (方針・考えなどの)新機軸,新方針
depend	〈人が〉『頼る』,依存する,当てにする / 〈物事が〉…次第である,にかかっている(受動態にできない)
dependability	頼りになること,信頼性
dependable	信頼できる,頼りになる,当てにできる(reliable)
dependably	信頼して,当てにして
dependence	(…に)頼ること,(…への)依存,依頼《+『on(upon)』+『名』》 / (…への)信頼,信用《+『on』+『名』》
dependency	〈U〉依存,依存関係 / 〈C〉(国の)属領,従属国
dependent	『頼っている』,依存している,従属している / 扶養される人(家族)
dependent clause	従属節(subordinate clause)
depersonalize,depersonalise	…を非人格化する / 〈人〉から個性を奪い去る
depict	(絵・言葉などで)…を描き表す,描写する
depiction	描くこと,描写,叙述
depilatory	脱毛力のある / (液状またはクリーム状の)脱毛剤
deplane	飛行機から降りる
deplete	〈価値・分量・内容など〉を激減させる,使い果たす
depletion	枯渇,消耗
deplorable	嘆かわしい / 痛ましい,みじめな / ひどい
deplorably	嘆かわしくも;ひどく
deplore	…を残念に思う,いけないと思う / …をひどく悲しむ,悔やむ
deploy	〈部隊など〉を配置する / (作戦的に)〈部隊などが〉配置につく
deployment	(兵などの)展開,散開
depolarize,depolarise	〈乾電池など〉の極性をなくす,を消極する
depoliticize	…から政治性を取り除く
deponent	(法廷における)宣誓証人
depopulate	〈戦争・悪疫などが〉…の人口を減らす
deport	{動}国外退去させる / 追放する / ふるまう《文語》
deportation	(好ましくない外国人などの)国外追放
deportee	(国外への)被追放者
deportment	《米》(特に若い女性の人中での)態度,ふるまい(behavior) / 《英》(特に若い女性の)立ち姿,歩く姿
depose	{動}〈国王〉を退位させる;〈高官など〉を免職する / 宣誓証言する
deposit	〈貴重品など〉を『預ける』,〈金〉を預金する / (注意深く,確実に)…を置く,おろす / (自然の作用によって)〈泥・土など〉を沈殿させる / (銀行への)『預金』,預け入れ / 『担保』,手付け金 / (自然の作用による)『堆積物』,沈殿物 / (特に石油・鉱石の)鉱床,埋蔵物
deposit account	普通預金
deposition	〈U〉廃位;(高官などの)免職 / 〈C〉宣誓供述書 / 〈U〉堆積作用;〈C〉堆積物
depositor	(銀行の)預金者;供託者
depository	貯蔵所,倉庫;金庫
depot	《米》(鉄道の)駅,(バスの)発着所 / (軍隊の)物資集積所 / 置き場,貯蔵所,倉庫 / 《英》連隊本部
deprave	〈人〉を堕落させる,悪くする
depravity	〈U〉堕落 / 〈C〉悪行 / 邪悪な行為
deprecate	…に不賛成の意を表す,を非難する / を軽べつする
deprecation	不賛成,反対,非難
deprecatory	弁解の,言い訳の / 不賛成の
depreciate	…の価値(価格)を下げる / …を見くびる,けなす / 価値(価格)が下がる
depreciation	(消耗・年月による価値・価格の)下落,低落 / 減価見積り[額];減価償却
depreciatory	価値(価格)が低下しつつある
depredation	[通例複数形で] 略奪行為,破壊
depress	…の『元気をなくさせる』,を落胆させる / 〈力・活動など〉を弱める,衰えさせる / …を押し下げる,下へ押す / 〈相場・市場など〉を下落させる,不景気にする
