destiny	『運命』,宿命;使命
destitute	貧困な(very poor) / 《補語にのみ用いて》(…を)奪われた,欠いた《+『of』+『名』》
destitution	貧困,困窮
destroy	…を『破壊する』,打ち壊す / 〈計画・希望など〉をくじく / …を殺す
destroyer	破壊者,破壊するもの / 駆逐艦
destroyer escort	護衛駆逐艦(《略》『DE』)
destruct	(軌道に乗らなかったロケットなどを)破壊すること;破壊[行為] / 破壊用の / 自動的に破壊する / 〈ミサイル・ロケットなど〉を破壊する
destructible	破壊し(され)やすい,壊れやすい
destruction	『破壊』[行為] / 破壊された状態,破滅,絶滅 / 破壊手段,破壊をもたらすもの
destructive	『破壊的な』,破滅的な / 破壊主義的な,否定的な
destructor	廃物焼却炉
desuetude	廃止[状態],不用
desultory	気まぐれな,散漫な / 主題からそれた,とっぴな
det.	detach / detachment / detail
detach	(…から)…を引き離す,分離する,取り外す《+『名』+『from』+『名』》 / (特別任務に)〈部隊・軍艦など〉を派遣する,分遣する
detachable	分離できる,取り外すことができる
detached	離れた,分離した;分遣された / (意見・判断が)公平な / 超然とした,無関心の
detachment	〈U〉(…から…を)分離すること,取り外すこと《+『of』+『名』+『from』+『名』》 / 〈U〉超然としていること / 〈U〉私心(偏見)のないこと / 〈C〉(特別の任務を帯びた)分遣隊,特派部隊
detail	〈U〉〈C〉(全体の中の個々の)『細部』,『細目』,項目;《複数形で》『詳細』 / 〈U〉〈C〉(全体から見て)ささいなこと / 〈U〉(絵画・彫刻・建築などの)細部;細部装飾 / 〈C〉特別(臨時)派遣兵(部隊);特別任務 / (…に)…を詳しく述べる《+『名』+『to』+『名』》 / (特別な任務に)〈兵・部隊〉を任命する,臨時(特別)に派遣する(appoint)
detailed	詳細にわたる / 細部にまで注意した
detain	…を引き留める,待たせておく / 〈人〉を監禁する,留置する
detainee	〈C〉拘留者 / 拘束された人
detect	〈物事の存在〉を『感知する』,気付く,認める / 〈人〉の『正体を見破る』 / 〈電波〉を検波する,復調する
detection	発見,探知,発覚 / (電波の)検波
detective	『刑事』;探偵 / 刑事の,探偵の / 探知用の,検出のための
detector	発見者,探知者 / 探知器,検出器 / 検波器
detention	引き留めること,遅延 / (判決前の)留置,拘置
detention home	少年鑑別所
deter	〈恐怖・不安などが〉〈人〉をちゅうちょさせる;(…することを)〈人〉に思い留まらせる《+『名』+『from』 do『ing』》
detergent	洗剤
deteriorate	…を悪化させる;…の品質などを低下させる / 〈人格・品質・価値などが〉悪化する,低下する
deterioration	(価値・質などの)低下,悪化
determinable	決定できる,確定できる
determinant	決定要素 / 決定力のある
determinate	限定された;明確な
determination	〈U〉『決心』,決意,決断力 / 〈U〉(…の)『決定』,決着《+『of』+『名』》 / 〈C〉(法律上の)(…の)判決,裁決,終結《+『of』+『名』》 / 〈U〉(…の)測定[法]《+『of』+『名』》
determine	(前もって)…を『決定する』,はっきりさせる / …を『決心する』,決意する / 《『determine』+『名』+『to』 do》〈物事が〉(…することを)〈人〉に『決心させる』,決意させる / …を『左右する』,決定づける / 〈数量・位置・速度など〉を測定する,確認する / (…を)決心する,決定する《+『on』+『名』(do『ing』)》
determined	断固として決意した
determiner	決定詞(辞),限定詞(辞)(a,the,your,this,some,anyなど名詞の意味を限定する語)
determinism	決定論(すべての行動やでき事はあらかじめ決められているものとして,人間の自由を否定する哲学論)
deterrence	制止[物],妨害[物]
deterrent	妨げる,抑止する,引き止める / 戦争抑止力;(…を)妨げるもの,引き留めるもの《+『to』+『名』》
detest	…を『嫌悪する』,ひどくきらう
detestable	憎悪すべき,ひどくいやな,いまわしい
detestation	〈U〉嫌悪,憎悪,大きらい / 〈C〉大きらいな人(物)
dethrone	〈国王〉を退位させる(高い地位から)〈人〉を引きずり降ろす
dethronement	廃位,強制退位
detonate	…を爆発させる(explode) / 爆発する
detonation	爆発;〈C〉爆発音
detonator	雷管,起爆薬,起爆装置
detour	回り道,遠回り / 回り道をする《+『around』(『round』)》 / …に回り道をさせる
detoxify	…の毒性を除く
detract	(名誉・価値などを)落とす,減ずる / (…を)悪く言う,けなす
detractor	悪口を言い触らす人,中傷者
detrain	列車から降りる,下車する / …を列車から降ろす,下車させる
detriment	〈U〉(…の)損害,損失;傷害《+『to』(『of』)+『名』》 / 〈C〉損害の原因
detrimental	有害な;(…を)傷つける,(…に)有害な《+『to』+『名』》
detritus	(風化・浸食作用などによる)砕石,砕屑(さいせつ)
deuce	〈C〉(カードの)2の札,(さいの)2の目(2点) / 〈U〉(テニスで)ジュース / 悪運;厄介,災厄;悪魔(devil) / 《古》《俗》《遠回しに》(1)=devil{名}5(1) / 《強い否定》なったく(…でない) / 《肯定文で》ちくしょう
deuced	ひどい(ひどく),いまいましい(しく)
deuterium	重水素(化学記号は『D』)
deuteron	重陽子(重水素の原子核)
dev.	deviation
devaluate	…を価値を下げる;〈貨幣〉を平価を切り下げる
devaluation	(貨幣の)平価切り下げ,デノミ
devalue	=devaluate
devastate	…を荒廃させる,荒らす / (突然の知らせなどで)〈人など〉を打ちひしぐ,混乱させる
devastating	(戦争・あらしなどが)荒廃させる,破壊的な / 《話》人を打ちひしぐような;辛らつな,痛烈な
devastation	荒らすこと,荒廃;荒廃した様子;惨状
