disafforest	=deforest
disagree	〈物事が〉(…と)『一致しない』,食い違う《+『with』+『名』》 / 〈人が〉『意見が合わない』;(…について人と)意見が合わない《+『with』+『名』+『on』(『about』)+『名』(do『ing』)》 / 〈気候・食物などが〉(人に)合わない,適しない,害を与える《+『with』+『名』》(受動態にできない)
disagreeable	『不愉快な』,いやな(unpleasant) / 不きげんな,気難しい,愛相の悪い
disagreement	〈U〉(…間の)不一致,不調和《+between+『名』》 / 〈C〉(…の間の)意見の相違;争い,不和《+between+『名』》
disallow	…を許さない,認めない;…を却下する
disappear	『見えなくなる』,消える,姿を消す,消滅する
disappearance	消失,消滅;〈U〉〈C〉失踪(しっそう)
disappoint	〈人〉を『失望させる』,がっかりさせる / 〈約束・期待〉を『破る』;〈希望・計画など〉をだめにする,くつがえす
disappointed	当ての外れた / 失望した,落胆した
disappointing	失望させるような,意外につまらない
disappointment	〈U〉『失望』,落胆,期待はずれ / 〈C〉失望の原因となる物(事,人),期待に反する物(事,人)
disapprobation	=disapproval
disapproval	『不賛成』,不承認 / 非難(censure)
disapprove	…を『好ましくないと思う』,に賛成しない,を認めない / (…に)『賛成しない』,(…を)好ましくないと思う《+『of』+『名』(a person's do『ing』)》
disapprovingly	不賛成の考え(立場)で,非難をこめて
disarm	…の武装を解く / 〈人〉の敵意(疑い,恐怖など)を取り払う;(敵意などを)…から取り去る《+『名』+『of』+『名』》 / 武器を捨てる;〈国家が〉軍備を縮小(撤廃)する
disarmament	武装解除;軍備縮小
disarrange	…を乱す,混乱させる
disarray	混乱,乱雑;服装の乱れ / …を乱す,混乱させる
disassemble	…を分解する
disassociate	=dissociate
disaster	(突然の大きな)『災害』,災難・不幸
disastrous	『災害の』,災害によって引き起こされた;悲惨な
disavow	〈責任・知識・信仰など〉を否定する,否認する
disavowal	否定,否認
disband	〈組織・隊など〉を解散する / 〈組織・隊などが〉解散する
disbandment	(組織・隊などの)解散,解隊
disbar	…の弁護士の資格をはく奪する
disbarment	弁護士資格のはく奪
disbelief	信じないこと,不信,疑惑;不信仰
disbelieve	…を信じない,信用しない / (…を)信じない《+『in』+『名』》
disbeliever	(言葉や人を)信用しない人;信仰しない人
disburden	…の荷を降ろす / (…について)〈心の負担・重荷〉を軽くする《+『名』+『of』+『名』》
disburse	〈金〉を支払う;(蓄えた分から)〈金〉を支出する
disbursement	〈U〉支出 / 〈C〉支払金 / 出費
disc	=record / =disk
disc brakes	=disk brakes
disc harrow	=disk harrow
disc jockey	=disk jockey
disc.	discount / discovered
discard	〈不用品・習慣など〉を『捨てる』,廃棄する / 〈人〉を解雇する / (カードゲームで)〈不用の札〉を捨てる / 〈C〉捨てられた物(人) / 〈U〉廃棄 / 〈U〉(カードゲームで)手札の投げ出し〈C〉捨て札
discern	…を『見分ける』,識別する / (…と…を)識別する,見分ける《+『between』+『名』》
discernible	認識できる;区別できる,見分けがつく
discerning	洞察力のある,識別力のある,明敏な
discernment	見分けること,識別 / 見分ける(識別する)力
discharge	〈船〉の『荷を降ろす』;(積荷・客を)〈船〉から降ろす《+『名』〈船〉+『of』+『名』〈荷〉》;(船から)〈積荷・客〉を降ろす《+『名』〈荷〉+『from』+『名』〈船〉》 / (…に)…を『発射する』《+『名』+『at』(『into』)+『名』》 / 〈煙・液体〉を『出す』,排出する / (…から)〈人〉を解放する,に行くことを許す《+『名』〈人〉+『from』+『名』》 / (仕事から)〈人〉を解雇する,くびにする《+『名』〈人〉+『from』+『名』》 / 〈職務・義務・約束など〉を果たす,遂行する(fulfill) / 〈借金〉を返済する,支払う(pay) / 〈電池など〉から放電する / 〈船が〉『荷を降ろす』,荷揚げする / 〈水などが〉流れ出る,注ぐ,流出する / 〈鉄砲などが〉発射される / 放電する / 〈U〉『荷降ろし』,荷揚げ / 〈C〉発砲,発射 / 〈C〉『放出』,流出,排出;排出物 / 〈U〉解任,退出,解雇;解放,釈放 / 〈U〉(職務・義務などの)『遂行』,履行 / 〈U〉(負債の)『返済』,弁済 / 〈C〉〈U〉(電気の)放電
discharged bankrupt	免責破産者
disciple	(特に信仰上の)『弟子』,門人 / 《しばしば『D-』》使徒(キリストの12使徒のひとり)
discipleship	弟子(門人)としての身分
disciplinarian	しつけの厳格な人,厳格な教師
disciplinary	訓練の,規律の / 懲戒の
discipline	〈U〉(組織的な)『訓練』,鍛錬,修養,しつけ(training) / 〈U〉(訓練による)規律正しさ,統制,自制;(組織・グループなどの)規律,風紀 / 〈U〉訓戒,懲罰,懲戒(punishment) / 〈C〉訓練方法,学習方法 / 〈C〉学科,学問[分野] / …を訓練する,しつける / …を罰する,懲らしめる(punish)
disclaim	〈責任・関係など〉を否認する(deny) / 〈法律上の権利など〉を放棄する
disclaimer	〈C〉免責事項 / 否認声明 / 放棄声明
disclose	〈隠れたもの〉をあらわにする,見せる(uncover) / 〈秘密など〉を打ち明ける,明らかにする(reveal)
disclosure	〈U〉露見,暴露 / 〈C〉打ち明け話,暴露されたもの
disco	discotheque
discoid,discoidal	円盤状の / 円盤状のもの
discolor,discolour	…を変色させる;…の色を汚す / 変色(退色)する
discoloration,discolouration	〈U〉変色,退色 / 〈C〉変色した部分,しみ
discombobulate	〈計画など〉を狂わせる,混乱させる
discomfit	〈計画など〉を狂わせる / 〈人〉を困惑させる
discomfiture	(希望・計画の)挫折 / 当惑,困惑
discomfort	〈U〉不快 / 〈C〉不快感・軽い痛み・違和感
discommode	…に不便を感じさせる;〈人〉に迷惑をかける
discompose	〈人〉を不安にする
discomposure	心の不安,動揺,ろうばい
disconcert	《しばしば受動態で》〈人〉を落ち着きを失わせる,まごつかせる / 〈計画〉を狂わせる,混乱させる
disconcertingly	面くらわせるほど,まごつかせるように
disconnect	〈二者〉の関係を絶つ;〈電話・電源など〉を切る;(…から)…を分離する《+『名』+『from』+『名』》
disconnected	接続を断たれた,離れ離れの,ばらばらの
disconnection	切断,分離,断絶;(電気・電話の)断線
disconsolate	{形}ひどく落ち込んだ / 慰めようのない / わびしい
discontent	『不満』,不平 / 不満の種 / …に不満を抱かせる / =discontented
discontented	不平のある;(…に)不満な《+『with』+『名』》
discontentment	=discontent
discontinuance	中断,中止,断絶,廃止
discontinue	〈続けていること〉をやめる,停止する,中止する / 中止になる
discontinuity	〈U〉連続していないこと;中断 / 〈C〉途切れ,切れ目
discontinuous	とぎれた,不連続の
discord	〈U〉(…との)不一致《+『with』+『名』》 / 〈U〉〈C〉(…との)不和,仲たがい《+『with』+『名』》 / 〈C〉不協和音;〈U〉(音の)不協和 / (…と)一致しない,不和である《+『with』+『名』》
discordance	=discord1,2
discordant	一致しない,調和しない / (音が)不協和の,耳ざわりな
discotheque,discothèque	ディスコ(流行の音楽に合わせ若者が踊るクラブ)
discount	(手形・商品の)『割引』[額] / 〈手形・料金〉を『割引する』,〈商品〉を割り引いて売る / 〈話・見解など〉を割り引いて聞く,軽視する
discount broker	手形割引仲買人
discount house	割引商店,安売店
discountenance	…にいい顔をしない,賛成しない / …をまごつかせる,どぎまぎさせる
discourage	〈人〉を『落胆させる』,がっかりさせる / (…することを)〈人〉に思いとどまらせる《+『名』+『from』 do『ing』》 / (反対の意を表し,また困難を予想して)〈事〉をさせないようにする,思いとどまらせる
discouragement	〈U〉落胆 / 阻止 / 〈C〉落胆させるもの・妨げ
discouraging	がっかりさせる,勇気をくじくような
discourse	〈C〉(…についての)『講演』,講話;説教《+『on』(『upon』)+『名』》 / 〈U〉会話,談話 / 〈C〉論説,論考,論文 / (…について)講演する,論述する《+『on』(『upon』)+『名』》
discourteous	失礼な,ぶしつけな(impolite)
discourtesy	〈U〉失礼,無礼,無作法 / 〈C〉無礼な行為,失礼な言動
discover	〈今まで知らなかった物・場所〉を『発見する』,見付ける / 〈今まで知らなかった事〉を発見する,悟る
discoverable	発見できる,気付くことができる
discoverer	発見者
discovery	〈U〉『発見』;〈C〉発見した物(事)
discredit	(…に対して)…の信用(評判)を落とす,面目を失わせる《+『名』+『with』+『名』》 / …を信用しない,疑う(doubt) / …を信用できないものとする / 〈U〉信用を失うこと;不信,疑惑 / 〈U〉不名誉,不面目,不評,悪評(disgrace) / 〈C〉《通例a~》(…の)不評を招く人(物),不評を招く原因《+『to』+『名』》
discreditable	信用を失う, 不名誉な
