discreet	(行動・発言などに)『分別のある』,思慮深い(prudent);慎重な
discrepancy	(…との)相違,不一致,食い違い《+『between』+『名』》
discrete	別個の,個々の
discretion	『分別』,慎重さ(prudence) / (行動・選択などの)判断の自由;自由裁量
discretionary	任意の,自由裁量の
discriminate	(…と)…を『見分ける』,識別する《+『名』+『from』+『名』》 / (…間の)『差異を見分ける』,識別する《+『between』+『名』》 / (…を)分け隔てする,差別待遇する《+『against』+『名』》
discriminating	識別する力のある,鋭く見分ける;(…に)目が利く《+『in』+『名』(do『ing』)》 / 《名詞の前にのみ用いて》差別する
discrimination	区別(識別)すること / (…に対する)差別待遇《+『against』+『名』》 / 識別力,鋭く見分ける力
discriminatory	差別的な;(特に)人種差別の
discursive	(議論・記述などが)多方面にわたる,とりとめのない
discus	(競技用の)円盤
discus throw	円盤投げ
discuss	…を『論ずる』,討議する,検討する
discussant	討論者
discussion	(…についての)『議論』,討論,検討《+『about』(『on』)+『名』》
disdain	…を『軽べつする』,侮る(scorn),恥とする(受動態にできない) / (…への)『軽べつ』,侮べつ《+『of』+『名』》
disdainful	軽べつ的な;(…に対して)軽べつしたような,(…を)軽べつした《+『of』(『toward』)+『名』》
disease	〈C〉個別の病気・疾患 / 〈U〉病気一般・病的状態 / 異常状態
disease germ	病原菌
diseased	病気にかかった / 病的な,不健全な(morbid)
disembark	…を上陸させる;(船から)…を陸揚げする《+『名』+『from』+『名』》 / 上陸する
disembarkation	陸揚げ;上陸
disembodied	(霊魂などが)肉体から分離した;姿の見えない
disembody	〈霊魂・精神など〉を肉体から分離(離脱)させる
disembowel	…のはらわたを取り出す
disembroil	…のもつれを解く;(混乱状態から)…を解き放す《+『名』+『from』+『名』》
disemploy	〈人〉を失業(失職)させる
disenchant	…の魔法を解く;(…から)…の迷いを覚ます《+『名』+『of』+『名』》
disenchantment	魔法を解くこと;迷い(夢)を覚ますこと
disencumber	(じゃま物・苦労から)〈人〉を解放する《+『名』+『of』(『from』)+『名』》
disendow	〈特に教会〉から基本財産を没収する
disenfranchise	=disfranchise
disengage	…を解き放す;(束縛・義務から)…を解放する《+『名』+『from』(『of』)+『名』》
disengaged	(仕事などから)解放されている,手(体)があいている
disengagement	(…から)解放されること;自由《+『from』(『of』)+『名』》
disentangle	…のもつれを解く,ほどく / (ごたごたから)…を解き放す《+『名』+『from』+『名』》 / ほぐれる,ほどける
disentanglement	もつれを解きほぐすこと
disequilibrium	(特に,経済上の)不均衡,不安定
disestablish	〈既成の制度など〉を廃止する / 〈教会〉の国教制を廃止する
disesteem	…を侮る,軽べつする / 軽べつ,軽視,冷遇
disfavor,disfavour	気に入らないこと;不賛成 / (…に)人気がないこと,不評《+『with』+『名』》
disfigure	…の美観を損なう,を醜くする
disfigurement	〈U〉美観を損なうこと / 〈C〉きず,汚点
disforest	=deforest
disfranchise	〈人〉から公民権(選挙権)を奪う,〈都市〉から特権を取り上げる
disfranchisement	公民権(選挙権)はく奪
disfrock	=unfrock
disgorge	…を吐き出す,吐き出させる
disgrace	〈U〉『不名誉』,不面目(dishonor),恥辱(shame) / 《a disgrace》(…にとって)恥となるもの(こと),名誉を汚すもの,つら汚し《+『to』+『名』》 / 〈U〉(…に)人気のないこと,不評《+『with』+『名』》 / …の面目を失わせる / 《通例受動態で》〈役人など〉を失脚させる
disgraceful	恥ずかしい,不面目な,不名誉な
disgruntle	〈人〉を不きげんにする,に不平(不満)を抱かせる
disgruntled	(…に)不満な,不きげんな《+『at』(『with』)+『名』》
disguise	(…に)〈人,特に自分〉を『変装させる』《+『名』+『as』+『名』》 / (…だと)…を『見せかける』,偽る《+『名』+『as』+『名』》 / 〈U〉『変装』,仮装;見せかけること / 〈C〉〈U〉変装に用いる物;偽りの態度,口実
disgust	(…で)〈人〉に『吐き気を催させる』,むかむかさせる《+『名』+『at』(『with』)+『名』》 / (…に対する)『いや気』,嫌悪,むかつき《+『at』(『for, toward』)+『名』》
disgusting	むかつくような,吐き気を催させる;実にいやな
dish	〈C〉(全員分の料理を盛る)『大皿』,盛り皿,深皿 / 《しばしばthe ~》《複数形で集合的に》(食事に用いる,おもに陶器製の)皿類,食器類(plates,bowls,saucers,cups,knives,forksなどの総称) / 〈C〉(皿に盛られた)『料理』,食品 / 〈C〉(…の)皿1杯の分量,一皿分《+『of』+『名』》 / 〈C〉《話》可愛い女の子 / 〈食物〉を皿に盛る;〈人〉に盛りつけて出す《+『名』+『up』,+『up』+『名』》
dishabille	ふだん着[姿] / (女性の)身をはだけた姿
disharmonious	不調和な,不協和な
disharmony	〈U〉不調和 / 〈C〉不調和なもの,不協和音
dishcloth	《米》(またdishrag)皿洗い用ふきん / 《英》皿洗いまたは皿ふき用ふきん
dishearten	〈人〉を落胆させる
dished	へこんだ,くぼんだ / 疲れた,へとへとの
dishevel	〈髪など〉をぼさぼさに垂らす;〈着物など〉をだらんと着る
disheveled,dishevelled	(服装・髪などが)乱れた,ぼさぼさの
dishful	皿1杯の分量
dishonest	(人が)『不正直な』,不誠実な / (人の行為・手段などが)不正な,ごまかしの
dishonesty	不正直,不誠実;〈C〉不正な行為,詐欺行為;〈U〉不正
dishonor, dishonour	〈U〉『不名誉』(disgrace),不面目,恥辱(shame) / 〈C〉(…の)恥の種,つら汚し《+『to』+『名』》 / …の不名誉となる / 〈銀行が〉〈手形など〉を不渡りにする
dishonorable,dishonourable	(行為などが)下劣な,恥ずべき
dishpan	洗いおけ
dishrag	=dishcloth1
dishtowel	皿ふき用ふきん
dishwasher	(食堂の)皿洗い[人] / [自動]皿洗い機
dishwater	食器を洗った後の汚水
dishy	(女が)性的魅力のある
disillusion	〈人〉に迷いを覚まさせる;…を幻滅させる;正気に返らせる / =disillusionment
disillusioned	幻滅した,迷いが覚めた;(…に)幻滅を感じて《+『at』(『about, with』)+『名』》
disillusionment	迷いから覚めること(覚めた状態);幻滅
disincentive	行動を妨げるもの,意欲をくじくもの
disinclination	気が進まないこと,いや気:《『disinclination』+『for』(『to』)+『名』(do『ing』)》…に気が進まないこと
disincline	〈人〉にいや気を起こさせる;〈人〉に(…する)気をなくさせる《+『名』〈人〉+『to』do》 / 気乗りしなくなる
disinclined	気が進まない,いやがっている
disinfect	〈衣類・部屋など〉を消毒する,滅菌(殺菌)する
disinfectant	消毒液,滅菌剤 / 消毒用の,滅菌(殺菌)する
disinfection	消毒,滅菌,殺菌
disinfest	…から害虫(ネズミなど)を駆除する
disingenuous	腹黒い,陰険な,不正直な,不誠実な
disinherit	〈相続人〉から相続権を奪う;…を勘当する
disinheritance	廃嫡(相続権を奪うこと);勘当
disintegrate	〈物〉を崩れる,崩壊する / 〈原子核が〉崩壊する / 〈物〉を崩す,崩壊させる
disintegration	分解,崩壊 / (放射性元素の)崩壊 / (岩石などの)風化作用
disintegrator	崩壊(分解)させるもの / (鉱石・原料などの)粉砕機
disinter	(墓地から)…を掘り出す,発掘する
disinterest	〈U〉無関心 / 公平無私
disinterested	公平無私の,公平な;(…に)公平な《+『in』+『名』》
disintoxication	麻薬中毒[患者]治療
disjoin	…を引き離す,分離する
disjoint	{形}〈数学〉共通部分を持たない / 交差しない / {動}分離する / 関節を外す
disjointed	(考え・文章などが)支離滅裂の,脈絡を欠いた
disjointedly	ばらばらに,とりとめなく
